* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 6:55:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Airpods Pro 2 (Dekoni M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.296, 180.0589
20.600000, 80.279, 179.7800
20.900000, 80.259, 179.4793
21.200001, 80.236, 179.1760
21.400000, 80.220, 178.9753
21.799999, 80.188, 178.5896
22.000000, 80.175, 178.4089
22.400000, 80.154, 178.0691
22.700001, 80.146, 177.8181
23.000000, 80.142, 177.5531
23.299999, 80.138, 177.2676
23.600000, 80.128, 176.9707
24.000000, 80.100, 176.5985
24.299999, 80.069, 176.3689
24.700001, 80.025, 176.1422
25.000000, 79.996, 176.0064
25.400000, 79.970, 175.8008
25.799999, 79.955, 175.5059
26.200001, 79.939, 175.1248
26.500000, 79.923, 174.8257
26.900000, 79.897, 174.4782
27.200001, 79.878, 174.2795
27.600000, 79.855, 174.0808
28.000000, 79.831, 173.9092
28.500000, 79.787, 173.6983
29.000000, 79.716, 173.5590
29.500000, 79.642, 173.5659
30.000000, 79.602, 173.6201
30.400000, 79.604, 173.5413
30.700001, 79.617, 173.3546
31.100000, 79.632, 172.9569
31.500000, 79.632, 172.4960
32.000000, 79.608, 172.0372
32.500000, 79.580, 171.8113
33.000000, 79.563, 171.7211
33.500000, 79.553, 171.6005
34.000000, 79.534, 171.3974
34.500000, 79.503, 171.1783
35.000000, 79.475, 171.0027
35.500000, 79.460, 170.8467
36.000000, 79.451, 170.6588
36.500000, 79.431, 170.4496
37.000000, 79.394, 170.2861
37.500000, 79.352, 170.2030
38.200001, 79.314, 170.1064
38.700001, 79.300, 169.9377
39.500000, 79.271, 169.5287
40.000000, 79.245, 169.3019
40.599998, 79.223, 169.0891
41.200001, 79.213, 168.8631
41.799999, 79.202, 168.6084
42.500000, 79.173, 168.4008
43.099998, 79.145, 168.3395
43.700001, 79.126, 168.2821
44.400002, 79.114, 168.1172
45.000000, 79.102, 167.9403
45.500000, 79.090, 167.7982
46.200001, 79.057, 167.5544
46.799999, 79.005, 167.2864
47.500000, 78.942, 167.0166
48.200001, 78.929, 166.8430
48.700001, 78.947, 166.7224
49.400002, 78.961, 166.5477
50.000000, 78.935, 166.4523
50.799999, 78.877, 166.3174
51.500000, 78.840, 166.0233
52.200001, 78.814, 165.6953
53.000000, 78.789, 165.5653
53.799999, 78.765, 165.5345
54.500000, 78.735, 165.3558
55.200001, 78.699, 165.0841
56.000000, 78.661, 164.8289
57.000000, 78.595, 164.6540
58.000000, 78.527, 164.4469
59.000000, 78.484, 164.0971
60.000000, 78.440, 163.9502
60.799999, 78.407, 163.9782
61.500000, 78.386, 163.9019
62.200001, 78.364, 163.7343
63.000000, 78.335, 163.5796
64.000000, 78.291, 163.4723
65.000000, 78.236, 163.4292
66.000000, 78.196, 163.4725
67.000000, 78.161, 163.4297
68.000000, 78.112, 163.3399
69.000000, 78.066, 163.3302
70.000000, 78.024, 163.3999
71.000000, 77.989, 163.4269
72.000000, 77.957, 163.3625
73.000000, 77.923, 163.3507
74.000000, 77.892, 163.3543
75.000000, 77.861, 163.3324
76.199997, 77.835, 163.3622
77.500000, 77.808, 163.3477
78.800003, 77.775, 163.3741
80.000000, 77.751, 163.4284
81.199997, 77.729, 163.4376
82.500000, 77.704, 163.4418
83.800003, 77.668, 163.4201
85.000000, 77.652, 163.4120
86.199997, 77.653, 163.4499
87.500000, 77.639, 163.5261
88.500000, 77.621, 163.5463
90.000000, 77.593, 163.4130
91.199997, 77.583, 163.3159
92.500000, 77.577, 163.3675
93.800003, 77.570, 163.4026
95.000000, 77.556, 163.3636
96.199997, 77.527, 163.3216
97.500000, 77.501, 163.2452
98.800003, 77.488, 163.2733
100.000000, 77.476, 163.3887
101.500000, 77.463, 163.3305
103.000000, 77.452, 163.2200
104.400002, 77.443, 163.0701
106.000000, 77.437, 162.9891
107.500000, 77.404, 162.9518
109.000000, 77.377, 162.7699
110.599998, 77.367, 162.4860
112.000000, 77.370, 162.3552
113.800003, 77.358, 162.3444
115.000000, 77.330, 162.3585
117.199997, 77.294, 162.3112
118.000000, 77.287, 162.3061
120.599998, 77.268, 162.3416
122.000000, 77.248, 162.2999
124.099998, 77.206, 162.2862
125.000000, 77.198, 162.2405
126.500000, 77.186, 162.1523
128.000000, 77.160, 162.1299
131.500000, 77.112, 162.1593
132.000000, 77.104, 162.1595
134.000000, 77.083, 162.1090
136.000000, 77.076, 161.9652
138.000000, 77.060, 161.9492
140.000000, 77.034, 161.9445
143.000000, 76.994, 162.1007
145.000000, 76.981, 162.1325
147.500000, 76.969, 162.1383
150.000000, 76.946, 162.0140
152.500000, 76.937, 161.9271
155.000000, 76.950, 161.9466
157.500000, 76.943, 161.8307
160.000000, 76.902, 161.8774
162.500000, 76.859, 161.9326
165.000000, 76.842, 161.8337
167.500000, 76.843, 161.7681
170.000000, 76.827, 161.7726
172.500000, 76.809, 161.8062
175.000000, 76.787, 161.7796
177.500000, 76.763, 161.7588
180.000000, 76.748, 161.7349
182.500000, 76.752, 161.6225
185.000000, 76.753, 161.6106
187.500000, 76.742, 161.6811
190.000000, 76.726, 161.6674
192.500000, 76.705, 161.5976
195.000000, 76.689, 161.6189
197.500000, 76.681, 161.6662
200.000000, 76.672, 161.7516
203.000000, 76.641, 162.0154
206.000000, 76.633, 162.1446
209.000000, 76.653, 162.1713
212.000000, 76.650, 162.2961
214.000000, 76.637, 162.3903
218.000000, 76.630, 162.5076
220.000000, 76.640, 162.5488
224.000000, 76.661, 162.6389
227.000000, 76.678, 162.7783
230.000000, 76.702, 162.9321
233.000000, 76.722, 163.0036
236.000000, 76.744, 163.0129
240.000000, 76.787, 163.1148
243.000000, 76.821, 163.1618
247.000000, 76.864, 163.1434
250.000000, 76.903, 163.1257
254.000000, 76.949, 163.0589
258.000000, 76.987, 162.9439
262.000000, 77.048, 162.9246
265.000000, 77.088, 162.8693
269.000000, 77.133, 162.6134
272.000000, 77.168, 162.4217
276.000000, 77.226, 162.2800
280.000000, 77.277, 162.0551
285.000000, 77.333, 161.6463
290.000000, 77.389, 161.2143
295.000000, 77.440, 160.8424
300.000000, 77.494, 160.3888
304.000000, 77.536, 159.9627
307.000000, 77.553, 159.5971
311.000000, 77.569, 159.2282
315.000000, 77.589, 158.8502
320.000000, 77.611, 158.1899
325.000000, 77.645, 157.5969
330.000000, 77.676, 157.1411
335.000000, 77.696, 156.7084
340.000000, 77.697, 156.1337
345.000000, 77.689, 155.4908
350.000000, 77.691, 154.9037
355.000000, 77.703, 154.3446
360.000000, 77.710, 153.7911
365.000000, 77.704, 153.2562
370.000000, 77.689, 152.8127
375.000000, 77.671, 152.3090
382.000000, 77.650, 151.5125
387.000000, 77.637, 151.0280
395.000000, 77.599, 150.2639
400.000000, 77.572, 149.7192
406.000000, 77.537, 148.9990
412.000000, 77.495, 148.3386
418.000000, 77.451, 147.8515
425.000000, 77.404, 147.1933
431.000000, 77.368, 146.6969
437.000000, 77.327, 146.2943
444.000000, 77.274, 145.7547
450.000000, 77.227, 145.2361
455.000000, 77.190, 144.8454
462.000000, 77.140, 144.3670
468.000000, 77.087, 144.0149
475.000000, 77.010, 143.5344
482.000000, 76.948, 143.0849
487.000000, 76.906, 142.8228
494.000000, 76.835, 142.4220
500.000000, 76.768, 142.1042
508.000000, 76.682, 141.7134
515.000000, 76.607, 141.3870
522.000000, 76.543, 141.1206
530.000000, 76.469, 140.8624
538.000000, 76.390, 140.6003
545.000000, 76.321, 140.3755
552.000000, 76.249, 140.1459
560.000000, 76.158, 139.8773
570.000000, 76.033, 139.7030
580.000000, 75.928, 139.4747
590.000000, 75.845, 139.2980
600.000000, 75.744, 139.1929
608.000000, 75.663, 139.1453
615.000000, 75.605, 139.0944
622.000000, 75.551, 139.0351
630.000000, 75.475, 139.1219
640.000000, 75.385, 139.2550
650.000000, 75.297, 139.2886
660.000000, 75.204, 139.4148
670.000000, 75.120, 139.5826
680.000000, 75.048, 139.8212
690.000000, 74.983, 140.1981
700.000000, 74.928, 140.4975
710.000000, 74.875, 140.7625
720.000000, 74.831, 140.9955
730.000000, 74.798, 141.2135
740.000000, 74.779, 141.5750
750.000000, 74.771, 141.9219
762.000000, 74.765, 142.2927
775.000000, 74.780, 142.6470
788.000000, 74.801, 142.7605
800.000000, 74.812, 142.6651
812.000000, 74.812, 142.4844
825.000000, 74.783, 142.2798
838.000000, 74.752, 142.0182
850.000000, 74.713, 141.8155
862.000000, 74.646, 141.7123
875.000000, 74.564, 141.6938
885.000000, 74.498, 141.6982
900.000000, 74.400, 142.0251
912.000000, 74.322, 142.5443
925.000000, 74.251, 143.2158
938.000000, 74.193, 143.8497
950.000000, 74.158, 144.4446
962.000000, 74.139, 145.1183
975.000000, 74.133, 145.8795
988.000000, 74.140, 146.4560
1000.000000, 74.163, 146.9698
1015.000000, 74.239, 147.7806
1030.000000, 74.303, 148.4559
1044.000000, 74.361, 149.0083
1060.000000, 74.447, 149.6702
1075.000000, 74.536, 150.1488
1090.000000, 74.632, 150.5194
1106.000000, 74.741, 150.7892
1120.000000, 74.841, 150.9579
1138.000000, 74.972, 151.0380
1150.000000, 75.055, 151.0539
1172.000000, 75.183, 151.1804
1180.000000, 75.223, 151.1675
1206.000000, 75.357, 150.8815
1220.000000, 75.428, 150.7931
1241.000000, 75.520, 150.6635
1250.000000, 75.555, 150.5744
1265.000000, 75.604, 150.4059
1280.000000, 75.649, 150.1901
1315.000000, 75.776, 149.7807
1320.000000, 75.794, 149.7555
1340.000000, 75.866, 149.7643
1360.000000, 75.934, 149.7264
1380.000000, 75.990, 149.6420
1400.000000, 76.048, 149.6414
1430.000000, 76.164, 149.5023
1450.000000, 76.261, 149.3960
1475.000000, 76.388, 149.1309
1500.000000, 76.503, 148.6967
1525.000000, 76.606, 148.1322
1550.000000, 76.692, 147.5080
1575.000000, 76.764, 146.8758
1600.000000, 76.812, 146.2037
1625.000000, 76.827, 145.5506
1650.000000, 76.823, 144.9183
1675.000000, 76.817, 144.5149
1700.000000, 76.813, 144.2758
1725.000000, 76.794, 144.1454
1750.000000, 76.788, 144.0973
1775.000000, 76.791, 144.1642
1800.000000, 76.801, 144.3321
1825.000000, 76.819, 144.4160
1850.000000, 76.847, 144.5395
1875.000000, 76.883, 144.7035
1900.000000, 76.937, 144.8997
1925.000000, 77.001, 145.1436
1950.000000, 77.066, 145.3248
1975.000000, 77.130, 145.4247
2000.000000, 77.210, 145.4806
2030.000000, 77.307, 145.5693
2060.000000, 77.410, 145.6803
2090.000000, 77.515, 145.7989
2120.000000, 77.620, 145.8629
2140.000000, 77.691, 145.9160
2180.000000, 77.837, 145.9736
2200.000000, 77.911, 146.0069
2240.000000, 78.069, 146.0567
2270.000000, 78.201, 146.0545
2300.000000, 78.341, 145.9790
2330.000000, 78.481, 145.9310
2360.000000, 78.623, 145.9060
2400.000000, 78.820, 145.8410
2430.000000, 78.988, 145.6676
2470.000000, 79.214, 145.3041
2500.000000, 79.375, 145.0042
2540.000000, 79.602, 144.5429
2580.000000, 79.853, 143.9396
2620.000000, 80.100, 143.1839
2650.000000, 80.283, 142.5291
2690.000000, 80.533, 141.4579
2720.000000, 80.715, 140.5646
2760.000000, 80.945, 139.1972
2800.000000, 81.151, 137.6166
2850.000000, 81.387, 135.4982
2900.000000, 81.583, 133.1521
2950.000000, 81.736, 130.7291
3000.000000, 81.851, 128.3137
3040.000000, 81.907, 126.3005
3070.000000, 81.932, 124.7838
3110.000000, 81.936, 122.8267
3150.000000, 81.915, 120.9320
3200.000000, 81.868, 118.6290
3250.000000, 81.796, 116.5121
3300.000000, 81.685, 114.5585
3350.000000, 81.553, 112.6567
3400.000000, 81.409, 110.9100
3450.000000, 81.256, 109.3877
3500.000000, 81.085, 108.0142
3550.000000, 80.900, 106.7781
3600.000000, 80.709, 105.6783
3650.000000, 80.519, 104.7325
3700.000000, 80.327, 103.9552
3750.000000, 80.136, 103.3302
3820.000000, 79.867, 102.6021
3870.000000, 79.671, 102.2001
3950.000000, 79.370, 101.8881
4000.000000, 79.194, 101.8214
4060.000000, 78.978, 101.7026
4120.000000, 78.777, 101.7668
4180.000000, 78.590, 101.9926
4250.000000, 78.383, 102.4118
4310.000000, 78.208, 102.8588
4370.000000, 78.046, 103.3698
4440.000000, 77.869, 104.0222
4500.000000, 77.725, 104.6626
4550.000000, 77.616, 105.2668
4620.000000, 77.482, 106.1467
4680.000000, 77.373, 106.9209
4750.000000, 77.257, 107.9237
4820.000000, 77.161, 109.0064
4870.000000, 77.106, 109.8220
4940.000000, 77.045, 110.8915
5000.000000, 77.010, 111.7554
5080.000000, 76.969, 113.0340
5150.000000, 76.946, 114.1695
5220.000000, 76.939, 115.2826
5300.000000, 76.944, 116.5233
5380.000000, 76.970, 117.5442
5450.000000, 77.004, 118.3202
5520.000000, 77.041, 119.1134
5600.000000, 77.090, 119.8559
5700.000000, 77.150, 120.5261
5800.000000, 77.198, 121.0999
5900.000000, 77.245, 121.5870
6000.000000, 77.278, 121.6743
6080.000000, 77.274, 121.4882
6150.000000, 77.234, 121.2865
6220.000000, 77.166, 121.0838
6300.000000, 77.045, 120.9173
6400.000000, 76.837, 120.8665
6500.000000, 76.570, 121.1697
6600.000000, 76.262, 121.8672
6700.000000, 75.944, 122.9983
6800.000000, 75.638, 124.6224
6900.000000, 75.347, 126.6823
7000.000000, 75.081, 129.1866
7100.000000, 74.863, 131.9790
7200.000000, 74.713, 134.9198
7300.000000, 74.612, 137.9246
7400.000000, 74.556, 141.0587
7500.000000, 74.558, 144.2534
7620.000000, 74.616, 147.7664
7750.000000, 74.725, 151.3913
7880.000000, 74.895, 155.0199
8000.000000, 75.115, 158.2467
8120.000000, 75.386, 161.2608
8250.000000, 75.756, 164.3891
8380.000000, 76.225, 167.1404
8500.000000, 76.748, 169.0991
8620.000000, 77.351, 170.4035
8750.000000, 78.077, 170.7307
8850.000000, 78.673, 169.9550
9000.000000, 79.546, 166.7888
9120.000000, 80.123, 162.3577
9250.000000, 80.485, 155.7707
9380.000000, 80.448, 148.2840
9500.000000, 80.038, 141.5777
9620.000000, 79.338, 135.9202
9750.000000, 78.351, 131.5354
9880.000000, 77.245, 129.0661
10000.000000, 76.222, 128.2787
10150.000000, 74.988, 128.9288
10300.000000, 73.831, 130.8463
10440.000000, 72.845, 133.3284
10600.000000, 71.856, 136.8019
10750.000000, 70.986, 140.4808
10900.000000, 70.117, 144.4419
11060.000000, 69.248, 149.1616
11200.000000, 68.535, 154.0347
11380.000000, 67.714, 161.2098
11500.000000, 67.232, 166.2173
11720.000000, 66.564, 175.7405
11800.000000, 66.372, 179.2260
12060.000000, 65.898, 190.1922
12200.000000, 65.738, 195.7219
12410.000000, 65.549, 203.0922
