* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 6:50:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Airpods Pro 2 (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 79.292, -176.5775
20.600000, 79.275, -176.8084
20.900000, 79.255, -177.0090
21.200001, 79.239, -177.1616
21.400000, 79.233, -177.2509
21.799999, 79.236, -177.4590
22.000000, 79.241, -177.6019
22.400000, 79.250, -177.9880
22.700001, 79.247, -178.3428
23.000000, 79.232, -178.7079
23.299999, 79.206, -179.0385
23.600000, 79.175, -179.3065
24.000000, 79.135, -179.5664
24.299999, 79.111, -179.7175
24.700001, 79.087, -179.9162
25.000000, 79.072, 179.9135
25.400000, 79.053, 179.6564
25.799999, 79.033, 179.3898
26.200001, 79.014, 179.1415
26.500000, 79.003, 178.9730
26.900000, 78.993, 178.7620
27.200001, 78.988, 178.5999
27.600000, 78.982, 178.3593
28.000000, 78.968, 178.0891
28.500000, 78.932, 177.7684
29.000000, 78.878, 177.5922
29.500000, 78.832, 177.6295
30.000000, 78.824, 177.7423
30.400000, 78.844, 177.7046
30.700001, 78.863, 177.5381
31.100000, 78.876, 177.1573
31.500000, 78.862, 176.7175
32.000000, 78.819, 176.3205
32.500000, 78.783, 176.1993
33.000000, 78.776, 176.2178
33.500000, 78.784, 176.1740
34.000000, 78.778, 176.0226
34.500000, 78.750, 175.8554
35.000000, 78.719, 175.7431
35.500000, 78.702, 175.6599
36.000000, 78.696, 175.5493
36.500000, 78.692, 175.3961
37.000000, 78.683, 175.2147
37.500000, 78.673, 175.0081
38.200001, 78.662, 174.6666
38.700001, 78.656, 174.4189
39.500000, 78.637, 174.1633
40.000000, 78.617, 174.1359
40.599998, 78.592, 174.1808
41.200001, 78.580, 174.1800
41.799999, 78.583, 174.0310
42.500000, 78.587, 173.6935
43.099998, 78.573, 173.3926
43.700001, 78.546, 173.1790
44.400002, 78.529, 173.0172
45.000000, 78.537, 172.8619
45.500000, 78.544, 172.7232
46.200001, 78.528, 172.6424
46.799999, 78.499, 172.6676
47.500000, 78.476, 172.4642
48.200001, 78.452, 171.8451
48.700001, 78.420, 171.4229
49.400002, 78.382, 171.2822
50.000000, 78.387, 171.4625
50.799999, 78.411, 171.4432
51.500000, 78.395, 171.0916
52.200001, 78.368, 170.7756
53.000000, 78.366, 170.5574
53.799999, 78.362, 170.3257
54.500000, 78.332, 170.0984
55.200001, 78.291, 169.8869
56.000000, 78.248, 169.7095
57.000000, 78.220, 169.5745
58.000000, 78.209, 169.4563
59.000000, 78.194, 169.5151
60.000000, 78.173, 169.4807
60.799999, 78.129, 169.1614
61.500000, 78.077, 168.8640
62.200001, 78.033, 168.7173
63.000000, 77.995, 168.6805
64.000000, 77.943, 168.6031
65.000000, 77.906, 168.4928
66.000000, 77.892, 168.4240
67.000000, 77.870, 168.3959
68.000000, 77.850, 168.3725
69.000000, 77.829, 168.3118
70.000000, 77.787, 168.2892
71.000000, 77.751, 168.2255
72.000000, 77.729, 168.1603
73.000000, 77.709, 168.1730
74.000000, 77.681, 168.0994
75.000000, 77.659, 168.0381
76.199997, 77.650, 168.1421
77.500000, 77.630, 168.2744
78.800003, 77.611, 168.2176
80.000000, 77.579, 168.1690
81.199997, 77.556, 168.1992
82.500000, 77.561, 168.1896
83.800003, 77.553, 168.1037
85.000000, 77.531, 168.0905
86.199997, 77.508, 168.1084
87.500000, 77.489, 168.0445
88.500000, 77.494, 167.9778
90.000000, 77.505, 167.9731
91.199997, 77.498, 167.9774
92.500000, 77.489, 167.8844
93.800003, 77.482, 167.7785
95.000000, 77.467, 167.7345
96.199997, 77.444, 167.7062
97.500000, 77.440, 167.5630
98.800003, 77.459, 167.4355
100.000000, 77.466, 167.3778
101.500000, 77.432, 167.3130
103.000000, 77.400, 167.2039
104.400002, 77.384, 167.0359
106.000000, 77.376, 166.9045
107.500000, 77.383, 166.8307
109.000000, 77.382, 166.7674
110.599998, 77.355, 166.6717
112.000000, 77.314, 166.6678
113.800003, 77.289, 166.5897
115.000000, 77.287, 166.5099
117.199997, 77.268, 166.3443
118.000000, 77.255, 166.2276
120.599998, 77.217, 165.9483
122.000000, 77.196, 165.9399
124.099998, 77.174, 165.9998
125.000000, 77.162, 165.9367
126.500000, 77.137, 165.6992
128.000000, 77.106, 165.5765
131.500000, 77.024, 165.5510
132.000000, 77.022, 165.5106
134.000000, 77.006, 165.3726
136.000000, 76.970, 165.3645
138.000000, 76.929, 165.3839
140.000000, 76.885, 165.2277
143.000000, 76.805, 165.5086
145.000000, 76.758, 165.8795
147.500000, 76.704, 166.3239
150.000000, 76.729, 166.8398
152.500000, 76.747, 167.4788
155.000000, 76.749, 167.5325
157.500000, 76.794, 167.4310
160.000000, 76.849, 167.2673
162.500000, 76.885, 167.1838
165.000000, 76.895, 167.1669
167.500000, 76.865, 166.8242
170.000000, 76.846, 166.5678
172.500000, 76.845, 166.4518
175.000000, 76.840, 166.3519
177.500000, 76.810, 166.4839
180.000000, 76.782, 166.7791
182.500000, 76.780, 166.8566
185.000000, 76.788, 166.9245
187.500000, 76.786, 166.9631
190.000000, 76.779, 166.8893
192.500000, 76.782, 166.8024
195.000000, 76.773, 166.7538
197.500000, 76.749, 166.7741
200.000000, 76.744, 166.8505
203.000000, 76.762, 166.8800
206.000000, 76.763, 166.9001
209.000000, 76.766, 166.9656
212.000000, 76.766, 167.0434
214.000000, 76.767, 167.0755
218.000000, 76.771, 167.1848
220.000000, 76.776, 167.2827
224.000000, 76.787, 167.3940
227.000000, 76.796, 167.5193
230.000000, 76.824, 167.6285
233.000000, 76.857, 167.6749
236.000000, 76.876, 167.7728
240.000000, 76.903, 167.8331
243.000000, 76.936, 167.7921
247.000000, 76.989, 167.6911
250.000000, 77.021, 167.6982
254.000000, 77.058, 167.6805
258.000000, 77.103, 167.6483
262.000000, 77.154, 167.5611
265.000000, 77.187, 167.4898
269.000000, 77.231, 167.2915
272.000000, 77.270, 167.0989
276.000000, 77.320, 166.8923
280.000000, 77.370, 166.6683
285.000000, 77.420, 166.2004
290.000000, 77.467, 165.9552
295.000000, 77.526, 165.6068
300.000000, 77.571, 165.2233
304.000000, 77.604, 164.9302
307.000000, 77.631, 164.6191
311.000000, 77.661, 164.1705
315.000000, 77.690, 163.7953
320.000000, 77.711, 163.3713
325.000000, 77.716, 162.8517
330.000000, 77.724, 162.2680
335.000000, 77.731, 161.7502
340.000000, 77.741, 161.2253
345.000000, 77.757, 160.6877
350.000000, 77.766, 160.1886
355.000000, 77.764, 159.6857
360.000000, 77.760, 159.2090
365.000000, 77.741, 158.7275
370.000000, 77.715, 158.2817
375.000000, 77.698, 157.8644
382.000000, 77.681, 157.2629
387.000000, 77.661, 156.7515
395.000000, 77.621, 156.0040
400.000000, 77.597, 155.5677
406.000000, 77.565, 155.0409
412.000000, 77.530, 154.5775
418.000000, 77.485, 154.1217
425.000000, 77.431, 153.5778
431.000000, 77.387, 153.1631
437.000000, 77.339, 152.7479
444.000000, 77.276, 152.3703
450.000000, 77.219, 151.9839
455.000000, 77.169, 151.6238
462.000000, 77.108, 151.2445
468.000000, 77.055, 150.8985
475.000000, 76.988, 150.5350
482.000000, 76.922, 150.2317
487.000000, 76.875, 150.0667
494.000000, 76.803, 149.7973
500.000000, 76.736, 149.5640
508.000000, 76.651, 149.2657
515.000000, 76.580, 149.0409
522.000000, 76.510, 148.8507
530.000000, 76.423, 148.6771
538.000000, 76.343, 148.4890
545.000000, 76.269, 148.3553
552.000000, 76.189, 148.2629
560.000000, 76.102, 148.2001
570.000000, 75.995, 148.1922
580.000000, 75.885, 148.1553
590.000000, 75.787, 148.0895
600.000000, 75.699, 148.2150
608.000000, 75.630, 148.3527
615.000000, 75.571, 148.4688
622.000000, 75.520, 148.5972
630.000000, 75.457, 148.7529
640.000000, 75.359, 148.9893
650.000000, 75.264, 149.2361
660.000000, 75.179, 149.5473
670.000000, 75.113, 149.9056
680.000000, 75.059, 150.3123
690.000000, 75.002, 150.7233
700.000000, 74.960, 151.1200
710.000000, 74.930, 151.5367
720.000000, 74.882, 152.0416
730.000000, 74.844, 152.5381
740.000000, 74.832, 152.9214
750.000000, 74.843, 153.2902
762.000000, 74.855, 153.7775
775.000000, 74.866, 154.2475
788.000000, 74.886, 154.5150
800.000000, 74.895, 154.6097
812.000000, 74.906, 154.5905
825.000000, 74.913, 154.4921
838.000000, 74.894, 154.3919
850.000000, 74.853, 154.2954
862.000000, 74.787, 154.2522
875.000000, 74.703, 154.3322
885.000000, 74.628, 154.4772
900.000000, 74.524, 154.9336
