* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 15, 2024 3:38:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Blessing 2 Dusk (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 89.977, 12.2619
20.600000, 89.951, 11.9473
20.900000, 89.921, 11.6062
21.200001, 89.899, 11.2687
21.400000, 89.892, 11.0419
21.799999, 89.898, 10.5749
22.000000, 89.910, 10.3339
22.400000, 89.938, 9.8440
22.700001, 89.957, 9.4769
23.000000, 89.967, 9.1158
23.299999, 89.968, 8.7625
23.600000, 89.960, 8.4181
24.000000, 89.942, 7.9791
24.299999, 89.928, 7.6762
24.700001, 89.919, 7.3279
25.000000, 89.923, 7.1142
25.400000, 89.943, 6.8687
25.799999, 89.973, 6.5994
26.200001, 89.996, 6.2265
26.500000, 89.997, 5.8643
26.900000, 89.970, 5.3334
27.200001, 89.934, 4.9829
27.600000, 89.885, 4.7004
28.000000, 89.874, 4.6730
28.500000, 89.941, 4.8122
29.000000, 90.062, 4.7645
29.500000, 90.138, 4.3486
30.000000, 90.103, 3.7331
30.400000, 90.004, 3.2714
30.700001, 89.913, 2.9760
31.100000, 89.802, 2.6121
31.500000, 89.726, 2.2157
32.000000, 89.683, 1.6705
32.500000, 89.678, 1.2046
33.000000, 89.692, 0.9202
33.500000, 89.706, 0.7343
34.000000, 89.697, 0.5015
34.500000, 89.658, 0.1996
35.000000, 89.610, -0.0937
35.500000, 89.585, -0.3537
36.000000, 89.590, -0.6407
36.500000, 89.599, -0.9780
37.000000, 89.587, -1.2966
37.500000, 89.555, -1.5426
38.200001, 89.505, -1.8894
38.700001, 89.474, -2.2452
39.500000, 89.427, -2.8485
40.000000, 89.407, -3.0842
40.599998, 89.400, -3.2433
41.200001, 89.395, -3.4172
41.799999, 89.370, -3.6667
42.500000, 89.321, -3.9862
43.099998, 89.290, -4.2385
43.700001, 89.286, -4.4664
44.400002, 89.301, -4.6899
45.000000, 89.310, -4.8583
45.500000, 89.300, -5.0286
46.200001, 89.255, -5.3793
46.799999, 89.198, -5.7581
47.500000, 89.141, -6.1691
48.200001, 89.120, -6.4595
48.700001, 89.120, -6.6000
49.400002, 89.120, -6.7522
50.000000, 89.109, -6.8961
50.799999, 89.080, -7.1785
51.500000, 89.044, -7.4789
52.200001, 89.002, -7.7508
53.000000, 88.954, -8.0190
53.799999, 88.906, -8.2360
54.500000, 88.876, -8.3468
55.200001, 88.859, -8.4445
56.000000, 88.833, -8.6443
57.000000, 88.781, -8.9720
58.000000, 88.757, -9.3104
59.000000, 88.755, -9.6437
60.000000, 88.716, -9.9029
60.799999, 88.651, -10.0639
61.500000, 88.591, -10.1904
62.200001, 88.545, -10.3215
63.000000, 88.511, -10.4696
64.000000, 88.477, -10.6297
65.000000, 88.445, -10.8350
66.000000, 88.410, -11.0937
67.000000, 88.366, -11.2928
68.000000, 88.317, -11.4877
69.000000, 88.262, -11.7915
70.000000, 88.196, -11.9976
71.000000, 88.129, -12.0817
72.000000, 88.056, -12.2806
73.000000, 87.995, -12.4685
74.000000, 87.980, -12.5664
75.000000, 87.980, -12.7542
76.199997, 87.954, -13.0976
77.500000, 87.902, -13.3577
78.800003, 87.855, -13.4717
80.000000, 87.797, -13.5602
81.199997, 87.726, -13.6084
82.500000, 87.671, -13.8366
83.800003, 87.622, -13.9793
85.000000, 87.571, -14.0188
86.199997, 87.517, -14.1289
87.500000, 87.467, -14.2066
88.500000, 87.421, -14.2449
90.000000, 87.346, -14.4231
91.199997, 87.293, -14.5660
92.500000, 87.239, -14.6473
93.800003, 87.177, -14.6898
95.000000, 87.116, -14.7788
96.199997, 87.057, -14.8940
97.500000, 87.006, -14.9962
98.800003, 86.959, -15.0991
100.000000, 86.905, -15.1847
101.500000, 86.826, -15.2761
103.000000, 86.759, -15.3513
104.400002, 86.701, -15.3935
106.000000, 86.632, -15.4073
107.500000, 86.566, -15.4022
109.000000, 86.506, -15.4110
110.599998, 86.440, -15.4259
112.000000, 86.374, -15.4605
113.800003, 86.305, -15.4762
115.000000, 86.256, -15.4938
117.199997, 86.152, -15.4966
118.000000, 86.115, -15.4931
120.599998, 86.012, -15.4412
122.000000, 85.957, -15.3547
124.099998, 85.867, -15.2032
125.000000, 85.829, -15.1370
126.500000, 85.770, -15.0513
128.000000, 85.706, -15.0317
131.500000, 85.553, -15.0343
132.000000, 85.532, -15.0148
134.000000, 85.456, -14.8698
136.000000, 85.378, -14.6783
138.000000, 85.295, -14.5122
140.000000, 85.214, -14.3410
143.000000, 85.097, -14.1383
145.000000, 85.017, -14.0290
147.500000, 84.922, -13.8644
150.000000, 84.825, -13.6494
152.500000, 84.734, -13.4114
155.000000, 84.643, -13.1915
157.500000, 84.547, -12.9414
160.000000, 84.452, -12.6939
162.500000, 84.355, -12.4332
165.000000, 84.259, -12.1267
167.500000, 84.162, -11.8387
170.000000, 84.064, -11.5385
172.500000, 83.964, -11.2022
175.000000, 83.869, -10.7703
177.500000, 83.770, -10.2978
180.000000, 83.663, -9.8432
182.500000, 83.546, -9.4013
185.000000, 83.418, -8.8928
187.500000, 83.298, -8.1639
190.000000, 83.217, -7.1945
192.500000, 83.199, -6.1350
195.000000, 83.240, -5.0997
197.500000, 83.301, -4.3899
200.000000, 83.351, -4.1567
203.000000, 83.358, -4.1599
206.000000, 83.308, -4.0285
209.000000, 83.250, -4.0224
212.000000, 83.194, -3.8931
214.000000, 83.148, -3.7196
218.000000, 83.043, -3.3229
220.000000, 82.989, -3.0828
224.000000, 82.895, -2.5449
227.000000, 82.826, -2.1340
230.000000, 82.758, -1.6746
233.000000, 82.691, -1.1618
236.000000, 82.620, -0.6945
240.000000, 82.537, -0.1833
243.000000, 82.482, 0.2827
247.000000, 82.399, 1.0189
250.000000, 82.340, 1.5299
254.000000, 82.274, 2.1907
258.000000, 82.208, 2.9052
262.000000, 82.139, 3.5926
265.000000, 82.089, 4.1106
269.000000, 82.029, 4.8234
272.000000, 81.986, 5.3452
276.000000, 81.934, 6.0612
280.000000, 81.885, 6.7765
285.000000, 81.822, 7.6403
290.000000, 81.762, 8.5174
295.000000, 81.708, 9.3747
300.000000, 81.657, 10.2521
304.000000, 81.617, 10.9472
307.000000, 81.587, 11.4592
311.000000, 81.547, 12.1313
315.000000, 81.511, 12.8205
320.000000, 81.473, 13.6973
325.000000, 81.437, 14.5315
330.000000, 81.402, 15.3505
335.000000, 81.369, 16.1687
340.000000, 81.340, 16.9884
345.000000, 81.309, 17.8096
350.000000, 81.277, 18.6294
355.000000, 81.252, 19.4517
360.000000, 81.234, 20.2438
365.000000, 81.212, 21.0156
370.000000, 81.189, 21.7970
375.000000, 81.166, 22.5935
382.000000, 81.143, 23.6727
387.000000, 81.128, 24.4135
395.000000, 81.104, 25.5912
400.000000, 81.091, 26.3273
406.000000, 81.078, 27.1974
412.000000, 81.064, 28.0881
418.000000, 81.054, 28.9600
425.000000, 81.050, 29.9530
431.000000, 81.049, 30.7894
437.000000, 81.046, 31.6016
444.000000, 81.043, 32.5085
450.000000, 81.039, 33.2998
455.000000, 81.036, 33.9420
462.000000, 81.033, 34.8006
468.000000, 81.033, 35.5573
475.000000, 81.029, 36.4518
482.000000, 81.024, 37.3433
487.000000, 81.021, 37.9720
494.000000, 81.016, 38.8486
500.000000, 81.014, 39.5639
508.000000, 81.011, 40.5083
515.000000, 81.007, 41.3529
522.000000, 81.006, 42.1900
530.000000, 81.006, 43.1463
538.000000, 81.007, 44.1347
545.000000, 81.010, 44.9879
552.000000, 81.014, 45.8341
560.000000, 81.021, 46.8025
570.000000, 81.038, 47.9685
580.000000, 81.055, 49.0769
590.000000, 81.070, 50.1360
600.000000, 81.077, 51.1624
608.000000, 81.081, 52.0053
615.000000, 81.087, 52.7567
622.000000, 81.093, 53.4751
630.000000, 81.098, 54.3145
640.000000, 81.105, 55.3949
650.000000, 81.111, 56.4345
660.000000, 81.115, 57.4871
670.000000, 81.121, 58.5461
680.000000, 81.126, 59.5983
690.000000, 81.134, 60.6585
700.000000, 81.140, 61.7353
710.000000, 81.147, 62.8055
720.000000, 81.156, 63.8725
730.000000, 81.168, 64.9221
740.000000, 81.181, 65.9791
750.000000, 81.196, 67.0637
762.000000, 81.215, 68.3730
775.000000, 81.237, 69.7962
788.000000, 81.264, 71.2297
800.000000, 81.289, 72.5290
812.000000, 81.317, 73.8411
825.000000, 81.353, 75.2803
838.000000, 81.391, 76.7160
850.000000, 81.432, 78.0387
862.000000, 81.478, 79.3592
875.000000, 81.533, 80.7665
885.000000, 81.579, 81.8615
900.000000, 81.650, 83.5098
912.000000, 81.714, 84.8035
925.000000, 81.790, 86.2105
938.000000, 81.871, 87.5923
950.000000, 81.951, 88.8483
962.000000, 82.037, 90.0940
975.000000, 82.139, 91.4074
988.000000, 82.248, 92.6939
1000.000000, 82.352, 93.8549
1015.000000, 82.485, 95.2419
1030.000000, 82.627, 96.5614
1044.000000, 82.765, 97.7409
1060.000000, 82.930, 99.0033
1075.000000, 83.089, 100.0866
1090.000000, 83.251, 101.0813
1106.000000, 83.422, 102.0177
1120.000000, 83.568, 102.7472
1138.000000, 83.750, 103.6004
1150.000000, 83.866, 104.1027
1172.000000, 84.066, 104.9164
1180.000000, 84.134, 105.1936
1206.000000, 84.338, 106.0237
1220.000000, 84.433, 106.4309
1241.000000, 84.565, 106.9934
1250.000000, 84.617, 107.2341
1265.000000, 84.699, 107.6449
1280.000000, 84.776, 108.0473
1315.000000, 84.931, 108.9964
1320.000000, 84.951, 109.1353
1340.000000, 85.027, 109.7059
1360.000000, 85.096, 110.2887
1380.000000, 85.160, 110.8921
1400.000000, 85.219, 111.4918
1430.000000, 85.302, 112.4331
1450.000000, 85.351, 113.0964
1475.000000, 85.408, 113.9543
1500.000000, 85.467, 114.8352
1525.000000, 85.522, 115.7245
1550.000000, 85.576, 116.6120
1575.000000, 85.631, 117.5417
1600.000000, 85.685, 118.5029
1625.000000, 85.738, 119.4640
1650.000000, 85.794, 120.4240
1675.000000, 85.851, 121.4043
1700.000000, 85.908, 122.3998
1725.000000, 85.967, 123.3941
1750.000000, 86.027, 124.3897
1775.000000, 86.089, 125.3912
1800.000000, 86.154, 126.3905
1825.000000, 86.220, 127.3798
1850.000000, 86.289, 128.3746
1875.000000, 86.362, 129.3623
1900.000000, 86.436, 130.3346
1925.000000, 86.511, 131.2954
1950.000000, 86.588, 132.2407
1975.000000, 86.669, 133.1859
2000.000000, 86.752, 134.1244
2030.000000, 86.854, 135.2094
2060.000000, 86.958, 136.2733
2090.000000, 87.067, 137.3217
2120.000000, 87.178, 138.3398
2140.000000, 87.253, 138.9927
2180.000000, 87.405, 140.2431
2200.000000, 87.483, 140.8510
2240.000000, 87.643, 142.0331
2270.000000, 87.766, 142.8730
2300.000000, 87.889, 143.6711
2330.000000, 88.013, 144.4338
2360.000000, 88.138, 145.1624
2400.000000, 88.307, 146.0638
