* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result (A + B) / 2
* Format: Trace Arithmetic result (A + B) / 2
* Dated: Nov 9, 2024 4:21:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A,B average A = Bluelover (Stock M) L B = Bluelover (10ohm, M) S2 L 
* Measurement: Bluelover (10ohm AVG, S M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.127, 8.7128
20.600000, 84.128, 8.2495
20.900000, 84.125, 7.7523
21.200001, 84.123, 7.2523
21.400000, 84.122, 6.9161
21.799999, 84.122, 6.2364
22.000000, 84.122, 5.8953
22.400000, 84.120, 5.2212
22.700001, 84.116, 4.7306
23.000000, 84.109, 4.2557
23.299999, 84.102, 3.7933
23.600000, 84.095, 3.3366
24.000000, 84.088, 2.7234
24.299999, 84.084, 2.2547
24.700001, 84.078, 1.6199
25.000000, 84.074, 1.1437
25.400000, 84.065, 0.5219
25.799999, 84.053, -0.0744
26.200001, 84.037, -0.6437
26.500000, 84.025, -1.0564
26.900000, 84.009, -1.5942
27.200001, 83.997, -1.9913
27.600000, 83.982, -2.5139
28.000000, 83.968, -3.0276
28.500000, 83.950, -3.6544
29.000000, 83.927, -4.2631
29.500000, 83.899, -4.8568
30.000000, 83.867, -5.4443
30.400000, 83.843, -5.9170
30.700001, 83.825, -6.2750
31.100000, 83.802, -6.7539
31.500000, 83.780, -7.2261
32.000000, 83.749, -7.7893
32.500000, 83.716, -8.3152
33.000000, 83.682, -8.8206
33.500000, 83.650, -9.3352
34.000000, 83.619, -9.8712
34.500000, 83.586, -10.4103
35.000000, 83.550, -10.9210
35.500000, 83.512, -11.3906
36.000000, 83.474, -11.8364
36.500000, 83.436, -12.2879
37.000000, 83.398, -12.7603
37.500000, 83.360, -13.2463
38.200001, 83.307, -13.9175
38.700001, 83.269, -14.3757
39.500000, 83.206, -15.0650
40.000000, 83.165, -15.4695
40.599998, 83.118, -15.9335
41.200001, 83.072, -16.3812
41.799999, 83.023, -16.8132
42.500000, 82.961, -17.2963
43.099998, 82.907, -17.7036
