* Measurement data measured by REW V5.31.3
* Source: Trace Arithmetic result (A + B) / 2
* Format: Trace Arithmetic result (A + B) / 2
* Dated: Nov 9, 2024 4:21:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Trace Arithmetic A,B average A = Bluelover (Stock M) L B = Bluelover (10ohm, M) S2 L
* Measurement: Bluelover (10ohm AVG, S M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 82.784, 8.7128
20.600000, 82.785, 8.2495
20.900000, 82.782, 7.7523
21.200001, 82.780, 7.2523
21.400000, 82.779, 6.9161
21.799999, 82.779, 6.2364
22.000000, 82.779, 5.8953
22.400000, 82.777, 5.2212
22.700001, 82.773, 4.7306
23.000000, 82.766, 4.2557
23.299999, 82.759, 3.7933
23.600000, 82.752, 3.3366
24.000000, 82.745, 2.7234
24.299999, 82.741, 2.2547
24.700001, 82.736, 1.6199
25.000000, 82.731, 1.1437
25.400000, 82.722, 0.5219
25.799999, 82.710, -0.0744
26.200001, 82.694, -0.6437
26.500000, 82.682, -1.0564
26.900000, 82.666, -1.5942
27.200001, 82.654, -1.9913
27.600000, 82.639, -2.5139
28.000000, 82.625, -3.0276
28.500000, 82.607, -3.6544
29.000000, 82.584, -4.2631
29.500000, 82.556, -4.8568
30.000000, 82.524, -5.4443
30.400000, 82.500, -5.9170
30.700001, 82.482, -6.2750
31.100000, 82.459, -6.7539
31.500000, 82.437, -7.2261
32.000000, 82.406, -7.7893
32.500000, 82.373, -8.3152
33.000000, 82.339, -8.8206
33.500000, 82.307, -9.3352
34.000000, 82.276, -9.8712
34.500000, 82.243, -10.4103
35.000000, 82.207, -10.9210
35.500000, 82.169, -11.3906
36.000000, 82.131, -11.8364
36.500000, 82.093, -12.2879
37.000000, 82.055, -12.7603
37.500000, 82.017, -13.2463
38.200001, 81.964, -13.9175
38.700001, 81.926, -14.3757
39.500000, 81.863, -15.0650
40.000000, 81.822, -15.4695
40.599998, 81.775, -15.9335
41.200001, 81.729, -16.3812
41.799999, 81.680, -16.8132
42.500000, 81.618, -17.2963
43.099998, 81.564, -17.7036
