* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 4, 2024 11:23:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (10ohm, M) S2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.256, 6.9762
20.600000, 84.256, 6.5089
20.900000, 84.252, 6.0149
21.200001, 84.248, 5.5279
21.400000, 84.247, 5.2046
21.799999, 84.245, 4.5524
22.000000, 84.245, 4.2216
22.400000, 84.242, 3.5538
22.700001, 84.238, 3.0542
23.000000, 84.231, 2.5625
23.299999, 84.222, 2.0819
23.600000, 84.214, 1.6118
24.000000, 84.206, 0.9943
24.299999, 84.201, 0.5328
24.700001, 84.197, -0.0835
25.000000, 84.192, -0.5439
25.400000, 84.184, -1.1485
25.799999, 84.173, -1.7369
26.200001, 84.160, -2.3095
26.500000, 84.149, -2.7319
26.900000, 84.134, -3.2894
27.200001, 84.124, -3.7035
27.600000, 84.109, -4.2468
28.000000, 84.093, -4.7738
28.500000, 84.069, -5.4018
29.000000, 84.040, -5.9951
29.500000, 84.007, -6.5664
30.000000, 83.975, -7.1391
30.400000, 83.951, -7.6124
30.700001, 83.934, -7.9778
31.100000, 83.911, -8.4709
31.500000, 83.888, -8.9554
32.000000, 83.855, -9.5246
32.500000, 83.819, -10.0466
33.000000, 83.782, -10.5420
33.500000, 83.746, -11.0418
34.000000, 83.711, -11.5612
34.500000, 83.676, -12.0919
35.000000, 83.640, -12.6139
35.500000, 83.602, -13.1139
36.000000, 83.563, -13.5940
36.500000, 83.523, -14.0680
37.000000, 83.483, -14.5481
37.500000, 83.443, -15.0376
38.200001, 83.390, -15.7315
38.700001, 83.353, -16.2256
39.500000, 83.290, -16.9806
40.000000, 83.248, -17.4023
40.599998, 83.199, -17.8488
