* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 4, 2024 10:18:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (10ohm, Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.057, 10.5796
20.600000, 84.044, 10.0138
20.900000, 84.024, 9.3979
21.200001, 84.004, 8.7838
21.400000, 83.994, 8.3792
21.799999, 83.981, 7.5856
22.000000, 83.977, 7.1993
22.400000, 83.968, 6.4593
22.700001, 83.956, 5.9435
23.000000, 83.937, 5.4662
23.299999, 83.914, 5.0221
23.600000, 83.890, 4.5951
24.000000, 83.863, 4.0134
24.299999, 83.849, 3.5443
24.700001, 83.836, 2.8692
25.000000, 83.826, 2.3441
25.400000, 83.808, 1.6646
25.799999, 83.781, 1.0470
26.200001, 83.747, 0.4917
26.500000, 83.720, 0.0914
26.900000, 83.684, -0.4618
27.200001, 83.659, -0.9055
27.600000, 83.627, -1.5206
28.000000, 83.596, -2.1118
28.500000, 83.562, -2.7343
29.000000, 83.530, -3.2118
29.500000, 83.497, -3.6408
30.000000, 83.454, -4.1559
30.400000, 83.412, -4.6741
30.700001, 83.377, -5.1120
31.100000, 83.328, -5.7134
31.500000, 83.282, -6.2727
32.000000, 83.233, -6.8487
32.500000, 83.195, -7.3064
33.000000, 83.159, -7.7419
33.500000, 83.115, -8.2401
34.000000, 83.061, -8.8005
34.500000, 83.007, -9.3578
35.000000, 82.966, -9.8685
35.500000, 82.940, -10.3660
36.000000, 82.914, -10.9154
36.500000, 82.871, -11.5285
37.000000, 82.808, -12.1425
37.500000, 82.740, -12.6839
38.200001, 82.669, -13.3048
38.700001, 82.635, -13.7038
39.500000, 82.566, -14.2885
40.000000, 82.508, -14.6028
40.599998, 82.437, -14.9962
41.200001, 82.377, -15.5315
41.799999, 82.321, -16.2218
42.500000, 82.253, -17.0366
43.099998, 82.199, -17.6157
43.700001, 82.144, -18.0994
44.400002, 82.057, -18.5637
45.000000, 81.960, -18.8203
45.500000, 81.888, -18.9722
46.200001, 81.830, -19.3670
46.799999, 81.797, -20.0128
47.500000, 81.721, -20.7744
48.200001, 81.614, -21.0492
48.700001, 81.550, -21.0205
49.400002, 81.483, -21.1336
50.000000, 81.418, -21.5470
50.799999, 81.314, -22.2174
51.500000, 81.245, -22.6707
52.200001, 81.199, -23.0622
53.000000, 81.144, -23.4883
53.799999, 81.080, -23.8698
54.500000, 81.012, -24.2048
55.200001, 80.927, -24.5540
56.000000, 80.813, -24.9573
57.000000, 80.677, -25.4450
58.000000, 80.558, -25.9239
59.000000, 80.426, -26.3949
60.000000, 80.301, -26.6402
60.799999, 80.237, -26.7806
61.500000, 80.180, -26.9878
62.200001, 80.109, -27.2523
63.000000, 80.022, -27.6420
64.000000, 79.897, -28.1955
65.000000, 79.767, -28.4573
66.000000, 79.672, -28.4880
67.000000, 79.583, -28.4932
68.000000, 79.477, -28.5428
69.000000, 79.367, -28.7041
70.000000, 79.285, -28.8351
71.000000, 79.213, -28.9853
72.000000, 79.107, -29.2939
73.000000, 78.982, -29.5829
74.000000, 78.864, -29.5104
75.000000, 78.750, -29.1990
76.199997, 78.626, -29.1650
77.500000, 78.516, -29.5307
78.800003, 78.355, -29.8639
80.000000, 78.184, -30.1704
81.199997, 78.052, -30.2036
82.500000, 77.950, -29.9140
83.800003, 77.830, -29.9729
85.000000, 77.699, -30.0127
86.199997, 77.596, -29.8554
87.500000, 77.492, -29.7756
88.500000, 77.390, -29.6416
90.000000, 77.238, -29.3770
91.199997, 77.130, -29.3154
92.500000, 76.991, -29.1072
93.800003, 76.851, -28.9193
95.000000, 76.740, -28.9019
96.199997, 76.655, -28.7483
97.500000, 76.563, -28.5089
98.800003, 76.450, -28.1315
100.000000, 76.321, -27.7560
101.500000, 76.165, -27.5336
103.000000, 76.046, -27.3455
104.400002, 75.940, -27.0958
106.000000, 75.821, -26.7274
107.500000, 75.710, -26.2285
109.000000, 75.622, -25.8506
110.599998, 75.496, -25.6024
112.000000, 75.360, -25.3382
113.800003, 75.246, -24.5650
115.000000, 75.188, -24.0389
117.199997, 75.016, -23.2962
118.000000, 74.946, -23.0545
120.599998, 74.774, -22.0249
122.000000, 74.699, -21.3591
124.099998, 74.604, -20.5279
125.000000, 74.556, -20.1347
126.500000, 74.494, -19.5252
128.000000, 74.437, -19.0580
131.500000, 74.225, -18.0214
132.000000, 74.194, -17.8897
134.000000, 74.081, -17.1805
136.000000, 73.987, -16.2771
138.000000, 73.892, -15.4435
140.000000, 73.811, -14.5467
143.000000, 73.715, -13.3176
