* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 4, 2024 11:23:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Bluelover (10ohm, M) S2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 77.630, 6.9762
20.600000, 77.630, 6.5089
20.900000, 77.626, 6.0149
21.200001, 77.622, 5.5279
21.400000, 77.620, 5.2046
21.799999, 77.619, 4.5524
22.000000, 77.619, 4.2216
22.400000, 77.616, 3.5538
22.700001, 77.611, 3.0542
23.000000, 77.604, 2.5625
23.299999, 77.596, 2.0819
23.600000, 77.588, 1.6118
24.000000, 77.580, 0.9943
24.299999, 77.575, 0.5328
24.700001, 77.571, -0.0835
25.000000, 77.566, -0.5439
25.400000, 77.558, -1.1485
25.799999, 77.547, -1.7369
26.200001, 77.533, -2.3095
26.500000, 77.523, -2.7319
26.900000, 77.508, -3.2894
27.200001, 77.497, -3.7035
27.600000, 77.483, -4.2468
28.000000, 77.467, -4.7738
28.500000, 77.443, -5.4018
29.000000, 77.414, -5.9951
29.500000, 77.381, -6.5664
30.000000, 77.348, -7.1391
30.400000, 77.324, -7.6124
30.700001, 77.308, -7.9778
31.100000, 77.285, -8.4709
31.500000, 77.262, -8.9554
32.000000, 77.229, -9.5246
32.500000, 77.193, -10.0466
33.000000, 77.156, -10.5420
33.500000, 77.120, -11.0418
34.000000, 77.085, -11.5612
34.500000, 77.050, -12.0919
35.000000, 77.014, -12.6139
35.500000, 76.976, -13.1139
36.000000, 76.937, -13.5940
36.500000, 76.897, -14.0680
37.000000, 76.857, -14.5481
37.500000, 76.817, -15.0376
38.200001, 76.764, -15.7315
38.700001, 76.727, -16.2256
39.500000, 76.664, -16.9806
40.000000, 76.622, -17.4023
40.599998, 76.573, -17.8488
41.200001, 76.529, -18.2619
41.799999, 76.484, -18.6726
42.500000, 76.421, -19.1358
43.099998, 76.360, -19.5060
43.700001, 76.302, -19.8882
44.400002, 76.235, -20.3995
45.000000, 76.176, -20.8672
45.500000, 76.126, -21.2415
46.200001, 76.064, -21.7376
46.799999, 76.014, -22.1607
47.500000, 75.952, -22.6316
48.200001, 75.882, -23.0299
48.700001, 75.831, -23.2857
49.400002, 75.758, -23.6714
50.000000, 75.693, -24.0524
50.799999, 75.605, -24.5637
51.500000, 75.535, -24.9311
52.200001, 75.471, -25.2245
53.000000, 75.394, -25.5689
53.799999, 75.308, -25.9788
54.500000, 75.233, -26.3404
55.200001, 75.162, -26.6496
56.000000, 75.081, -26.9528
57.000000, 74.967, -27.3681
58.000000, 74.858, -27.8363
59.000000, 74.780, -28.2375
60.000000, 74.693, -28.5996
60.799999, 74.595, -28.8647
61.500000, 74.509, -29.0774
62.200001, 74.433, -29.2986
63.000000, 74.351, -29.5462
64.000000, 74.244, -29.8341
65.000000, 74.139, -30.1647
66.000000, 74.029, -30.4061
