* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 4, 2025 2:11:10 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (5ohm Azla Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 90.746, 9.7694
20.600000, 90.746, 9.2039
20.900000, 90.743, 8.5759
21.200001, 90.739, 7.9497
21.400000, 90.736, 7.5344
21.799999, 90.729, 6.7091
22.000000, 90.725, 6.3010
22.400000, 90.714, 5.5021
22.700001, 90.704, 4.9227
23.000000, 90.693, 4.3602
23.299999, 90.681, 3.8098
23.600000, 90.669, 3.2643
24.000000, 90.653, 2.5356
24.299999, 90.639, 1.9869
24.700001, 90.619, 1.2602
25.000000, 90.602, 0.7270
25.400000, 90.578, 0.0391
25.799999, 90.554, -0.6238
26.200001, 90.531, -1.2720
26.500000, 90.514, -1.7548
26.900000, 90.491, -2.3968
27.200001, 90.472, -2.8744
27.600000, 90.446, -3.4994
28.000000, 90.418, -4.1061
28.500000, 90.384, -4.8407
29.000000, 90.350, -5.5599
29.500000, 90.314, -6.2701
30.000000, 90.275, -6.9652
30.400000, 90.242, -7.5033
30.700001, 90.217, -7.8953
31.100000, 90.183, -8.4060
31.500000, 90.151, -8.9107
32.000000, 90.109, -9.5436
32.500000, 90.066, -10.1771
33.000000, 90.019, -10.7950
33.500000, 89.971, -11.3814
34.000000, 89.926, -11.9379
34.500000, 89.883, -12.4828
35.000000, 89.840, -13.0321
35.500000, 89.796, -13.5847
36.000000, 89.747, -14.1276
36.500000, 89.697, -14.6514
37.000000, 89.647, -15.1584
37.500000, 89.596, -15.6550
38.200001, 89.525, -16.3362
38.700001, 89.473, -16.8117
39.500000, 89.391, -17.5573
40.000000, 89.339, -18.0123
40.599998, 89.276, -18.5391
41.200001, 89.213, -19.0451
41.799999, 89.150, -19.5411
42.500000, 89.075, -20.1129
43.099998, 89.010, -20.5888
43.700001, 88.944, -21.0483
44.400002, 88.866, -21.5646
45.000000, 88.796, -21.9791
45.500000, 88.738, -22.2972
46.200001, 88.657, -22.7185
46.799999, 88.590, -23.0929
47.500000, 88.512, -23.5699
48.200001, 88.432, -24.0649
48.700001, 88.376, -24.4009
49.400002, 88.299, -24.8232
50.000000, 88.233, -25.1508
50.799999, 88.142, -25.5788
51.500000, 88.059, -25.9669
52.200001, 87.976, -26.3626
53.000000, 87.882, -26.7877
53.799999, 87.787, -27.1500
54.500000, 87.708, -27.4587
55.200001, 87.628, -27.7971
