* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 4, 2025 2:22:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (5ohm, Final E M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 90.938, 4.0338
20.600000, 90.932, 3.5472
20.900000, 90.922, 2.9971
21.200001, 90.913, 2.4366
21.400000, 90.908, 2.0592
21.799999, 90.899, 1.3016
22.000000, 90.895, 0.9270
22.400000, 90.884, 0.2021
22.700001, 90.872, -0.3123
23.000000, 90.858, -0.8015
23.299999, 90.842, -1.2732
23.600000, 90.825, -1.7385
24.000000, 90.800, -2.3651
24.299999, 90.781, -2.8443
24.700001, 90.756, -3.4891
25.000000, 90.737, -3.9677
25.400000, 90.713, -4.5888
25.799999, 90.690, -5.1889
26.200001, 90.667, -5.7765
26.500000, 90.648, -6.2151
26.900000, 90.620, -6.7997
27.200001, 90.596, -7.2350
27.600000, 90.563, -7.8039
28.000000, 90.530, -8.3534
28.500000, 90.491, -9.0143
29.000000, 90.456, -9.6588
29.500000, 90.420, -10.2985
30.000000, 90.380, -10.9331
30.400000, 90.346, -11.4305
30.700001, 90.319, -11.7942
31.100000, 90.284, -12.2655
31.500000, 90.250, -12.7232
32.000000, 90.208, -13.2828
32.500000, 90.163, -13.8326
33.000000, 90.114, -14.3702
33.500000, 90.063, -14.8934
34.000000, 90.014, -15.4104
34.500000, 89.969, -15.9372
35.000000, 89.926, -16.4788
35.500000, 89.881, -17.0177
36.000000, 89.831, -17.5275
36.500000, 89.779, -17.9982
37.000000, 89.727, -18.4448
37.500000, 89.678, -18.8875
38.200001, 89.608, -19.5030
38.700001, 89.558, -19.9262
39.500000, 89.479, -20.5853
40.000000, 89.430, -21.0099
40.599998, 89.368, -21.5328
41.200001, 89.304, -22.0389
41.799999, 89.239, -22.5019
42.500000, 89.159, -22.9912
43.099998, 89.089, -23.3917
43.700001, 89.018, -23.8016
44.400002, 88.939, -24.3057
45.000000, 88.874, -24.7420
45.500000, 88.819, -25.0892
46.200001, 88.742, -25.5435
46.799999, 88.674, -25.9154
47.500000, 88.595, -26.3312
48.200001, 88.521, -26.7098
48.700001, 88.470, -26.9590
49.400002, 88.400, -27.3103
50.000000, 88.335, -27.6436
50.799999, 88.239, -28.1267
51.500000, 88.147, -28.5275
52.200001, 88.056, -28.8747
53.000000, 87.957, -29.2435
53.799999, 87.866, -29.6040
54.500000, 87.800, -29.8882
55.200001, 87.742, -30.1505
56.000000, 87.657, -30.4269
57.000000, 87.513, -30.6914
58.000000, 87.379, -31.0509
59.000000, 87.263, -31.5596
60.000000, 87.147, -31.8984
60.799999, 87.055, -32.0952
61.500000, 86.972, -32.2965
62.200001, 86.886, -32.4947
63.000000, 86.791, -32.6779
64.000000, 86.671, -32.8946
65.000000, 86.547, -33.1493
66.000000, 86.429, -33.3879
67.000000, 86.317, -33.5510
68.000000, 86.202, -33.6726
69.000000, 86.078, -33.7891
70.000000, 85.957, -33.8912
71.000000, 85.848, -34.0194
72.000000, 85.738, -34.1642
73.000000, 85.620, -34.2386
74.000000, 85.500, -34.2787
75.000000, 85.379, -34.3345
76.199997, 85.242, -34.3825
77.500000, 85.099, -34.3961
78.800003, 84.956, -34.3642
80.000000, 84.823, -34.3216
81.199997, 84.690, -34.2737
