* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: May 24, 2025 2:58:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (5ohm, Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 90.788, 14.4173
20.600000, 90.792, 13.8261
20.900000, 90.793, 13.1648
21.200001, 90.793, 12.5010
21.400000, 90.794, 12.0597
21.799999, 90.794, 11.1830
22.000000, 90.794, 10.7506
22.400000, 90.793, 9.9058
22.700001, 90.791, 9.2925
23.000000, 90.787, 8.6955
23.299999, 90.781, 8.1108
23.600000, 90.775, 7.5338
24.000000, 90.763, 6.7721
24.299999, 90.753, 6.2066
24.700001, 90.737, 5.4631
25.000000, 90.726, 4.9143
25.400000, 90.710, 4.1929
25.799999, 90.695, 3.4788
26.200001, 90.679, 2.7704
26.500000, 90.666, 2.2452
26.900000, 90.647, 1.5596
27.200001, 90.632, 1.0602
27.600000, 90.612, 0.4153
28.000000, 90.592, -0.2101
28.500000, 90.567, -0.9754
29.000000, 90.538, -1.7304
29.500000, 90.506, -2.4740
30.000000, 90.471, -3.2022
30.400000, 90.442, -3.7736
30.700001, 90.421, -4.1966
31.100000, 90.392, -4.7535
31.500000, 90.363, -5.3005
32.000000, 90.326, -5.9659
32.500000, 90.288, -6.6083
33.000000, 90.249, -7.2309
33.500000, 90.210, -7.8423
34.000000, 90.171, -8.4496
34.500000, 90.132, -9.0545
35.000000, 90.091, -9.6527
35.500000, 90.049, -10.2379
36.000000, 90.006, -10.8065
36.500000, 89.964, -11.3588
37.000000, 89.921, -11.8961
37.500000, 89.878, -12.4182
38.200001, 89.814, -13.1236
38.700001, 89.766, -13.6139
39.500000, 89.688, -14.3920
40.000000, 89.639, -14.8770
40.599998, 89.580, -15.4491
41.200001, 89.522, -16.0020
41.799999, 89.463, -16.5353
42.500000, 89.392, -17.1383
43.099998, 89.330, -17.6395
43.700001, 89.267, -18.1268
44.400002, 89.197, -18.6848
45.000000, 89.138, -19.1537
45.500000, 89.088, -19.5306
46.200001, 89.014, -20.0322
46.799999, 88.950, -20.4513
47.500000, 88.874, -20.9466
48.200001, 88.798, -21.4405
48.700001, 88.744, -21.7802
49.400002, 88.669, -22.2340
50.000000, 88.604, -22.6086
50.799999, 88.515, -23.0894
51.500000, 88.436, -23.4927
52.200001, 88.358, -23.8846
53.000000, 88.269, -24.3189
53.799999, 88.181, -24.7397
54.500000, 88.103, -25.1042
55.200001, 88.025, -25.4653
56.000000, 87.934, -25.8614
57.000000, 87.820, -26.3143
58.000000, 87.708, -26.7305
59.000000, 87.596, -27.1354
60.000000, 87.481, -27.5202
60.799999, 87.388, -27.8151
61.500000, 87.307, -28.0713
62.200001, 87.226, -28.3209
63.000000, 87.134, -28.5886
64.000000, 87.017, -28.9037
65.000000, 86.903, -29.2022
66.000000, 86.792, -29.4721
67.000000, 86.679, -29.7224
68.000000, 86.561, -29.9520
69.000000, 86.446, -30.1457
70.000000, 86.333, -30.3213
71.000000, 86.219, -30.4948
72.000000, 86.107, -30.6669
73.000000, 85.995, -30.8093
74.000000, 85.881, -30.9225
75.000000, 85.765, -31.0408
76.199997, 85.629, -31.1488
77.500000, 85.486, -31.2052
78.800003, 85.346, -31.2596
80.000000, 85.216, -31.3043
81.199997, 85.081, -31.3266
82.500000, 84.937, -31.3156
83.800003, 84.798, -31.2772
85.000000, 84.669, -31.2372
86.199997, 84.542, -31.1758
87.500000, 84.406, -31.0589
88.500000, 84.300, -30.9401
90.000000, 84.147, -30.7746
91.199997, 84.027, -30.6094
92.500000, 83.896, -30.3919
93.800003, 83.768, -30.2016
95.000000, 83.651, -30.0279
96.199997, 83.535, -29.8141
97.500000, 83.412, -29.5547
98.800003, 83.290, -29.2669
100.000000, 83.181, -28.9765
101.500000, 83.045, -28.5832
103.000000, 82.913, -28.1843
104.400002, 82.793, -27.8320
106.000000, 82.654, -27.4013
107.500000, 82.524, -26.9606
109.000000, 82.402, -26.4584
110.599998, 82.282, -25.9034
112.000000, 82.177, -25.4342
113.800003, 82.041, -24.8186
115.000000, 81.953, -24.3988
117.199997, 81.800, -23.5780
118.000000, 81.746, -23.2663
120.599998, 81.579, -22.2760
122.000000, 81.492, -21.7643
124.099998, 81.365, -20.9260
125.000000, 81.312, -20.5540
126.500000, 81.228, -19.9245
128.000000, 81.151, -19.3027
131.500000, 80.987, -17.8666
132.000000, 80.964, -17.6469
134.000000, 80.872, -16.7609
136.000000, 80.788, -15.9055
138.000000, 80.712, -15.0739
140.000000, 80.645, -14.2438
143.000000, 80.546, -12.9582
145.000000, 80.487, -12.0965
147.500000, 80.427, -11.0175
150.000000, 80.369, -9.9902
152.500000, 80.320, -8.9850
155.000000, 80.276, -7.9950
157.500000, 80.238, -7.0113
160.000000, 80.206, -6.0244
162.500000, 80.177, -5.0473
165.000000, 80.156, -4.1593
167.500000, 80.138, -3.2581
170.000000, 80.119, -2.3785
172.500000, 80.105, -1.5253
175.000000, 80.095, -0.6677
177.500000, 80.087, 0.1689
180.000000, 80.089, 0.9494
182.500000, 80.091, 1.6838
185.000000, 80.095, 2.4388
187.500000, 80.104, 3.2051
190.000000, 80.115, 3.9261
192.500000, 80.126, 4.6029
195.000000, 80.134, 5.2655
197.500000, 80.144, 5.9022
200.000000, 80.157, 6.4984
203.000000, 80.173, 7.2153
206.000000, 80.192, 7.9227
209.000000, 80.211, 8.5772
212.000000, 80.230, 9.2157
214.000000, 80.241, 9.6405
218.000000, 80.262, 10.4515
220.000000, 80.275, 10.8277
224.000000, 80.303, 11.5960
227.000000, 80.323, 12.1564
230.000000, 80.345, 12.6967
233.000000, 80.369, 13.2141
236.000000, 80.390, 13.7185
240.000000, 80.417, 14.3434
243.000000, 80.435, 14.8065
247.000000, 80.454, 15.4497
250.000000, 80.470, 15.8803
254.000000, 80.494, 16.4118
258.000000, 80.517, 16.9688
262.000000, 80.538, 17.5083
265.000000, 80.554, 17.8545
269.000000, 80.576, 18.3301
272.000000, 80.592, 18.6948
276.000000, 80.610, 19.1741
280.000000, 80.623, 19.6586
285.000000, 80.638, 20.2078
290.000000, 80.657, 20.7489
295.000000, 80.680, 21.3029
300.000000, 80.696, 21.8124
304.000000, 80.704, 22.2290
307.000000, 80.710, 22.5345
311.000000, 80.720, 22.9257
315.000000, 80.732, 23.3260
320.000000, 80.743, 23.8227
325.000000, 80.752, 24.2826
330.000000, 80.759, 24.7453
335.000000, 80.767, 25.2104
340.000000, 80.774, 25.6974
345.000000, 80.779, 26.1453
350.000000, 80.785, 26.5640
355.000000, 80.788, 27.0151
360.000000, 80.787, 27.4640
365.000000, 80.788, 27.8938
370.000000, 80.789, 28.3261
375.000000, 80.789, 28.7479
382.000000, 80.789, 29.3529
387.000000, 80.788, 29.7881
395.000000, 80.785, 30.4759
400.000000, 80.784, 30.8831
406.000000, 80.778, 31.3707
412.000000, 80.772, 31.8745
418.000000, 80.768, 32.3762
425.000000, 80.761, 32.9805
431.000000, 80.752, 33.4947
437.000000, 80.743, 33.9891
444.000000, 80.732, 34.5682
450.000000, 80.726, 35.0817
455.000000, 80.722, 35.4892
462.000000, 80.712, 36.0500
468.000000, 80.701, 36.5571
475.000000, 80.692, 37.1606
482.000000, 80.685, 37.7616
487.000000, 80.677, 38.1932
494.000000, 80.665, 38.7793
500.000000, 80.655, 39.2560
508.000000, 80.638, 39.9107
515.000000, 80.624, 40.5225
522.000000, 80.613, 41.1414
530.000000, 80.601, 41.8294
538.000000, 80.585, 42.5047
545.000000, 80.570, 43.0946
552.000000, 80.557, 43.6964
560.000000, 80.542, 44.3647
570.000000, 80.525, 45.2083
580.000000, 80.506, 46.0797
590.000000, 80.489, 46.9502
600.000000, 80.469, 47.8261
608.000000, 80.454, 48.5192
615.000000, 80.442, 49.1440
622.000000, 80.429, 49.7723
630.000000, 80.415, 50.4915
640.000000, 80.402, 51.4053
650.000000, 80.385, 52.3139
660.000000, 80.364, 53.2130
670.000000, 80.346, 54.1235
680.000000, 80.334, 55.0665
690.000000, 80.324, 56.0213
700.000000, 80.311, 56.9636
710.000000, 80.299, 57.9099
720.000000, 80.287, 58.8502
730.000000, 80.276, 59.7917
740.000000, 80.270, 60.7717
750.000000, 80.268, 61.7551
762.000000, 80.266, 62.9147
775.000000, 80.264, 64.1919
788.000000, 80.263, 65.4814
800.000000, 80.268, 66.6683
812.000000, 80.276, 67.8621
825.000000, 80.292, 69.1681
838.000000, 80.314, 70.4658
850.000000, 80.336, 71.6771
862.000000, 80.363, 72.8907
875.000000, 80.394, 74.2009
885.000000, 80.420, 75.2023
900.000000, 80.467, 76.6799
912.000000, 80.510, 77.8130
925.000000, 80.563, 79.0326
938.000000, 80.621, 80.2481
950.000000, 80.676, 81.3643
962.000000, 80.733, 82.4627
975.000000, 80.804, 83.6136
988.000000, 80.880, 84.7471
1000.000000, 80.951, 85.7607
1015.000000, 81.038, 86.9793
1030.000000, 81.131, 88.1574
1044.000000, 81.221, 89.2293
1060.000000, 81.325, 90.4118
1075.000000, 81.421, 91.4401
1090.000000, 81.519, 92.4089
1106.000000, 81.622, 93.4181
1120.000000, 81.709, 94.2632
1138.000000, 81.817, 95.2988
1150.000000, 81.889, 95.9538
1172.000000, 82.019, 97.0888
1180.000000, 82.064, 97.4885
1206.000000, 82.204, 98.7429
1220.000000, 82.275, 99.4032
1241.000000, 82.376, 100.3645
1250.000000, 82.418, 100.7618
1265.000000, 82.486, 101.4159
1280.000000, 82.549, 102.0663
1315.000000, 82.686, 103.5654
1320.000000, 82.705, 103.7803
1340.000000, 82.779, 104.6232
1360.000000, 82.849, 105.4682
1380.000000, 82.914, 106.3301
1400.000000, 82.976, 107.1841
1430.000000, 83.071, 108.4881
1450.000000, 83.132, 109.3511
1475.000000, 83.205, 110.4496
1500.000000, 83.277, 111.5598
1525.000000, 83.350, 112.6759
1550.000000, 83.423, 113.7995
1575.000000, 83.499, 114.9272
1600.000000, 83.581, 116.0588
1625.000000, 83.664, 117.2032
1650.000000, 83.750, 118.3426
1675.000000, 83.838, 119.4737
1700.000000, 83.930, 120.5857
1725.000000, 84.030, 121.6817
1750.000000, 84.133, 122.7578
1775.000000, 84.239, 123.8261
1800.000000, 84.348, 124.8784
1825.000000, 84.461, 125.8960
1850.000000, 84.577, 126.8650
1875.000000, 84.696, 127.8105
1900.000000, 84.819, 128.7291
1925.000000, 84.947, 129.6167
1950.000000, 85.076, 130.4688
1975.000000, 85.209, 131.2840
2000.000000, 85.346, 132.0548
2030.000000, 85.512, 132.9036
2060.000000, 85.681, 133.6930
2090.000000, 85.854, 134.4177
2120.000000, 86.030, 135.0596
2140.000000, 86.148, 135.4344
2180.000000, 86.386, 136.0623
2200.000000, 86.504, 136.3198
2240.000000, 86.740, 136.7086
2270.000000, 86.914, 136.8750
2300.000000, 87.085, 136.9322
2330.000000, 87.249, 136.8881
2360.000000, 87.405, 136.7326
2400.000000, 87.598, 136.3535
2430.000000, 87.728, 135.9402
2470.000000, 87.875, 135.2297
2500.000000, 87.964, 134.5924
2540.000000, 88.048, 133.6339
2580.000000, 88.087, 132.5994
2620.000000, 88.078, 131.5508
2650.000000, 88.038, 130.8018
2690.000000, 87.943, 129.9303
2720.000000, 87.846, 129.4187
2760.000000, 87.692, 128.9816
2800.000000, 87.528, 128.8458
2850.000000, 87.333, 129.0476
2900.000000, 87.172, 129.5154
2950.000000, 87.051, 130.0181
3000.000000, 86.955, 130.4123
3040.000000, 86.885, 130.5869
3070.000000, 86.831, 130.6460
3110.000000, 86.747, 130.6468
3150.000000, 86.645, 130.5746
3200.000000, 86.485, 130.4261
3250.000000, 86.280, 130.2871
3300.000000, 86.024, 130.2982
3350.000000, 85.722, 130.6441
3400.000000, 85.393, 131.4765
3450.000000, 85.074, 132.8160
3500.000000, 84.797, 134.5509
3550.000000, 84.571, 136.5006
3600.000000, 84.391, 138.5253
3650.000000, 84.248, 140.5362
3700.000000, 84.131, 142.5059
3750.000000, 84.032, 144.4294
3820.000000, 83.921, 147.0506
3870.000000, 83.858, 148.9050
3950.000000, 83.781, 151.8462
4000.000000, 83.750, 153.6609
4060.000000, 83.726, 155.8017
4120.000000, 83.719, 157.9010
4180.000000, 83.728, 159.9550
4250.000000, 83.758, 162.2815
4310.000000, 83.794, 164.2112
4370.000000, 83.840, 166.0990
4440.000000, 83.910, 168.2168
4500.000000, 83.978, 169.9821
4550.000000, 84.041, 171.4519
4620.000000, 84.146, 173.5176
4680.000000, 84.255, 175.2861
4750.000000, 84.418, 177.3491
4820.000000, 84.634, 179.3128
4870.000000, 84.822, -179.4514
4940.000000, 85.121, -178.0726
5000.000000, 85.397, -177.2906
5080.000000, 85.766, -176.8451
5150.000000, 86.067, -176.9742
5220.000000, 86.328, -177.5132
5300.000000, 86.573, -178.5154
5380.000000, 86.755, -179.7773
5450.000000, 86.868, 178.9902
5520.000000, 86.945, 177.6695
5600.000000, 87.000, 176.0290
5700.000000, 87.025, 173.5911
5800.000000, 86.949, 170.4394
5900.000000, 86.648, 166.6733
6000.000000, 86.026, 163.3391
6080.000000, 85.341, 161.9313
6150.000000, 84.696, 161.8955
6220.000000, 84.080, 162.8441
6300.000000, 83.463, 164.8215
6400.000000, 82.847, 168.1140
6500.000000, 82.398, 171.7983
6600.000000, 82.097, 175.5465
6700.000000, 81.907, 179.0942
6800.000000, 81.789, -177.5298
6900.000000, 81.744, -174.2969
7000.000000, 81.782, -171.2792
7100.000000, 81.899, -168.5648
7200.000000, 82.085, -166.2740
7300.000000, 82.322, -164.5596
7400.000000, 82.593, -163.3907
7500.000000, 82.910, -162.8316
7620.000000, 83.315, -163.3671
7750.000000, 83.699, -165.5563
7880.000000, 83.927, -169.2997
8000.000000, 83.912, -173.7766
8120.000000, 83.619, -178.6031
8250.000000, 82.976, 176.6261
8380.000000, 82.051, 173.2922
8500.000000, 81.077, 172.2558
8620.000000, 80.205, 172.8806
8750.000000, 79.415, 173.6617
8850.000000, 78.796, 174.0056
9000.000000, 77.680, 175.0223
9120.000000, 76.617, 177.8154
9250.000000, 75.551, -175.7813
9380.000000, 74.974, -166.9823
9500.000000, 74.943, -159.7657
9620.000000, 75.124, -154.5291
9750.000000, 75.362, -150.3540
9880.000000, 75.584, -146.8823
10000.000000, 75.812, -143.9279
10150.000000, 76.173, -140.7633
10300.000000, 76.595, -138.4647
10440.000000, 76.997, -137.0045
10600.000000, 77.489, -135.7646
10750.000000, 78.049, -135.1317
10900.000000, 78.722, -135.6204
11060.000000, 79.483, -138.0809
11200.000000, 80.060, -142.0280
11380.000000, 80.556, -148.9458
11500.000000, 80.703, -154.5595
11720.000000, 80.411, -165.9248
11800.000000, 80.122, -169.8630
12060.000000, 78.767, 179.1322
12200.000000, 77.838, 173.6632
12410.000000, 75.786, 166.0775
12500.000000, 74.505, 165.4108
12650.000000, 72.289, 172.5474
12800.000000, 71.123, -175.8327
13150.000000, 70.776, -162.1674
13200.000000, 70.757, -160.9218
13400.000000, 70.724, -156.2133
13600.000000, 70.816, -151.9802
13800.000000, 71.039, -148.4853
14000.000000, 71.378, -145.9604
14300.000000, 72.064, -144.3403
14500.000000, 72.570, -145.0251
14750.000000, 73.112, -147.9527
15000.000000, 73.403, -152.4661
15250.000000, 73.412, -157.2487
15500.000000, 73.242, -161.4938
15750.000000, 72.969, -165.2176
16000.000000, 72.616, -168.2226
16250.000000, 72.230, -170.2208
16500.000000, 71.832, -171.2085
16750.000000, 71.368, -170.9653
17000.000000, 70.988, -166.4864
17250.000000, 72.295, -153.6482
17500.000000, 75.267, -152.8394
17750.000000, 76.653, -167.9654
18000.000000, 76.825, 178.2635
18250.000000, 77.086, 164.1938
18500.000000, 76.593, 146.3710
18750.000000, 74.949, 129.4514
19000.000000, 72.576, 115.7771
19250.000000, 69.908, 104.3342
19500.000000, 67.023, 93.1367
19750.000000, 63.849, 82.2472
