* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: May 23, 2025 9:02:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (5ohm, Sancai) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 90.246, 21.5860
20.600000, 90.257, 20.9284
20.900000, 90.269, 20.2007
21.200001, 90.281, 19.4776
21.400000, 90.289, 18.9992
21.799999, 90.306, 18.0485
22.000000, 90.313, 17.5772
22.400000, 90.321, 16.6493
22.700001, 90.322, 15.9708
23.000000, 90.319, 15.3085
23.299999, 90.315, 14.6595
23.600000, 90.310, 14.0187
24.000000, 90.306, 13.1693
24.299999, 90.304, 12.5338
24.700001, 90.301, 11.6930
25.000000, 90.297, 11.0739
25.400000, 90.288, 10.2719
25.799999, 90.274, 9.4991
26.200001, 90.257, 8.7479
26.500000, 90.243, 8.1910
26.900000, 90.227, 7.4479
27.200001, 90.216, 6.8883
27.600000, 90.204, 6.1443
28.000000, 90.192, 5.4146
28.500000, 90.173, 4.5403
29.000000, 90.150, 3.7109
29.500000, 90.121, 2.9066
30.000000, 90.091, 2.1037
30.400000, 90.068, 1.4596
30.700001, 90.051, 0.9818
31.100000, 90.028, 0.3628
31.500000, 90.006, -0.2273
32.000000, 89.978, -0.9286
32.500000, 89.946, -1.6121
33.000000, 89.910, -2.3013
33.500000, 89.871, -2.9997
34.000000, 89.833, -3.6922
34.500000, 89.796, -4.3626
35.000000, 89.760, -5.0059
35.500000, 89.722, -5.6286
36.000000, 89.681, -6.2400
36.500000, 89.639, -6.8465
37.000000, 89.598, -7.4480
37.500000, 89.558, -8.0382
38.200001, 89.500, -8.8315
38.700001, 89.456, -9.3749
39.500000, 89.383, -10.2323
40.000000, 89.337, -10.7714
40.599998, 89.284, -11.4096
41.200001, 89.230, -12.0189
41.799999, 89.174, -12.5961
42.500000, 89.105, -13.2437
43.099998, 89.045, -13.7860
43.700001, 88.987, -14.3187
44.400002, 88.921, -14.9314
45.000000, 88.862, -15.4487
45.500000, 88.810, -15.8701
46.200001, 88.736, -16.4423
46.799999, 88.675, -16.9210
47.500000, 88.606, -17.4698
48.200001, 88.534, -18.0004
48.700001, 88.481, -18.3655
49.400002, 88.407, -18.8647
50.000000, 88.344, -19.2870
50.799999, 88.255, -19.8260
51.500000, 88.175, -20.2661
52.200001, 88.099, -20.7050
53.000000, 88.012, -21.2095
