* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jul 4, 2025 2:10:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (Azla Foamax) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 90.545, 7.8361
20.600000, 90.540, 7.2926
20.900000, 90.531, 6.6846
21.200001, 90.521, 6.0731
21.400000, 90.515, 5.6655
21.799999, 90.503, 4.8542
22.000000, 90.497, 4.4543
22.400000, 90.483, 3.6759
22.700001, 90.471, 3.1154
23.000000, 90.457, 2.5736
23.299999, 90.441, 2.0447
23.600000, 90.424, 1.5214
24.000000, 90.399, 0.8233
24.299999, 90.380, 0.2981
24.700001, 90.352, -0.3978
25.000000, 90.331, -0.9102
25.400000, 90.302, -1.5737
25.799999, 90.274, -2.2144
26.200001, 90.246, -2.8379
26.500000, 90.225, -3.2988
26.900000, 90.195, -3.9080
27.200001, 90.172, -4.3614
27.600000, 90.140, -4.9597
28.000000, 90.108, -5.5489
28.500000, 90.069, -6.2710
29.000000, 90.028, -6.9753
29.500000, 89.986, -7.6587
30.000000, 89.942, -8.3179
30.400000, 89.905, -8.8281
30.700001, 89.878, -9.2025
31.100000, 89.843, -9.6934
31.500000, 89.808, -10.1771
32.000000, 89.763, -10.7717
32.500000, 89.717, -11.3538
33.000000, 89.669, -11.9244
33.500000, 89.620, -12.4884
34.000000, 89.570, -13.0482
34.500000, 89.519, -13.5985
35.000000, 89.469, -14.1306
35.500000, 89.420, -14.6420
36.000000, 89.371, -15.1392
36.500000, 89.321, -15.6293
37.000000, 89.269, -16.1115
37.500000, 89.216, -16.5792
38.200001, 89.142, -17.2065
38.700001, 89.091, -17.6435
39.500000, 89.009, -18.3363
40.000000, 88.956, -18.7597
40.599998, 88.892, -19.2511
41.200001, 88.830, -19.7272
41.799999, 88.766, -20.1920
42.500000, 88.687, -20.7139
43.099998, 88.618, -21.1429
43.700001, 88.554, -21.5732
44.400002, 88.483, -22.0991
45.000000, 88.420, -22.5519
45.500000, 88.364, -22.9013
46.200001, 88.282, -23.3284
46.799999, 88.212, -23.6579
47.500000, 88.132, -24.0357
48.200001, 88.051, -24.4181
48.700001, 87.993, -24.6934
49.400002, 87.911, -25.0810
50.000000, 87.841, -25.4083
50.799999, 87.753, -25.8254
51.500000, 87.676, -26.1720
52.200001, 87.596, -26.5028
53.000000, 87.500, -26.8667
53.799999, 87.406, -27.2249
54.500000, 87.328, -27.5179
55.200001, 87.250, -27.7814
56.000000, 87.156, -28.0760
57.000000, 87.026, -28.4593
58.000000, 86.907, -28.8278
59.000000, 86.807, -29.1769
60.000000, 86.702, -29.4670
60.799999, 86.611, -29.6701
61.500000, 86.531, -29.8548
62.200001, 86.451, -30.0409
63.000000, 86.361, -30.2371
64.000000, 86.248, -30.4581
65.000000, 86.135, -30.6688
66.000000, 86.023, -30.8789
67.000000, 85.911, -31.0685
68.000000, 85.799, -31.2169
69.000000, 85.688, -31.3302
70.000000, 85.576, -31.4299
71.000000, 85.462, -31.5347
72.000000, 85.348, -31.6276
73.000000, 85.237, -31.6952
74.000000, 85.128, -31.7452
75.000000, 85.020, -31.7827
76.199997, 84.893, -31.8096
77.500000, 84.754, -31.7983
78.800003, 84.612, -31.7684
80.000000, 84.482, -31.7212
81.199997, 84.359, -31.6432
82.500000, 84.225, -31.5388
83.800003, 84.091, -31.4155
85.000000, 83.971, -31.2849
86.199997, 83.851, -31.1519
87.500000, 83.723, -30.9794
88.500000, 83.625, -30.8137
90.000000, 83.481, -30.5303
91.199997, 83.369, -30.3105
92.500000, 83.245, -30.0537
93.800003, 83.122, -29.7722
95.000000, 83.011, -29.4930
96.199997, 82.905, -29.1975
97.500000, 82.791, -28.8627
98.800003, 82.680, -28.5156
100.000000, 82.579, -28.1902
101.500000, 82.456, -27.7535
103.000000, 82.339, -27.2855
104.400002, 82.231, -26.8248
106.000000, 82.111, -26.2811
107.500000, 82.002, -25.7496
109.000000, 81.893, -25.2143
110.599998, 81.783, -24.6295
112.000000, 81.694, -24.0715
113.800003, 81.582, -23.3076
115.000000, 81.507, -22.7987
117.199997, 81.375, -21.9348
118.000000, 81.330, -21.6274
120.599998, 81.197, -20.5638
122.000000, 81.131, -19.9720
124.099998, 81.036, -19.0857
125.000000, 80.996, -18.7087
126.500000, 80.932, -18.0795
128.000000, 80.874, -17.4431
131.500000, 80.750, -15.9575
132.000000, 80.733, -15.7397
134.000000, 80.666, -14.8624
136.000000, 80.608, -13.9998
138.000000, 80.560, -13.1685
140.000000, 80.517, -12.3322
143.000000, 80.462, -11.0843
145.000000, 80.431, -10.2614
147.500000, 80.399, -9.2663
150.000000, 80.369, -8.2787
152.500000, 80.344, -7.3171
155.000000, 80.326, -6.4013
157.500000, 80.317, -5.4994
160.000000, 80.309, -4.6206
162.500000, 80.305, -3.7885
165.000000, 80.308, -2.9752
167.500000, 80.316, -2.1995
170.000000, 80.325, -1.4479
172.500000, 80.334, -0.7093
175.000000, 80.347, 0.0049
177.500000, 80.364, 0.6884
180.000000, 80.382, 1.3368
182.500000, 80.400, 1.9603
185.000000, 80.421, 2.5578
187.500000, 80.442, 3.1374
190.000000, 80.464, 3.6997
192.500000, 80.486, 4.2418
195.000000, 80.509, 4.7608
197.500000, 80.531, 5.2544
200.000000, 80.555, 5.7138
203.000000, 80.586, 6.2476
206.000000, 80.615, 6.7705
209.000000, 80.641, 7.2712
212.000000, 80.668, 7.7421
214.000000, 80.685, 8.0546
218.000000, 80.719, 8.6357
220.000000, 80.735, 8.9130
224.000000, 80.770, 9.4430
227.000000, 80.796, 9.8116
230.000000, 80.820, 10.1721
233.000000, 80.842, 10.5185
236.000000, 80.864, 10.8552
240.000000, 80.892, 11.2816
243.000000, 80.912, 11.5870
247.000000, 80.937, 12.0081
250.000000, 80.954, 12.3024
254.000000, 80.974, 12.6648
258.000000, 80.994, 13.0151
262.000000, 81.014, 13.3743
265.000000, 81.028, 13.6399
269.000000, 81.048, 13.9692
272.000000, 81.061, 14.2084
276.000000, 81.077, 14.5226
280.000000, 81.091, 14.8344
285.000000, 81.108, 15.2164
290.000000, 81.124, 15.5682
295.000000, 81.140, 15.9054
300.000000, 81.157, 16.2276
304.000000, 81.168, 16.4813
307.000000, 81.176, 16.6691
311.000000, 81.186, 16.9072
315.000000, 81.197, 17.1428
320.000000, 81.209, 17.4271
325.000000, 81.219, 17.6878
330.000000, 81.227, 17.9071
335.000000, 81.234, 18.1090
340.000000, 81.238, 18.3080
345.000000, 81.239, 18.4968
350.000000, 81.239, 18.6687
355.000000, 81.234, 18.8340
360.000000, 81.224, 19.0077
365.000000, 81.210, 19.1683
370.000000, 81.194, 19.3277
375.000000, 81.174, 19.4979
382.000000, 81.142, 19.7593
387.000000, 81.116, 19.9421
395.000000, 81.071, 20.2510
400.000000, 81.043, 20.4771
406.000000, 81.009, 20.7572
412.000000, 80.974, 21.0450
418.000000, 80.938, 21.3301
425.000000, 80.892, 21.6872
431.000000, 80.852, 22.0156
437.000000, 80.812, 22.3476
444.000000, 80.766, 22.7412
450.000000, 80.726, 23.0809
455.000000, 80.692, 23.3705
462.000000, 80.645, 23.7930
468.000000, 80.606, 24.1620
475.000000, 80.559, 24.5875
482.000000, 80.511, 25.0242
487.000000, 80.476, 25.3412
494.000000, 80.428, 25.7886
500.000000, 80.388, 26.1880
508.000000, 80.334, 26.7323
515.000000, 80.285, 27.2082
522.000000, 80.236, 27.6938
530.000000, 80.180, 28.2582
538.000000, 80.124, 28.8302
545.000000, 80.077, 29.3444
552.000000, 80.032, 29.8583
560.000000, 79.978, 30.4605
570.000000, 79.909, 31.2304
580.000000, 79.843, 32.0162
590.000000, 79.777, 32.8121
600.000000, 79.714, 33.6138
608.000000, 79.663, 34.2749
615.000000, 79.620, 34.8586
622.000000, 79.578, 35.4520
630.000000, 79.530, 36.1344
640.000000, 79.469, 36.9834
650.000000, 79.412, 37.8430
660.000000, 79.355, 38.7121
670.000000, 79.298, 39.5918
680.000000, 79.244, 40.4959
690.000000, 79.191, 41.4037
700.000000, 79.142, 42.3148
710.000000, 79.095, 43.2515
720.000000, 79.048, 44.1994
730.000000, 79.001, 45.1516
740.000000, 78.957, 46.1083
750.000000, 78.917, 47.0819
762.000000, 78.872, 48.2722
775.000000, 78.827, 49.5475
788.000000, 78.787, 50.8136
800.000000, 78.752, 52.0206
812.000000, 78.722, 53.2333
825.000000, 78.694, 54.5624
838.000000, 78.670, 55.8916
850.000000, 78.655, 57.1186
862.000000, 78.643, 58.3322
875.000000, 78.635, 59.6506
885.000000, 78.635, 60.6625
900.000000, 78.637, 62.1785
912.000000, 78.643, 63.3917
925.000000, 78.655, 64.6823
938.000000, 78.673, 65.9526
950.000000, 78.694, 67.1019
962.000000, 78.718, 68.2265
975.000000, 78.747, 69.4363
988.000000, 78.783, 70.6331
1000.000000, 78.821, 71.7044
1015.000000, 78.867, 73.0004
1030.000000, 78.916, 74.2660
1044.000000, 78.964, 75.3972
1060.000000, 79.022, 76.6405
1075.000000, 79.078, 77.7678
1090.000000, 79.136, 78.8676
1106.000000, 79.196, 79.9943
1120.000000, 79.248, 80.9474
1138.000000, 79.314, 82.1283
1150.000000, 79.356, 82.8847
1172.000000, 79.430, 84.2470
1180.000000, 79.457, 84.7342
1206.000000, 79.538, 86.2883
1220.000000, 79.578, 87.1030
1241.000000, 79.636, 88.2843
1250.000000, 79.661, 88.7824
1265.000000, 79.701, 89.6158
1280.000000, 79.739, 90.4434
1315.000000, 79.818, 92.3500
1320.000000, 79.829, 92.6222
1340.000000, 79.873, 93.7003
1360.000000, 79.914, 94.7794
1380.000000, 79.953, 95.8747
1400.000000, 79.992, 96.9609
1430.000000, 80.048, 98.6015
1450.000000, 80.085, 99.7003
1475.000000, 80.132, 101.0720
1500.000000, 80.180, 102.4552
1525.000000, 80.232, 103.8407
1550.000000, 80.285, 105.2450
1575.000000, 80.342, 106.6532
1600.000000, 80.401, 108.0393
1625.000000, 80.463, 109.4265
1650.000000, 80.531, 110.8225
1675.000000, 80.603, 112.2156
1700.000000, 80.678, 113.6109
1725.000000, 80.758, 114.9904
1750.000000, 80.845, 116.3595
1775.000000, 80.935, 117.7077
1800.000000, 81.030, 119.0261
1825.000000, 81.130, 120.3284
1850.000000, 81.235, 121.6158
1875.000000, 81.344, 122.8842
1900.000000, 81.458, 124.1248
1925.000000, 81.577, 125.3339
1950.000000, 81.703, 126.5149
1975.000000, 81.833, 127.6696
2000.000000, 81.966, 128.7851
2030.000000, 82.132, 130.0633
2060.000000, 82.306, 131.2933
2090.000000, 82.487, 132.4583
2120.000000, 82.673, 133.5512
2140.000000, 82.802, 134.2363
2180.000000, 83.065, 135.5089
2200.000000, 83.201, 136.0907
2240.000000, 83.479, 137.1279
2270.000000, 83.692, 137.7943
2300.000000, 83.909, 138.3586
2330.000000, 84.128, 138.8085
2360.000000, 84.347, 139.1389
2400.000000, 84.639, 139.3864
2430.000000, 84.855, 139.4150
2470.000000, 85.134, 139.2411
2500.000000, 85.335, 138.9519
2540.000000, 85.588, 138.3524
2580.000000, 85.815, 137.5060
2620.000000, 86.008, 136.4321
2650.000000, 86.128, 135.5058
2690.000000, 86.249, 134.1391
2720.000000, 86.308, 133.0497
2760.000000, 86.344, 131.5791
2800.000000, 86.337, 130.1458
2850.000000, 86.273, 128.4848
2900.000000, 86.164, 127.0077
2950.000000, 86.020, 125.6987
3000.000000, 85.851, 124.5261
3040.000000, 85.697, 123.6622
3070.000000, 85.570, 123.0496
3110.000000, 85.382, 122.2882
3150.000000, 85.172, 121.5915
3200.000000, 84.876, 120.8364
3250.000000, 84.535, 120.2797
3300.000000, 84.143, 120.0267
3350.000000, 83.710, 120.2633
3400.000000, 83.262, 121.1357
3450.000000, 82.842, 122.6464
3500.000000, 82.479, 124.6125
3550.000000, 82.183, 126.8067
3600.000000, 81.949, 129.0467
3650.000000, 81.761, 131.2426
3700.000000, 81.605, 133.3792
3750.000000, 81.471, 135.4569
3820.000000, 81.314, 138.2890
3870.000000, 81.219, 140.2776
3950.000000, 81.100, 143.4403
4000.000000, 81.046, 145.3981
4060.000000, 81.002, 147.7192
4120.000000, 80.978, 149.9934
4180.000000, 80.973, 152.1956
4250.000000, 80.991, 154.6877
4310.000000, 81.025, 156.7592
4370.000000, 81.076, 158.7392
4440.000000, 81.152, 160.9406
4500.000000, 81.229, 162.7298
4550.000000, 81.302, 164.1657
4620.000000, 81.415, 166.1209
4680.000000, 81.524, 167.7475
4750.000000, 81.676, 169.5851
4820.000000, 81.867, 171.3213
4870.000000, 82.029, 172.4415
4940.000000, 82.288, 173.7235
5000.000000, 82.529, 174.4827
5080.000000, 82.855, 174.9380
5150.000000, 83.123, 174.8341
5220.000000, 83.359, 174.3325
5300.000000, 83.576, 173.3887
5380.000000, 83.733, 172.1736
5450.000000, 83.827, 170.9677
5520.000000, 83.886, 169.6525
5600.000000, 83.920, 167.9722
5700.000000, 83.904, 165.4362
5800.000000, 83.763, 162.1954
5900.000000, 83.377, 158.5552
6000.000000, 82.684, 155.7027
6080.000000, 81.979, 154.8168
6150.000000, 81.346, 155.2140
6220.000000, 80.765, 156.5087
6300.000000, 80.201, 158.7089
6400.000000, 79.656, 162.0433
6500.000000, 79.272, 165.5831
6600.000000, 79.025, 169.0744
6700.000000, 78.888, 172.2863
6800.000000, 78.822, 175.1299
6900.000000, 78.815, 177.6895
7000.000000, 78.870, 179.8978
7100.000000, 78.978, -178.3476
7200.000000, 79.127, -177.1586
7300.000000, 79.293, -176.6685
7400.000000, 79.445, -176.8190
7500.000000, 79.578, -177.6140
7620.000000, 79.660, -179.5805
7750.000000, 79.574, 177.3497
7880.000000, 79.255, 173.8521
8000.000000, 78.747, 170.7657
8120.000000, 78.052, 168.2726
8250.000000, 77.123, 166.6762
8380.000000, 76.070, 166.8031
8500.000000, 75.133, 168.9738
8620.000000, 74.447, 172.0935
8750.000000, 73.891, 174.4518
8850.000000, 73.425, 175.5468
9000.000000, 72.486, 177.3486
9120.000000, 71.546, -179.4037
9250.000000, 70.585, -172.7114
9380.000000, 70.079, -163.4259
9500.000000, 70.125, -155.5421
9620.000000, 70.398, -149.8353
9750.000000, 70.718, -145.4734
9880.000000, 71.004, -141.8933
10000.000000, 71.283, -138.8088
10150.000000, 71.689, -135.4096
10300.000000, 72.149, -132.8107
10440.000000, 72.593, -131.1461
10600.000000, 73.109, -129.8141
10750.000000, 73.645, -129.0284
10900.000000, 74.260, -129.1046
11060.000000, 74.950, -130.6993
11200.000000, 75.485, -133.3962
11380.000000, 76.050, -138.1759
11500.000000, 76.334, -142.3895
11720.000000, 76.440, -151.7501
11800.000000, 76.332, -155.2439
12060.000000, 75.598, -165.7844
12200.000000, 75.054, -171.3040
12410.000000, 73.829, 179.3008
12500.000000, 72.963, 175.6479
12650.000000, 71.013, 173.6120
12800.000000, 69.008, 179.3616
13150.000000, 67.627, -161.2433
13200.000000, 67.648, -159.9005
13400.000000, 67.708, -156.1361
13600.000000, 67.734, -153.5734
13800.000000, 67.778, -151.7989
14000.000000, 67.847, -150.8994
14300.000000, 67.921, -151.1331
14500.000000, 67.901, -152.2782
14750.000000, 67.716, -154.3430
15000.000000, 67.340, -155.9943
15250.000000, 66.912, -156.4352
15500.000000, 66.576, -156.2068
15750.000000, 66.324, -155.8097
16000.000000, 66.123, -155.2714
16250.000000, 65.974, -154.5161
16500.000000, 65.857, -153.4706
16750.000000, 65.719, -151.8926
17000.000000, 65.678, -147.3068
17250.000000, 66.935, -136.5330
17500.000000, 69.656, -135.5953
17750.000000, 71.030, -148.9909
18000.000000, 71.063, -161.4327
18250.000000, 71.195, -171.9753
18500.000000, 71.073, 173.2324
18750.000000, 69.872, 157.0727
19000.000000, 67.783, 143.3367
19250.000000, 65.235, 132.0309
19500.000000, 62.391, 121.8598
19750.000000, 59.350, 112.6866
