* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 3, 2025 3:35:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (BGVP Foam M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 85.277, 7.5605
20.600000, 85.276, 7.0431
20.900000, 85.272, 6.4690
21.200001, 85.266, 5.8965
21.400000, 85.262, 5.5168
21.799999, 85.253, 4.7624
22.000000, 85.247, 4.3896
22.400000, 85.234, 3.6589
22.700001, 85.223, 3.1273
23.000000, 85.210, 2.6087
23.299999, 85.198, 2.0983
23.600000, 85.185, 1.5898
24.000000, 85.168, 0.9075
24.299999, 85.155, 0.3926
24.700001, 85.134, -0.2886
25.000000, 85.116, -0.7865
25.400000, 85.091, -1.4249
25.799999, 85.066, -2.0384
26.200001, 85.044, -2.6441
26.500000, 85.029, -3.1029
26.900000, 85.008, -3.7217
27.200001, 84.991, -4.1813
27.600000, 84.965, -4.7664
28.000000, 84.936, -5.3024
28.500000, 84.899, -5.9132
29.000000, 84.862, -6.5146
29.500000, 84.820, -7.1574
30.000000, 84.771, -7.8348
30.400000, 84.730, -8.3698
30.700001, 84.702, -8.7551
31.100000, 84.670, -9.2484
31.500000, 84.645, -9.7300
32.000000, 84.614, -10.3251
32.500000, 84.576, -10.8960
33.000000, 84.534, -11.4245
33.500000, 84.494, -11.9366
34.000000, 84.458, -12.4902
34.500000, 84.420, -13.1064
35.000000, 84.368, -13.7321
35.500000, 84.306, -14.2857
36.000000, 84.242, -14.7385
36.500000, 84.187, -15.1384
37.000000, 84.140, -15.5541
37.500000, 84.097, -16.0092
38.200001, 84.031, -16.6552
38.700001, 83.982, -17.0834
39.500000, 83.904, -17.7290
40.000000, 83.854, -18.1352
40.599998, 83.790, -18.6201
41.200001, 83.725, -19.0792
41.799999, 83.663, -19.5096
42.500000, 83.593, -20.0026
43.099998, 83.534, -20.4337
43.700001, 83.473, -20.8659
44.400002, 83.394, -21.3478
45.000000, 83.322, -21.7264
45.500000, 83.264, -22.0215
46.200001, 83.191, -22.4374
46.799999, 83.135, -22.8195
47.500000, 83.065, -23.2638
48.200001, 82.984, -23.6481
48.700001, 82.925, -23.8944
49.400002, 82.842, -24.2614
50.000000, 82.772, -24.6080
50.799999, 82.681, -25.0440
51.500000, 82.604, -25.3736
52.200001, 82.526, -25.6986
53.000000, 82.429, -26.0803
53.799999, 82.336, -26.4354
54.500000, 82.261, -26.7161
55.200001, 82.186, -26.9770
56.000000, 82.094, -27.2623
57.000000, 81.974, -27.6152
58.000000, 81.863, -27.9286
59.000000, 81.757, -28.2091
60.000000, 81.642, -28.5197
60.799999, 81.543, -28.7644
61.500000, 81.459, -28.9573
62.200001, 81.378, -29.1334
63.000000, 81.288, -29.3182
64.000000, 81.179, -29.5483
65.000000, 81.066, -29.7839
66.000000, 80.948, -29.9501
67.000000, 80.836, -30.0538
68.000000, 80.727, -30.1531
69.000000, 80.611, -30.2231
70.000000, 80.498, -30.3111
71.000000, 80.391, -30.4259
72.000000, 80.289, -30.5067
73.000000, 80.183, -30.5995
74.000000, 80.066, -30.6916
75.000000, 79.951, -30.7348
76.199997, 79.819, -30.7400
77.500000, 79.672, -30.7389
78.800003, 79.527, -30.7026
80.000000, 79.407, -30.6255
81.199997, 79.287, -30.5423
82.500000, 79.152, -30.4285
83.800003, 79.019, -30.3047
85.000000, 78.897, -30.1567
86.199997, 78.776, -29.9985
87.500000, 78.650, -29.8241
88.500000, 78.557, -29.6366
90.000000, 78.414, -29.3072
91.199997, 78.299, -29.0696
92.500000, 78.180, -28.8085
93.800003, 78.061, -28.5004
95.000000, 77.954, -28.2181
96.199997, 77.850, -27.9359
97.500000, 77.738, -27.5928
98.800003, 77.628, -27.2218
100.000000, 77.525, -26.8631
101.500000, 77.398, -26.3920
103.000000, 77.281, -25.9522
104.400002, 77.174, -25.5263
106.000000, 77.058, -24.9620
107.500000, 76.955, -24.3954
109.000000, 76.854, -23.8316
110.599998, 76.742, -23.2409
112.000000, 76.648, -22.7207
113.800003, 76.534, -22.0288
115.000000, 76.462, -21.5368
117.199997, 76.338, -20.6310
118.000000, 76.294, -20.3091
120.599998, 76.161, -19.2592
122.000000, 76.096, -18.6690
124.099998, 76.004, -17.7491
125.000000, 75.967, -17.3547
126.500000, 75.910, -16.6935
128.000000, 75.855, -16.0508
131.500000, 75.729, -14.5338
132.000000, 75.714, -14.3102
134.000000, 75.659, -13.4679
136.000000, 75.610, -12.6699
138.000000, 75.559, -11.8407
140.000000, 75.515, -10.9789
143.000000, 75.460, -9.7257
145.000000, 75.429, -8.9439
147.500000, 75.396, -7.9593
150.000000, 75.370, -7.0084
152.500000, 75.355, -6.0754
155.000000, 75.346, -5.1637
157.500000, 75.340, -4.2844
160.000000, 75.333, -3.4000
162.500000, 75.329, -2.5182
165.000000, 75.328, -1.7304
167.500000, 75.333, -0.9958
170.000000, 75.342, -0.2738
172.500000, 75.358, 0.4367
