* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 12, 2024 11:12:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (Beige Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 91.124, 16.6521
20.600000, 91.127, 16.0521
20.900000, 91.125, 15.4102
21.200001, 91.121, 14.8034
21.400000, 91.119, 14.4166
21.799999, 91.121, 13.6593
22.000000, 91.126, 13.2761
22.400000, 91.139, 12.4813
22.700001, 91.150, 11.8605
23.000000, 91.158, 11.2314
23.299999, 91.161, 10.6124
23.600000, 91.158, 10.0204
24.000000, 91.147, 9.2874
24.299999, 91.135, 8.7758
24.700001, 91.116, 8.1202
25.000000, 91.102, 7.6285
25.400000, 91.084, 6.9536
25.799999, 91.068, 6.2560
26.200001, 91.054, 5.5550
26.500000, 91.045, 5.0424
26.900000, 91.036, 4.3905
27.200001, 91.029, 3.9267
27.600000, 91.019, 3.3338
28.000000, 91.005, 2.7546
28.500000, 90.981, 2.0283
29.000000, 90.951, 1.2914
29.500000, 90.921, 0.5574
30.000000, 90.896, -0.1505
30.400000, 90.881, -0.6917
30.700001, 90.871, -1.0876
31.100000, 90.856, -1.6127
31.500000, 90.837, -2.1432
32.000000, 90.803, -2.8083
32.500000, 90.762, -3.4510
33.000000, 90.725, -4.0585
33.500000, 90.700, -4.6534
34.000000, 90.683, -5.2652
34.500000, 90.660, -5.8876
35.000000, 90.627, -6.4804
35.500000, 90.585, -7.0172
36.000000, 90.541, -7.5152
36.500000, 90.496, -8.0108
37.000000, 90.452, -8.5187
37.500000, 90.408, -9.0304
38.200001, 90.353, -9.7502
38.700001, 90.316, -10.2743
39.500000, 90.252, -11.0807
40.000000, 90.210, -11.5204
40.599998, 90.162, -11.9974
41.200001, 90.120, -12.4808
41.799999, 90.075, -12.9932
42.500000, 90.018, -13.5853
43.099998, 89.964, -14.0640
43.700001, 89.907, -14.5279
44.400002, 89.837, -15.0681
45.000000, 89.779, -15.5345
45.500000, 89.732, -15.9213
46.200001, 89.668, -16.4415
46.799999, 89.612, -16.8622
47.500000, 89.547, -17.3498
48.200001, 89.479, -17.8416
48.700001, 89.430, -18.1710
49.400002, 89.365, -18.5886
50.000000, 89.312, -18.9459
50.799999, 89.238, -19.4610
51.500000, 89.170, -19.8932
52.200001, 89.106, -20.2648
53.000000, 89.032, -20.6552
53.799999, 88.947, -21.0519
54.500000, 88.875, -21.4057
55.200001, 88.817, -21.7571
56.000000, 88.753, -22.1055
57.000000, 88.644, -22.4008
58.000000, 88.520, -22.7452
59.000000, 88.418, -23.2792
60.000000, 88.341, -23.7607
60.799999, 88.275, -24.0251
61.500000, 88.207, -24.2108
62.200001, 88.133, -24.4005
63.000000, 88.049, -24.6752
64.000000, 87.937, -25.0903
65.000000, 87.830, -25.4494
66.000000, 87.741, -25.7145
67.000000, 87.647, -25.9271
68.000000, 87.540, -26.0953
69.000000, 87.446, -26.2998
70.000000, 87.354, -26.5679
71.000000, 87.241, -26.7721
72.000000, 87.137, -26.9325
73.000000, 87.051, -27.1575
74.000000, 86.962, -27.3438
75.000000, 86.863, -27.4550
76.199997, 86.735, -27.5928
77.500000, 86.610, -27.7076
78.800003, 86.493, -27.8120
80.000000, 86.373, -27.8972
81.199997, 86.256, -27.9723
82.500000, 86.139, -28.0262
83.800003, 86.017, -28.0440
85.000000, 85.900, -28.0499
86.199997, 85.786, -28.0380
87.500000, 85.671, -27.9171
88.500000, 85.590, -27.8234
90.000000, 85.465, -27.7352
91.199997, 85.361, -27.6855
92.500000, 85.247, -27.5972
93.800003, 85.136, -27.5354
95.000000, 85.033, -27.4476
96.199997, 84.930, -27.2644
97.500000, 84.825, -27.0625
98.800003, 84.723, -26.8900
100.000000, 84.624, -26.7143
101.500000, 84.500, -26.4630
103.000000, 84.388, -26.2167
104.400002, 84.275, -25.9687
106.000000, 84.160, -25.5168
107.500000, 84.062, -25.1101
109.000000, 83.963, -24.7458
110.599998, 83.862, -24.3873
112.000000, 83.774, -24.0645
113.800003, 83.655, -23.5865
115.000000, 83.571, -23.2373
117.199997, 83.437, -22.6417
118.000000, 83.391, -22.4000
120.599998, 83.242, -21.5736
122.000000, 83.164, -21.1554
124.099998, 83.058, -20.6187
125.000000, 83.015, -20.3735
126.500000, 82.943, -19.9041
128.000000, 82.873, -19.3982
131.500000, 82.723, -18.1371
132.000000, 82.702, -17.9638
134.000000, 82.624, -17.2738
136.000000, 82.557, -16.6657
138.000000, 82.494, -16.0459
140.000000, 82.426, -15.3157
143.000000, 82.330, -14.2857
145.000000, 82.280, -13.6447
147.500000, 82.217, -12.8799
150.000000, 82.164, -12.0819
152.500000, 82.123, -11.3215
155.000000, 82.071, -10.5438
157.500000, 82.023, -9.7703
160.000000, 81.990, -8.9363
162.500000, 81.961, -8.1691
165.000000, 81.936, -7.4287
167.500000, 81.919, -6.7309
170.000000, 81.902, -5.9924
172.500000, 81.881, -5.2505
175.000000, 81.871, -4.6077
177.500000, 81.866, -3.9980
180.000000, 81.861, -3.3520
182.500000, 81.851, -2.7577
185.000000, 81.841, -2.1725
187.500000, 81.840, -1.5460
190.000000, 81.847, -0.9862
192.500000, 81.854, -0.4942
195.000000, 81.858, 0.0031
197.500000, 81.864, 0.4995
200.000000, 81.877, 0.9832
203.000000, 81.893, 1.5908
206.000000, 81.896, 2.1542
209.000000, 81.907, 2.6435
212.000000, 81.923, 3.1507
214.000000, 81.930, 3.4786
218.000000, 81.943, 4.0518
220.000000, 81.952, 4.3395
