* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 12, 2024 10:57:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (H570 M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.453, 7.6083
20.600000, 83.469, 7.0881
20.900000, 83.484, 6.5545
21.200001, 83.495, 6.0701
21.400000, 83.499, 5.7642
21.799999, 83.495, 5.1509
22.000000, 83.485, 4.8322
22.400000, 83.449, 4.1721
22.700001, 83.415, 3.6729
23.000000, 83.384, 3.1803
23.299999, 83.363, 2.6887
23.600000, 83.356, 2.1803
24.000000, 83.366, 1.4495
24.299999, 83.379, 0.8617
24.700001, 83.394, 0.0627
25.000000, 83.400, -0.5127
25.400000, 83.400, -1.2160
25.799999, 83.396, -1.8504
26.200001, 83.386, -2.4468
26.500000, 83.371, -2.8830
26.900000, 83.337, -3.4480
27.200001, 83.303, -3.8534
27.600000, 83.253, -4.3725
28.000000, 83.212, -4.8927
28.500000, 83.189, -5.5893
29.000000, 83.194, -6.3229
29.500000, 83.210, -7.0016
30.000000, 83.211, -7.5409
30.400000, 83.186, -7.8641
30.700001, 83.152, -8.0595
31.100000, 83.092, -8.2883
31.500000, 83.036, -8.5310
32.000000, 82.998, -8.9431
32.500000, 82.999, -9.5208
33.000000, 82.999, -10.1429
33.500000, 82.955, -10.5584
34.000000, 82.863, -10.6295
34.500000, 82.762, -10.5650
35.000000, 82.694, -10.8224
35.500000, 82.661, -11.6979
36.000000, 82.641, -13.0208
36.500000, 82.614, -14.2951
37.000000, 82.576, -15.1073
37.500000, 82.535, -15.3866
38.200001, 82.491, -15.3767
38.700001, 82.475, -15.5254
39.500000, 82.452, -16.3767
40.000000, 82.412, -17.0238
40.599998, 82.334, -17.5040
41.200001, 82.256, -17.6321
41.799999, 82.198, -17.7428
42.500000, 82.135, -18.1111
43.099998, 82.075, -18.5479
43.700001, 82.012, -19.1074
44.400002, 81.900, -20.0056
45.000000, 81.763, -20.7115
45.500000, 81.671, -21.0276
46.200001, 81.662, -21.3523
46.799999, 81.713, -22.0647
47.500000, 81.695, -23.3420
48.200001, 81.566, -24.2158
48.700001, 81.471, -24.2677
49.400002, 81.399, -23.8775
50.000000, 81.350, -23.7603
50.799999, 81.193, -24.4820
51.500000, 81.017, -25.6154
52.200001, 80.960, -26.5737
53.000000, 81.038, -26.9771
53.799999, 81.055, -26.4514
54.500000, 80.995, -25.8022
55.200001, 80.927, -25.7711
56.000000, 80.885, -25.4861
57.000000, 81.056, -23.1348
58.000000, 80.952, -23.1758
59.000000, 79.997, -25.4862
60.000000, 79.547, -27.1045
60.799999, 79.937, -28.6087
61.500000, 80.338, -28.8655
62.200001, 80.605, -27.5686
63.000000, 80.591, -24.6513
64.000000, 80.083, -19.4855
65.000000, 79.472, -17.8663
66.000000, 79.180, -23.1519
67.000000, 79.463, -28.2832
68.000000, 79.729, -29.7377
69.000000, 79.515, -31.0993
70.000000, 79.121, -33.2862
71.000000, 79.022, -33.0399
72.000000, 79.091, -30.9204
73.000000, 79.097, -29.0990
74.000000, 79.109, -28.6162
75.000000, 78.931, -29.2428
76.199997, 78.582, -29.7323
77.500000, 78.451, -28.8890
78.800003, 78.164, -28.5056
80.000000, 77.880, -29.1879
81.199997, 77.942, -29.2848
82.500000, 77.873, -29.5009
83.800003, 77.609, -29.2828
85.000000, 77.231, -27.4001
86.199997, 76.302, -26.6688
87.500000, 75.740, -25.0674
88.500000, 76.318, -25.7753
90.000000, 76.833, -27.1136
91.199997, 76.842, -27.0662
92.500000, 76.766, -26.3172
93.800003, 76.718, -23.1968
95.000000, 76.642, -20.8436
96.199997, 76.607, -20.9438
97.500000, 76.574, -20.7452
98.800003, 76.490, -21.2320
100.000000, 76.617, -21.7362
101.500000, 77.134, -22.3005
103.000000, 77.989, -23.5076
104.400002, 78.777, -20.6616
106.000000, 78.308, -19.3061
107.500000, 77.253, -20.6136
109.000000, 76.656, -21.1850
110.599998, 76.397, -21.4522
112.000000, 76.389, -21.4536
113.800003, 76.380, -21.8336
115.000000, 76.343, -21.7124
117.199997, 76.171, -21.0022
118.000000, 76.086, -20.8151
120.599998, 75.697, -20.8452
122.000000, 75.480, -21.3646
124.099998, 75.429, -21.3975
125.000000, 75.451, -20.8540
126.500000, 75.414, -19.8976
128.000000, 75.335, -19.1252
131.500000, 75.065, -17.6379
132.000000, 75.041, -17.3878
134.000000, 75.014, -16.7827
136.000000, 75.020, -16.2942
138.000000, 75.044, -15.8233
140.000000, 75.079, -15.3955
143.000000, 74.864, -13.5154
145.000000, 74.732, -12.5029
147.500000, 74.697, -11.6968
150.000000, 74.705, -10.8395
152.500000, 74.669, -10.1425
155.000000, 74.597, -9.5571
157.500000, 74.547, -8.7767
160.000000, 74.533, -8.4818
162.500000, 74.529, -7.8959
165.000000, 74.513, -7.3212
167.500000, 74.484, -6.7134
170.000000, 74.465, -6.0070
172.500000, 74.465, -5.3300
175.000000, 74.444, -4.8027
177.500000, 74.407, -4.2202
180.000000, 74.379, -3.5953
182.500000, 74.370, -3.0034
185.000000, 74.364, -2.4501
187.500000, 74.358, -1.9624
190.000000, 74.358, -1.4334
192.500000, 74.351, -0.8420
195.000000, 74.341, -0.2197
197.500000, 74.333, 0.2719
200.000000, 74.322, 0.7189
203.000000, 74.307, 1.3496
206.000000, 74.301, 1.9103
209.000000, 74.301, 2.4406
212.000000, 74.302, 2.9959
214.000000, 74.312, 3.3979
218.000000, 74.328, 4.2608
220.000000, 74.327, 4.6424
224.000000, 74.310, 5.2775
227.000000, 74.304, 5.8640
230.000000, 74.306, 6.4496
233.000000, 74.307, 7.0658
236.000000, 74.316, 7.7941
240.000000, 74.368, 8.8244
243.000000, 74.431, 9.6242
247.000000, 74.541, 10.4710
250.000000, 74.633, 10.8287
254.000000, 74.768, 10.9178
258.000000, 74.878, 10.8842
262.000000, 74.936, 10.7139
265.000000, 74.957, 10.5733
269.000000, 74.960, 10.4568
272.000000, 74.951, 10.4372
276.000000, 74.933, 10.4975
280.000000, 74.919, 10.6505
285.000000, 74.907, 10.9690
290.000000, 74.890, 11.2322
295.000000, 74.881, 11.5155
300.000000, 74.875, 11.8160
304.000000, 74.869, 12.0618
307.000000, 74.863, 12.2312
311.000000, 74.854, 12.4281
315.000000, 74.838, 12.6340
320.000000, 74.824, 12.8856
325.000000, 74.822, 13.1549
330.000000, 74.808, 13.4811
335.000000, 74.791, 13.7793
340.000000, 74.776, 14.1149
345.000000, 74.762, 14.4290
350.000000, 74.749, 14.6846
355.000000, 74.739, 14.9921
360.000000, 74.726, 15.2593
365.000000, 74.703, 15.4906
370.000000, 74.682, 15.7472
375.000000, 74.669, 16.0376
382.000000, 74.648, 16.3985
387.000000, 74.628, 16.6876
395.000000, 74.581, 17.1605
400.000000, 74.561, 17.4490
406.000000, 74.539, 17.7599
412.000000, 74.511, 18.0397
418.000000, 74.483, 18.3985
425.000000, 74.448, 18.8712
431.000000, 74.422, 19.2306
437.000000, 74.394, 19.5338
444.000000, 74.353, 19.9137
450.000000, 74.328, 20.3203
455.000000, 74.304, 20.6318
462.000000, 74.264, 21.0806
468.000000, 74.231, 21.4459
475.000000, 74.192, 21.8312
482.000000, 74.155, 22.2534
487.000000, 74.128, 22.5883
494.000000, 74.090, 23.0540
500.000000, 74.063, 23.4357
508.000000, 74.022, 23.9433
515.000000, 73.982, 24.3836
522.000000, 73.943, 24.9005
530.000000, 73.894, 25.4743
538.000000, 73.838, 25.9597
545.000000, 73.802, 26.3753
552.000000, 73.769, 26.8406
560.000000, 73.719, 27.4320
570.000000, 73.665, 28.2085
580.000000, 73.616, 28.9554
590.000000, 73.560, 29.6555
600.000000, 73.498, 30.3503
608.000000, 73.458, 30.9602
615.000000, 73.421, 31.5198
622.000000, 73.382, 32.0550
630.000000, 73.340, 32.6808
640.000000, 73.292, 33.4891
650.000000, 73.244, 34.2731
660.000000, 73.192, 35.0928
670.000000, 73.143, 35.8964
680.000000, 73.101, 36.7629
690.000000, 73.047, 37.6543
700.000000, 72.997, 38.4482
710.000000, 72.961, 39.2975
720.000000, 72.930, 40.1683
730.000000, 72.893, 41.0557
740.000000, 72.850, 41.9906
750.000000, 72.813, 42.9364
762.000000, 72.775, 44.0525
775.000000, 72.736, 45.2757
788.000000, 72.702, 46.4977
800.000000, 72.675, 47.6083
812.000000, 72.651, 48.7463
825.000000, 72.632, 50.0299
838.000000, 72.617, 51.3172
850.000000, 72.610, 52.4224
862.000000, 72.600, 53.5708
875.000000, 72.592, 54.8527
885.000000, 72.591, 55.8693
900.000000, 72.605, 57.3257
912.000000, 72.625, 58.4296
925.000000, 72.646, 59.6554
938.000000, 72.671, 60.8432
950.000000, 72.698, 61.8805
962.000000, 72.730, 62.9488
975.000000, 72.773, 64.1278
988.000000, 72.824, 65.2661
1000.000000, 72.869, 66.2208
1015.000000, 72.915, 67.3778
1030.000000, 72.970, 68.5713
1044.000000, 73.027, 69.6267
1060.000000, 73.089, 70.7822
1075.000000, 73.153, 71.8070
1090.000000, 73.221, 72.7587
1106.000000, 73.296, 73.7520
1120.000000, 73.357, 74.6074
1138.000000, 73.425, 75.6579
1150.000000, 73.471, 76.3120
1172.000000, 73.559, 77.5415
1180.000000, 73.590, 77.9739
1206.000000, 73.685, 79.2247
1220.000000, 73.730, 79.8766
1241.000000, 73.786, 80.9203
1250.000000, 73.807, 81.3434
1265.000000, 73.845, 82.0529
1280.000000, 73.881, 82.7716
1315.000000, 73.958, 84.3311
1320.000000, 73.969, 84.5498
1340.000000, 74.010, 85.4804
1360.000000, 74.044, 86.4448
1380.000000, 74.079, 87.4219
1400.000000, 74.114, 88.3631
1430.000000, 74.150, 89.7979
1450.000000, 74.180, 90.7766
1475.000000, 74.226, 92.0211
1500.000000, 74.266, 93.2657
1525.000000, 74.302, 94.5177
1550.000000, 74.347, 95.7716
1575.000000, 74.390, 97.0529
1600.000000, 74.435, 98.3573
1625.000000, 74.488, 99.6427
1650.000000, 74.548, 100.9597
1675.000000, 74.610, 102.2626
1700.000000, 74.677, 103.5269
1725.000000, 74.750, 104.7927
1750.000000, 74.822, 106.0789
1775.000000, 74.896, 107.3360
1800.000000, 74.980, 108.5688
1825.000000, 75.074, 109.8172
1850.000000, 75.170, 111.0469
1875.000000, 75.269, 112.2135
1900.000000, 75.368, 113.3961
1925.000000, 75.476, 114.5923
1950.000000, 75.596, 115.7227
1975.000000, 75.722, 116.8169
2000.000000, 75.845, 117.8767
2030.000000, 75.993, 119.0888
2060.000000, 76.151, 120.2730
2090.000000, 76.316, 121.4138
2120.000000, 76.489, 122.4685
2140.000000, 76.606, 123.1309
2180.000000, 76.858, 124.4114
2200.000000, 76.988, 125.0107
2240.000000, 77.250, 126.0561
2270.000000, 77.452, 126.6806
2300.000000, 77.656, 127.2276
2330.000000, 77.860, 127.7271
2360.000000, 78.067, 128.1147
2400.000000, 78.347, 128.4253
2430.000000, 78.555, 128.5208
2470.000000, 78.825, 128.4451
2500.000000, 79.016, 128.2376
2540.000000, 79.256, 127.7551
2580.000000, 79.473, 127.0669
2620.000000, 79.660, 126.1614
2650.000000, 79.776, 125.3808
2690.000000, 79.898, 124.2336
2720.000000, 79.964, 123.3238
2760.000000, 80.016, 122.0782
2800.000000, 80.025, 120.8184
2850.000000, 79.979, 119.2880
2900.000000, 79.879, 117.9052
2950.000000, 79.732, 116.7421
3000.000000, 79.554, 115.8486
3040.000000, 79.397, 115.2602
3070.000000, 79.269, 114.8849
