* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 26, 2024 4:13:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (Sancai M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 86.082, 9.7603
20.600000, 86.044, 9.1194
20.900000, 86.001, 8.3900
21.200001, 85.973, 7.6584
21.400000, 85.968, 7.1701
21.799999, 85.994, 6.1704
22.000000, 86.017, 5.6544
22.400000, 86.059, 4.6166
22.700001, 86.069, 3.8851
23.000000, 86.052, 3.2508
23.299999, 86.010, 2.7468
23.600000, 85.956, 2.3660
24.000000, 85.892, 1.9565
24.299999, 85.863, 1.6220
24.700001, 85.852, 1.0286
25.000000, 85.856, 0.4696
25.400000, 85.862, -0.3316
25.799999, 85.861, -1.0574
26.200001, 85.857, -1.6480
26.500000, 85.855, -2.0482
26.900000, 85.853, -2.6462
27.200001, 85.842, -3.1968
27.600000, 85.803, -4.0401
28.000000, 85.730, -4.8575
28.500000, 85.620, -5.5667
29.000000, 85.540, -5.8549
29.500000, 85.519, -6.0175
30.000000, 85.534, -6.4359
30.400000, 85.539, -7.0288
30.700001, 85.529, -7.5634
31.100000, 85.500, -8.2812
31.500000, 85.461, -8.8975
32.000000, 85.412, -9.4748
32.500000, 85.360, -9.9075
33.000000, 85.299, -10.3176
33.500000, 85.234, -10.7989
34.000000, 85.184, -11.3986
34.500000, 85.163, -12.0994
35.000000, 85.164, -12.8051
35.500000, 85.162, -13.3838
36.000000, 85.137, -13.7682
36.500000, 85.081, -14.0156
37.000000, 85.005, -14.2654
37.500000, 84.930, -14.6355
38.200001, 84.864, -15.3977
38.700001, 84.848, -16.0456
39.500000, 84.813, -17.0143
40.000000, 84.753, -17.4517
40.599998, 84.658, -17.8250
41.200001, 84.575, -18.2405
41.799999, 84.515, -18.8310
42.500000, 84.450, -19.5143
43.099998, 84.390, -19.8580
43.700001, 84.331, -20.0612
44.400002, 84.253, -20.4291
45.000000, 84.175, -20.9252
45.500000, 84.116, -21.3963
46.200001, 84.060, -22.0184
46.799999, 84.031, -22.4320
47.500000, 84.002, -22.7794
48.200001, 83.958, -23.1384
48.700001, 83.904, -23.4509
49.400002, 83.807, -23.8845
50.000000, 83.737, -24.2304
50.799999, 83.681, -24.8150
51.500000, 83.622, -25.4035
52.200001, 83.535, -25.7760
53.000000, 83.439, -25.8783
53.799999, 83.371, -26.0390
54.500000, 83.312, -26.4256
55.200001, 83.246, -26.9176
56.000000, 83.178, -27.4049
57.000000, 83.099, -27.7766
58.000000, 82.987, -27.8744
59.000000, 82.858, -27.9577
60.000000, 82.758, -28.2463
60.799999, 82.709, -28.5804
61.500000, 82.661, -28.9336
62.200001, 82.577, -29.2528
63.000000, 82.454, -29.4378
64.000000, 82.336, -29.6221
65.000000, 82.252, -30.0268
66.000000, 82.155, -30.3262
67.000000, 82.047, -30.4169
68.000000, 81.939, -30.4946
69.000000, 81.853, -30.6339
70.000000, 81.771, -30.8556
71.000000, 81.659, -31.0421
