* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 12, 2024 10:59:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (Spinfit W1 M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 85.904, 7.1744
20.600000, 85.930, 6.6608
20.900000, 85.967, 6.4291
21.200001, 86.011, 6.4050
21.400000, 86.037, 6.3856
21.799999, 86.056, 6.0990
22.000000, 86.040, 5.7923
22.400000, 85.956, 4.9330
22.700001, 85.866, 4.2141
23.000000, 85.785, 3.5527
23.299999, 85.737, 2.9944
23.600000, 85.733, 2.5148
24.000000, 85.780, 1.8981
24.299999, 85.827, 1.3997
24.700001, 85.865, 0.6905
25.000000, 85.866, 0.1605
25.400000, 85.841, -0.5054
25.799999, 85.813, -1.1343
26.200001, 85.802, -1.7619
26.500000, 85.806, -2.2344
26.900000, 85.815, -2.8313
27.200001, 85.817, -3.2297
27.600000, 85.802, -3.7008
28.000000, 85.765, -4.1700
28.500000, 85.691, -4.8751
29.000000, 85.603, -5.7069
29.500000, 85.534, -6.4704
30.000000, 85.512, -6.9772
30.400000, 85.527, -7.2127
30.700001, 85.546, -7.3612
31.100000, 85.564, -7.6197
31.500000, 85.556, -8.0193
32.000000, 85.507, -8.6972
32.500000, 85.441, -9.3999
33.000000, 85.398, -9.9365
33.500000, 85.398, -10.3448
34.000000, 85.409, -10.9091
34.500000, 85.368, -11.8397
35.000000, 85.239, -12.9578
35.500000, 85.077, -13.7883
36.000000, 84.999, -14.0562
36.500000, 85.067, -14.0257
37.000000, 85.206, -14.1554
37.500000, 85.280, -14.5394
38.200001, 85.192, -15.1024
38.700001, 85.068, -15.4967
39.500000, 84.912, -16.6112
40.000000, 84.826, -17.3853
40.599998, 84.736, -17.8075
41.200001, 84.700, -17.8220
41.799999, 84.695, -18.1074
42.500000, 84.636, -18.9705
43.099998, 84.543, -19.5968
43.700001, 84.472, -19.8337
44.400002, 84.439, -19.9032
45.000000, 84.439, -20.0949
45.500000, 84.439, -20.4782
46.200001, 84.370, -21.2781
46.799999, 84.199, -21.8089
47.500000, 83.927, -21.7735
48.200001, 83.750, -21.2303
48.700001, 83.733, -20.8832
49.400002, 83.780, -20.6532
50.000000, 83.756, -20.5214
50.799999, 83.560, -20.2291
51.500000, 83.403, -20.4468
52.200001, 83.429, -21.9166
53.000000, 83.563, -24.1882
53.799999, 83.583, -25.0713
54.500000, 83.437, -24.7449
55.200001, 83.191, -24.1683
56.000000, 83.095, -23.3980
57.000000, 83.618, -23.4083
58.000000, 84.072, -25.4158
59.000000, 83.838, -26.9054
60.000000, 83.338, -25.6453
60.799999, 83.164, -23.3295
61.500000, 83.226, -22.1123
62.200001, 83.391, -23.0391
63.000000, 83.513, -26.6080
64.000000, 83.390, -29.7349
65.000000, 83.327, -26.6285
66.000000, 83.452, -22.9300
67.000000, 83.231, -23.1490
68.000000, 82.662, -24.7794
69.000000, 82.120, -25.1082
70.000000, 81.860, -25.9317
71.000000, 81.622, -28.4683
72.000000, 81.387, -29.4503
73.000000, 81.364, -29.4975
74.000000, 81.370, -30.6210
75.000000, 81.319, -31.3459
76.199997, 81.137, -30.2615
77.500000, 80.867, -28.8623
78.800003, 80.745, -29.9235
80.000000, 80.650, -31.4486
81.199997, 80.458, -31.1950
82.500000, 80.029, -29.5361
83.800003, 79.639, -28.8866
85.000000, 79.606, -29.0492
86.199997, 79.578, -28.5725
87.500000, 79.473, -29.2161
88.500000, 79.443, -28.5630
90.000000, 79.691, -24.1828
91.199997, 79.851, -20.7240
92.500000, 79.890, -18.8648
93.800003, 79.507, -20.5138
95.000000, 79.385, -22.0977
96.199997, 79.797, -21.8922
97.500000, 80.032, -22.0713
98.800003, 79.863, -22.8396
100.000000, 79.729, -23.4064
101.500000, 79.638, -24.9245
103.000000, 79.546, -25.7980
104.400002, 79.425, -25.2853
106.000000, 79.289, -24.3721
107.500000, 79.237, -24.4858
109.000000, 79.182, -24.5527
110.599998, 79.126, -24.0482
112.000000, 79.087, -23.4811
113.800003, 78.814, -23.4158
115.000000, 78.557, -23.6157
117.199997, 78.415, -23.1402
118.000000, 78.343, -22.8979
120.599998, 78.148, -22.2787
122.000000, 78.243, -21.4874
124.099998, 78.147, -20.7244
125.000000, 78.049, -20.4653
126.500000, 77.904, -20.1962
128.000000, 77.775, -19.9928
131.500000, 77.641, -18.5128
132.000000, 77.609, -18.2516
134.000000, 77.451, -17.6902
136.000000, 77.345, -17.7395
138.000000, 77.295, -17.1279
140.000000, 77.223, -16.0545
143.000000, 77.116, -14.9161
145.000000, 77.068, -14.1737
147.500000, 76.984, -13.1820
150.000000, 76.921, -12.3036
152.500000, 76.901, -11.3913
155.000000, 76.860, -10.7079
157.500000, 76.818, -10.2252
160.000000, 76.779, -9.5742
162.500000, 76.738, -8.8244
165.000000, 76.717, -7.9618
167.500000, 76.686, -7.3769
170.000000, 76.642, -6.7458
172.500000, 76.613, -6.0912
175.000000, 76.585, -5.4191
177.500000, 76.556, -4.7402
180.000000, 76.517, -3.9722
182.500000, 76.491, -3.2732
185.000000, 76.487, -2.5405
187.500000, 76.479, -1.8104
190.000000, 76.472, -1.1206
192.500000, 76.473, -0.3759
195.000000, 76.478, 0.3245
197.500000, 76.489, 0.9578
200.000000, 76.502, 1.6238
203.000000, 76.526, 2.4871
206.000000, 76.567, 3.3208
209.000000, 76.622, 4.0070
212.000000, 76.685, 4.5738
214.000000, 76.729, 4.9428
218.000000, 76.812, 5.5340
220.000000, 76.846, 5.6942
224.000000, 76.902, 5.9000
227.000000, 76.935, 6.0805
230.000000, 76.951, 6.2662
233.000000, 76.956, 6.4504
236.000000, 76.956, 6.6095
240.000000, 76.951, 6.8696
243.000000, 76.948, 7.1676
247.000000, 76.943, 7.4864
250.000000, 76.944, 7.7501
254.000000, 76.954, 8.1727
258.000000, 76.956, 8.5942
262.000000, 76.952, 8.9594
265.000000, 76.958, 9.2432
269.000000, 76.974, 9.6005
272.000000, 76.981, 9.8138
276.000000, 76.980, 10.0932
280.000000, 76.978, 10.4316
285.000000, 76.983, 10.8184
290.000000, 76.985, 11.2312
295.000000, 76.989, 11.5616
300.000000, 76.982, 11.9374
304.000000, 76.979, 12.2000
307.000000, 76.979, 12.3893
311.000000, 76.980, 12.6831
315.000000, 76.979, 12.9631
320.000000, 76.972, 13.2632
325.000000, 76.964, 13.5726
330.000000, 76.958, 13.9305
335.000000, 76.949, 14.2686
340.000000, 76.945, 14.5151
345.000000, 76.939, 14.7742
350.000000, 76.925, 15.0801
355.000000, 76.910, 15.3775
360.000000, 76.896, 15.6401
365.000000, 76.880, 15.9049
370.000000, 76.863, 16.2307
375.000000, 76.846, 16.5785
382.000000, 76.823, 16.9461
387.000000, 76.808, 17.2002
395.000000, 76.774, 17.6685
400.000000, 76.753, 17.9744
406.000000, 76.731, 18.2926
412.000000, 76.708, 18.5901
418.000000, 76.682, 18.9730
425.000000, 76.651, 19.4507
431.000000, 76.625, 19.8214
437.000000, 76.601, 20.1700
444.000000, 76.568, 20.5658
450.000000, 76.535, 20.9239
455.000000, 76.507, 21.2311
462.000000, 76.471, 21.6420
468.000000, 76.443, 22.0146
475.000000, 76.406, 22.4696
482.000000, 76.365, 22.9062
487.000000, 76.336, 23.2102
494.000000, 76.298, 23.6738
500.000000, 76.269, 24.1123
508.000000, 76.229, 24.6436
515.000000, 76.191, 25.0998
522.000000, 76.152, 25.6070
530.000000, 76.105, 26.1910
538.000000, 76.058, 26.7028
545.000000, 76.019, 27.1189
552.000000, 75.982, 27.5688
560.000000, 75.937, 28.1910
570.000000, 75.888, 28.9732
580.000000, 75.843, 29.7200
590.000000, 75.784, 30.4593
600.000000, 75.720, 31.2710
608.000000, 75.673, 31.8983
615.000000, 75.633, 32.4310
622.000000, 75.597, 32.9648
630.000000, 75.560, 33.5847
640.000000, 75.513, 34.4195
650.000000, 75.461, 35.2881
660.000000, 75.408, 36.1194
670.000000, 75.362, 36.9797
680.000000, 75.314, 37.8184
690.000000, 75.267, 38.6842
700.000000, 75.225, 39.6092
710.000000, 75.188, 40.5304
720.000000, 75.152, 41.4047
730.000000, 75.114, 42.2985
740.000000, 75.075, 43.2216
750.000000, 75.037, 44.1732
762.000000, 75.001, 45.3254
775.000000, 74.964, 46.5662
788.000000, 74.932, 47.8444
800.000000, 74.910, 49.0156
812.000000, 74.891, 50.1654
825.000000, 74.873, 51.4536
838.000000, 74.855, 52.7052
850.000000, 74.847, 53.8464
862.000000, 74.842, 55.0303
875.000000, 74.838, 56.3422
885.000000, 74.836, 57.3563
900.000000, 74.843, 58.8421
912.000000, 74.865, 59.9942
925.000000, 74.899, 61.2820
938.000000, 74.932, 62.5330
950.000000, 74.965, 63.6542
962.000000, 74.994, 64.7555
975.000000, 75.027, 65.9217
988.000000, 75.072, 67.0381
1000.000000, 75.119, 68.0409
1015.000000, 75.183, 69.3059
1030.000000, 75.255, 70.5208
1044.000000, 75.317, 71.6106
1060.000000, 75.392, 72.8150
1075.000000, 75.467, 73.8591
1090.000000, 75.542, 74.8447
1106.000000, 75.620, 75.9196
1120.000000, 75.682, 76.8253
1138.000000, 75.762, 77.8816
1150.000000, 75.819, 78.5583
1172.000000, 75.915, 79.7690
1180.000000, 75.947, 80.1918
1206.000000, 76.047, 81.4913
1220.000000, 76.098, 82.1628
1241.000000, 76.166, 83.1618
1250.000000, 76.197, 83.5831
1265.000000, 76.250, 84.2756
1280.000000, 76.298, 84.9831
1315.000000, 76.377, 86.6218
1320.000000, 76.386, 86.8502
1340.000000, 76.430, 87.7689
1360.000000, 76.473, 88.7014
1380.000000, 76.507, 89.6249
1400.000000, 76.545, 90.5609
1430.000000, 76.597, 91.9679
1450.000000, 76.624, 92.9791
1475.000000, 76.666, 94.2334
1500.000000, 76.714, 95.4481
1525.000000, 76.762, 96.7315
1550.000000, 76.808, 98.0549
1575.000000, 76.861, 99.3004
1600.000000, 76.917, 100.5328
1625.000000, 76.973, 101.8210
1650.000000, 77.035, 103.1357
1675.000000, 77.095, 104.4375
1700.000000, 77.160, 105.7736
1725.000000, 77.234, 107.0879
1750.000000, 77.310, 108.3131
1775.000000, 77.393, 109.5531
1800.000000, 77.484, 110.8628
1825.000000, 77.581, 112.1421
1850.000000, 77.679, 113.3624
1875.000000, 77.788, 114.5830
1900.000000, 77.904, 115.7613
1925.000000, 78.019, 116.9054
1950.000000, 78.139, 118.0201
1975.000000, 78.264, 119.0963
2000.000000, 78.392, 120.1384
2030.000000, 78.552, 121.3225
2060.000000, 78.717, 122.5027
2090.000000, 78.891, 123.6306
2120.000000, 79.068, 124.6795
2140.000000, 79.188, 125.3462
2180.000000, 79.441, 126.5557
2200.000000, 79.573, 127.1108
2240.000000, 79.837, 128.1228
2270.000000, 80.037, 128.7946
2300.000000, 80.242, 129.3919
2330.000000, 80.449, 129.8886
2360.000000, 80.657, 130.2757
2400.000000, 80.933, 130.6458
2430.000000, 81.139, 130.8098
2470.000000, 81.414, 130.9140
2500.000000, 81.622, 130.9079
2540.000000, 81.911, 130.7182
2580.000000, 82.215, 130.1829
2620.000000, 82.507, 129.1353
2650.000000, 82.691, 128.0357
2690.000000, 82.868, 126.2845
2720.000000, 82.949, 124.8891
2760.000000, 82.994, 123.0582
2800.000000, 82.983, 121.3435
2850.000000, 82.905, 119.4157
2900.000000, 82.772, 117.7516
2950.000000, 82.604, 116.3317
3000.000000, 82.407, 115.1255
3040.000000, 82.230, 114.2953
3070.000000, 82.087, 113.7501
3110.000000, 81.886, 113.1276
3150.000000, 81.670, 112.6377
3200.000000, 81.381, 112.2108
3250.000000, 81.077, 111.9918
3300.000000, 80.760, 112.0029
3350.000000, 80.435, 112.2339
3400.000000, 80.103, 112.6673
3450.000000, 79.764, 113.3520
3500.000000, 79.427, 114.3139
3550.000000, 79.090, 115.5272
3600.000000, 78.766, 117.0435
3650.000000, 78.471, 118.8567
3700.000000, 78.220, 120.8775
3750.000000, 78.009, 122.9775
3820.000000, 77.763, 125.9161
3870.000000, 77.615, 128.0018
3950.000000, 77.424, 131.3222
4000.000000, 77.331, 133.3909
4060.000000, 77.240, 135.8780
4120.000000, 77.172, 138.3022
4180.000000, 77.126, 140.6555
4250.000000, 77.089, 143.3412
4310.000000, 77.070, 145.6002
4370.000000, 77.060, 147.8424
4440.000000, 77.065, 150.4360
4500.000000, 77.086, 152.6560
4550.000000, 77.119, 154.5332
4620.000000, 77.186, 157.1577
4680.000000, 77.271, 159.4377
4750.000000, 77.410, 162.0661
4820.000000, 77.596, 164.6170
4870.000000, 77.760, 166.3175
4940.000000, 78.038, 168.3961
5000.000000, 78.309, 169.8077
5080.000000, 78.686, 171.1387
5150.000000, 79.014, 171.7603
5220.000000, 79.321, 171.9638
5300.000000, 79.630, 171.7742
5380.000000, 79.888, 171.2278
5450.000000, 80.074, 170.5671
5520.000000, 80.228, 169.7918
5600.000000, 80.379, 168.7539
5700.000000, 80.551, 167.0724
5800.000000, 80.687, 164.4676
5900.000000, 80.650, 160.6002
6000.000000, 80.251, 156.2434
6080.000000, 79.641, 153.7168
6150.000000, 78.983, 152.9027
6220.000000, 78.312, 153.4289
6300.000000, 77.621, 155.3227
6400.000000, 76.938, 158.8668
6500.000000, 76.456, 163.0316
6600.000000, 76.148, 167.3535
