* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2024 8:29:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (Stock Foam M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.215, 11.0673
20.600000, 84.216, 10.5258
20.900000, 84.215, 9.9441
21.200001, 84.212, 9.3635
21.400000, 84.211, 8.9781
21.799999, 84.208, 8.2133
22.000000, 84.206, 7.8362
22.400000, 84.201, 7.0976
22.700001, 84.195, 6.5587
23.000000, 84.187, 6.0308
23.299999, 84.178, 5.5101
23.600000, 84.167, 4.9927
24.000000, 84.150, 4.3046
24.299999, 84.137, 3.7907
24.700001, 84.118, 3.1132
25.000000, 84.104, 2.6143
25.400000, 84.086, 1.9638
25.799999, 84.068, 1.3296
26.200001, 84.050, 0.7090
26.500000, 84.035, 0.2513
26.900000, 84.014, -0.3493
27.200001, 83.997, -0.7922
27.600000, 83.975, -1.3725
28.000000, 83.952, -1.9408
28.500000, 83.923, -2.6335
29.000000, 83.892, -3.3051
29.500000, 83.860, -3.9561
30.000000, 83.826, -4.5927
30.400000, 83.800, -5.0976
30.700001, 83.779, -5.4755
31.100000, 83.751, -5.9767
31.500000, 83.722, -6.4698
32.000000, 83.685, -7.0663
32.500000, 83.646, -7.6382
33.000000, 83.608, -8.1931
33.500000, 83.569, -8.7404
34.000000, 83.529, -9.2810
34.500000, 83.487, -9.8079
35.000000, 83.445, -10.3172
35.500000, 83.404, -10.8130
36.000000, 83.363, -11.3027
36.500000, 83.321, -11.7884
37.000000, 83.277, -12.2669
37.500000, 83.233, -12.7360
38.200001, 83.170, -13.3793
38.700001, 83.124, -13.8273
39.500000, 83.048, -14.5112
40.000000, 83.001, -14.9190
40.599998, 82.946, -15.4011
41.200001, 82.889, -15.8799
41.799999, 82.831, -16.3482
42.500000, 82.763, -16.8792
43.099998, 82.706, -17.3302
43.700001, 82.647, -17.7746
44.400002, 82.577, -18.2641
45.000000, 82.517, -18.6549
45.500000, 82.468, -18.9717
46.200001, 82.399, -19.4169
46.799999, 82.339, -19.7974
47.500000, 82.267, -20.2300
48.200001, 82.195, -20.6459
48.700001, 82.143, -20.9302
49.400002, 82.071, -21.3117
50.000000, 82.010, -21.6315
50.799999, 81.927, -22.0571
51.500000, 81.851, -22.4198
52.200001, 81.776, -22.7669
53.000000, 81.692, -23.1505
53.799999, 81.609, -23.5156
54.500000, 81.535, -23.8121
55.200001, 81.462, -24.0957
56.000000, 81.379, -24.4219
57.000000, 81.273, -24.8227
58.000000, 81.167, -25.1904
59.000000, 81.060, -25.5506
60.000000, 80.950, -25.8897
60.799999, 80.864, -26.1245
61.500000, 80.791, -26.3086
62.200001, 80.718, -26.4750
63.000000, 80.634, -26.6567
64.000000, 80.529, -26.9145
65.000000, 80.420, -27.1885
66.000000, 80.313, -27.4157
67.000000, 80.208, -27.5889
68.000000, 80.103, -27.7458
69.000000, 79.997, -27.9098
70.000000, 79.893, -28.0699
71.000000, 79.789, -28.1917
72.000000, 79.686, -28.2747
73.000000, 79.582, -28.3774
74.000000, 79.476, -28.4867
75.000000, 79.372, -28.5605
76.199997, 79.249, -28.6221
77.500000, 79.116, -28.6641
78.800003, 78.984, -28.6703
80.000000, 78.865, -28.6383
81.199997, 78.745, -28.6005
82.500000, 78.615, -28.5629
83.800003, 78.487, -28.4949
85.000000, 78.373, -28.4032
86.199997, 78.261, -28.3034
87.500000, 78.138, -28.1674
88.500000, 78.045, -28.0477
90.000000, 77.904, -27.8480
91.199997, 77.794, -27.6649
92.500000, 77.678, -27.4478
93.800003, 77.565, -27.2156
95.000000, 77.461, -26.9830
96.199997, 77.359, -26.7276
97.500000, 77.249, -26.4394
98.800003, 77.140, -26.1512
100.000000, 77.041, -25.8767
101.500000, 76.922, -25.5003
103.000000, 76.806, -25.0863
104.400002, 76.698, -24.7014
106.000000, 76.582, -24.2481
107.500000, 76.475, -23.7899
109.000000, 76.368, -23.3080
110.599998, 76.261, -22.7947
112.000000, 76.172, -22.3268
113.800003, 76.057, -21.7257
115.000000, 75.982, -21.3136
117.199997, 75.855, -20.5280
118.000000, 75.811, -20.2504
120.599998, 75.672, -19.3123
122.000000, 75.601, -18.7643
124.099998, 75.500, -17.9596
125.000000, 75.459, -17.6128
126.500000, 75.392, -17.0232
128.000000, 75.328, -16.4359
131.500000, 75.191, -15.0837
132.000000, 75.173, -14.8894
134.000000, 75.105, -14.0970
136.000000, 75.043, -13.2967
138.000000, 74.987, -12.5114
140.000000, 74.935, -11.7293
143.000000, 74.861, -10.5798
