* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 4, 2024 5:34:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.294, 10.5126
20.600000, 84.295, 10.0541
20.900000, 84.294, 9.5541
21.200001, 84.294, 9.0408
21.400000, 84.294, 8.6912
21.799999, 84.295, 7.9815
22.000000, 84.296, 7.6286
22.400000, 84.293, 6.9460
22.700001, 84.289, 6.4641
23.000000, 84.283, 6.0071
23.299999, 84.277, 5.5649
23.600000, 84.272, 5.1235
24.000000, 84.266, 4.5148
24.299999, 84.262, 4.0370
24.700001, 84.257, 3.3802
25.000000, 84.251, 2.8866
25.400000, 84.240, 2.2486
25.799999, 84.227, 1.6476
26.200001, 84.210, 1.0846
26.500000, 84.197, 0.6819
26.900000, 84.179, 0.1623
27.200001, 84.166, -0.2189
27.600000, 84.151, -0.7206
28.000000, 84.139, -1.2189
28.500000, 84.127, -1.8436
29.000000, 84.111, -2.4718
29.500000, 84.087, -3.0940
30.000000, 84.056, -3.6981
30.400000, 84.030, -4.1677
30.700001, 84.012, -4.5158
31.100000, 83.989, -4.9790
31.500000, 83.968, -5.4402
32.000000, 83.940, -6.0008
32.500000, 83.909, -6.5322
33.000000, 83.879, -7.0470
33.500000, 83.851, -7.5769
34.000000, 83.824, -8.1328
34.500000, 83.792, -8.6834
35.000000, 83.756, -9.1826
35.500000, 83.718, -9.6190
36.000000, 83.681, -10.0287
36.500000, 83.646, -10.4591
37.000000, 83.610, -10.9264
37.500000, 83.574, -11.4097
38.200001, 83.522, -12.0555
38.700001, 83.484, -12.4763
39.500000, 83.421, -13.1007
40.000000, 83.382, -13.4882
40.599998, 83.336, -13.9688
41.200001, 83.287, -14.4505
41.799999, 83.234, -14.9046
42.500000, 83.174, -15.4088
43.099998, 83.125, -15.8550
43.700001, 83.078, -16.3037
44.400002, 83.022, -16.7636
45.000000, 82.975, -17.0999
45.500000, 82.933, -17.3850
46.200001, 82.865, -17.8430
46.799999, 82.801, -18.2583
47.500000, 82.734, -18.6917
48.200001, 82.681, -19.0600
48.700001, 82.646, -19.3138
49.400002, 82.589, -19.6886
50.000000, 82.530, -20.0250
50.799999, 82.449, -20.4568
51.500000, 82.384, -20.8064
52.200001, 82.323, -21.1558
53.000000, 82.250, -21.5648
53.799999, 82.174, -21.9345
54.500000, 82.110, -22.2115
55.200001, 82.046, -22.4902
56.000000, 81.968, -22.8499
57.000000, 81.867, -23.3183
58.000000, 81.775, -23.7513
59.000000, 81.676, -24.1341
60.000000, 81.571, -24.4225
60.799999, 81.495, -24.6266
61.500000, 81.432, -24.8484
62.200001, 81.367, -25.1097
63.000000, 81.290, -25.3982
64.000000, 81.203, -25.6886
65.000000, 81.111, -25.9418
66.000000, 81.007, -26.1592
67.000000, 80.909, -26.3682
68.000000, 80.815, -26.6193
69.000000, 80.716, -26.8697
70.000000, 80.621, -27.1086
71.000000, 80.528, -27.2630
72.000000, 80.431, -27.3289
73.000000, 80.332, -27.4423
74.000000, 80.238, -27.6224
75.000000, 80.150, -27.7744
76.199997, 80.036, -27.8391
77.500000, 79.906, -27.9142
78.800003, 79.776, -28.0400
80.000000, 79.664, -28.0980
81.199997, 79.556, -28.1450
82.500000, 79.434, -28.2029
83.800003, 79.310, -28.2343
85.000000, 79.204, -28.1977
86.199997, 79.100, -28.1326
87.500000, 78.983, -28.1070
88.500000, 78.893, -28.0551
90.000000, 78.763, -27.8570
91.199997, 78.656, -27.7343
92.500000, 78.547, -27.6753
93.800003, 78.439, -27.6140
95.000000, 78.340, -27.4748
96.199997, 78.243, -27.2996
97.500000, 78.132, -27.1352
98.800003, 78.025, -26.9805
100.000000, 77.941, -26.7670
101.500000, 77.837, -26.5023
103.000000, 77.717, -26.2272
104.400002, 77.609, -25.9655
106.000000, 77.491, -25.6367
107.500000, 77.375, -25.3187
109.000000, 77.263, -24.9933
110.599998, 77.156, -24.5325
112.000000, 77.067, -24.1150
113.800003, 76.956, -23.6495
115.000000, 76.880, -23.3948
117.199997, 76.743, -22.8975
118.000000, 76.696, -22.6695
120.599998, 76.541, -21.7248
122.000000, 76.461, -21.2385
124.099998, 76.350, -20.6651
125.000000, 76.305, -20.4216
126.500000, 76.232, -19.9422
128.000000, 76.159, -19.4209
131.500000, 75.997, -18.3920
132.000000, 75.977, -18.2343
134.000000, 75.897, -17.5792
136.000000, 75.821, -16.9380
138.000000, 75.746, -16.3098
140.000000, 75.679, -15.5882
143.000000, 75.596, -14.5172
145.000000, 75.519, -13.8322
147.500000, 75.437, -12.9411
150.000000, 75.380, -12.1270
152.500000, 75.323, -11.3642
155.000000, 75.267, -10.6066
157.500000, 75.226, -9.8763
160.000000, 75.197, -9.0616
162.500000, 75.167, -8.2122
165.000000, 75.128, -7.3852
167.500000, 75.084, -6.6206
170.000000, 75.051, -5.9794
172.500000, 75.034, -5.3234
175.000000, 75.012, -4.5247
177.500000, 74.987, -3.7854
180.000000, 74.971, -3.1333
182.500000, 74.953, -2.4265
185.000000, 74.948, -1.8238
187.500000, 74.942, -1.2529
190.000000, 74.933, -0.5991
192.500000, 74.931, -0.0002
195.000000, 74.937, 0.5454
197.500000, 74.938, 1.0981
200.000000, 74.942, 1.6249
203.000000, 74.955, 2.2799
206.000000, 74.957, 2.8573
209.000000, 74.954, 3.4051
212.000000, 74.956, 3.9085
214.000000, 74.962, 4.2422
218.000000, 74.972, 5.0237
220.000000, 74.978, 5.3677
224.000000, 74.990, 6.0186
227.000000, 75.003, 6.5522
230.000000, 75.016, 7.0419
233.000000, 75.021, 7.4211
236.000000, 75.022, 7.8125
240.000000, 75.035, 8.4287
243.000000, 75.047, 8.8677
247.000000, 75.065, 9.3854
250.000000, 75.080, 9.7187
254.000000, 75.100, 10.1783
258.000000, 75.107, 10.6487
262.000000, 75.107, 11.1120
265.000000, 75.112, 11.4438
269.000000, 75.118, 11.8000
272.000000, 75.122, 12.1168
276.000000, 75.129, 12.5172
280.000000, 75.126, 12.8555
285.000000, 75.122, 13.3238
290.000000, 75.133, 13.8537
295.000000, 75.143, 14.2854
300.000000, 75.148, 14.6581
304.000000, 75.148, 15.0224
307.000000, 75.143, 15.3141
311.000000, 75.138, 15.6758
315.000000, 75.138, 15.9687
320.000000, 75.143, 16.3532
325.000000, 75.141, 16.7235
330.000000, 75.129, 17.1082
335.000000, 75.116, 17.4678
340.000000, 75.104, 17.8078
345.000000, 75.100, 18.1834
350.000000, 75.103, 18.5718
355.000000, 75.096, 18.9490
360.000000, 75.083, 19.3224
365.000000, 75.066, 19.6640
370.000000, 75.050, 19.9370
375.000000, 75.041, 20.2208
382.000000, 75.018, 20.7977
387.000000, 75.002, 21.1401
395.000000, 74.975, 21.5459
400.000000, 74.952, 21.8732
406.000000, 74.924, 22.3580
412.000000, 74.900, 22.8095
418.000000, 74.880, 23.2570
425.000000, 74.850, 23.7408
431.000000, 74.822, 24.1828
437.000000, 74.792, 24.6452
444.000000, 74.763, 25.0944
450.000000, 74.732, 25.4472
455.000000, 74.709, 25.7703
462.000000, 74.684, 26.2408
468.000000, 74.666, 26.7560
475.000000, 74.638, 27.3004
482.000000, 74.598, 27.7296
487.000000, 74.572, 28.0621
494.000000, 74.534, 28.5573
500.000000, 74.500, 29.0248
508.000000, 74.460, 29.6388
515.000000, 74.427, 30.2093
522.000000, 74.388, 30.8343
530.000000, 74.340, 31.4621
538.000000, 74.289, 32.0305
545.000000, 74.244, 32.5569
552.000000, 74.206, 33.0920
560.000000, 74.174, 33.7405
570.000000, 74.127, 34.5183
580.000000, 74.068, 35.3151
590.000000, 74.011, 36.1673
600.000000, 73.957, 37.0184
608.000000, 73.916, 37.7077
615.000000, 73.882, 38.3175
622.000000, 73.843, 38.8792
630.000000, 73.796, 39.5665
640.000000, 73.749, 40.5123
650.000000, 73.700, 41.4487
660.000000, 73.651, 42.4311
670.000000, 73.598, 43.4108
680.000000, 73.552, 44.3497
690.000000, 73.502, 45.2936
700.000000, 73.451, 46.2370
710.000000, 73.401, 47.2315
720.000000, 73.360, 48.2476
730.000000, 73.333, 49.3354
740.000000, 73.308, 50.4738
750.000000, 73.287, 51.5846
762.000000, 73.273, 52.9574
775.000000, 73.266, 54.3731
788.000000, 73.263, 55.7955
800.000000, 73.267, 56.9202
812.000000, 73.269, 58.1329
825.000000, 73.273, 59.4960
838.000000, 73.265, 60.8043
850.000000, 73.259, 61.9894
862.000000, 73.267, 63.1856
875.000000, 73.283, 64.5014
885.000000, 73.298, 65.4945
900.000000, 73.324, 67.0299
912.000000, 73.349, 68.2464
925.000000, 73.379, 69.5554
938.000000, 73.409, 70.8378
950.000000, 73.439, 72.0034
962.000000, 73.486, 73.1735
975.000000, 73.549, 74.4026
988.000000, 73.608, 75.6266
1000.000000, 73.663, 76.7434
1015.000000, 73.748, 77.9804
1030.000000, 73.838, 79.1579
1044.000000, 73.915, 80.2806
1060.000000, 73.997, 81.5083
1075.000000, 74.075, 82.5787
1090.000000, 74.164, 83.6263
1106.000000, 74.266, 84.6769
1120.000000, 74.347, 85.5324
1138.000000, 74.449, 86.6499
1150.000000, 74.520, 87.3534
1172.000000, 74.642, 88.4754
1180.000000, 74.682, 88.8722
1206.000000, 74.802, 90.1688
1220.000000, 74.865, 90.8079
1241.000000, 74.963, 91.7495
1250.000000, 75.006, 92.1600
