* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 26, 2024 4:24:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (UC M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 85.391, 6.4858
20.600000, 85.390, 6.0030
20.900000, 85.385, 5.4734
21.200001, 85.377, 4.9505
21.400000, 85.372, 4.6044
21.799999, 85.365, 3.9071
22.000000, 85.363, 3.5527
22.400000, 85.359, 2.8319
22.700001, 85.355, 2.2882
23.000000, 85.347, 1.7536
23.299999, 85.336, 1.2398
23.600000, 85.322, 0.7555
24.000000, 85.298, 0.1570
24.299999, 85.280, -0.2663
24.700001, 85.256, -0.8234
25.000000, 85.239, -1.2530
25.400000, 85.217, -1.8537
25.799999, 85.194, -2.4770
26.200001, 85.169, -3.0962
26.500000, 85.150, -3.5417
26.900000, 85.127, -4.1016
27.200001, 85.111, -4.4994
27.600000, 85.091, -5.0142
28.000000, 85.069, -5.5255
28.500000, 85.037, -6.1674
29.000000, 85.001, -6.8032
29.500000, 84.963, -7.4216
30.000000, 84.927, -8.0206
30.400000, 84.900, -8.4871
30.700001, 84.879, -8.8295
31.100000, 84.849, -9.2759
31.500000, 84.818, -9.7134
32.000000, 84.777, -10.2581
32.500000, 84.735, -10.8118
33.000000, 84.693, -11.3710
33.500000, 84.650, -11.9157
34.000000, 84.605, -12.4269
34.500000, 84.561, -12.9063
35.000000, 84.517, -13.3751
35.500000, 84.473, -13.8533
36.000000, 84.429, -14.3411
36.500000, 84.384, -14.8210
37.000000, 84.341, -15.2762
37.500000, 84.297, -15.7043
38.200001, 84.232, -16.2780
38.700001, 84.182, -16.6827
39.500000, 84.100, -17.3269
40.000000, 84.052, -17.7234
40.599998, 83.997, -18.1863
41.200001, 83.943, -18.6276
41.799999, 83.885, -19.0470
42.500000, 83.816, -19.5253
43.099998, 83.755, -19.9390
43.700001, 83.693, -20.3502
44.400002, 83.622, -20.8067
45.000000, 83.562, -21.1769
45.500000, 83.511, -21.4792
46.200001, 83.439, -21.8947
46.799999, 83.377, -22.2347
47.500000, 83.305, -22.6157
48.200001, 83.233, -23.0019
48.700001, 83.178, -23.2818
49.400002, 83.098, -23.6570
50.000000, 83.031, -23.9539
50.799999, 82.948, -24.3376
51.500000, 82.877, -24.6769
52.200001, 82.804, -25.0068
53.000000, 82.718, -25.3600
53.799999, 82.628, -25.6876
54.500000, 82.550, -25.9530
55.200001, 82.474, -26.2077
56.000000, 82.391, -26.4932
57.000000, 82.286, -26.8354
58.000000, 82.175, -27.2067
59.000000, 82.054, -27.5792
60.000000, 81.943, -27.8426
60.799999, 81.865, -28.0289
61.500000, 81.792, -28.1994
62.200001, 81.716, -28.3460
63.000000, 81.637, -28.5033
64.000000, 81.545, -28.7916
65.000000, 81.436, -29.0839
66.000000, 81.318, -29.2324
67.000000, 81.200, -29.3000
68.000000, 81.086, -29.3548
69.000000, 80.984, -29.4590
70.000000, 80.883, -29.5932
71.000000, 80.776, -29.7208
72.000000, 80.669, -29.8516
73.000000, 80.566, -29.9532
74.000000, 80.466, -29.9732
75.000000, 80.365, -29.9477
76.199997, 80.242, -30.0343
77.500000, 80.099, -30.1440
78.800003, 79.966, -30.0701
80.000000, 79.854, -29.9399
81.199997, 79.746, -29.9163
82.500000, 79.615, -29.9109
83.800003, 79.481, -29.7566
85.000000, 79.363, -29.5877
86.199997, 79.239, -29.4705
87.500000, 79.109, -29.3188
88.500000, 79.020, -29.1951
90.000000, 78.882, -28.8934
91.199997, 78.779, -28.6395
92.500000, 78.673, -28.4424
93.800003, 78.562, -28.2349
95.000000, 78.455, -28.0467
96.199997, 78.348, -27.7982
97.500000, 78.233, -27.4266
98.800003, 78.126, -27.0362
100.000000, 78.035, -26.7045
101.500000, 77.925, -26.3171
103.000000, 77.812, -25.9085
104.400002, 77.705, -25.4896
106.000000, 77.587, -25.0405
107.500000, 77.483, -24.6083
109.000000, 77.387, -24.1076
110.599998, 77.284, -23.5553
112.000000, 77.195, -23.0548
113.800003, 77.087, -22.4043
115.000000, 77.019, -21.9719
117.199997, 76.890, -21.1824
118.000000, 76.841, -20.8630
120.599998, 76.696, -19.7238
122.000000, 76.631, -19.1939
124.099998, 76.530, -18.4138
125.000000, 76.485, -18.0630
126.500000, 76.411, -17.4755
128.000000, 76.345, -16.9243
131.500000, 76.207, -15.5638
132.000000, 76.191, -15.3710
134.000000, 76.131, -14.5859
136.000000, 76.070, -13.7112
138.000000, 76.006, -12.8667
140.000000, 75.946, -12.0806
143.000000, 75.878, -10.8620
145.000000, 75.834, -10.0797
