* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 12, 2024 11:07:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Bluelover (Velvet M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 85.694, 9.4251
20.600000, 85.740, 8.9591
20.900000, 85.746, 8.3299
21.200001, 85.704, 7.6838
21.400000, 85.661, 7.2923
21.799999, 85.585, 6.6236
22.000000, 85.566, 6.3161
22.400000, 85.574, 5.6535
22.700001, 85.602, 5.0855
23.000000, 85.628, 4.4945
23.299999, 85.639, 3.9489
23.600000, 85.632, 3.4993
24.000000, 85.607, 3.0354
24.299999, 85.587, 2.7117
24.700001, 85.567, 2.1783
25.000000, 85.556, 1.6655
25.400000, 85.542, 0.8944
25.799999, 85.529, 0.1664
26.200001, 85.523, -0.4121
26.500000, 85.524, -0.7546
26.900000, 85.525, -1.1718
27.200001, 85.517, -1.5118
27.600000, 85.488, -2.0366
28.000000, 85.440, -2.6229
28.500000, 85.377, -3.3720
29.000000, 85.339, -4.0914
29.500000, 85.324, -4.7615
30.000000, 85.310, -5.3401
30.400000, 85.289, -5.7205
30.700001, 85.270, -5.9819
31.100000, 85.246, -6.3619
31.500000, 85.225, -6.8438
32.000000, 85.197, -7.5722
32.500000, 85.166, -8.2599
33.000000, 85.152, -8.7465
33.500000, 85.168, -9.1352
34.000000, 85.196, -9.6950
34.500000, 85.184, -10.5081
35.000000, 85.107, -11.3301
35.500000, 84.996, -11.8413
36.000000, 84.904, -11.9988
36.500000, 84.855, -12.0646
37.000000, 84.821, -12.2941
37.500000, 84.774, -12.7314
38.200001, 84.693, -13.5909
38.700001, 84.643, -14.3549
39.500000, 84.563, -15.5515
40.000000, 84.510, -15.9641
40.599998, 84.470, -16.0639
41.200001, 84.454, -16.0978
41.799999, 84.425, -16.3458
42.500000, 84.357, -16.8181
43.099998, 84.300, -17.2553
43.700001, 84.252, -17.7157
44.400002, 84.185, -18.1842
45.000000, 84.121, -18.4443
45.500000, 84.074, -18.6469
46.200001, 84.016, -19.1027
46.799999, 83.961, -19.6183
47.500000, 83.893, -20.1518
48.200001, 83.829, -20.5603
48.700001, 83.777, -20.8453
49.400002, 83.688, -21.2866
50.000000, 83.610, -21.6799
50.799999, 83.540, -22.1824
51.500000, 83.510, -22.5812
52.200001, 83.475, -22.9448
53.000000, 83.396, -23.3443
53.799999, 83.286, -23.7120
54.500000, 83.206, -24.0088
55.200001, 83.151, -24.3188
56.000000, 83.096, -24.6009
57.000000, 83.032, -24.7325
58.000000, 82.948, -25.1887
59.000000, 82.744, -25.8405
60.000000, 82.571, -26.0226
60.799999, 82.540, -26.2130
61.500000, 82.521, -26.3171
62.200001, 82.486, -26.1063
63.000000, 82.446, -25.9341
64.000000, 82.344, -26.6418
65.000000, 82.178, -27.5106
66.000000, 82.035, -27.6504
67.000000, 81.929, -27.5424
68.000000, 81.863, -28.0096
69.000000, 81.793, -28.6259
70.000000, 81.700, -28.6223
71.000000, 81.568, -28.6025
72.000000, 81.425, -28.8783
73.000000, 81.351, -29.1094
74.000000, 81.303, -29.1980
75.000000, 81.214, -29.2535
76.199997, 81.080, -29.2994
77.500000, 80.941, -29.2638
78.800003, 80.801, -29.3178
80.000000, 80.683, -29.3854
81.199997, 80.586, -29.4205
82.500000, 80.488, -29.4376
83.800003, 80.376, -29.3486
85.000000, 80.246, -29.3784
86.199997, 80.132, -29.4603
87.500000, 80.028, -29.4218
88.500000, 79.936, -29.3263
90.000000, 79.793, -29.1872
91.199997, 79.680, -29.0546
92.500000, 79.568, -28.8517
93.800003, 79.468, -28.6598
95.000000, 79.371, -28.5076
96.199997, 79.265, -28.3240
97.500000, 79.152, -28.1471
98.800003, 79.047, -28.0214
100.000000, 78.954, -27.7912
101.500000, 78.831, -27.4395
103.000000, 78.710, -27.1742
104.400002, 78.606, -26.9162
106.000000, 78.508, -26.5380
107.500000, 78.410, -26.1456
109.000000, 78.300, -25.7942
110.599998, 78.189, -25.4453
112.000000, 78.093, -25.1316
113.800003, 77.967, -24.5990
115.000000, 77.882, -24.1536
117.199997, 77.732, -23.3857
