* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 2, 2024 1:55:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Broken Blessing 2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 86.023, 13.5634
20.600000, 86.087, 13.0973
20.900000, 86.187, 12.6432
21.200001, 86.298, 12.1641
21.400000, 86.360, 11.8155
21.799999, 86.426, 11.1069
22.000000, 86.425, 10.7977
22.400000, 86.378, 10.3720
22.700001, 86.335, 10.2122
23.000000, 86.314, 10.0893
23.299999, 86.326, 9.8784
23.600000, 86.360, 9.5042
24.000000, 86.409, 8.8067
24.299999, 86.429, 8.2832
24.700001, 86.433, 7.8043
25.000000, 86.433, 7.6447
25.400000, 86.447, 7.5402
25.799999, 86.466, 7.2903
26.200001, 86.450, 6.7711
26.500000, 86.399, 6.3029
26.900000, 86.286, 5.8362
27.200001, 86.198, 5.7435
27.600000, 86.131, 5.9525
28.000000, 86.157, 6.2645
28.500000, 86.288, 6.2725
29.000000, 86.416, 5.7009
29.500000, 86.461, 4.9347
30.000000, 86.423, 4.4129
30.400000, 86.368, 4.2298
30.700001, 86.327, 4.1462
31.100000, 86.278, 3.9690
31.500000, 86.230, 3.6249
32.000000, 86.160, 3.0014
32.500000, 86.081, 2.3667
33.000000, 86.016, 1.8915
33.500000, 85.981, 1.5632
34.000000, 85.972, 1.2896
34.500000, 85.979, 1.0777
35.000000, 86.008, 1.0230
35.500000, 86.074, 1.1192
36.000000, 86.163, 1.1958
36.500000, 86.223, 1.0952
37.000000, 86.214, 0.8267
37.500000, 86.146, 0.4736
38.200001, 86.044, -0.1910
38.700001, 85.998, -0.7952
39.500000, 85.937, -1.3449
40.000000, 85.923, -1.1373
40.599998, 85.975, -0.8516
41.200001, 86.059, -1.3363
41.799999, 86.085, -2.4435
42.500000, 86.044, -3.1467
43.099998, 86.049, -2.7829
43.700001, 86.098, -2.3600
44.400002, 86.078, -2.7955
45.000000, 85.959, -3.6781
45.500000, 85.868, -4.2580
46.200001, 85.874, -4.5251
46.799999, 85.969, -4.5044
47.500000, 86.033, -4.5479
48.200001, 85.990, -4.8162
48.700001, 85.926, -5.1878
49.400002, 85.840, -5.8610
