* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 18, 2024 1:17:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Castor Pro Bass (DDUD W M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.137, -136.3137
20.600000, 81.191, -136.4770
20.900000, 81.242, -136.7205
21.200001, 81.283, -137.0328
21.400000, 81.309, -137.2789
21.799999, 81.372, -137.8723
22.000000, 81.411, -138.2220
22.400000, 81.499, -139.0053
22.700001, 81.567, -139.6162
23.000000, 81.629, -140.1820
23.299999, 81.682, -140.6486
23.600000, 81.728, -140.9901
24.000000, 81.790, -141.2816
24.299999, 81.842, -141.4440
24.700001, 81.920, -141.7006
25.000000, 81.981, -141.9723
25.400000, 82.056, -142.4430
25.799999, 82.121, -142.9755
26.200001, 82.174, -143.4890
26.500000, 82.211, -143.8334
26.900000, 82.261, -144.2401
27.200001, 82.300, -144.5243
27.600000, 82.354, -144.9056
28.000000, 82.410, -145.3089
28.500000, 82.478, -145.8412
29.000000, 82.543, -146.3765
29.500000, 82.606, -146.8923
30.000000, 82.668, -147.3892
30.400000, 82.718, -147.7848
30.700001, 82.755, -148.0866
31.100000, 82.803, -148.4978
31.500000, 82.849, -148.9126
32.000000, 82.898, -149.4117
32.500000, 82.940, -149.8620
33.000000, 82.980, -150.2690
33.500000, 83.026, -150.6855
34.000000, 83.082, -151.1718
34.500000, 83.138, -151.7287
35.000000, 83.187, -152.2799
35.500000, 83.225, -152.7369
36.000000, 83.259, -153.0889
36.500000, 83.295, -153.4183
37.000000, 83.334, -153.8174
37.500000, 83.371, -154.3002
38.200001, 83.425, -154.9920
38.700001, 83.467, -155.4256
39.500000, 83.535, -156.0445
40.000000, 83.566, -156.4272
40.599998, 83.593, -156.8871
41.200001, 83.622, -157.3518
41.799999, 83.659, -157.8425
42.500000, 83.700, -158.4334
43.099998, 83.726, -158.9100
43.700001, 83.750, -159.3529
44.400002, 83.786, -159.8823
45.000000, 83.819, -160.3736
45.500000, 83.843, -160.7985
46.200001, 83.864, -161.3865
46.799999, 83.874, -161.8630
47.500000, 83.892, -162.3768
48.200001, 83.926, -162.8635
48.700001, 83.955, -163.2094
49.400002, 83.988, -163.6959
50.000000, 84.004, -164.1172
50.799999, 84.022, -164.7018
51.500000, 84.042, -165.2234
52.200001, 84.066, -165.7221
53.000000, 84.092, -166.2711
53.799999, 84.110, -166.8192
54.500000, 84.120, -167.2780
55.200001, 84.132, -167.7102
56.000000, 84.146, -168.2027
57.000000, 84.162, -168.8457
58.000000, 84.176, -169.4797
59.000000, 84.190, -170.1012
60.000000, 84.200, -170.7934
60.799999, 84.206, -171.3639
61.500000, 84.210, -171.8122
62.200001, 84.211, -172.2066
63.000000, 84.206, -172.6388
64.000000, 84.203, -173.2350
65.000000, 84.203, -173.8802
66.000000, 84.197, -174.4979
67.000000, 84.188, -175.1033
68.000000, 84.188, -175.6609
69.000000, 84.190, -176.1172
70.000000, 84.183, -176.5424
71.000000, 84.176, -177.1023
72.000000, 84.171, -177.7809
73.000000, 84.163, -178.3581
74.000000, 84.157, -178.8564
75.000000, 84.145, -179.3829
76.199997, 84.123, 179.9919
77.500000, 84.099, 179.2952
78.800003, 84.072, 178.6379
80.000000, 84.048, 178.1124
81.199997, 84.019, 177.5410
82.500000, 83.991, 176.8890
83.800003, 83.960, 176.2611
85.000000, 83.928, 175.7331
86.199997, 83.895, 175.1833
87.500000, 83.854, 174.5907
88.500000, 83.824, 174.1447
90.000000, 83.790, 173.4774
91.199997, 83.759, 172.9485
92.500000, 83.717, 172.3975
93.800003, 83.674, 171.8937
95.000000, 83.636, 171.4362
96.199997, 83.594, 170.9636
97.500000, 83.547, 170.4435
98.800003, 83.498, 169.9038
100.000000, 83.451, 169.4393
101.500000, 83.393, 168.9172
103.000000, 83.335, 168.4051
104.400002, 83.279, 167.8979
106.000000, 83.211, 167.3137
107.500000, 83.146, 166.7597
109.000000, 83.084, 166.2602
110.599998, 83.017, 165.7678
112.000000, 82.954, 165.3535
113.800003, 82.867, 164.7926
115.000000, 82.806, 164.4155
117.199997, 82.697, 163.7789
118.000000, 82.660, 163.5707
120.599998, 82.536, 162.8890
122.000000, 82.463, 162.4532
124.099998, 82.356, 161.8709
125.000000, 82.308, 161.6430
126.500000, 82.224, 161.2739
128.000000, 82.143, 160.8884
131.500000, 81.957, 160.1160
132.000000, 81.930, 160.0154
134.000000, 81.815, 159.6128
136.000000, 81.698, 159.1881
138.000000, 81.584, 158.7382
140.000000, 81.467, 158.3841
143.000000, 81.291, 157.9626
145.000000, 81.171, 157.6565
147.500000, 81.016, 157.2472
150.000000, 80.866, 156.8605
152.500000, 80.719, 156.5788
155.000000, 80.565, 156.2796
157.500000, 80.400, 155.9848
160.000000, 80.231, 155.7916
162.500000, 80.078, 155.5784
165.000000, 79.924, 155.3983
167.500000, 79.756, 155.4847
170.000000, 79.608, 155.5066
172.500000, 79.456, 155.3215
175.000000, 79.288, 155.1779
177.500000, 79.124, 155.1221
180.000000, 78.958, 155.1997
182.500000, 78.787, 155.3160
