* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 18, 2024 1:18:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Castor Pro Bass (DDUU W M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 79.798, -136.4913
20.600000, 79.823, -136.7111
20.900000, 79.878, -136.9750
21.200001, 79.959, -137.3149
21.400000, 80.022, -137.5922
21.799999, 80.150, -138.2175
22.000000, 80.208, -138.5247
22.400000, 80.310, -139.0428
22.700001, 80.379, -139.3323
23.000000, 80.446, -139.5753
23.299999, 80.514, -139.8344
23.600000, 80.578, -140.1618
24.000000, 80.651, -140.7221
24.299999, 80.691, -141.1932
24.700001, 80.731, -141.7854
25.000000, 80.757, -142.1492
25.400000, 80.802, -142.5204
25.799999, 80.865, -142.8344
26.200001, 80.940, -143.1948
26.500000, 80.997, -143.5312
26.900000, 81.061, -144.0525
27.200001, 81.099, -144.4579
27.600000, 81.142, -144.9514
28.000000, 81.188, -145.3489
28.500000, 81.264, -145.7418
29.000000, 81.362, -146.1477
29.500000, 81.456, -146.6695
30.000000, 81.519, -147.2793
30.400000, 81.543, -147.7505
30.700001, 81.552, -148.0613
31.100000, 81.562, -148.4177
31.500000, 81.582, -148.7498
32.000000, 81.623, -149.2121
32.500000, 81.671, -149.7454
33.000000, 81.711, -150.2501
33.500000, 81.745, -150.5999
34.000000, 81.787, -150.7794
34.500000, 81.850, -150.9292
35.000000, 81.928, -151.2385
35.500000, 81.998, -151.7861
36.000000, 82.043, -152.4733
36.500000, 82.066, -153.1105
37.000000, 82.085, -153.5852
37.500000, 82.122, -153.9584
38.200001, 82.194, -154.6087
38.700001, 82.235, -155.2355
39.500000, 82.257, -156.1788
40.000000, 82.266, -156.5437
40.599998, 82.296, -156.8199
41.200001, 82.337, -157.1187
41.799999, 82.376, -157.5279
42.500000, 82.427, -158.1286
43.099998, 82.477, -158.7500
43.700001, 82.506, -159.3897
44.400002, 82.507, -159.9178
45.000000, 82.531, -160.2287
45.500000, 82.596, -160.6762
46.200001, 82.712, -161.8415
46.799999, 82.755, -162.9380
47.500000, 82.724, -163.5072
48.200001, 82.695, -163.2583
48.700001, 82.713, -163.1012
49.400002, 82.768, -163.5127
50.000000, 82.799, -164.2736
50.799999, 82.815, -165.0376
51.500000, 82.834, -165.2496
52.200001, 82.851, -165.4623
53.000000, 82.834, -166.0171
53.799999, 82.811, -166.6458
54.500000, 82.826, -167.1071
55.200001, 82.860, -167.5867
56.000000, 82.878, -168.1878
57.000000, 82.879, -168.7202
58.000000, 82.906, -168.9134
59.000000, 82.930, -169.2829
60.000000, 82.921, -170.1188
60.799999, 82.917, -170.8843
61.500000, 82.925, -171.4308
62.200001, 82.932, -171.8282
63.000000, 82.932, -172.2304
64.000000, 82.926, -172.8599
65.000000, 82.917, -173.4987
66.000000, 82.915, -174.0413
67.000000, 82.909, -174.6368
68.000000, 82.902, -175.1839
69.000000, 82.910, -175.6084
70.000000, 82.916, -176.0689
71.000000, 82.910, -176.6305
72.000000, 82.894, -177.2615
73.000000, 82.871, -177.8533
74.000000, 82.852, -178.3592
75.000000, 82.836, -178.8578
76.199997, 82.812, -179.4640
77.500000, 82.786, 179.8761
78.800003, 82.760, 179.2431
80.000000, 82.736, 178.6501
81.199997, 82.710, 178.0306
82.500000, 82.677, 177.4216
83.800003, 82.638, 176.8335
85.000000, 82.604, 176.2689
86.199997, 82.578, 175.7136
87.500000, 82.543, 175.1531
88.500000, 82.513, 174.7812
90.000000, 82.460, 174.2124
91.199997, 82.408, 173.7175
92.500000, 82.362, 173.1653
93.800003, 82.321, 172.6340
95.000000, 82.280, 172.1560
96.199997, 82.241, 171.6706
97.500000, 82.193, 171.1615
98.800003, 82.137, 170.7009
100.000000, 82.089, 170.2735
101.500000, 82.029, 169.7088
103.000000, 81.961, 169.1205
104.400002, 81.900, 168.6476
106.000000, 81.831, 168.1927
107.500000, 81.764, 167.7425
109.000000, 81.697, 167.2524
110.599998, 81.623, 166.7459
112.000000, 81.555, 166.3138
113.800003, 81.466, 165.7626
115.000000, 81.404, 165.4278
117.199997, 81.286, 164.8432
118.000000, 81.244, 164.6262
120.599998, 81.111, 163.9510
122.000000, 81.036, 163.6338
124.099998, 80.925, 163.1659
125.000000, 80.877, 162.9658
126.500000, 80.793, 162.6069
128.000000, 80.708, 162.2547
131.500000, 80.501, 161.5451
132.000000, 80.470, 161.4542
134.000000, 80.353, 161.1309
136.000000, 80.233, 160.8210
138.000000, 80.109, 160.4649
140.000000, 79.987, 160.1324
143.000000, 79.808, 159.7107
