* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 24, 2024 9:55:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Castor Pro Bass (UDDD F)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 82.579, -144.8369
20.600000, 82.613, -145.1825
20.900000, 82.646, -145.6002
21.200001, 82.676, -146.0387
21.400000, 82.695, -146.3317
21.799999, 82.739, -146.9036
22.000000, 82.765, -147.1810
22.400000, 82.824, -147.7264
22.700001, 82.872, -148.1339
23.000000, 82.919, -148.5418
23.299999, 82.961, -148.9462
23.600000, 82.998, -149.3418
24.000000, 83.042, -149.8509
24.299999, 83.073, -150.2218
24.700001, 83.115, -150.7115
25.000000, 83.148, -151.0793
25.400000, 83.191, -151.5676
25.799999, 83.232, -152.0436
26.200001, 83.271, -152.4998
26.500000, 83.298, -152.8311
26.900000, 83.334, -153.2688
27.200001, 83.360, -153.6018
27.600000, 83.396, -154.0571
28.000000, 83.432, -154.5211
28.500000, 83.477, -155.0944
29.000000, 83.518, -155.6374
29.500000, 83.555, -156.1432
30.000000, 83.591, -156.6287
30.400000, 83.619, -157.0208
30.700001, 83.640, -157.3221
31.100000, 83.668, -157.7303
31.500000, 83.694, -158.1329
32.000000, 83.724, -158.6133
32.500000, 83.751, -159.0823
33.000000, 83.772, -159.5820
33.500000, 83.783, -160.1322
34.000000, 83.786, -160.6968
34.500000, 83.792, -161.2174
35.000000, 83.813, -161.6765
35.500000, 83.850, -162.1080
36.000000, 83.890, -162.5452
36.500000, 83.922, -162.9831
37.000000, 83.943, -163.4025
37.500000, 83.959, -163.8097
38.200001, 83.980, -164.4003
38.700001, 83.992, -164.8289
39.500000, 84.006, -165.4535
40.000000, 84.016, -165.8135
40.599998, 84.030, -166.2656
41.200001, 84.044, -166.7571
41.799999, 84.060, -167.2665
42.500000, 84.078, -167.8534
43.099998, 84.089, -168.3354
43.700001, 84.092, -168.7917
44.400002, 84.091, -169.3004
45.000000, 84.093, -169.7190
45.500000, 84.098, -170.0495
46.200001, 84.114, -170.4943
46.799999, 84.129, -170.8885
47.500000, 84.139, -171.3799
48.200001, 84.139, -171.8894
48.700001, 84.135, -172.2577
49.400002, 84.129, -172.7677
50.000000, 84.125, -173.1770
50.799999, 84.127, -173.6816
51.500000, 84.134, -174.1322
52.200001, 84.136, -174.5930
53.000000, 84.128, -175.0517
53.799999, 84.118, -175.4421
54.500000, 84.115, -175.8355
55.200001, 84.113, -176.3069
56.000000, 84.108, -176.8618
57.000000, 84.087, -177.4705
58.000000, 84.054, -177.9291
59.000000, 84.057, -178.4922
60.000000, 84.064, -179.2301
60.799999, 84.049, -179.6619
61.500000, 84.031, -179.9607
62.200001, 84.013, 179.7291
63.000000, 84.009, 179.3572
64.000000, 84.026, 178.7747
65.000000, 84.007, 178.2092
66.000000, 83.973, 177.8127
67.000000, 83.945, 177.2927
68.000000, 83.912, 176.7151
69.000000, 83.891, 176.2042
70.000000, 83.877, 175.7544
71.000000, 83.856, 175.3234
72.000000, 83.825, 174.8663
73.000000, 83.797, 174.3768
74.000000, 83.766, 173.8880
75.000000, 83.730, 173.4744
76.199997, 83.701, 172.9864
77.500000, 83.667, 172.4313
78.800003, 83.619, 171.9059
80.000000, 83.571, 171.4449
81.199997, 83.532, 170.9839
82.500000, 83.496, 170.5252
83.800003, 83.465, 170.0884
85.000000, 83.430, 169.5240
86.199997, 83.384, 168.9431
87.500000, 83.329, 168.4660
88.500000, 83.290, 168.0830
90.000000, 83.233, 167.5584
91.199997, 83.189, 167.2192
92.500000, 83.135, 166.7836
93.800003, 83.079, 166.3166
95.000000, 83.027, 165.9093
96.199997, 82.978, 165.5237
97.500000, 82.930, 165.1041
98.800003, 82.886, 164.6638
100.000000, 82.841, 164.2908
101.500000, 82.769, 163.8610
103.000000, 82.691, 163.4329
104.400002, 82.626, 163.0010
106.000000, 82.551, 162.5490
107.500000, 82.479, 162.1325
109.000000, 82.409, 161.6825
110.599998, 82.332, 161.2557
112.000000, 82.258, 160.9349
113.800003, 82.169, 160.5412
115.000000, 82.113, 160.2460
117.199997, 82.003, 159.6915
118.000000, 81.961, 159.4972
120.599998, 81.828, 158.8502
122.000000, 81.761, 158.5899
124.099998, 81.649, 158.2835
125.000000, 81.598, 158.1345
126.500000, 81.512, 157.8495
128.000000, 81.427, 157.5176
131.500000, 81.237, 156.9106
132.000000, 81.210, 156.8297
134.000000, 81.093, 156.4296
136.000000, 80.975, 156.0551
138.000000, 80.865, 155.6580
140.000000, 80.754, 155.3375
143.000000, 80.573, 155.0922
145.000000, 80.450, 154.8294
147.500000, 80.306, 154.4456
150.000000, 80.164, 154.1781
152.500000, 80.009, 153.9697
155.000000, 79.856, 153.7885
157.500000, 79.695, 153.6227
160.000000, 79.540, 153.5619
162.500000, 79.394, 153.5370
165.000000, 79.233, 153.3754
167.500000, 79.079, 153.2415
170.000000, 78.924, 153.1029
172.500000, 78.765, 153.1217
175.000000, 78.607, 153.1801
177.500000, 78.444, 153.2543
180.000000, 78.289, 153.3212
182.500000, 78.132, 153.3747
185.000000, 77.978, 153.4518
187.500000, 77.821, 153.5224
190.000000, 77.659, 153.5819
192.500000, 77.501, 153.7130
195.000000, 77.349, 153.9419
197.500000, 77.202, 154.2297
200.000000, 77.051, 154.4859
203.000000, 76.858, 154.8101
206.000000, 76.667, 155.3177
209.000000, 76.474, 155.8442
212.000000, 76.285, 156.2547
214.000000, 76.164, 156.5302
218.000000, 75.925, 157.1940
220.000000, 75.811, 157.5714
224.000000, 75.599, 158.3997
227.000000, 75.429, 158.9734
230.000000, 75.249, 159.6416
233.000000, 75.081, 160.3335
236.000000, 74.918, 160.9491
240.000000, 74.711, 161.9016
243.000000, 74.563, 162.6884
247.000000, 74.372, 163.7703
250.000000, 74.240, 164.6552
254.000000, 74.044, 165.9794
258.000000, 73.850, 167.2016
262.000000, 73.682, 168.5236
265.000000, 73.560, 169.5992
269.000000, 73.407, 170.8958
272.000000, 73.309, 171.7774
276.000000, 73.170, 173.0302
280.000000, 73.027, 174.4671
285.000000, 72.873, 176.3466
290.000000, 72.734, 178.1785
295.000000, 72.595, 179.9017
300.000000, 72.480, -178.3297
304.000000, 72.421, -176.8906
307.000000, 72.384, -175.7987
311.000000, 72.335, -174.4358
315.000000, 72.283, -173.1040
320.000000, 72.206, -171.3342
325.000000, 72.147, -169.4518
330.000000, 72.117, -167.6855
335.000000, 72.099, -166.0957
340.000000, 72.082, -164.6413
345.000000, 72.086, -163.0963
350.000000, 72.098, -161.4687
355.000000, 72.096, -159.8446
360.000000, 72.097, -158.3700
365.000000, 72.111, -156.9714
370.000000, 72.134, -155.6454
375.000000, 72.157, -154.3217
382.000000, 72.176, -152.4134
387.000000, 72.197, -151.2122
395.000000, 72.268, -149.3759
400.000000, 72.315, -148.2111
406.000000, 72.382, -146.8855
412.000000, 72.449, -145.5346
418.000000, 72.501, -144.2539
425.000000, 72.559, -143.0430
431.000000, 72.602, -141.9737
437.000000, 72.652, -140.7162
444.000000, 72.719, -139.4256
450.000000, 72.771, -138.4073
455.000000, 72.816, -137.5411
462.000000, 72.890, -136.3689
468.000000, 72.947, -135.4211
475.000000, 73.003, -134.4658
482.000000, 73.048, -133.5730
487.000000, 73.083, -132.8718
494.000000, 73.148, -131.7638
500.000000, 73.199, -130.8878
508.000000, 73.259, -129.8882
515.000000, 73.313, -129.0056
522.000000, 73.362, -128.0287
530.000000, 73.414, -126.8824
538.000000, 73.464, -125.9299
545.000000, 73.500, -125.1236
552.000000, 73.539, -124.2784
560.000000, 73.595, -123.3803
570.000000, 73.666, -122.1936
580.000000, 73.726, -121.0982
590.000000, 73.787, -120.0524
600.000000, 73.839, -118.9947
608.000000, 73.882, -118.1330
615.000000, 73.915, -117.3872
622.000000, 73.949, -116.7212
630.000000, 73.992, -115.9395
640.000000, 74.048, -114.9173
650.000000, 74.092, -113.9792
660.000000, 74.101, -113.1011
670.000000, 74.087, -111.8979
680.000000, 74.107, -110.4904
690.000000, 74.158, -109.2408
700.000000, 74.221, -108.1023
710.000000, 74.285, -107.0140
720.000000, 74.348, -105.9487
730.000000, 74.407, -104.8695
740.000000, 74.454, -103.8006
750.000000, 74.497, -102.7784
762.000000, 74.556, -101.5247
775.000000, 74.623, -100.2172
788.000000, 74.693, -98.8867
800.000000, 74.765, -97.6206
