* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 17, 2024 11:53:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Castor Pro Bass (UDDD W M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.202, -146.7316
20.600000, 84.242, -147.2153
20.900000, 84.274, -147.7162
21.200001, 84.298, -148.1368
21.400000, 84.313, -148.3634
21.799999, 84.357, -148.7195
22.000000, 84.390, -148.8781
22.400000, 84.475, -149.2328
22.700001, 84.546, -149.5682
23.000000, 84.613, -149.9653
23.299999, 84.668, -150.4000
23.600000, 84.707, -150.8385
24.000000, 84.737, -151.3852
24.299999, 84.750, -151.7575
24.700001, 84.769, -152.2268
25.000000, 84.790, -152.5840
25.400000, 84.829, -153.0913
25.799999, 84.878, -153.6248
26.200001, 84.930, -154.1448
26.500000, 84.969, -154.5023
26.900000, 85.017, -154.9274
27.200001, 85.051, -155.2206
27.600000, 85.090, -155.6111
28.000000, 85.121, -156.0332
28.500000, 85.150, -156.6149
29.000000, 85.172, -157.2164
29.500000, 85.198, -157.7894
30.000000, 85.230, -158.3168
30.400000, 85.260, -158.7128
30.700001, 85.282, -159.0008
31.100000, 85.313, -159.3802
31.500000, 85.344, -159.7646
32.000000, 85.382, -160.2673
32.500000, 85.418, -160.7952
33.000000, 85.445, -161.3195
33.500000, 85.464, -161.8011
34.000000, 85.479, -162.2256
34.500000, 85.496, -162.6180
35.000000, 85.519, -163.0223
35.500000, 85.545, -163.4723
36.000000, 85.567, -163.9706
36.500000, 85.582, -164.4875
37.000000, 85.592, -164.9804
37.500000, 85.604, -165.4232
38.200001, 85.637, -165.9830
38.700001, 85.669, -166.3755
39.500000, 85.708, -167.0032
40.000000, 85.719, -167.3908
40.599998, 85.726, -167.8826
41.200001, 85.731, -168.4218
41.799999, 85.740, -168.9551
42.500000, 85.760, -169.4957
43.099998, 85.780, -169.9229
43.700001, 85.791, -170.3774
44.400002, 85.788, -170.9235
45.000000, 85.788, -171.3680
45.500000, 85.797, -171.7355
46.200001, 85.812, -172.2729
46.799999, 85.816, -172.7210
47.500000, 85.811, -173.1666
48.200001, 85.812, -173.5386
48.700001, 85.816, -173.7979
49.400002, 85.821, -174.2010
50.000000, 85.818, -174.5968
50.799999, 85.812, -175.1570
51.500000, 85.823, -175.6411
52.200001, 85.847, -176.1472
53.000000, 85.854, -176.7622
53.799999, 85.831, -177.3180
54.500000, 85.815, -177.7196
55.200001, 85.817, -178.0992
56.000000, 85.819, -178.5689
57.000000, 85.785, -179.2085
58.000000, 85.756, -179.8310
59.000000, 85.778, 179.6093
60.000000, 85.790, 179.1369
60.799999, 85.770, 178.7668
61.500000, 85.747, 178.3825
62.200001, 85.731, 177.9728
63.000000, 85.725, 177.5380
64.000000, 85.714, 176.9955
65.000000, 85.689, 176.4522
66.000000, 85.670, 175.9587
67.000000, 85.649, 175.4591
68.000000, 85.614, 174.9492
