* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 18, 2024 1:50:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Castor Pro Bass (UDDD S M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 82.907, -146.9084
20.600000, 83.374, -148.0085
20.900000, 83.861, -149.3226
21.200001, 84.208, -150.4681
21.400000, 84.336, -150.9988
21.799999, 84.368, -151.2856
22.000000, 84.311, -151.0308
22.400000, 84.181, -150.0023
22.700001, 84.159, -149.2152
23.000000, 84.242, -148.8488
23.299999, 84.407, -149.1033
23.600000, 84.596, -149.9020
24.000000, 84.781, -151.3316
24.299999, 84.821, -152.2624
24.700001, 84.741, -152.8848
25.000000, 84.625, -152.8254
25.400000, 84.502, -152.3403
25.799999, 84.513, -152.0138
26.200001, 84.678, -152.3463
26.500000, 84.862, -153.0082
26.900000, 85.099, -154.0420
27.200001, 85.224, -154.6324
27.600000, 85.287, -154.9569
28.000000, 85.236, -154.9050
28.500000, 85.065, -155.1011
29.000000, 84.852, -156.4725
29.500000, 84.686, -158.8694
30.000000, 84.651, -160.9111
30.400000, 84.747, -161.3938
30.700001, 84.879, -161.0480
31.100000, 85.091, -160.0826
31.500000, 85.270, -159.2444
32.000000, 85.356, -159.1188
32.500000, 85.290, -160.0804
33.000000, 85.199, -161.4757
33.500000, 85.225, -162.5062
34.000000, 85.386, -162.8482
34.500000, 85.563, -162.7723
35.000000, 85.623, -162.7172
35.500000, 85.521, -162.9342
36.000000, 85.332, -163.4036
36.500000, 85.188, -163.9367
37.000000, 85.185, -164.3935
37.500000, 85.294, -164.8229
38.200001, 85.432, -165.5724
38.700001, 85.434, -166.1585
39.500000, 85.399, -166.9082
40.000000, 85.455, -167.3142
40.599998, 85.554, -167.7599
41.200001, 85.575, -167.8385
41.799999, 85.527, -167.4046
42.500000, 85.515, -167.1059
43.099998, 85.557, -167.8254
43.700001, 85.563, -169.1395
44.400002, 85.513, -170.3684
45.000000, 85.500, -171.0658
45.500000, 85.526, -171.7428
46.200001, 85.549, -172.7787
46.799999, 85.529, -173.1218
47.500000, 85.525, -172.6808
48.200001, 85.588, -172.3660
48.700001, 85.641, -172.7327
49.400002, 85.672, -173.8088
50.000000, 85.664, -174.6750
50.799999, 85.649, -175.5160
51.500000, 85.631, -176.2449
52.200001, 85.607, -176.8416
53.000000, 85.608, -176.9491
53.799999, 85.637, -176.8603
54.500000, 85.636, -177.2853
55.200001, 85.609, -178.1602
56.000000, 85.597, -179.0209
57.000000, 85.585, -179.2006
58.000000, 85.495, -179.1260
59.000000, 85.408, -179.6886
60.000000, 85.397, 179.6575
60.799999, 85.428, 179.3627
61.500000, 85.472, 178.9847
62.200001, 85.516, 178.4625
63.000000, 85.539, 178.0888
64.000000, 85.521, 177.9293
65.000000, 85.461, 177.2585
66.000000, 85.416, 176.4451
67.000000, 85.441, 175.8476
68.000000, 85.435, 174.9921
69.000000, 85.383, 174.2850
70.000000, 85.348, 174.0172
71.000000, 85.312, 173.8474
72.000000, 85.296, 173.5947
73.000000, 85.310, 173.2749
74.000000, 85.290, 172.7841
75.000000, 85.246, 172.1058
76.199997, 85.237, 171.2479
77.500000, 85.215, 170.6707
78.800003, 85.177, 170.5235
80.000000, 85.124, 170.2394
81.199997, 85.080, 169.7159
82.500000, 85.049, 169.0399
83.800003, 84.969, 168.6012
85.000000, 84.898, 168.1755
86.199997, 84.860, 167.6840
87.500000, 84.848, 167.0751
88.500000, 84.833, 166.5951
90.000000, 84.756, 166.0549
91.199997, 84.687, 165.6615
92.500000, 84.648, 165.2563
93.800003, 84.598, 164.8436
95.000000, 84.538, 164.3256
96.199997, 84.479, 163.7595
97.500000, 84.434, 163.2009
98.800003, 84.418, 162.8141
100.000000, 84.383, 162.5340
101.500000, 84.286, 162.0050
103.000000, 84.192, 161.3915
104.400002, 84.138, 161.0024
106.000000, 84.074, 160.6846
107.500000, 83.996, 160.3699
109.000000, 83.904, 159.9700
110.599998, 83.821, 159.4608
112.000000, 83.767, 159.0034
113.800003, 83.693, 158.5944
115.000000, 83.635, 158.3282
117.199997, 83.495, 157.7766
118.000000, 83.447, 157.6129
120.599998, 83.303, 156.9351
122.000000, 83.238, 156.6098
124.099998, 83.164, 156.1119
125.000000, 83.120, 155.8952
126.500000, 83.029, 155.5351
128.000000, 82.942, 155.1482
131.500000, 82.754, 154.5962
132.000000, 82.725, 154.5557
134.000000, 82.619, 154.3469
136.000000, 82.515, 153.9267
138.000000, 82.400, 153.4457
140.000000, 82.287, 153.1533
143.000000, 82.119, 152.8278
145.000000, 81.997, 152.6683
147.500000, 81.824, 152.2876
150.000000, 81.669, 151.9825
152.500000, 81.551, 151.7959
155.000000, 81.419, 151.4846
157.500000, 81.271, 151.1696
160.000000, 81.100, 150.9000
162.500000, 80.918, 150.6954
165.000000, 80.776, 150.5844
