* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 18, 2024 2:33:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Castor Pro Bass (UDDD P M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.081, -148.1601
20.600000, 84.136, -148.2378
20.900000, 84.173, -148.3171
21.200001, 84.186, -148.4619
21.400000, 84.188, -148.6301
21.799999, 84.186, -149.1645
22.000000, 84.183, -149.5011
22.400000, 84.174, -150.1456
22.700001, 84.167, -150.4597
23.000000, 84.171, -150.5609
23.299999, 84.197, -150.5049
23.600000, 84.252, -150.4535
24.000000, 84.363, -150.7161
24.299999, 84.455, -151.3048
24.700001, 84.558, -152.5357
25.000000, 84.609, -153.5761
25.400000, 84.651, -154.7327
25.799999, 84.688, -155.3492
26.200001, 84.741, -155.4605
26.500000, 84.791, -155.3965
26.900000, 84.850, -155.4027
27.200001, 84.875, -155.5926
27.600000, 84.884, -156.1126
28.000000, 84.885, -156.8386
28.500000, 84.927, -157.8333
29.000000, 85.024, -158.7554
29.500000, 85.121, -159.4828
30.000000, 85.152, -159.9128
30.400000, 85.125, -160.0457
30.700001, 85.091, -160.0872
31.100000, 85.053, -160.1945
31.500000, 85.046, -160.4926
32.000000, 85.083, -161.1519
32.500000, 85.143, -161.8916
33.000000, 85.200, -162.4057
33.500000, 85.243, -162.6222
34.000000, 85.273, -162.7399
34.500000, 85.292, -163.0182
35.000000, 85.298, -163.5497
35.500000, 85.299, -164.2265
36.000000, 85.305, -164.8783
36.500000, 85.328, -165.4207
37.000000, 85.368, -165.8995
37.500000, 85.410, -166.4106
38.200001, 85.434, -167.2175
38.700001, 85.418, -167.7582
39.500000, 85.379, -168.4310
40.000000, 85.381, -168.8450
40.599998, 85.408, -169.4368
41.200001, 85.434, -169.9930
41.799999, 85.451, -170.3683
42.500000, 85.462, -170.7722
43.099998, 85.462, -171.3027
43.700001, 85.463, -171.8714
44.400002, 85.500, -172.2973
45.000000, 85.539, -172.5248
45.500000, 85.526, -172.7112
46.200001, 85.429, -172.9370
46.799999, 85.371, -173.1968
47.500000, 85.422, -173.9126
48.200001, 85.512, -174.8840
48.700001, 85.534, -175.3295
49.400002, 85.517, -175.5056
50.000000, 85.508, -175.7743
50.799999, 85.514, -176.7826
51.500000, 85.514, -177.6153
52.200001, 85.512, -177.8205
53.000000, 85.511, -177.8001
53.799999, 85.498, -178.3008
54.500000, 85.483, -179.0021
55.200001, 85.475, -179.4733
56.000000, 85.463, -179.7421
57.000000, 85.421, 179.6132
58.000000, 85.442, 178.6076
59.000000, 85.541, 177.5367
60.000000, 85.528, 176.8745
60.799999, 85.455, 176.8801
61.500000, 85.371, 176.9141
