* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 18, 2024 1:16:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Castor Pro Bass (UUDD W M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 85.218, -148.4411
20.600000, 85.243, -148.8513
20.900000, 85.271, -149.2982
21.200001, 85.301, -149.7299
21.400000, 85.325, -150.0090
21.799999, 85.382, -150.5469
22.000000, 85.415, -150.8018
22.400000, 85.484, -151.2699
22.700001, 85.538, -151.5851
23.000000, 85.593, -151.8870
23.299999, 85.645, -152.2040
23.600000, 85.693, -152.5632
24.000000, 85.743, -153.1244
24.299999, 85.769, -153.5901
24.700001, 85.790, -154.2156
25.000000, 85.804, -154.6544
25.400000, 85.828, -155.1826
25.799999, 85.864, -155.6687
26.200001, 85.907, -156.1483
26.500000, 85.938, -156.5111
26.900000, 85.973, -156.9845
27.200001, 85.993, -157.3191
27.600000, 86.018, -157.7345
28.000000, 86.046, -158.1352
28.500000, 86.089, -158.6586
29.000000, 86.135, -159.2180
29.500000, 86.178, -159.7792
30.000000, 86.215, -160.3202
30.400000, 86.241, -160.7524
30.700001, 86.259, -161.0869
31.100000, 86.280, -161.5486
31.500000, 86.298, -162.0166
32.000000, 86.321, -162.5868
32.500000, 86.347, -163.1304
33.000000, 86.373, -163.6506
33.500000, 86.394, -164.1381
34.000000, 86.410, -164.5757
34.500000, 86.431, -164.9781
35.000000, 86.460, -165.4052
35.500000, 86.494, -165.9110
36.000000, 86.517, -166.4798
36.500000, 86.521, -167.0262
37.000000, 86.516, -167.4739
37.500000, 86.519, -167.8314
38.200001, 86.554, -168.3496
38.700001, 86.590, -168.8112
39.500000, 86.629, -169.5705
40.000000, 86.639, -169.9396
40.599998, 86.647, -170.3023
41.200001, 86.659, -170.7206
41.799999, 86.668, -171.2647
42.500000, 86.674, -171.9642
43.099998, 86.681, -172.5120
43.700001, 86.691, -172.9810
44.400002, 86.697, -173.4608
45.000000, 86.696, -173.8656
45.500000, 86.693, -174.2328
46.200001, 86.689, -174.7965
46.799999, 86.689, -175.2814
47.500000, 86.697, -175.8095
48.200001, 86.709, -176.3391
48.700001, 86.712, -176.7487
49.400002, 86.700, -177.3233
50.000000, 86.681, -177.7206
50.799999, 86.672, -178.0775
51.500000, 86.682, -178.4000
52.200001, 86.682, -178.8662
53.000000, 86.664, -179.4818
53.799999, 86.659, 179.9252
54.500000, 86.668, 179.4117
55.200001, 86.665, 178.9406
56.000000, 86.646, 178.4736
57.000000, 86.642, 177.7408
58.000000, 86.659, 176.8608
59.000000, 86.656, 176.2912
60.000000, 86.621, 175.9062
60.799999, 86.584, 175.4996
61.500000, 86.567, 175.0929
62.200001, 86.565, 174.6818
63.000000, 86.554, 174.2301
64.000000, 86.512, 173.7370
65.000000, 86.479, 173.2081
66.000000, 86.457, 172.5954
67.000000, 86.433, 172.0566
68.000000, 86.417, 171.5060
69.000000, 86.409, 170.9816
70.000000, 86.396, 170.5485
71.000000, 86.350, 170.1477
72.000000, 86.292, 169.6600
73.000000, 86.244, 168.9915
74.000000, 86.209, 168.3999
75.000000, 86.193, 167.9338
76.199997, 86.156, 167.3677
77.500000, 86.099, 166.7796
78.800003, 86.051, 166.1045
80.000000, 86.005, 165.5286
81.199997, 85.961, 165.0328
82.500000, 85.912, 164.4597
83.800003, 85.853, 163.9101
85.000000, 85.800, 163.4466
86.199997, 85.754, 162.9208
87.500000, 85.704, 162.3740
88.500000, 85.665, 162.0023
90.000000, 85.603, 161.3884
91.199997, 85.552, 160.8869
92.500000, 85.496, 160.3616
93.800003, 85.437, 159.8866
95.000000, 85.381, 159.4668
96.199997, 85.322, 159.0218
97.500000, 85.260, 158.5399
98.800003, 85.197, 158.0849
100.000000, 85.138, 157.6719
101.500000, 85.065, 157.1496
103.000000, 84.988, 156.6762
104.400002, 84.916, 156.2457
106.000000, 84.835, 155.7108
107.500000, 84.752, 155.2283
109.000000, 84.667, 154.7775
110.599998, 84.578, 154.3200
112.000000, 84.501, 153.9060
113.800003, 84.401, 153.3708
115.000000, 84.334, 153.0210
117.199997, 84.219, 152.4426
118.000000, 84.179, 152.2336
120.599998, 84.037, 151.5819
122.000000, 83.947, 151.2378
124.099998, 83.810, 150.7299
125.000000, 83.754, 150.5262
126.500000, 83.666, 150.1835
128.000000, 83.574, 149.8478
131.500000, 83.345, 149.1766
132.000000, 83.313, 149.0779
134.000000, 83.188, 148.6895
136.000000, 83.072, 148.3068
138.000000, 82.952, 147.9274
140.000000, 82.820, 147.5684
143.000000, 82.621, 147.1137
145.000000, 82.483, 146.8140
147.500000, 82.318, 146.4119
150.000000, 82.160, 146.0629
152.500000, 81.984, 145.8424
155.000000, 81.813, 145.6635
157.500000, 81.642, 145.4042
160.000000, 81.460, 145.1476
162.500000, 81.290, 145.0093
165.000000, 81.122, 144.9102
167.500000, 80.944, 144.8065
170.000000, 80.772, 144.6858
172.500000, 80.606, 144.6631
175.000000, 80.432, 144.6213
177.500000, 80.254, 144.5545
180.000000, 80.072, 144.5481
182.500000, 79.889, 144.6235
185.000000, 79.712, 144.7295
187.500000, 79.537, 144.9005
190.000000, 79.360, 145.0789
192.500000, 79.183, 145.2151
195.000000, 79.001, 145.3943
197.500000, 78.820, 145.6385
200.000000, 78.644, 145.9168
203.000000, 78.439, 146.3021
206.000000, 78.230, 146.7231
209.000000, 78.021, 147.0959
212.000000, 77.816, 147.5911
214.000000, 77.675, 147.9519
218.000000, 77.407, 148.7376
220.000000, 77.282, 149.1263
224.000000, 77.016, 149.9494
227.000000, 76.802, 150.6235
230.000000, 76.607, 151.4021
233.000000, 76.442, 152.2029
236.000000, 76.277, 153.0058
240.000000, 76.045, 154.1060
243.000000, 75.881, 155.0247
247.000000, 75.674, 156.2347
250.000000, 75.504, 157.0800
254.000000, 75.280, 158.4682
258.000000, 75.069, 159.8972
262.000000, 74.869, 161.3323
265.000000, 74.733, 162.4128
269.000000, 74.569, 163.9462
272.000000, 74.453, 165.1883
276.000000, 74.302, 166.8941
280.000000, 74.158, 168.5411
285.000000, 74.002, 170.4699
290.000000, 73.869, 172.5844
295.000000, 73.747, 174.7346
300.000000, 73.655, 176.7057
304.000000, 73.596, 178.3995
307.000000, 73.558, 179.7255
311.000000, 73.522, -178.4980
315.000000, 73.504, -176.8395
320.000000, 73.508, -174.9300
