* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 17, 2024 11:50:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Castor Pro Bass (UUUU W M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 82.394, -149.1235
20.600000, 82.426, -149.5266
20.900000, 82.470, -149.9469
21.200001, 82.520, -150.3526
21.400000, 82.555, -150.6213
21.799999, 82.618, -151.1500
22.000000, 82.643, -151.3990
22.400000, 82.683, -151.8385
22.700001, 82.709, -152.1189
23.000000, 82.737, -152.3871
23.299999, 82.772, -152.6867
23.600000, 82.813, -153.0547
24.000000, 82.871, -153.6652
24.299999, 82.912, -154.1818
24.700001, 82.960, -154.8664
25.000000, 82.993, -155.3290
25.400000, 83.036, -155.8542
25.799999, 83.081, -156.3044
26.200001, 83.124, -156.7360
26.500000, 83.152, -157.0724
26.900000, 83.182, -157.5456
27.200001, 83.201, -157.9131
27.600000, 83.225, -158.4074
28.000000, 83.251, -158.8967
28.500000, 83.288, -159.4893
29.000000, 83.325, -160.0462
29.500000, 83.360, -160.5643
30.000000, 83.395, -161.0680
30.400000, 83.422, -161.4839
30.700001, 83.442, -161.8072
31.100000, 83.467, -162.2444
31.500000, 83.488, -162.6685
32.000000, 83.513, -163.1607
32.500000, 83.536, -163.6265
33.000000, 83.558, -164.1106
33.500000, 83.575, -164.6353
34.000000, 83.586, -165.1716
34.500000, 83.596, -165.6682
35.000000, 83.612, -166.1071
35.500000, 83.635, -166.5213
36.000000, 83.660, -166.9558
36.500000, 83.680, -167.4231
37.000000, 83.694, -167.8980
37.500000, 83.705, -168.3506
38.200001, 83.725, -168.9400
38.700001, 83.740, -169.3509
39.500000, 83.754, -170.0275
40.000000, 83.757, -170.4609
40.599998, 83.761, -170.9732
41.200001, 83.770, -171.4588
41.799999, 83.784, -171.9226
42.500000, 83.797, -172.4712
43.099998, 83.800, -172.9609
