* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 17, 2024 11:49:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Castor Pro Bass (UUUU S M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 82.626, -137.6266
20.600000, 82.736, -135.3957
20.900000, 82.855, -134.3521
21.200001, 82.879, -135.1280
21.400000, 82.815, -136.5639
21.799999, 82.522, -140.9825
22.000000, 82.337, -143.5921
22.400000, 82.035, -148.6388
22.700001, 81.955, -151.6405
23.000000, 82.019, -153.6651
23.299999, 82.184, -154.7556
23.600000, 82.378, -155.1324
24.000000, 82.576, -154.9604
24.299999, 82.639, -154.6218
24.700001, 82.611, -154.2822
25.000000, 82.534, -154.3278
25.400000, 82.413, -154.9269
25.799999, 82.336, -155.9743
26.200001, 82.360, -157.0426
26.500000, 82.455, -157.6300
26.900000, 82.654, -158.0639
27.200001, 82.813, -158.2161
27.600000, 82.964, -158.3323
28.000000, 82.999, -158.3817
28.500000, 82.912, -158.2357
29.000000, 82.838, -157.9620
29.500000, 82.912, -158.1868
30.000000, 83.076, -159.4336
30.400000, 83.149, -160.9415
30.700001, 83.130, -162.0289
31.100000, 83.021, -163.0037
31.500000, 82.899, -163.2030
32.000000, 82.891, -162.7679
32.500000, 83.093, -162.6443
33.000000, 83.350, -163.3815
33.500000, 83.477, -164.3964
34.000000, 83.432, -164.7719
34.500000, 83.324, -164.2596
35.000000, 83.298, -163.6404
35.500000, 83.400, -164.0576
36.000000, 83.570, -165.9252
36.500000, 83.733, -168.7203
37.000000, 83.848, -171.5563
37.500000, 83.901, -173.7115
38.200001, 83.886, -174.9024
38.700001, 83.850, -174.4132
39.500000, 83.846, -172.4796
40.000000, 83.846, -171.7302
40.599998, 83.715, -171.9845
41.200001, 83.398, -172.8513
41.799999, 83.109, -173.1752
42.500000, 83.192, -172.8837
43.099998, 83.515, -173.0862
43.700001, 83.671, -173.4287
44.400002, 83.505, -172.5490
45.000000, 83.331, -171.1903
45.500000, 83.313, -171.1286
46.200001, 83.392, -173.0635
46.799999, 83.462, -174.4261
47.500000, 83.624, -173.7217
48.200001, 83.859, -172.3676
48.700001, 83.932, -172.4720
49.400002, 83.828, -174.1624
50.000000, 83.732, -176.0376
50.799999, 83.856, -178.1335
51.500000, 84.013, -179.4604
52.200001, 83.964, 179.8701
53.000000, 83.742, 179.6722
53.799999, 83.580, 179.2299
54.500000, 83.521, 178.9186
55.200001, 83.525, 179.2023
56.000000, 83.592, 179.4471
57.000000, 83.637, 178.3901
58.000000, 83.644, 177.4166
59.000000, 83.667, 177.2717
60.000000, 83.596, 176.9453
60.799999, 83.512, 176.5295
61.500000, 83.491, 176.1331
62.200001, 83.496, 175.5831
63.000000, 83.469, 174.7906
64.000000, 83.424, 173.7234
65.000000, 83.393, 172.7562
66.000000, 83.345, 173.0002
67.000000, 83.362, 173.9677
68.000000, 83.355, 173.9076
69.000000, 83.313, 172.7809
70.000000, 83.286, 171.3697
71.000000, 83.263, 171.0855
72.000000, 83.298, 171.2215
73.000000, 83.260, 170.2896
74.000000, 83.170, 169.0317
75.000000, 83.152, 167.9747
76.199997, 83.118, 167.6833
77.500000, 83.003, 168.0946
78.800003, 82.867, 167.3891
80.000000, 82.834, 166.5736
81.199997, 82.811, 166.2706
82.500000, 82.767, 165.4802
83.800003, 82.775, 164.7860
85.000000, 82.737, 164.5186
86.199997, 82.631, 164.0719
87.500000, 82.552, 163.5042
88.500000, 82.482, 163.1294
90.000000, 82.375, 163.0855
91.199997, 82.349, 163.0145
92.500000, 82.260, 161.9716
93.800003, 82.118, 161.1746
95.000000, 82.032, 160.8120
96.199997, 81.991, 160.7018
97.500000, 81.949, 160.9215
98.800003, 81.885, 160.5703
100.000000, 81.807, 159.5804
101.500000, 81.664, 159.0639
103.000000, 81.580, 159.0816
104.400002, 81.555, 159.1795
106.000000, 81.431, 158.7096
107.500000, 81.331, 158.1507
109.000000, 81.295, 157.7751
110.599998, 81.208, 157.0500
112.000000, 81.104, 156.4943
113.800003, 80.978, 155.9625
115.000000, 80.893, 155.6321
117.199997, 80.724, 155.2289
118.000000, 80.670, 154.9909
120.599998, 80.516, 154.5468
122.000000, 80.405, 154.5214
124.099998, 80.251, 154.2676
125.000000, 80.190, 154.2445
126.500000, 80.091, 154.1512
128.000000, 79.977, 153.7206
131.500000, 79.707, 153.4152
132.000000, 79.673, 153.3862
134.000000, 79.532, 153.2615
136.000000, 79.394, 152.9741
138.000000, 79.229, 152.8512
140.000000, 79.077, 152.7763
143.000000, 78.884, 152.4619
145.000000, 78.765, 152.3702
147.500000, 78.562, 152.4418
150.000000, 78.376, 152.4070
152.500000, 78.210, 152.1227
155.000000, 78.055, 152.0271
157.500000, 77.864, 152.2708
160.000000, 77.664, 152.3658
162.500000, 77.487, 152.5826
165.000000, 77.310, 152.8120
167.500000, 77.105, 153.0449
170.000000, 76.905, 153.2568
172.500000, 76.721, 153.5148
175.000000, 76.547, 153.8426
177.500000, 76.360, 154.2450
180.000000, 76.174, 154.5731
182.500000, 75.993, 155.1027
185.000000, 75.814, 155.6938
187.500000, 75.635, 156.2033
190.000000, 75.449, 156.8531
192.500000, 75.268, 157.5327
195.000000, 75.098, 158.1703
197.500000, 74.935, 158.7814
200.000000, 74.773, 159.4506
203.000000, 74.582, 160.3986
206.000000, 74.400, 161.5723
209.000000, 74.220, 162.6450
212.000000, 74.045, 163.7231
214.000000, 73.933, 164.4419
218.000000, 73.704, 165.8619
220.000000, 73.601, 166.6510
224.000000, 73.450, 168.4614
227.000000, 73.350, 169.7667
230.000000, 73.227, 171.1277
233.000000, 73.082, 172.3666
236.000000, 72.951, 173.5982
240.000000, 72.822, 175.2769
243.000000, 72.737, 176.5216
247.000000, 72.610, 178.0709
250.000000, 72.524, 179.4606
254.000000, 72.445, -178.6257
258.000000, 72.399, -176.6873
262.000000, 72.357, -174.9063
265.000000, 72.330, -173.6599
269.000000, 72.300, -171.9469
272.000000, 72.283, -170.6181
276.000000, 72.268, -168.9183
280.000000, 72.264, -167.2964
285.000000, 72.272, -165.3562
290.000000, 72.307, -163.4615
295.000000, 72.347, -161.7173
300.000000, 72.398, -160.1852
304.000000, 72.458, -158.8934
307.000000, 72.505, -157.9358
311.000000, 72.563, -156.7070
315.000000, 72.621, -155.5202
320.000000, 72.691, -154.0943
325.000000, 72.762, -152.7697
330.000000, 72.836, -151.4713
335.000000, 72.910, -150.1863
340.000000, 72.997, -148.9975
345.000000, 73.070, -147.8749
350.000000, 73.156, -146.8416
355.000000, 73.253, -145.8391
360.000000, 73.327, -144.8893
365.000000, 73.401, -143.9911
370.000000, 73.481, -143.1496
375.000000, 73.561, -142.3771
382.000000, 73.666, -141.3002
387.000000, 73.735, -140.5056
