* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 2:11:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Chopin (Foam)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.110, -151.0462
20.600000, 81.152, -151.6653
20.900000, 81.195, -152.3275
21.200001, 81.236, -152.9806
21.400000, 81.262, -153.4073
21.799999, 81.315, -154.2396
22.000000, 81.343, -154.6480
22.400000, 81.400, -155.4634
22.700001, 81.443, -156.0870
23.000000, 81.484, -156.7289
23.299999, 81.521, -157.3874
23.600000, 81.551, -158.0528
24.000000, 81.582, -158.9257
24.299999, 81.600, -159.5539
24.700001, 81.624, -160.3465
25.000000, 81.643, -160.9108
25.400000, 81.673, -161.6358
25.799999, 81.706, -162.3427
26.200001, 81.741, -163.0401
26.500000, 81.766, -163.5606
26.900000, 81.798, -164.2576
27.200001, 81.819, -164.7863
27.600000, 81.844, -165.4994
28.000000, 81.864, -166.2132
28.500000, 81.885, -167.0856
29.000000, 81.908, -167.9291
29.500000, 81.936, -168.7650
30.000000, 81.964, -169.6117
30.400000, 81.981, -170.2855
30.700001, 81.990, -170.7747
31.100000, 81.998, -171.3933
31.500000, 82.005, -171.9766
32.000000, 82.016, -172.6890
32.500000, 82.029, -173.4223
33.000000, 82.038, -174.1806
33.500000, 82.044, -174.9315
34.000000, 82.048, -175.6476
34.500000, 82.054, -176.3320
35.000000, 82.063, -177.0064
35.500000, 82.070, -177.6832
36.000000, 82.072, -178.3574
36.500000, 82.071, -179.0188
37.000000, 82.068, -179.6663
37.500000, 82.065, 179.6909
38.200001, 82.063, 178.7849
38.700001, 82.060, 178.1393
39.500000, 82.053, 177.1383
40.000000, 82.048, 176.5325
40.599998, 82.042, 175.8072
41.200001, 82.034, 175.0763
41.799999, 82.023, 174.3571
42.500000, 82.010, 173.5612
43.099998, 82.000, 172.9172
43.700001, 81.990, 172.2913
44.400002, 81.976, 171.5607
45.000000, 81.958, 170.9230
45.500000, 81.941, 170.3816
46.200001, 81.918, 169.6096
46.799999, 81.899, 168.9400
47.500000, 81.879, 168.1764
48.200001, 81.856, 167.4743
48.700001, 81.841, 167.0154
49.400002, 81.821, 166.3950
50.000000, 81.803, 165.8455
50.799999, 81.776, 165.0762
51.500000, 81.747, 164.3934
52.200001, 81.717, 163.7187
53.000000, 81.681, 162.9662
53.799999, 81.644, 162.2455
54.500000, 81.614, 161.6429
55.200001, 81.584, 161.0568
56.000000, 81.548, 160.3975
57.000000, 81.496, 159.5923
58.000000, 81.445, 158.7826
59.000000, 81.398, 157.9307
60.000000, 81.349, 157.0919
60.799999, 81.311, 156.4748
61.500000, 81.279, 155.9671
62.200001, 81.245, 155.4726
63.000000, 81.202, 154.9163
64.000000, 81.145, 154.2215
65.000000, 81.090, 153.4996
66.000000, 81.034, 152.7862
67.000000, 80.978, 152.1054
68.000000, 80.920, 151.4335
69.000000, 80.863, 150.7768
70.000000, 80.806, 150.1063
71.000000, 80.741, 149.4326
72.000000, 80.671, 148.8179
73.000000, 80.609, 148.2328
74.000000, 80.548, 147.6414
75.000000, 80.486, 147.0746
76.199997, 80.414, 146.4077
77.500000, 80.336, 145.6782
78.800003, 80.255, 144.9767
80.000000, 80.174, 144.3761
81.199997, 80.090, 143.7794
82.500000, 80.006, 143.0917
83.800003, 79.927, 142.4405
85.000000, 79.854, 141.8976
86.199997, 79.774, 141.3628
87.500000, 79.687, 140.7708
88.500000, 79.621, 140.3168
90.000000, 79.519, 139.6566
91.199997, 79.435, 139.1329
92.500000, 79.344, 138.5879
93.800003, 79.255, 138.0863
95.000000, 79.174, 137.6264
96.199997, 79.092, 137.2003
97.500000, 79.006, 136.7647
98.800003, 78.921, 136.2780
100.000000, 78.840, 135.8357
101.500000, 78.740, 135.3553
103.000000, 78.637, 134.9062
104.400002, 78.541, 134.4969
106.000000, 78.430, 134.0306
107.500000, 78.325, 133.6313
109.000000, 78.221, 133.2368
110.599998, 78.110, 132.8198
112.000000, 78.015, 132.4545
113.800003, 77.894, 131.9970
115.000000, 77.813, 131.7100
117.199997, 77.667, 131.2328
118.000000, 77.616, 131.0832
120.599998, 77.442, 130.5654
122.000000, 77.347, 130.2926
124.099998, 77.208, 129.9281
125.000000, 77.149, 129.7850
126.500000, 77.053, 129.5807
128.000000, 76.957, 129.3960
131.500000, 76.736, 128.9113
132.000000, 76.705, 128.8532
134.000000, 76.581, 128.6534
136.000000, 76.456, 128.4468
138.000000, 76.333, 128.2631
140.000000, 76.211, 128.1539
143.000000, 76.027, 127.9736
145.000000, 75.911, 127.8513
147.500000, 75.771, 127.7477
150.000000, 75.627, 127.6419
152.500000, 75.490, 127.5830
155.000000, 75.356, 127.6113
157.500000, 75.229, 127.6649
160.000000, 75.098, 127.7041
