* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 4:29:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Chopin (Sancai M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.072, -144.1277
20.600000, 80.120, -144.7096
20.900000, 80.174, -145.3499
21.200001, 80.229, -146.0110
21.400000, 80.266, -146.4606
21.799999, 80.335, -147.3615
22.000000, 80.367, -147.7998
22.400000, 80.427, -148.6234
22.700001, 80.468, -149.1875
23.000000, 80.510, -149.7186
23.299999, 80.553, -150.2435
23.600000, 80.598, -150.7916
24.000000, 80.658, -151.5927
24.299999, 80.700, -152.2470
24.700001, 80.752, -153.1555
25.000000, 80.787, -153.8283
25.400000, 80.831, -154.6699
25.799999, 80.875, -155.4303
26.200001, 80.920, -156.1272
26.500000, 80.951, -156.6312
26.900000, 80.989, -157.3062
27.200001, 81.013, -157.8237
27.600000, 81.039, -158.5253
28.000000, 81.063, -159.2230
28.500000, 81.097, -160.0604
29.000000, 81.141, -160.8459
29.500000, 81.188, -161.5977
30.000000, 81.231, -162.3548
30.400000, 81.257, -162.9890
30.700001, 81.270, -163.4873
31.100000, 81.280, -164.1752
31.500000, 81.287, -164.8679
32.000000, 81.297, -165.6909
32.500000, 81.317, -166.4279
33.000000, 81.351, -167.0946
33.500000, 81.389, -167.7516
34.000000, 81.416, -168.4432
34.500000, 81.426, -169.1601
35.000000, 81.426, -169.8676
35.500000, 81.427, -170.5553
36.000000, 81.438, -171.2398
36.500000, 81.453, -171.9252
37.000000, 81.466, -172.5872
37.500000, 81.477, -173.2071
38.200001, 81.490, -174.0424
38.700001, 81.495, -174.6547
39.500000, 81.493, -175.6455
40.000000, 81.487, -176.2524
40.599998, 81.482, -176.9872
41.200001, 81.478, -177.7348
41.799999, 81.475, -178.4580
42.500000, 81.479, -179.2564
43.099998, 81.484, -179.9382
43.700001, 81.477, 179.3910
44.400002, 81.462, 178.6846
45.000000, 81.456, 178.1255
45.500000, 81.458, 177.6396
46.200001, 81.452, 176.9172
46.799999, 81.430, 176.3281
47.500000, 81.400, 175.7135
48.200001, 81.382, 175.0809
48.700001, 81.378, 174.5685
49.400002, 81.373, 173.7968
50.000000, 81.365, 173.1511
50.799999, 81.347, 172.3596
51.500000, 81.328, 171.7057
52.200001, 81.307, 171.0609
53.000000, 81.284, 170.3283
