* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 4:22:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Chopin (Spinfit M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.900, -149.5714
20.600000, 80.960, -150.3237
20.900000, 81.019, -151.1050
21.200001, 81.074, -151.8248
21.400000, 81.111, -152.2721
21.799999, 81.192, -153.1445
22.000000, 81.233, -153.5977
22.400000, 81.304, -154.5678
22.700001, 81.338, -155.3200
23.000000, 81.355, -156.0319
23.299999, 81.366, -156.6533
23.600000, 81.383, -157.1751
24.000000, 81.434, -157.8010
24.299999, 81.494, -158.3195
24.700001, 81.578, -159.1748
25.000000, 81.624, -159.9163
25.400000, 81.642, -160.8862
25.799999, 81.624, -161.6483
26.200001, 81.609, -162.1477
26.500000, 81.623, -162.4474
26.900000, 81.681, -162.9660
27.200001, 81.739, -163.5471
27.600000, 81.798, -164.5566
28.000000, 81.809, -165.6239
28.500000, 81.766, -166.6298
29.000000, 81.726, -167.0995
29.500000, 81.754, -167.3695
30.000000, 81.843, -167.9581
30.400000, 81.916, -168.7941
30.700001, 81.953, -169.5674
31.100000, 81.966, -170.6255
31.500000, 81.943, -171.5309
32.000000, 81.891, -172.2838
32.500000, 81.852, -172.6595
33.000000, 81.852, -172.8868
33.500000, 81.891, -173.2166
34.000000, 81.953, -173.7827
34.500000, 82.015, -174.5791
35.000000, 82.059, -175.5189
35.500000, 82.073, -176.5005
36.000000, 82.057, -177.4367
36.500000, 82.019, -178.2569
37.000000, 81.975, -178.9181
37.500000, 81.941, -179.4232
38.200001, 81.927, -179.9708
38.700001, 81.937, 179.6600
39.500000, 81.968, 178.9935
40.000000, 81.994, 178.4926
40.599998, 82.028, 177.7706
41.200001, 82.059, 176.9186
41.799999, 82.075, 175.9985
42.500000, 82.076, 174.9406
43.099998, 82.067, 174.0796
43.700001, 82.049, 173.2520
44.400002, 82.020, 172.3232
45.000000, 81.992, 171.5613
45.500000, 81.969, 170.9530
46.200001, 81.937, 170.1667
46.799999, 81.908, 169.5796
47.500000, 81.878, 168.9567
48.200001, 81.851, 168.2871
48.700001, 81.832, 167.7549
49.400002, 81.805, 167.0024
50.000000, 81.786, 166.4212
50.799999, 81.769, 165.7399
51.500000, 81.754, 165.1687
52.200001, 81.739, 164.6023
53.000000, 81.722, 164.0057
53.799999, 81.701, 163.4927
54.500000, 81.673, 163.0764
55.200001, 81.634, 162.6489
56.000000, 81.575, 162.1636
57.000000, 81.486, 161.5711
58.000000, 81.379, 160.7796
59.000000, 81.280, 159.6742
60.000000, 81.224, 158.4713
60.799999, 81.213, 157.5893
61.500000, 81.221, 156.9552
62.200001, 81.233, 156.5098
63.000000, 81.228, 156.2348
64.000000, 81.153, 156.0028
65.000000, 81.024, 155.4479
66.000000, 80.924, 154.4207
67.000000, 80.896, 153.3016
68.000000, 80.904, 152.5776
69.000000, 80.868, 152.3521
70.000000, 80.758, 152.0654
71.000000, 80.647, 151.1692
72.000000, 80.617, 150.1772
