* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 2:31:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Chopin (Spiral Dots M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.002, -150.4151
20.600000, 81.041, -150.9795
20.900000, 81.085, -151.5960
21.200001, 81.128, -152.2341
21.400000, 81.156, -152.6727
21.799999, 81.211, -153.5750
22.000000, 81.237, -154.0312
22.400000, 81.286, -154.9328
22.700001, 81.322, -155.5880
23.000000, 81.358, -156.2222
23.299999, 81.393, -156.8387
23.600000, 81.428, -157.4427
24.000000, 81.471, -158.2337
24.299999, 81.500, -158.8164
24.700001, 81.537, -159.5782
25.000000, 81.564, -160.1408
25.400000, 81.599, -160.8889
25.799999, 81.633, -161.6457
26.200001, 81.665, -162.4131
26.500000, 81.685, -162.9886
26.900000, 81.708, -163.7409
27.200001, 81.724, -164.2857
27.600000, 81.745, -164.9833
28.000000, 81.768, -165.6558
28.500000, 81.800, -166.4800
29.000000, 81.834, -167.2997
29.500000, 81.865, -168.1138
30.000000, 81.891, -168.9139
30.400000, 81.908, -169.5405
30.700001, 81.920, -170.0030
31.100000, 81.934, -170.6124
31.500000, 81.946, -171.2183
32.000000, 81.961, -171.9784
32.500000, 81.973, -172.7443
33.000000, 81.982, -173.5093
33.500000, 81.988, -174.2626
34.000000, 81.994, -174.9994
34.500000, 82.000, -175.7224
35.000000, 82.006, -176.4352
35.500000, 82.011, -177.1367
36.000000, 82.014, -177.8245
36.500000, 82.016, -178.5008
37.000000, 82.015, -179.1705
37.500000, 82.014, -179.8338
38.200001, 82.012, 179.2609
38.700001, 82.012, 178.6371
39.500000, 82.014, 177.6691
40.000000, 82.013, 177.0747
40.599998, 82.006, 176.3685
41.200001, 81.995, 175.6634
41.799999, 81.983, 174.9519
42.500000, 81.968, 174.1273
43.099998, 81.954, 173.4495
43.700001, 81.942, 172.7952
44.400002, 81.929, 172.0181
45.000000, 81.916, 171.3224
45.500000, 81.903, 170.7421
46.200001, 81.884, 169.9808
46.799999, 81.872, 169.3934
47.500000, 81.858, 168.7506
48.200001, 81.839, 168.0939
48.700001, 81.820, 167.5992
49.400002, 81.788, 166.8853
50.000000, 81.763, 166.2825
50.799999, 81.737, 165.5181
51.500000, 81.720, 164.8712
52.200001, 81.702, 164.2156
53.000000, 81.673, 163.4520
53.799999, 81.640, 162.7041
54.500000, 81.614, 162.0719
55.200001, 81.588, 161.4511
56.000000, 81.553, 160.7635
57.000000, 81.502, 159.9406
58.000000, 81.452, 159.0986
59.000000, 81.404, 158.2444
60.000000, 81.359, 157.4368
60.799999, 81.323, 156.8321
61.500000, 81.289, 156.3276
62.200001, 81.253, 155.8246
63.000000, 81.212, 155.2203
64.000000, 81.158, 154.4283
65.000000, 81.099, 153.6635
66.000000, 81.041, 152.9625
67.000000, 80.989, 152.2939
68.000000, 80.940, 151.6287
69.000000, 80.884, 150.9853
70.000000, 80.822, 150.3340
71.000000, 80.759, 149.6425
72.000000, 80.700, 148.9493
73.000000, 80.642, 148.2860
74.000000, 80.580, 147.6816
75.000000, 80.519, 147.1207
76.199997, 80.448, 146.4224
77.500000, 80.368, 145.6889
78.800003, 80.288, 145.0044
80.000000, 80.208, 144.3692
81.199997, 80.128, 143.7139
82.500000, 80.047, 142.9960
83.800003, 79.966, 142.3288
85.000000, 79.884, 141.7755
86.199997, 79.798, 141.2260
87.500000, 79.709, 140.6134
88.500000, 79.645, 140.1585
90.000000, 79.553, 139.5080
91.199997, 79.475, 138.9992
92.500000, 79.384, 138.4573
93.800003, 79.293, 137.9354
95.000000, 79.213, 137.4595
96.199997, 79.137, 136.9673
97.500000, 79.053, 136.4677
98.800003, 78.963, 136.0010
100.000000, 78.877, 135.5799
101.500000, 78.780, 135.0766
103.000000, 78.683, 134.6218
104.400002, 78.588, 134.1532
106.000000, 78.481, 133.5944
107.500000, 78.380, 133.1429
109.000000, 78.275, 132.7400
110.599998, 78.165, 132.2991
112.000000, 78.074, 131.9276
113.800003, 77.956, 131.4913
115.000000, 77.872, 131.1824
117.199997, 77.721, 130.6413
118.000000, 77.668, 130.4794
120.599998, 77.493, 129.9851
122.000000, 77.403, 129.7112
124.099998, 77.272, 129.3082
125.000000, 77.215, 129.1422
126.500000, 77.119, 128.8817
128.000000, 77.022, 128.6543
131.500000, 76.801, 128.1887
132.000000, 76.769, 128.1253
134.000000, 76.643, 127.8768
136.000000, 76.525, 127.6742
138.000000, 76.406, 127.4295
140.000000, 76.287, 127.2308
143.000000, 76.102, 126.9969
145.000000, 75.979, 126.9136
147.500000, 75.831, 126.7901
150.000000, 75.691, 126.6195
152.500000, 75.549, 126.5187
155.000000, 75.409, 126.4693
157.500000, 75.266, 126.4701
160.000000, 75.124, 126.5072
162.500000, 75.004, 126.5207
165.000000, 74.892, 126.5563
167.500000, 74.779, 126.6420
170.000000, 74.661, 126.6983
172.500000, 74.549, 126.7891
175.000000, 74.441, 126.9622
177.500000, 74.334, 127.1020
180.000000, 74.231, 127.2381
182.500000, 74.126, 127.4042
185.000000, 74.022, 127.5799
187.500000, 73.928, 127.7666
190.000000, 73.841, 127.9343
192.500000, 73.755, 128.1244
195.000000, 73.675, 128.3233
197.500000, 73.598, 128.5488
200.000000, 73.520, 128.7828
203.000000, 73.433, 129.0243
206.000000, 73.348, 129.3537
209.000000, 73.268, 129.6984
212.000000, 73.196, 130.0052
214.000000, 73.148, 130.1747
218.000000, 73.049, 130.5318
220.000000, 73.008, 130.7188
224.000000, 72.943, 131.1295
227.000000, 72.894, 131.4269
230.000000, 72.844, 131.6804
233.000000, 72.799, 131.9576
236.000000, 72.753, 132.2329
240.000000, 72.691, 132.5813
243.000000, 72.658, 132.8427
247.000000, 72.616, 133.2099
250.000000, 72.583, 133.4528
254.000000, 72.550, 133.7903
258.000000, 72.522, 134.0461
262.000000, 72.489, 134.3434
265.000000, 72.463, 134.5941
269.000000, 72.440, 134.8898
272.000000, 72.432, 135.0670
276.000000, 72.419, 135.2769
280.000000, 72.407, 135.4533
285.000000, 72.403, 135.7487
290.000000, 72.393, 136.0234
295.000000, 72.378, 136.2642
300.000000, 72.380, 136.4822
304.000000, 72.383, 136.6110
307.000000, 72.381, 136.6478
311.000000, 72.371, 136.6909
315.000000, 72.366, 136.7775
320.000000, 72.368, 137.0135
325.000000, 72.371, 137.2771
330.000000, 72.373, 137.3851
335.000000, 72.383, 137.4117
340.000000, 72.400, 137.5087
345.000000, 72.412, 137.6419
350.000000, 72.428, 137.7365
355.000000, 72.451, 137.8400
360.000000, 72.476, 137.9475
