* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 2:08:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Chopin (Stock M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.042, -150.0285
20.600000, 81.103, -150.3658
20.900000, 81.169, -150.8766
21.200001, 81.213, -151.5753
21.400000, 81.223, -152.1168
21.799999, 81.191, -153.2309
22.000000, 81.159, -153.7353
22.400000, 81.102, -154.5587
22.700001, 81.094, -155.0624
23.000000, 81.130, -155.5806
23.299999, 81.200, -156.2083
23.600000, 81.284, -156.9739
24.000000, 81.378, -158.1071
24.299999, 81.420, -158.9084
24.700001, 81.440, -159.7596
25.000000, 81.444, -160.2303
25.400000, 81.456, -160.7770
25.799999, 81.482, -161.4502
26.200001, 81.509, -162.3708
26.500000, 81.522, -163.1736
26.900000, 81.528, -164.2090
27.200001, 81.535, -164.8292
27.600000, 81.563, -165.3477
28.000000, 81.626, -165.5643
28.500000, 81.741, -165.6978
29.000000, 81.848, -166.0443
29.500000, 81.897, -166.8017
30.000000, 81.869, -167.9164
30.400000, 81.803, -168.9041
30.700001, 81.745, -169.5883
31.100000, 81.679, -170.3062
31.500000, 81.656, -170.7499
32.000000, 81.710, -171.0640
32.500000, 81.834, -171.4835
33.000000, 81.953, -172.3055
33.500000, 81.998, -173.4504
34.000000, 81.957, -174.5416
34.500000, 81.891, -175.2464
35.000000, 81.876, -175.5844
35.500000, 81.931, -175.8840
36.000000, 82.005, -176.4086
36.500000, 82.035, -177.1060
37.000000, 82.008, -177.7532
37.500000, 81.965, -178.2575
38.200001, 81.954, -179.0378
38.700001, 81.970, -179.8701
39.500000, 81.957, 178.7083
40.000000, 81.924, 178.1697
40.599998, 81.914, 177.8825
41.200001, 81.948, 177.5165
41.799999, 81.981, 176.7329
42.500000, 81.960, 175.5124
43.099998, 81.906, 174.6028
43.700001, 81.861, 173.9525
44.400002, 81.848, 173.3697
45.000000, 81.865, 172.8512
45.500000, 81.885, 172.3477
46.200001, 81.900, 171.5519
46.799999, 81.886, 170.8624
47.500000, 81.846, 170.1049
48.200001, 81.788, 169.3768
48.700001, 81.742, 168.8881
49.400002, 81.688, 168.2737
50.000000, 81.661, 167.7572
50.799999, 81.631, 167.0179
51.500000, 81.599, 166.4359
52.200001, 81.586, 165.9022
53.000000, 81.590, 165.1083
53.799999, 81.573, 164.2239
54.500000, 81.552, 163.6074
55.200001, 81.543, 163.0346
56.000000, 81.517, 162.2573
57.000000, 81.432, 161.3453
58.000000, 81.362, 160.6770
59.000000, 81.336, 159.9991
60.000000, 81.310, 159.2701
60.799999, 81.278, 158.6789
61.500000, 81.243, 158.1310
62.200001, 81.207, 157.5897
63.000000, 81.172, 157.0363
64.000000, 81.136, 156.3723
65.000000, 81.075, 155.6736
66.000000, 81.000, 155.0123
67.000000, 80.947, 154.3826
68.000000, 80.903, 153.8092
69.000000, 80.852, 153.3021
70.000000, 80.796, 152.6456
71.000000, 80.731, 151.7162
72.000000, 80.658, 150.7598
73.000000, 80.597, 150.0545
74.000000, 80.557, 149.5416
75.000000, 80.511, 149.0289
76.199997, 80.436, 148.4374
77.500000, 80.350, 147.8260
78.800003, 80.253, 147.1662
80.000000, 80.167, 146.4913
81.199997, 80.100, 145.8479
82.500000, 80.022, 145.2900
83.800003, 79.937, 144.7475
85.000000, 79.858, 144.1680
86.199997, 79.775, 143.5688
87.500000, 79.684, 142.9482
88.500000, 79.622, 142.5343
90.000000, 79.522, 141.9625
91.199997, 79.441, 141.4517
92.500000, 79.372, 140.8775
93.800003, 79.306, 140.3649
95.000000, 79.230, 139.8990
96.199997, 79.142, 139.4897
97.500000, 79.050, 139.1199
98.800003, 78.958, 138.6766
100.000000, 78.869, 138.2851
101.500000, 78.766, 137.8799
103.000000, 78.672, 137.4183
104.400002, 78.572, 137.0280
106.000000, 78.469, 136.5428
107.500000, 78.373, 136.0400
109.000000, 78.273, 135.6580
110.599998, 78.168, 135.2923
112.000000, 78.070, 134.8654
113.800003, 77.953, 134.4692
115.000000, 77.871, 134.2588
117.199997, 77.740, 133.7215
118.000000, 77.687, 133.5742
120.599998, 77.507, 133.1348
122.000000, 77.416, 132.9230
124.099998, 77.282, 132.5716
125.000000, 77.226, 132.4487
126.500000, 77.120, 132.1822
128.000000, 77.004, 131.9828
131.500000, 76.799, 131.4971
132.000000, 76.773, 131.4753
134.000000, 76.664, 131.2353
136.000000, 76.539, 131.0887
138.000000, 76.406, 130.8287
140.000000, 76.266, 130.7441
143.000000, 76.102, 130.5649
145.000000, 75.981, 130.5693
147.500000, 75.842, 130.2584
150.000000, 75.694, 130.3359
152.500000, 75.571, 130.1491
155.000000, 75.415, 130.2946
157.500000, 75.319, 130.2867
160.000000, 75.167, 130.1739
162.500000, 75.032, 130.5974
165.000000, 74.947, 130.4819
167.500000, 74.783, 130.3537
170.000000, 74.643, 130.8552
172.500000, 74.587, 131.0103
175.000000, 74.488, 130.7242
177.500000, 74.317, 130.8373
180.000000, 74.182, 131.4683
182.500000, 74.125, 132.0397
185.000000, 74.094, 132.1991
187.500000, 74.037, 132.0482
190.000000, 73.934, 131.8810
192.500000, 73.801, 131.8975
195.000000, 73.667, 132.1425
197.500000, 73.547, 132.5205
200.000000, 73.449, 132.9532
203.000000, 73.349, 133.4101
206.000000, 73.263, 133.7167
209.000000, 73.197, 133.9799
212.000000, 73.158, 134.2748
214.000000, 73.144, 134.4946
218.000000, 73.125, 135.1487
220.000000, 73.105, 135.6526
224.000000, 72.997, 136.6208
227.000000, 72.881, 136.9047
230.000000, 72.812, 136.8790
233.000000, 72.805, 137.0500
236.000000, 72.791, 137.6845
240.000000, 72.705, 138.2880
243.000000, 72.670, 138.3856
247.000000, 72.643, 138.9362
250.000000, 72.598, 139.2413
254.000000, 72.571, 139.6602
258.000000, 72.541, 140.0623
262.000000, 72.519, 140.3605
265.000000, 72.501, 140.6392
269.000000, 72.485, 141.0378
272.000000, 72.466, 141.3008
276.000000, 72.446, 141.6609
280.000000, 72.438, 142.0166
285.000000, 72.436, 142.3082
290.000000, 72.432, 142.5856
295.000000, 72.418, 142.8481
300.000000, 72.415, 143.1391
304.000000, 72.409, 143.3995
307.000000, 72.404, 143.6274
311.000000, 72.409, 143.8866
315.000000, 72.420, 144.0373
320.000000, 72.428, 144.1895
325.000000, 72.429, 144.4036
330.000000, 72.439, 144.6463
335.000000, 72.452, 144.8110
340.000000, 72.470, 144.9007
345.000000, 72.486, 145.0510
350.000000, 72.496, 145.1689
355.000000, 72.508, 145.2406
360.000000, 72.518, 145.3478
365.000000, 72.530, 145.4145
370.000000, 72.551, 145.4342
375.000000, 72.573, 145.4319
382.000000, 72.589, 145.4624
387.000000, 72.598, 145.3974
395.000000, 72.623, 145.4089
400.000000, 72.631, 145.4146
406.000000, 72.636, 145.3752
412.000000, 72.649, 145.3444
418.000000, 72.669, 145.2964
425.000000, 72.689, 145.1976
431.000000, 72.708, 145.1059
437.000000, 72.726, 145.0158
444.000000, 72.740, 144.9359
450.000000, 72.748, 144.9247
455.000000, 72.761, 144.8784
462.000000, 72.781, 144.7206
468.000000, 72.793, 144.5893
475.000000, 72.800, 144.4614
482.000000, 72.805, 144.3616
487.000000, 72.815, 144.2982
494.000000, 72.834, 144.1720
500.000000, 72.847, 144.0725
508.000000, 72.854, 143.8979
515.000000, 72.854, 143.7690
522.000000, 72.855, 143.5679
530.000000, 72.862, 143.3880
538.000000, 72.874, 143.2620
545.000000, 72.883, 143.1366
552.000000, 72.892, 143.0010
560.000000, 72.904, 142.8511
570.000000, 72.912, 142.6722
580.000000, 72.920, 142.4728
590.000000, 72.928, 142.2947
600.000000, 72.930, 142.0765
608.000000, 72.936, 141.9134
615.000000, 72.942, 141.8206
622.000000, 72.948, 141.7339
630.000000, 72.954, 141.6028
640.000000, 72.970, 141.4147
650.000000, 72.985, 141.2556
660.000000, 72.987, 141.1196
670.000000, 72.989, 140.9733
680.000000, 72.994, 140.8299
690.000000, 73.000, 140.7044
700.000000, 73.012, 140.5865
710.000000, 73.029, 140.4735
720.000000, 73.044, 140.3257
730.000000, 73.060, 140.2229
740.000000, 73.080, 140.1697
750.000000, 73.097, 140.1276
762.000000, 73.114, 140.0399
775.000000, 73.135, 139.9862
788.000000, 73.163, 139.9657
800.000000, 73.200, 139.9039
812.000000, 73.236, 139.8638
825.000000, 73.275, 139.8411
838.000000, 73.318, 139.8315
850.000000, 73.360, 139.8190
862.000000, 73.411, 139.7885
875.000000, 73.467, 139.7687
885.000000, 73.515, 139.7564
900.000000, 73.592, 139.7310
912.000000, 73.653, 139.6721
925.000000, 73.725, 139.6009
938.000000, 73.801, 139.5510
950.000000, 73.876, 139.5161
962.000000, 73.955, 139.4400
975.000000, 74.045, 139.3267
988.000000, 74.140, 139.2110
1000.000000, 74.226, 139.0632
1015.000000, 74.342, 138.7845
1030.000000, 74.463, 138.5201
1044.000000, 74.578, 138.2537
1060.000000, 74.710, 137.8926
1075.000000, 74.833, 137.4656
1090.000000, 74.959, 136.9907
1106.000000, 75.091, 136.4861
1120.000000, 75.205, 136.0055
1138.000000, 75.345, 135.3200
1150.000000, 75.436, 134.8310
1172.000000, 75.599, 133.8954
1180.000000, 75.655, 133.5411
1206.000000, 75.840, 132.2704
1220.000000, 75.940, 131.5876
1241.000000, 76.083, 130.5660
1250.000000, 76.140, 130.1158
1265.000000, 76.229, 129.3693
1280.000000, 76.313, 128.6188
1315.000000, 76.489, 126.8810
1320.000000, 76.513, 126.6335
1340.000000, 76.608, 125.6306
1360.000000, 76.702, 124.6537
1380.000000, 76.799, 123.6961
1400.000000, 76.892, 122.6877
1430.000000, 77.023, 121.1844
1450.000000, 77.105, 120.2339
1475.000000, 77.200, 119.0548
1500.000000, 77.290, 117.8846
1525.000000, 77.383, 116.7488
1550.000000, 77.474, 115.6460
1575.000000, 77.567, 114.5415
1600.000000, 77.664, 113.4459
1625.000000, 77.761, 112.3958
