* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2024 2:10:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Chopin (Velvet M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.690, -150.4672
20.600000, 80.735, -151.0653
20.900000, 80.781, -151.7165
21.200001, 80.825, -152.3756
21.400000, 80.853, -152.8153
21.799999, 80.905, -153.6838
22.000000, 80.931, -154.1072
22.400000, 80.984, -154.9266
22.700001, 81.026, -155.5227
23.000000, 81.070, -156.1149
23.299999, 81.113, -156.7149
23.600000, 81.154, -157.3287
24.000000, 81.201, -158.1626
24.299999, 81.230, -158.7854
24.700001, 81.262, -159.5891
25.000000, 81.283, -160.1646
25.400000, 81.314, -160.9048
25.799999, 81.349, -161.6400
26.200001, 81.385, -162.3950
26.500000, 81.411, -162.9767
26.900000, 81.442, -163.7574
27.200001, 81.461, -164.3311
27.600000, 81.486, -165.0632
28.000000, 81.511, -165.7561
28.500000, 81.548, -166.5895
29.000000, 81.585, -167.4158
29.500000, 81.615, -168.2378
30.000000, 81.636, -169.0358
30.400000, 81.648, -169.6493
30.700001, 81.655, -170.0986
31.100000, 81.664, -170.6937
31.500000, 81.675, -171.2953
32.000000, 81.688, -172.0628
32.500000, 81.702, -172.8391
33.000000, 81.714, -173.6087
33.500000, 81.725, -174.3603
34.000000, 81.736, -175.0906
34.500000, 81.745, -175.8033
35.000000, 81.753, -176.5045
35.500000, 81.759, -177.1973
36.000000, 81.763, -177.8792
36.500000, 81.765, -178.5468
37.000000, 81.766, -179.2010
37.500000, 81.766, -179.8453
38.200001, 81.766, 179.2665
38.700001, 81.766, 178.6418
39.500000, 81.766, 177.6501
40.000000, 81.763, 177.0359
40.599998, 81.754, 176.3215
41.200001, 81.742, 175.6422
41.799999, 81.734, 174.9785
42.500000, 81.728, 174.1904
43.099998, 81.722, 173.5122
43.700001, 81.712, 172.8621
44.400002, 81.699, 172.1455
45.000000, 81.689, 171.5295
45.500000, 81.679, 170.9861
46.200001, 81.658, 170.1845
46.799999, 81.635, 169.5161
47.500000, 81.612, 168.8195
48.200001, 81.603, 168.1697
48.700001, 81.601, 167.6857
49.400002, 81.592, 166.9771
50.000000, 81.576, 166.3796
50.799999, 81.553, 165.6041
51.500000, 81.534, 164.9051
52.200001, 81.511, 164.2053
53.000000, 81.481, 163.4656
53.799999, 81.454, 162.7634
54.500000, 81.430, 162.1287
55.200001, 81.400, 161.4811
56.000000, 81.361, 160.7637
57.000000, 81.315, 159.9189
58.000000, 81.269, 159.1178
59.000000, 81.221, 158.3209
60.000000, 81.174, 157.4788
60.799999, 81.138, 156.7801
61.500000, 81.104, 156.1848
62.200001, 81.065, 155.6405
63.000000, 81.019, 155.0822
64.000000, 80.962, 154.3930
65.000000, 80.904, 153.6775
66.000000, 80.847, 152.9794
67.000000, 80.793, 152.3177
68.000000, 80.745, 151.6821
69.000000, 80.700, 151.0078
70.000000, 80.645, 150.3288
71.000000, 80.588, 149.7105
72.000000, 80.539, 149.1118
73.000000, 80.493, 148.4863
74.000000, 80.442, 147.8476
75.000000, 80.386, 147.2365
76.199997, 80.320, 146.5305
77.500000, 80.251, 145.7938
78.800003, 80.185, 145.0699
80.000000, 80.115, 144.4023
81.199997, 80.042, 143.8140
82.500000, 79.966, 143.2223
83.800003, 79.879, 142.6013
85.000000, 79.799, 141.9993
86.199997, 79.722, 141.4268
87.500000, 79.637, 140.8744
88.500000, 79.573, 140.4023
90.000000, 79.480, 139.5969
91.199997, 79.407, 139.0339
92.500000, 79.320, 138.4874
93.800003, 79.229, 137.9443
95.000000, 79.150, 137.4130
96.199997, 79.072, 136.9012
97.500000, 78.990, 136.3922
98.800003, 78.912, 135.9407
100.000000, 78.841, 135.5315
101.500000, 78.738, 135.0004
103.000000, 78.633, 134.4822
104.400002, 78.542, 134.0056
106.000000, 78.438, 133.4919
107.500000, 78.338, 133.0430
109.000000, 78.235, 132.5969
110.599998, 78.128, 132.1327
112.000000, 78.036, 131.7643
113.800003, 77.916, 131.2686
115.000000, 77.836, 130.9149
117.199997, 77.692, 130.3395
118.000000, 77.639, 130.1560
120.599998, 77.462, 129.5997
122.000000, 77.367, 129.3029
124.099998, 77.227, 128.8749
125.000000, 77.168, 128.6984
126.500000, 77.072, 128.4364
128.000000, 76.976, 128.1956
131.500000, 76.739, 127.6580
132.000000, 76.706, 127.5863
134.000000, 76.579, 127.3322
136.000000, 76.466, 127.1109
138.000000, 76.357, 126.9594
140.000000, 76.219, 126.7568
143.000000, 76.027, 126.3408
145.000000, 75.912, 126.1301
147.500000, 75.767, 125.9268
150.000000, 75.619, 125.7798
152.500000, 75.466, 125.6652
155.000000, 75.324, 125.5590
157.500000, 75.197, 125.5380
160.000000, 75.050, 125.5341
162.500000, 74.913, 125.5735
165.000000, 74.785, 125.5327
167.500000, 74.665, 125.5574
170.000000, 74.542, 125.6583
172.500000, 74.425, 125.6932
175.000000, 74.319, 125.5588
177.500000, 74.197, 125.7090
180.000000, 74.064, 126.1779
182.500000, 73.948, 126.4439
185.000000, 73.845, 126.5768
187.500000, 73.745, 126.7480
190.000000, 73.630, 127.0070
192.500000, 73.514, 127.2636
195.000000, 73.413, 127.4774
197.500000, 73.322, 127.7532
200.000000, 73.232, 128.0931
203.000000, 73.118, 128.4362
206.000000, 73.009, 128.8132
209.000000, 72.899, 129.3741
212.000000, 72.788, 129.9797
214.000000, 72.720, 130.3675
218.000000, 72.610, 131.3114
220.000000, 72.575, 131.9066
224.000000, 72.564, 133.1452
227.000000, 72.594, 133.8594
230.000000, 72.639, 134.2672
233.000000, 72.680, 134.3938
236.000000, 72.705, 134.4413
240.000000, 72.711, 134.4297
