* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 6, 2024 4:05:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Chopin (Velvet Wide M)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.223, -146.1024
20.600000, 81.254, -146.7201
20.900000, 81.302, -147.3522
21.200001, 81.363, -147.9420
21.400000, 81.409, -148.3050
21.799999, 81.504, -148.9489
22.000000, 81.549, -149.2321
22.400000, 81.626, -149.7553
22.700001, 81.668, -150.1600
23.000000, 81.696, -150.6246
23.299999, 81.710, -151.1759
23.600000, 81.713, -151.8106
24.000000, 81.710, -152.7241
24.299999, 81.715, -153.3928
24.700001, 81.743, -154.1822
25.000000, 81.783, -154.6824
25.400000, 81.851, -155.2649
25.799999, 81.916, -155.8293
26.200001, 81.956, -156.4489
26.500000, 81.964, -156.9703
26.900000, 81.952, -157.7339
27.200001, 81.935, -158.3336
27.600000, 81.918, -159.1089
28.000000, 81.918, -159.7721
28.500000, 81.946, -160.3366
29.000000, 81.997, -160.6213
29.500000, 82.050, -160.8305
30.000000, 82.090, -161.2251
30.400000, 82.107, -161.7598
30.700001, 82.115, -162.2709
31.100000, 82.126, -163.0313
31.500000, 82.143, -163.7999
32.000000, 82.173, -164.6785
32.500000, 82.193, -165.4246
33.000000, 82.194, -166.0595
33.500000, 82.189, -166.6723
34.000000, 82.194, -167.3712
34.500000, 82.208, -168.1648
35.000000, 82.216, -168.9047
35.500000, 82.208, -169.4198
36.000000, 82.193, -169.7184
36.500000, 82.182, -170.0119
37.000000, 82.174, -170.4997
37.500000, 82.165, -171.1705
38.200001, 82.165, -172.0790
38.700001, 82.185, -172.5630
39.500000, 82.221, -173.2231
40.000000, 82.219, -173.6814
40.599998, 82.200, -174.2860
41.200001, 82.186, -174.9216
41.799999, 82.179, -175.5442
42.500000, 82.160, -176.1536
43.099998, 82.136, -176.5878
43.700001, 82.119, -177.0962
44.400002, 82.107, -177.8923
45.000000, 82.086, -178.5871
45.500000, 82.064, -179.0315
46.200001, 82.041, -179.4558
46.799999, 82.038, -179.8190
47.500000, 82.041, 179.6104
48.200001, 82.031, 178.9821
48.700001, 82.012, 178.5836
49.400002, 81.974, 178.1027
50.000000, 81.943, 177.6943
50.799999, 81.913, 177.0767
51.500000, 81.892, 176.5035
52.200001, 81.864, 175.9742
53.000000, 81.824, 175.4259
53.799999, 81.784, 174.8651
54.500000, 81.754, 174.3506
55.200001, 81.724, 173.8359
56.000000, 81.676, 173.2732
57.000000, 81.602, 172.7091
58.000000, 81.557, 172.2115
59.000000, 81.524, 171.5343
60.000000, 81.474, 170.9255
60.799999, 81.436, 170.5652
61.500000, 81.402, 170.2154
62.200001, 81.363, 169.7863
63.000000, 81.312, 169.2737
64.000000, 81.246, 168.7941
65.000000, 81.190, 168.4021
66.000000, 81.139, 167.8540
67.000000, 81.085, 167.2771
68.000000, 81.023, 166.7359
69.000000, 80.950, 166.2445
70.000000, 80.898, 165.8491
71.000000, 80.857, 165.4507
72.000000, 80.801, 164.9859
73.000000, 80.736, 164.5153
74.000000, 80.672, 164.2030
75.000000, 80.611, 163.9435
76.199997, 80.527, 163.5077
77.500000, 80.439, 163.0392
78.800003, 80.355, 162.4798
80.000000, 80.285, 161.9781
81.199997, 80.206, 161.5782
82.500000, 80.114, 161.2180
83.800003, 80.024, 160.9146
85.000000, 79.935, 160.5740
86.199997, 79.849, 160.1319
87.500000, 79.764, 159.7294
88.500000, 79.697, 159.4769
90.000000, 79.606, 159.1929
91.199997, 79.536, 158.9147
92.500000, 79.451, 158.5657
93.800003, 79.360, 158.2875
95.000000, 79.268, 158.0690
96.199997, 79.183, 157.8528
97.500000, 79.100, 157.6302
98.800003, 79.008, 157.4285
100.000000, 78.915, 157.2703
101.500000, 78.809, 156.9878
103.000000, 78.720, 156.6939
104.400002, 78.634, 156.4953
106.000000, 78.523, 156.3042
107.500000, 78.408, 156.1461
109.000000, 78.307, 156.0535
110.599998, 78.192, 155.9651
112.000000, 78.088, 155.8520
113.800003, 77.972, 155.7391
115.000000, 77.892, 155.6668
117.199997, 77.732, 155.5399
118.000000, 77.677, 155.5316
120.599998, 77.513, 155.5537
122.000000, 77.420, 155.5108
124.099998, 77.281, 155.5137
125.000000, 77.223, 155.5330
126.500000, 77.119, 155.5638
128.000000, 77.012, 155.5963
131.500000, 76.782, 155.7969
132.000000, 76.750, 155.8325
134.000000, 76.622, 155.8967
136.000000, 76.493, 155.9575
138.000000, 76.367, 156.1347
140.000000, 76.252, 156.4065
143.000000, 76.067, 156.6711
145.000000, 75.947, 156.9245
147.500000, 75.802, 157.3328
150.000000, 75.648, 157.6471
152.500000, 75.492, 157.9713
155.000000, 75.343, 158.3426
157.500000, 75.208, 158.7341
160.000000, 75.079, 159.1974
162.500000, 74.947, 159.7099
165.000000, 74.818, 160.2487
167.500000, 74.698, 160.7000
170.000000, 74.581, 161.2075
172.500000, 74.464, 161.7869
175.000000, 74.344, 162.3183
177.500000, 74.223, 162.8512
180.000000, 74.113, 163.4569
182.500000, 74.009, 164.0682
185.000000, 73.909, 164.7240
187.500000, 73.817, 165.3910
190.000000, 73.727, 166.0914
192.500000, 73.630, 166.7499
195.000000, 73.535, 167.3512
197.500000, 73.457, 167.9499
200.000000, 73.379, 168.5949
203.000000, 73.285, 169.4228
206.000000, 73.199, 170.3567
209.000000, 73.120, 171.2562
212.000000, 73.038, 172.0588
214.000000, 72.985, 172.6001
218.000000, 72.893, 173.6687
220.000000, 72.847, 174.1875
224.000000, 72.755, 175.1971
227.000000, 72.711, 176.0270
230.000000, 72.669, 176.8958
233.000000, 72.612, 177.7335
236.000000, 72.563, 178.5127
240.000000, 72.516, 179.5463
243.000000, 72.482, -179.6717
247.000000, 72.434, -178.5774
250.000000, 72.404, -177.7809
254.000000, 72.367, -176.7407
258.000000, 72.333, -175.7600
262.000000, 72.306, -174.8482
265.000000, 72.290, -174.1646
269.000000, 72.265, -173.2391
