* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 10, 2024 12:21:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (10ohm, Final E M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 85.993, -177.2975
20.600000, 86.043, -179.2166
20.900000, 86.155, 178.9963
21.200001, 86.308, 177.7621
21.400000, 86.415, 177.3147
21.799999, 86.605, 177.2639
22.000000, 86.675, 177.5691
22.400000, 86.745, 178.5163
22.700001, 86.734, 179.2393
23.000000, 86.674, 179.7435
23.299999, 86.577, 179.8937
23.600000, 86.461, 179.6471
24.000000, 86.316, 178.8135
24.299999, 86.242, 177.9951
24.700001, 86.213, 176.9561
25.000000, 86.244, 176.3538
25.400000, 86.328, 175.8177
25.799999, 86.410, 175.4665
26.200001, 86.445, 175.1453
26.500000, 86.429, 174.8729
26.900000, 86.373, 174.4602
27.200001, 86.331, 174.1208
27.600000, 86.314, 173.6259
28.000000, 86.355, 173.0718
28.500000, 86.443, 172.3433
29.000000, 86.482, 171.7462
29.500000, 86.417, 171.4440
30.000000, 86.282, 171.3633
30.400000, 86.179, 171.2469
30.700001, 86.129, 171.0150
31.100000, 86.113, 170.4684
31.500000, 86.144, 169.7314
32.000000, 86.201, 168.8205
32.500000, 86.221, 168.2107
33.000000, 86.176, 168.0014
33.500000, 86.098, 168.0195
34.000000, 86.065, 167.8770
34.500000, 86.125, 167.1975
35.000000, 86.241, 165.9701
35.500000, 86.319, 164.6741
36.000000, 86.293, 163.9675
36.500000, 86.181, 164.1674
37.000000, 86.072, 164.8860
37.500000, 86.027, 165.2216
38.200001, 86.022, 164.0899
38.700001, 85.983, 162.7381
39.500000, 85.880, 161.7393
40.000000, 85.866, 161.9593
40.599998, 85.894, 162.0350
41.200001, 85.880, 161.2746
41.799999, 85.809, 160.0963
42.500000, 85.776, 159.0317
43.099998, 85.829, 158.3504
43.700001, 85.844, 157.6743
44.400002, 85.707, 157.3233
45.000000, 85.568, 157.7050
45.500000, 85.546, 158.0624
46.200001, 85.623, 157.6324
46.799999, 85.625, 156.6374
47.500000, 85.527, 156.0797
48.200001, 85.516, 156.2908
48.700001, 85.584, 156.1130
49.400002, 85.629, 154.9811
50.000000, 85.539, 153.8544
50.799999, 85.365, 153.1019
51.500000, 85.285, 153.0088
52.200001, 85.276, 153.2351
53.000000, 85.335, 153.5668
53.799999, 85.366, 153.1728
54.500000, 85.264, 152.3431
55.200001, 85.100, 151.7111
56.000000, 84.971, 151.2979
57.000000, 84.912, 150.8818
58.000000, 84.947, 150.4784
59.000000, 84.981, 149.8015
60.000000, 84.921, 149.5504
60.799999, 84.881, 149.5150
61.500000, 84.855, 149.1284
62.200001, 84.803, 148.5017
63.000000, 84.716, 147.8813
64.000000, 84.627, 147.4504
65.000000, 84.602, 146.9769
66.000000, 84.562, 146.2487
67.000000, 84.458, 145.6791
68.000000, 84.353, 145.2712
69.000000, 84.264, 144.8849
70.000000, 84.197, 144.6670
71.000000, 84.167, 144.2801
72.000000, 84.133, 143.5151
73.000000, 84.085, 142.7809
74.000000, 84.058, 142.2305
75.000000, 84.026, 141.7791
76.199997, 83.945, 141.5177
77.500000, 83.862, 141.1101
78.800003, 83.768, 140.6154
80.000000, 83.673, 140.3120
81.199997, 83.575, 139.8188
82.500000, 83.502, 139.2231
83.800003, 83.433, 138.7382
85.000000, 83.345, 138.3239
86.199997, 83.251, 138.0187
87.500000, 83.167, 137.6486
88.500000, 83.110, 137.2466
90.000000, 83.017, 136.7910
91.199997, 82.925, 136.5281
92.500000, 82.810, 136.1428
93.800003, 82.714, 135.7579
95.000000, 82.646, 135.3798
96.199997, 82.583, 135.0590
97.500000, 82.517, 134.7823
98.800003, 82.437, 134.5248
100.000000, 82.342, 134.3196
101.500000, 82.227, 133.9598
103.000000, 82.131, 133.5025
104.400002, 82.042, 133.0979
106.000000, 81.939, 132.7148
107.500000, 81.828, 132.4646
109.000000, 81.724, 132.1321
110.599998, 81.618, 131.8218
112.000000, 81.519, 131.6656
113.800003, 81.410, 131.5587
115.000000, 81.338, 131.4622
117.199997, 81.195, 131.1014
118.000000, 81.141, 130.9351
120.599998, 80.952, 130.5439
122.000000, 80.853, 130.3367
124.099998, 80.715, 130.0556
125.000000, 80.657, 129.9644
126.500000, 80.561, 129.8743
128.000000, 80.458, 129.7968
131.500000, 80.241, 129.5532
132.000000, 80.211, 129.5367
134.000000, 80.091, 129.4932
136.000000, 79.970, 129.3774
138.000000, 79.845, 129.2428
140.000000, 79.718, 129.2199
143.000000, 79.531, 129.2444
145.000000, 79.410, 129.1521
147.500000, 79.277, 129.1260
150.000000, 79.145, 129.3377
152.500000, 78.985, 129.4168
155.000000, 78.837, 129.3719
157.500000, 78.690, 129.5242
160.000000, 78.559, 129.6362
162.500000, 78.434, 129.6919
165.000000, 78.302, 129.8390
167.500000, 78.175, 130.0302
170.000000, 78.057, 130.2588
172.500000, 77.944, 130.5408
175.000000, 77.825, 130.6989
177.500000, 77.712, 130.8738
180.000000, 77.594, 131.1264
182.500000, 77.477, 131.4825
185.000000, 77.382, 131.8392
187.500000, 77.297, 132.1178
190.000000, 77.199, 132.4553
192.500000, 77.089, 132.8217
195.000000, 76.986, 133.1170
197.500000, 76.897, 133.4433
200.000000, 76.813, 133.7567
203.000000, 76.707, 134.1522
206.000000, 76.604, 134.6483
209.000000, 76.526, 135.0976
212.000000, 76.448, 135.5085
214.000000, 76.389, 135.7728
218.000000, 76.276, 136.3223
220.000000, 76.221, 136.5976
224.000000, 76.111, 137.2527
227.000000, 76.038, 137.7876
230.000000, 75.974, 138.2908
233.000000, 75.910, 138.7560
236.000000, 75.855, 139.2231
240.000000, 75.780, 139.8377
243.000000, 75.726, 140.2354
247.000000, 75.651, 140.7660
250.000000, 75.601, 141.1888
254.000000, 75.547, 141.7476
258.000000, 75.499, 142.2962
262.000000, 75.454, 142.8854
265.000000, 75.427, 143.3284
269.000000, 75.391, 143.8582
272.000000, 75.359, 144.2547
276.000000, 75.322, 144.7504
280.000000, 75.291, 145.2870
285.000000, 75.262, 145.9208
290.000000, 75.233, 146.4783
295.000000, 75.194, 147.0813
300.000000, 75.177, 147.5432
304.000000, 75.161, 147.8771
307.000000, 75.146, 148.1635
311.000000, 75.128, 148.5877
315.000000, 75.118, 149.0432
320.000000, 75.103, 149.5394
325.000000, 75.085, 149.9699
330.000000, 75.074, 150.3726
335.000000, 75.082, 150.7373
340.000000, 75.082, 151.1132
345.000000, 75.062, 151.4602
350.000000, 75.048, 151.8657
355.000000, 75.040, 152.2688
360.000000, 75.025, 152.5624
365.000000, 75.011, 152.8293
370.000000, 75.008, 153.1342
375.000000, 75.009, 153.3773
382.000000, 75.003, 153.7499
387.000000, 74.998, 154.0833
395.000000, 74.988, 154.5198
400.000000, 74.983, 154.6875
406.000000, 74.975, 154.9604
412.000000, 74.970, 155.2632
418.000000, 74.969, 155.4883
425.000000, 74.966, 155.8402
431.000000, 74.950, 156.1699
437.000000, 74.925, 156.4000
444.000000, 74.908, 156.6360
