* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 10, 2024 11:59:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (Black N5005 M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.015, -174.8557
20.600000, 83.003, -175.2995
20.900000, 82.988, -175.7218
21.200001, 82.977, -176.0713
21.400000, 82.977, -176.2711
21.799999, 82.992, -176.6431
22.000000, 83.006, -176.8408
22.400000, 83.037, -177.2981
22.700001, 83.054, -177.6913
23.000000, 83.059, -178.0979
23.299999, 83.052, -178.4812
23.600000, 83.035, -178.8127
24.000000, 83.008, -179.1655
24.299999, 82.993, -179.3908
24.700001, 82.985, -179.7126
25.000000, 82.987, 179.9834
25.400000, 82.992, 179.4654
25.799999, 82.992, 178.8505
26.200001, 82.982, 178.2260
26.500000, 82.969, 177.8105
26.900000, 82.951, 177.3773
27.200001, 82.942, 177.1446
27.600000, 82.940, 176.9124
28.000000, 82.947, 176.6895
28.500000, 82.958, 176.3135
29.000000, 82.955, 175.7933
29.500000, 82.937, 175.1908
30.000000, 82.913, 174.6012
30.400000, 82.897, 174.1855
30.700001, 82.890, 173.9186
31.100000, 82.886, 173.6257
31.500000, 82.887, 173.3950
32.000000, 82.894, 173.1417
32.500000, 82.901, 172.8259
33.000000, 82.898, 172.3557
33.500000, 82.876, 171.7435
34.000000, 82.832, 171.1203
34.500000, 82.784, 170.6382
35.000000, 82.754, 170.3467
35.500000, 82.748, 170.1669
36.000000, 82.752, 169.9870
36.500000, 82.748, 169.7593
37.000000, 82.727, 169.4933
37.500000, 82.701, 169.1901
38.200001, 82.670, 168.6574
38.700001, 82.652, 168.2183
39.500000, 82.621, 167.6028
40.000000, 82.608, 167.3134
40.599998, 82.601, 166.9559
41.200001, 82.594, 166.4841
41.799999, 82.576, 165.9407
42.500000, 82.543, 165.3947
43.099998, 82.516, 165.0783
43.700001, 82.492, 164.8628
44.400002, 82.464, 164.6390
45.000000, 82.443, 164.3900
45.500000, 82.431, 164.0949
46.200001, 82.409, 163.5368
46.799999, 82.374, 163.0279
47.500000, 82.316, 162.5876
48.200001, 82.272, 162.2939
48.700001, 82.254, 162.0511
49.400002, 82.232, 161.6099
50.000000, 82.212, 161.2388
50.799999, 82.199, 160.8377
51.500000, 82.191, 160.4843
52.200001, 82.158, 160.1223
53.000000, 82.107, 159.7212
53.799999, 82.070, 159.2405
54.500000, 82.050, 158.8285
55.200001, 82.041, 158.5561
56.000000, 82.028, 158.3130
57.000000, 81.975, 157.8958
58.000000, 81.924, 157.3967
59.000000, 81.900, 156.8195
60.000000, 81.838, 156.3907
60.799999, 81.782, 156.1812
61.500000, 81.753, 155.9257
62.200001, 81.730, 155.6069
63.000000, 81.695, 155.3252
64.000000, 81.652, 155.0710
65.000000, 81.621, 154.5822
66.000000, 81.565, 153.9732
67.000000, 81.481, 153.6916
68.000000, 81.435, 153.5408
69.000000, 81.414, 153.1038
70.000000, 81.364, 152.6522
71.000000, 81.305, 152.3746
72.000000, 81.269, 152.0619
73.000000, 81.242, 151.5853
74.000000, 81.185, 151.1450
75.000000, 81.115, 150.9558
76.199997, 81.062, 150.7594
77.500000, 81.026, 150.2475
78.800003, 80.960, 149.5194
80.000000, 80.861, 149.0410
81.199997, 80.783, 148.8564
82.500000, 80.738, 148.7320
83.800003, 80.691, 148.5096
85.000000, 80.635, 148.1028
86.199997, 80.559, 147.6182
87.500000, 80.475, 147.1974
88.500000, 80.423, 146.9543
90.000000, 80.355, 146.7251
91.199997, 80.299, 146.5178
92.500000, 80.232, 146.1642
93.800003, 80.160, 145.8378
95.000000, 80.103, 145.5709
96.199997, 80.041, 145.2913
97.500000, 79.965, 144.9899
98.800003, 79.898, 144.7250
100.000000, 79.843, 144.4848
101.500000, 79.765, 144.1948
103.000000, 79.687, 143.9723
104.400002, 79.618, 143.7565
106.000000, 79.533, 143.4727
107.500000, 79.453, 143.2606
109.000000, 79.380, 143.0724
110.599998, 79.301, 142.8380
112.000000, 79.227, 142.6062
113.800003, 79.124, 142.3657
115.000000, 79.058, 142.2341
117.199997, 78.952, 141.9896
118.000000, 78.913, 141.8896
120.599998, 78.784, 141.5397
122.000000, 78.712, 141.4753
124.099998, 78.600, 141.4106
125.000000, 78.552, 141.3484
126.500000, 78.478, 141.2203
128.000000, 78.410, 141.0973
131.500000, 78.248, 140.9287
132.000000, 78.223, 140.9049
134.000000, 78.124, 140.7561
136.000000, 78.025, 140.6598
138.000000, 77.920, 140.6206
140.000000, 77.821, 140.5744
143.000000, 77.697, 140.5799
145.000000, 77.610, 140.5958
147.500000, 77.496, 140.6263
150.000000, 77.381, 140.6702
152.500000, 77.275, 140.6996
155.000000, 77.174, 140.8092
157.500000, 77.077, 140.9242
160.000000, 76.982, 141.0383
162.500000, 76.888, 141.1295
165.000000, 76.791, 141.2543
167.500000, 76.698, 141.4370
170.000000, 76.610, 141.6380
172.500000, 76.527, 141.8470
175.000000, 76.448, 142.0492
177.500000, 76.366, 142.2696
180.000000, 76.278, 142.4711
