* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 9, 2024 5:56:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (Candy M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.466, -172.9815
20.600000, 83.463, -173.3283
20.900000, 83.459, -173.7046
21.200001, 83.456, -174.0783
21.400000, 83.454, -174.3217
21.799999, 83.455, -174.7865
22.000000, 83.457, -175.0058
22.400000, 83.462, -175.4187
22.700001, 83.465, -175.7132
23.000000, 83.467, -176.0048
23.299999, 83.468, -176.3020
23.600000, 83.465, -176.6099
24.000000, 83.456, -177.0363
24.299999, 83.448, -177.3616
24.700001, 83.435, -177.7904
25.000000, 83.428, -178.1020
25.400000, 83.421, -178.5014
25.799999, 83.417, -178.8858
26.200001, 83.414, -179.2604
26.500000, 83.412, -179.5366
26.900000, 83.405, -179.8977
27.200001, 83.398, 179.8384
27.600000, 83.387, 179.4967
28.000000, 83.375, 179.1638
28.500000, 83.362, 178.7509
29.000000, 83.352, 178.3332
29.500000, 83.340, 177.9153
30.000000, 83.328, 177.5113
30.400000, 83.318, 177.2009
30.700001, 83.311, 176.9705
31.100000, 83.303, 176.6561
31.500000, 83.295, 176.3270
32.000000, 83.281, 175.9094
32.500000, 83.262, 175.5262
33.000000, 83.242, 175.2069
33.500000, 83.229, 174.9249
34.000000, 83.222, 174.6161
34.500000, 83.211, 174.2445
35.000000, 83.191, 173.8396
35.500000, 83.164, 173.4620
36.000000, 83.141, 173.1387
36.500000, 83.128, 172.8425
37.000000, 83.121, 172.5341
37.500000, 83.110, 172.2060
38.200001, 83.084, 171.7552
38.700001, 83.061, 171.4550
39.500000, 83.028, 170.9902
40.000000, 83.010, 170.7077
40.599998, 82.991, 170.3828
41.200001, 82.974, 170.0502
41.799999, 82.954, 169.6841
42.500000, 82.920, 169.2532
43.099998, 82.889, 168.9358
43.700001, 82.866, 168.6521
44.400002, 82.847, 168.2909
45.000000, 82.826, 167.9493
45.500000, 82.806, 167.6734
46.200001, 82.781, 167.3219
46.799999, 82.762, 167.0309
47.500000, 82.734, 166.6873
48.200001, 82.700, 166.3529
48.700001, 82.677, 166.1183
49.400002, 82.650, 165.7824
50.000000, 82.629, 165.4909
50.799999, 82.598, 165.1184
51.500000, 82.565, 164.8051
52.200001, 82.531, 164.4912
53.000000, 82.497, 164.1434
53.799999, 82.465, 163.8262
54.500000, 82.436, 163.5473
55.200001, 82.402, 163.2230
56.000000, 82.364, 162.8196
57.000000, 82.323, 162.4047
58.000000, 82.287, 162.0844
59.000000, 82.239, 161.7215
60.000000, 82.185, 161.3268
60.799999, 82.146, 161.0376
