* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 9, 2024 6:17:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (Final E M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.101, -172.7006
20.600000, 83.097, -173.0571
20.900000, 83.093, -173.4538
21.200001, 83.091, -173.8589
21.400000, 83.090, -174.1278
21.799999, 83.090, -174.6451
22.000000, 83.089, -174.8848
22.400000, 83.084, -175.3140
22.700001, 83.078, -175.5955
23.000000, 83.073, -175.8590
23.299999, 83.068, -176.1269
23.600000, 83.065, -176.4187
24.000000, 83.064, -176.8569
24.299999, 83.065, -177.2119
24.700001, 83.067, -177.6871
25.000000, 83.069, -178.0252
25.400000, 83.074, -178.4417
25.799999, 83.076, -178.8277
26.200001, 83.070, -179.1938
26.500000, 83.059, -179.4546
26.900000, 83.039, -179.7784
27.200001, 83.025, 179.9930
27.600000, 83.015, 179.6846
28.000000, 83.014, 179.3417
28.500000, 83.012, 178.8601
29.000000, 82.992, 178.4019
29.500000, 82.959, 178.0706
30.000000, 82.934, 177.8495
30.400000, 82.933, 177.6554
30.700001, 82.941, 177.4495
31.100000, 82.957, 177.0817
31.500000, 82.967, 176.6509
32.000000, 82.964, 176.1424
32.500000, 82.948, 175.7532
33.000000, 82.928, 175.4620
33.500000, 82.908, 175.1824
34.000000, 82.888, 174.8587
34.500000, 82.870, 174.4940
35.000000, 82.856, 174.1171
35.500000, 82.845, 173.7458
36.000000, 82.834, 173.3844
36.500000, 82.818, 173.0361
37.000000, 82.799, 172.7076
37.500000, 82.781, 172.4003
38.200001, 82.764, 171.9826
38.700001, 82.754, 171.6720
39.500000, 82.727, 171.1664
40.000000, 82.703, 170.8735
40.599998, 82.679, 170.5434
41.200001, 82.664, 170.1978
41.799999, 82.649, 169.8297
42.500000, 82.621, 169.4340
43.099998, 82.594, 169.1428
43.700001, 82.573, 168.8404
44.400002, 82.553, 168.4274
45.000000, 82.533, 168.0755
45.500000, 82.514, 167.8257
46.200001, 82.491, 167.5222
46.799999, 82.472, 167.2518
47.500000, 82.446, 166.9167
48.200001, 82.416, 166.5940
48.700001, 82.394, 166.3632
49.400002, 82.359, 166.0156
50.000000, 82.326, 165.7073
50.799999, 82.288, 165.3213
51.500000, 82.267, 165.0015
52.200001, 82.248, 164.6894
53.000000, 82.220, 164.3589
53.799999, 82.186, 164.0500
54.500000, 82.153, 163.7771
55.200001, 82.119, 163.4897
56.000000, 82.082, 163.1403
57.000000, 82.043, 162.7209
58.000000, 82.009, 162.3434
59.000000, 81.955, 161.9636
60.000000, 81.890, 161.5985
60.799999, 81.854, 161.2900
61.500000, 81.830, 161.0017
62.200001, 81.806, 160.7192
63.000000, 81.772, 160.4182
64.000000, 81.724, 160.0782
65.000000, 81.681, 159.7455
66.000000, 81.635, 159.3970
67.000000, 81.585, 159.0725
68.000000, 81.538, 158.7543
69.000000, 81.491, 158.4383
70.000000, 81.450, 158.1042
71.000000, 81.408, 157.7431
72.000000, 81.358, 157.4382
73.000000, 81.307, 157.1827
74.000000, 81.257, 156.9220
75.000000, 81.207, 156.6703
76.199997, 81.146, 156.3515
