* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 10, 2024 11:40:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (Final E ML) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.316, -175.3185
20.600000, 83.309, -175.6397
20.900000, 83.306, -176.0571
21.200001, 83.309, -176.5634
21.400000, 83.315, -176.9398
21.799999, 83.330, -177.7123
22.000000, 83.338, -178.0627
22.400000, 83.349, -178.5854
22.700001, 83.355, -178.7785
23.000000, 83.363, -178.8205
23.299999, 83.374, -178.7857
23.600000, 83.387, -178.7768
24.000000, 83.398, -178.9650
24.299999, 83.393, -179.3095
24.700001, 83.363, -179.9913
25.000000, 83.325, 179.4268
25.400000, 83.273, 178.7133
25.799999, 83.241, 178.1677
26.200001, 83.243, 177.7711
26.500000, 83.261, 177.5134
26.900000, 83.289, 177.1617
27.200001, 83.299, 176.8894
27.600000, 83.291, 176.5561
28.000000, 83.268, 176.2955
28.500000, 83.246, 176.0253
29.000000, 83.250, 175.6514
29.500000, 83.266, 175.0887
30.000000, 83.270, 174.4817
30.400000, 83.267, 174.1073
30.700001, 83.268, 173.9142
31.100000, 83.274, 173.7174
31.500000, 83.275, 173.4994
32.000000, 83.239, 173.1531
32.500000, 83.153, 172.8611
33.000000, 83.061, 172.7583
33.500000, 83.032, 172.6889
34.000000, 83.076, 172.3162
34.500000, 83.127, 171.5584
35.000000, 83.123, 170.7446
35.500000, 83.066, 170.2493
36.000000, 83.010, 170.0739
36.500000, 82.994, 169.8630
37.000000, 83.003, 169.3678
37.500000, 83.011, 168.7397
38.200001, 83.025, 168.1863
38.700001, 83.052, 168.0216
39.500000, 83.055, 167.5589
40.000000, 82.988, 167.1018
40.599998, 82.880, 166.6362
41.200001, 82.825, 166.3343
41.799999, 82.838, 166.0637
42.500000, 82.870, 165.7174
43.099998, 82.873, 165.4097
43.700001, 82.857, 165.0109
44.400002, 82.821, 164.3880
45.000000, 82.778, 163.8990
45.500000, 82.741, 163.6411
46.200001, 82.704, 163.4083
