* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 11, 2024 11:00:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (Foam M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.646, -174.6570
20.600000, 83.639, -174.9692
20.900000, 83.631, -175.3367
21.200001, 83.623, -175.7367
21.400000, 83.619, -176.0146
21.799999, 83.613, -176.5698
22.000000, 83.611, -176.8340
22.400000, 83.609, -177.3141
22.700001, 83.607, -177.6322
23.000000, 83.606, -177.9298
23.299999, 83.605, -178.2290
23.600000, 83.604, -178.5502
24.000000, 83.602, -179.0292
24.299999, 83.599, -179.4199
24.700001, 83.594, -179.9511
25.000000, 83.591, 179.6673
25.400000, 83.590, 179.2057
25.799999, 83.591, 178.8008
26.200001, 83.591, 178.4348
26.500000, 83.589, 178.1699
26.900000, 83.581, 177.8114
27.200001, 83.572, 177.5316
27.600000, 83.558, 177.1415
28.000000, 83.545, 176.7379
28.500000, 83.533, 176.2349
29.000000, 83.525, 175.7595
29.500000, 83.519, 175.3215
30.000000, 83.511, 174.9028
30.400000, 83.502, 174.5630
30.700001, 83.494, 174.3009
31.100000, 83.481, 173.9456
31.500000, 83.468, 173.5930
32.000000, 83.455, 173.1655
32.500000, 83.448, 172.7474
33.000000, 83.440, 172.3272
33.500000, 83.428, 171.9073
34.000000, 83.411, 171.5013
34.500000, 83.394, 171.1157
35.000000, 83.378, 170.7437
35.500000, 83.364, 170.3795
36.000000, 83.348, 170.0260
36.500000, 83.331, 169.6844
37.000000, 83.316, 169.3430
37.500000, 83.302, 168.9858
38.200001, 83.283, 168.4648
38.700001, 83.268, 168.1060
39.500000, 83.243, 167.5815
40.000000, 83.227, 167.2675
40.599998, 83.204, 166.8871
41.200001, 83.180, 166.5061
41.799999, 83.155, 166.1306
42.500000, 83.128, 165.6983
43.099998, 83.104, 165.3377
43.700001, 83.082, 164.9901
44.400002, 83.062, 164.5793
45.000000, 83.047, 164.1979
45.500000, 83.031, 163.8652
46.200001, 83.001, 163.4224
46.799999, 82.973, 163.0892
47.500000, 82.943, 162.7254
48.200001, 82.915, 162.3407
48.700001, 82.894, 162.0527
49.400002, 82.864, 161.6506
50.000000, 82.842, 161.3109
50.799999, 82.811, 160.8710
51.500000, 82.778, 160.5237
52.200001, 82.743, 160.1967
53.000000, 82.710, 159.7794
53.799999, 82.679, 159.3481
54.500000, 82.653, 159.0472
55.200001, 82.625, 158.8065
56.000000, 82.586, 158.4915
57.000000, 82.532, 157.9470
58.000000, 82.489, 157.3358
59.000000, 82.450, 156.8234
60.000000, 82.406, 156.4059
60.799999, 82.370, 156.0790
61.500000, 82.338, 155.7978
62.200001, 82.307, 155.5187
63.000000, 82.268, 155.1852
64.000000, 82.221, 154.7475
65.000000, 82.177, 154.3150
66.000000, 82.131, 153.9223
67.000000, 82.082, 153.5468
68.000000, 82.031, 153.1505
69.000000, 81.977, 152.7838
70.000000, 81.926, 152.4375
71.000000, 81.883, 152.0562
72.000000, 81.839, 151.6690
73.000000, 81.789, 151.3134
74.000000, 81.738, 150.9623
75.000000, 81.692, 150.6202
76.199997, 81.638, 150.2381
77.500000, 81.572, 149.8154
78.800003, 81.507, 149.3724
80.000000, 81.444, 148.9939
81.199997, 81.384, 148.6533
82.500000, 81.323, 148.2701
83.800003, 81.256, 147.8763
85.000000, 81.191, 147.5373
86.199997, 81.127, 147.2310
87.500000, 81.057, 146.8928
88.500000, 81.011, 146.6428
90.000000, 80.941, 146.2747
91.199997, 80.878, 145.9622
92.500000, 80.808, 145.6367
93.800003, 80.736, 145.3364
95.000000, 80.668, 145.0266
96.199997, 80.605, 144.7444
97.500000, 80.542, 144.4833
98.800003, 80.481, 144.2193
100.000000, 80.420, 143.9832
101.500000, 80.342, 143.7000
103.000000, 80.260, 143.4402
104.400002, 80.183, 143.2232
106.000000, 80.098, 142.9963
107.500000, 80.017, 142.7679
109.000000, 79.939, 142.5212
110.599998, 79.863, 142.2654
112.000000, 79.795, 142.0422
113.800003, 79.698, 141.7789
115.000000, 79.632, 141.6238
117.199997, 79.516, 141.3916
118.000000, 79.476, 141.2838
120.599998, 79.355, 140.9674
122.000000, 79.286, 140.8436
124.099998, 79.175, 140.6058
125.000000, 79.130, 140.5148
126.500000, 79.054, 140.3858
128.000000, 78.975, 140.2639
131.500000, 78.807, 140.0691
132.000000, 78.783, 140.0503
