* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 9, 2024 6:23:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (H570 M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.502, -173.6671
20.600000, 83.505, -173.9756
20.900000, 83.504, -174.3584
21.200001, 83.501, -174.7864
21.400000, 83.499, -175.0854
21.799999, 83.493, -175.6834
22.000000, 83.490, -175.9695
22.400000, 83.487, -176.4975
22.700001, 83.485, -176.8521
23.000000, 83.485, -177.1760
23.299999, 83.484, -177.4771
23.600000, 83.483, -177.7635
24.000000, 83.481, -178.1338
24.299999, 83.479, -178.4084
24.700001, 83.476, -178.7739
25.000000, 83.474, -179.0478
25.400000, 83.470, -179.4134
25.799999, 83.465, -179.7850
26.200001, 83.460, 179.8264
26.500000, 83.454, 179.5186
26.900000, 83.445, 179.0911
27.200001, 83.437, 178.7709
27.600000, 83.426, 178.3715
28.000000, 83.418, 178.0254
28.500000, 83.419, 177.6582
29.000000, 83.427, 177.3005
29.500000, 83.429, 176.8933
30.000000, 83.414, 176.4482
30.400000, 83.391, 176.1019
30.700001, 83.373, 175.8600
31.100000, 83.353, 175.5536
31.500000, 83.342, 175.2424
32.000000, 83.335, 174.8203
32.500000, 83.326, 174.3790
33.000000, 83.309, 173.9691
33.500000, 83.289, 173.6176
34.000000, 83.269, 173.3071
34.500000, 83.251, 173.0076
35.000000, 83.234, 172.7065
35.500000, 83.217, 172.4023
36.000000, 83.204, 172.0885
36.500000, 83.192, 171.7581
37.000000, 83.181, 171.4175
37.500000, 83.169, 171.0830
38.200001, 83.150, 170.6344
38.700001, 83.133, 170.3164
39.500000, 83.098, 169.8113
40.000000, 83.075, 169.5176
40.599998, 83.051, 169.1909
41.200001, 83.034, 168.8610
41.799999, 83.018, 168.5005
42.500000, 82.994, 168.0597
43.099998, 82.969, 167.7059
43.700001, 82.948, 167.3852
44.400002, 82.928, 167.0186
45.000000, 82.909, 166.6916
45.500000, 82.889, 166.4258
46.200001, 82.855, 166.0974
46.799999, 82.828, 165.8467
47.500000, 82.796, 165.5357
48.200001, 82.757, 165.1747
48.700001, 82.727, 164.8938
49.400002, 82.691, 164.4894
50.000000, 82.670, 164.1552
50.799999, 82.647, 163.7585
51.500000, 82.624, 163.4437
52.200001, 82.594, 163.1323
53.000000, 82.557, 162.7906
53.799999, 82.523, 162.4612
54.500000, 82.483, 162.1785
55.200001, 82.429, 161.9487
56.000000, 82.384, 161.7205
57.000000, 82.366, 161.2538
58.000000, 82.330, 160.7082
