* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 9, 2024 6:16:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (S&S L) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.552, -173.8615
20.600000, 83.544, -174.0641
20.900000, 83.534, -174.2699
21.200001, 83.526, -174.5025
21.400000, 83.522, -174.6965
21.799999, 83.517, -175.2282
22.000000, 83.514, -175.5762
22.400000, 83.502, -176.4138
22.700001, 83.486, -177.1053
23.000000, 83.464, -177.7704
23.299999, 83.442, -178.3337
23.600000, 83.425, -178.7400
24.000000, 83.422, -179.0118
24.299999, 83.438, -179.0509
24.700001, 83.475, -178.9969
25.000000, 83.506, -178.9583
25.400000, 83.535, -178.9934
25.799999, 83.540, -179.1607
26.200001, 83.523, -179.4489
26.500000, 83.504, -179.7259
26.900000, 83.481, 179.8489
27.200001, 83.474, 179.5032
27.600000, 83.478, 179.0292
28.000000, 83.493, 178.5661
28.500000, 83.514, 178.0361
29.000000, 83.522, 177.5715
29.500000, 83.511, 177.1520
30.000000, 83.486, 176.7450
30.400000, 83.464, 176.4134
30.700001, 83.450, 176.1593
31.100000, 83.436, 175.8167
31.500000, 83.427, 175.4774
32.000000, 83.418, 175.0709
32.500000, 83.406, 174.6895
33.000000, 83.387, 174.3218
33.500000, 83.363, 173.9451
34.000000, 83.336, 173.5476
34.500000, 83.309, 173.1412
35.000000, 83.285, 172.7494
35.500000, 83.267, 172.3828
36.000000, 83.254, 172.0337
36.500000, 83.243, 171.6954
37.000000, 83.229, 171.3768
37.500000, 83.212, 171.0875
38.200001, 83.188, 170.7021
38.700001, 83.170, 170.4019
39.500000, 83.134, 169.8866
40.000000, 83.110, 169.5866
40.599998, 83.086, 169.2539
41.200001, 83.066, 168.9044
41.799999, 83.045, 168.5188
42.500000, 83.017, 168.0723
43.099998, 82.995, 167.7400
43.700001, 82.972, 167.4694
44.400002, 82.945, 167.2076
45.000000, 82.923, 166.9636
45.500000, 82.906, 166.7040
46.200001, 82.885, 166.2675
46.799999, 82.865, 165.8965
47.500000, 82.838, 165.5244
48.200001, 82.800, 165.1927
48.700001, 82.768, 164.9550
49.400002, 82.729, 164.6044
50.000000, 82.707, 164.2886
50.799999, 82.686, 163.8672
51.500000, 82.660, 163.5175
52.200001, 82.623, 163.1998
53.000000, 82.581, 162.8842
53.799999, 82.548, 162.5778
54.500000, 82.519, 162.2664
55.200001, 82.484, 161.9035
56.000000, 82.444, 161.4772
57.000000, 82.400, 161.1071
58.000000, 82.359, 160.8939
59.000000, 82.297, 160.5348
60.000000, 82.229, 160.1209
60.799999, 82.198, 159.8019
61.500000, 82.173, 159.4971
62.200001, 82.138, 159.2117
63.000000, 82.098, 158.9286
64.000000, 82.056, 158.5546
65.000000, 82.002, 158.1831
66.000000, 81.934, 157.8963
67.000000, 81.880, 157.6118
68.000000, 81.837, 157.2402
69.000000, 81.786, 156.9201
70.000000, 81.717, 156.6718
71.000000, 81.623, 156.4161
72.000000, 81.550, 156.1515
73.000000, 81.530, 155.7155
74.000000, 81.502, 155.2465
75.000000, 81.453, 154.9766
76.199997, 81.393, 154.6873
77.500000, 81.326, 154.3500
78.800003, 81.265, 154.0081
80.000000, 81.207, 153.6924
81.199997, 81.135, 153.3867
82.500000, 81.058, 153.1055
83.800003, 80.981, 152.7830
85.000000, 80.909, 152.5096
86.199997, 80.851, 152.3167
87.500000, 80.775, 152.1378
88.500000, 80.711, 151.9680
90.000000, 80.627, 151.6351
91.199997, 80.561, 151.3509
92.500000, 80.491, 151.1039
93.800003, 80.419, 150.9000
95.000000, 80.344, 150.6990
96.199997, 80.272, 150.5155
97.500000, 80.191, 150.3741
98.800003, 80.107, 150.2176
100.000000, 80.033, 150.0633
101.500000, 79.942, 149.9127
103.000000, 79.851, 149.7156
104.400002, 79.766, 149.5025
106.000000, 79.668, 149.3073
107.500000, 79.571, 149.2078
109.000000, 79.467, 149.1079
110.599998, 79.357, 148.9977
112.000000, 79.261, 148.9560
113.800003, 79.127, 148.9659
115.000000, 79.033, 148.9921
117.199997, 78.861, 149.2484
118.000000, 78.806, 149.4389
120.599998, 78.645, 150.2586
122.000000, 78.565, 150.7365
124.099998, 78.520, 151.4934
125.000000, 78.523, 151.7440
126.500000, 78.543, 151.9589
128.000000, 78.565, 151.9351
131.500000, 78.551, 151.4023
132.000000, 78.539, 151.2981
134.000000, 78.468, 150.8978
136.000000, 78.374, 150.6126
138.000000, 78.267, 150.4496
140.000000, 78.161, 150.3995
143.000000, 78.011, 150.4773
145.000000, 77.914, 150.5422
147.500000, 77.800, 150.6571
150.000000, 77.694, 150.7674
152.500000, 77.596, 150.9096
155.000000, 77.500, 151.0646
157.500000, 77.403, 151.2399
160.000000, 77.306, 151.3901
162.500000, 77.211, 151.5748
165.000000, 77.110, 151.7920
167.500000, 77.013, 152.0109
170.000000, 76.921, 152.2099
172.500000, 76.830, 152.4585
175.000000, 76.736, 152.7233
177.500000, 76.640, 152.9847
180.000000, 76.550, 153.2935
182.500000, 76.464, 153.6172
185.000000, 76.385, 153.9680
187.500000, 76.305, 154.3437
190.000000, 76.225, 154.7213
192.500000, 76.145, 155.0864
195.000000, 76.069, 155.4510
197.500000, 76.000, 155.8492
200.000000, 75.934, 156.2677
203.000000, 75.856, 156.7890
206.000000, 75.783, 157.2989
209.000000, 75.713, 157.8216
212.000000, 75.648, 158.3549
214.000000, 75.608, 158.7058
218.000000, 75.532, 159.4343
220.000000, 75.490, 159.8037
224.000000, 75.413, 160.4540
227.000000, 75.367, 160.9677
230.000000, 75.325, 161.5231
233.000000, 75.285, 162.0772
236.000000, 75.251, 162.6479
240.000000, 75.213, 163.3206
243.000000, 75.194, 163.7910
247.000000, 75.169, 164.4079
250.000000, 75.149, 164.8389
254.000000, 75.116, 165.4291
258.000000, 75.082, 166.0069
262.000000, 75.052, 166.5478
265.000000, 75.031, 166.9493
269.000000, 75.004, 167.5155
272.000000, 74.987, 167.9722
276.000000, 74.968, 168.6194
280.000000, 74.952, 169.2537
285.000000, 74.943, 170.0521
290.000000, 74.954, 170.8836
295.000000, 74.993, 171.6234
300.000000, 75.043, 172.1223
304.000000, 75.076, 172.3921
307.000000, 75.094, 172.5456
311.000000, 75.106, 172.7429
315.000000, 75.106, 172.9287
320.000000, 75.101, 173.1948
325.000000, 75.098, 173.5278
330.000000, 75.093, 173.8755
335.000000, 75.087, 174.1990
340.000000, 75.087, 174.5091
345.000000, 75.089, 174.8237
350.000000, 75.086, 175.1516
355.000000, 75.079, 175.4730
360.000000, 75.077, 175.7895
365.000000, 75.080, 176.0656
370.000000, 75.082, 176.3409
375.000000, 75.078, 176.6219
382.000000, 75.074, 176.9838
387.000000, 75.072, 177.2343
395.000000, 75.069, 177.5645
400.000000, 75.069, 177.8125
406.000000, 75.068, 178.1096
412.000000, 75.063, 178.3815
418.000000, 75.056, 178.6279
425.000000, 75.045, 178.8809
431.000000, 75.036, 179.1043
437.000000, 75.030, 179.3683
444.000000, 75.019, 179.6607
450.000000, 75.004, 179.9118
455.000000, 74.987, -179.8936
462.000000, 74.968, -179.6180
468.000000, 74.954, -179.3385
475.000000, 74.939, -178.9821
482.000000, 74.921, -178.6685
487.000000, 74.909, -178.4665
494.000000, 74.894, -178.1490
500.000000, 74.886, -177.8369
508.000000, 74.877, -177.4514
515.000000, 74.865, -177.1568
522.000000, 74.850, -176.8365
530.000000, 74.832, -176.4834
538.000000, 74.820, -176.1800
545.000000, 74.814, -175.9026
552.000000, 74.804, -175.6401
560.000000, 74.788, -175.3560
570.000000, 74.766, -174.9632
580.000000, 74.739, -174.5591
590.000000, 74.708, -174.1668
600.000000, 74.682, -173.7545
608.000000, 74.661, -173.4242
615.000000, 74.642, -173.1292
622.000000, 74.621, -172.8066
630.000000, 74.595, -172.4150
640.000000, 74.561, -171.9733
650.000000, 74.534, -171.5083
660.000000, 74.507, -171.0155
670.000000, 74.478, -170.5283
680.000000, 74.448, -170.0223
690.000000, 74.415, -169.5020
700.000000, 74.388, -168.9917
710.000000, 74.369, -168.4554
720.000000, 74.347, -167.8828
730.000000, 74.319, -167.3039
740.000000, 74.291, -166.7156
750.000000, 74.270, -166.1222
762.000000, 74.254, -165.3939
775.000000, 74.231, -164.5643
788.000000, 74.211, -163.7041
800.000000, 74.201, -162.9436
812.000000, 74.195, -162.1633
825.000000, 74.186, -161.2954
838.000000, 74.177, -160.3974
850.000000, 74.177, -159.5703
862.000000, 74.185, -158.7843
875.000000, 74.197, -157.9005
885.000000, 74.208, -157.1984
900.000000, 74.232, -156.1702
912.000000, 74.258, -155.3454
925.000000, 74.287, -154.4239
938.000000, 74.320, -153.5091
950.000000, 74.358, -152.6902
962.000000, 74.400, -151.8875
975.000000, 74.451, -151.0145
988.000000, 74.508, -150.2154
1000.000000, 74.560, -149.5176
1015.000000, 74.631, -148.5678
1030.000000, 74.710, -147.6419
1044.000000, 74.784, -146.8170
1060.000000, 74.878, -145.9083
1075.000000, 74.967, -145.1261
1090.000000, 75.060, -144.3985
1106.000000, 75.166, -143.6581
1120.000000, 75.261, -143.0349
1138.000000, 75.388, -142.2582
1150.000000, 75.476, -141.8034
1172.000000, 75.637, -141.1055
1180.000000, 75.695, -140.8849
1206.000000, 75.873, -140.2769
1220.000000, 75.963, -140.0235
