* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 9, 2024 6:37:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (Spinfit M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.358, -173.4706
20.600000, 83.353, -173.7756
20.900000, 83.347, -174.1012
21.200001, 83.341, -174.4351
21.400000, 83.338, -174.6644
21.799999, 83.331, -175.1315
22.000000, 83.327, -175.3615
22.400000, 83.319, -175.7962
22.700001, 83.315, -176.0962
23.000000, 83.313, -176.3827
23.299999, 83.315, -176.6713
23.600000, 83.319, -176.9762
24.000000, 83.323, -177.4164
24.299999, 83.322, -177.7625
24.700001, 83.317, -178.2178
25.000000, 83.311, -178.5383
25.400000, 83.304, -178.9301
25.799999, 83.300, -179.2936
26.200001, 83.297, -179.6501
26.500000, 83.293, -179.9207
26.900000, 83.284, 179.7158
27.200001, 83.275, 179.4459
27.600000, 83.260, 179.0937
28.000000, 83.247, 178.7469
28.500000, 83.233, 178.3087
29.000000, 83.221, 177.8627
29.500000, 83.210, 177.4288
30.000000, 83.199, 177.0273
30.400000, 83.191, 176.7275
30.700001, 83.185, 176.5074
31.100000, 83.176, 176.2108
31.500000, 83.165, 175.9062
32.000000, 83.148, 175.5201
32.500000, 83.131, 175.1375
33.000000, 83.118, 174.7579
33.500000, 83.107, 174.3770
34.000000, 83.093, 174.0049
34.500000, 83.074, 173.6654
35.000000, 83.052, 173.3696
35.500000, 83.032, 173.0958
36.000000, 83.016, 172.8027
36.500000, 83.002, 172.4661
37.000000, 82.987, 172.0987
37.500000, 82.971, 171.7335
38.200001, 82.948, 171.2606
38.700001, 82.930, 170.9432
39.500000, 82.899, 170.4565
40.000000, 82.878, 170.1764
40.599998, 82.857, 169.8653
41.200001, 82.840, 169.5544
41.799999, 82.822, 169.2231
42.500000, 82.794, 168.8236
43.099998, 82.767, 168.4840
43.700001, 82.742, 168.1431
44.400002, 82.717, 167.7451
45.000000, 82.697, 167.4193
45.500000, 82.680, 167.1615
46.200001, 82.651, 166.8105
46.799999, 82.622, 166.5153
47.500000, 82.588, 166.1794
48.200001, 82.560, 165.8438
48.700001, 82.542, 165.6046
49.400002, 82.515, 165.2869
50.000000, 82.490, 165.0316
50.799999, 82.455, 164.6783
51.500000, 82.423, 164.3455
52.200001, 82.390, 164.0185
53.000000, 82.355, 163.6689
53.799999, 82.318, 163.3289
54.500000, 82.285, 163.0246
55.200001, 82.253, 162.7069
56.000000, 82.219, 162.3532
57.000000, 82.173, 161.9778
58.000000, 82.123, 161.6009
59.000000, 82.068, 161.1805
60.000000, 82.020, 160.8170
60.799999, 81.989, 160.5593
61.500000, 81.960, 160.3229
62.200001, 81.926, 160.0670
63.000000, 81.884, 159.7646
64.000000, 81.833, 159.4135
65.000000, 81.788, 159.0800
66.000000, 81.740, 158.7411
67.000000, 81.689, 158.4160
68.000000, 81.638, 158.0974
69.000000, 81.588, 157.7938
70.000000, 81.538, 157.5007
71.000000, 81.483, 157.2076
72.000000, 81.428, 156.9171
73.000000, 81.377, 156.6191
74.000000, 81.327, 156.3229
75.000000, 81.278, 156.0417
76.199997, 81.222, 155.7139
77.500000, 81.155, 155.3798
78.800003, 81.088, 155.0674
80.000000, 81.026, 154.7830
81.199997, 80.962, 154.5010
82.500000, 80.896, 154.2000
83.800003, 80.830, 153.9041
85.000000, 80.766, 153.6399
86.199997, 80.702, 153.4199
87.500000, 80.633, 153.1978
88.500000, 80.578, 153.0090
90.000000, 80.498, 152.7300
91.199997, 80.431, 152.5282
92.500000, 80.358, 152.3085
93.800003, 80.286, 152.0998
95.000000, 80.221, 151.9150
96.199997, 80.158, 151.7169
97.500000, 80.090, 151.5211
98.800003, 80.021, 151.3470
100.000000, 79.954, 151.1880
101.500000, 79.869, 151.0148
103.000000, 79.790, 150.8569
104.400002, 79.716, 150.6744
106.000000, 79.632, 150.4747
107.500000, 79.554, 150.3351
109.000000, 79.471, 150.2060
110.599998, 79.380, 150.0801
112.000000, 79.301, 150.0048
113.800003, 79.204, 149.9048
115.000000, 79.139, 149.8255
117.199997, 79.023, 149.6917
118.000000, 78.982, 149.6595
120.599998, 78.840, 149.5973
122.000000, 78.767, 149.5393
124.099998, 78.663, 149.5192
125.000000, 78.621, 149.5224
126.500000, 78.548, 149.5200
128.000000, 78.470, 149.5280
131.500000, 78.289, 149.5117
132.000000, 78.263, 149.5106
134.000000, 78.163, 149.5288
136.000000, 78.065, 149.5993
138.000000, 77.970, 149.7027
140.000000, 77.874, 149.8004
143.000000, 77.735, 149.9396
145.000000, 77.645, 150.0401
147.500000, 77.525, 150.1867
150.000000, 77.412, 150.3685
152.500000, 77.308, 150.5771
155.000000, 77.202, 150.8324
157.500000, 77.097, 151.0799
160.000000, 76.993, 151.3422
162.500000, 76.891, 151.6222
165.000000, 76.793, 151.9143
167.500000, 76.701, 152.2307
170.000000, 76.608, 152.5378
172.500000, 76.516, 152.8629
175.000000, 76.431, 153.2260
177.500000, 76.346, 153.5845
180.000000, 76.264, 153.9244
182.500000, 76.186, 154.3007
185.000000, 76.109, 154.6984
187.500000, 76.037, 155.0844
190.000000, 75.962, 155.4757
192.500000, 75.894, 155.8973
195.000000, 75.833, 156.3155
197.500000, 75.772, 156.7307
200.000000, 75.710, 157.1348
203.000000, 75.636, 157.6345
206.000000, 75.570, 158.1518
209.000000, 75.507, 158.6583
212.000000, 75.448, 159.1654
214.000000, 75.412, 159.5034
218.000000, 75.342, 160.1801
220.000000, 75.309, 160.5095
224.000000, 75.249, 161.1675
227.000000, 75.210, 161.6801
230.000000, 75.172, 162.2020
233.000000, 75.136, 162.7162
236.000000, 75.104, 163.1924
240.000000, 75.065, 163.8368
243.000000, 75.035, 164.3112
247.000000, 74.999, 164.9260
250.000000, 74.976, 165.3771
254.000000, 74.951, 165.9524
258.000000, 74.931, 166.5171
262.000000, 74.908, 167.1159
265.000000, 74.894, 167.5529
269.000000, 74.882, 168.0799
272.000000, 74.873, 168.4700
276.000000, 74.861, 168.9835
280.000000, 74.850, 169.4691
285.000000, 74.840, 170.0275
290.000000, 74.837, 170.6238
295.000000, 74.829, 171.1616
300.000000, 74.829, 171.6765
304.000000, 74.830, 172.0607
307.000000, 74.833, 172.3455
311.000000, 74.841, 172.7416
315.000000, 74.842, 173.0977
320.000000, 74.840, 173.4997
325.000000, 74.842, 173.8878
330.000000, 74.845, 174.2939
335.000000, 74.851, 174.6744
340.000000, 74.856, 175.0293
345.000000, 74.856, 175.3867
350.000000, 74.857, 175.7260
355.000000, 74.860, 176.0476
360.000000, 74.865, 176.3250
365.000000, 74.867, 176.6068
370.000000, 74.864, 176.9030
375.000000, 74.858, 177.1899
382.000000, 74.859, 177.5570
387.000000, 74.856, 177.7711
395.000000, 74.843, 178.0928
400.000000, 74.834, 178.3144
406.000000, 74.822, 178.6174
412.000000, 74.805, 178.9291
418.000000, 74.787, 179.2190
425.000000, 74.762, 179.6032
431.000000, 74.737, 179.9393
437.000000, 74.712, -179.7093
444.000000, 74.681, -179.1718
450.000000, 74.659, -178.5835
455.000000, 74.655, -178.0128
