* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 9, 2024 7:04:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (Spinfit N5005 M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.314, -173.7592
20.600000, 83.316, -174.1080
20.900000, 83.315, -174.4814
21.200001, 83.312, -174.8440
21.400000, 83.309, -175.0760
21.799999, 83.305, -175.5177
22.000000, 83.304, -175.7316
22.400000, 83.307, -176.1618
22.700001, 83.310, -176.4982
23.000000, 83.313, -176.8496
23.299999, 83.313, -177.2094
23.600000, 83.309, -177.5646
24.000000, 83.300, -178.0066
24.299999, 83.291, -178.3045
24.700001, 83.282, -178.6614
25.000000, 83.278, -178.9119
25.400000, 83.274, -179.2452
25.799999, 83.271, -179.5914
26.200001, 83.265, -179.9496
26.500000, 83.257, 179.7803
26.900000, 83.243, 179.4272
27.200001, 83.230, 179.1712
27.600000, 83.211, 178.8437
28.000000, 83.193, 178.5308
28.500000, 83.174, 178.1531
29.000000, 83.163, 177.7758
29.500000, 83.161, 177.3845
30.000000, 83.163, 176.9760
30.400000, 83.162, 176.6407
30.700001, 83.159, 176.3862
31.100000, 83.150, 176.0462
31.500000, 83.134, 175.7123
32.000000, 83.108, 175.3199
32.500000, 83.087, 174.9620
33.000000, 83.080, 174.6077
33.500000, 83.084, 174.2064
34.000000, 83.086, 173.7506
34.500000, 83.072, 173.3008
35.000000, 83.045, 172.9313
35.500000, 83.015, 172.6517
36.000000, 82.991, 172.4026
36.500000, 82.972, 172.1235
37.000000, 82.951, 171.8060
37.500000, 82.927, 171.4795
38.200001, 82.893, 171.0544
38.700001, 82.874, 170.7830
39.500000, 82.863, 170.3613
40.000000, 82.868, 170.0398
40.599998, 82.868, 169.5627
41.200001, 82.843, 169.0913
41.799999, 82.802, 168.7685
42.500000, 82.766, 168.5432
43.099998, 82.749, 168.2953
43.700001, 82.726, 167.9420
44.400002, 82.684, 167.5164
45.000000, 82.650, 167.1973
45.500000, 82.625, 166.9514
46.200001, 82.588, 166.6578
46.799999, 82.558, 166.4682
47.500000, 82.535, 166.1931
48.200001, 82.513, 165.7444
48.700001, 82.488, 165.3985
49.400002, 82.448, 165.0505
50.000000, 82.421, 164.8762
50.799999, 82.386, 164.6279
51.500000, 82.345, 164.3328
52.200001, 82.308, 164.0138
53.000000, 82.277, 163.6986
53.799999, 82.247, 163.4951
54.500000, 82.221, 163.2773
55.200001, 82.188, 162.8580
56.000000, 82.138, 162.3196
57.000000, 82.118, 162.0023
58.000000, 82.134, 161.7309
59.000000, 82.080, 161.2747
60.000000, 81.997, 160.9083
60.799999, 81.958, 160.6400
61.500000, 81.933, 160.3821
62.200001, 81.904, 160.1180
63.000000, 81.865, 159.8195
64.000000, 81.815, 159.4518
65.000000, 81.769, 159.0951
66.000000, 81.717, 158.7626
67.000000, 81.662, 158.4490
68.000000, 81.610, 158.1436
69.000000, 81.565, 157.8516
70.000000, 81.519, 157.5461
71.000000, 81.462, 157.2165
72.000000, 81.401, 156.9165
73.000000, 81.349, 156.6584
74.000000, 81.299, 156.4161
75.000000, 81.250, 156.1600
76.199997, 81.193, 155.8241
77.500000, 81.128, 155.4803
78.800003, 81.056, 155.1567
80.000000, 80.989, 154.8682
81.199997, 80.924, 154.5875
82.500000, 80.852, 154.2611
83.800003, 80.780, 153.9570
85.000000, 80.718, 153.7316
86.199997, 80.657, 153.5123
87.500000, 80.593, 153.2595
88.500000, 80.543, 153.0800
90.000000, 80.457, 152.8246
91.199997, 80.383, 152.5939
92.500000, 80.312, 152.3361
93.800003, 80.246, 152.1009
95.000000, 80.186, 151.9116
96.199997, 80.121, 151.7650
97.500000, 80.049, 151.6193
98.800003, 79.978, 151.4417
100.000000, 79.914, 151.2846
101.500000, 79.833, 151.1206
103.000000, 79.749, 150.9861
104.400002, 79.672, 150.8342
106.000000, 79.583, 150.6173
107.500000, 79.503, 150.4276
109.000000, 79.424, 150.3355
110.599998, 79.340, 150.2606
112.000000, 79.265, 150.1754
113.800003, 79.170, 150.1063
115.000000, 79.106, 150.0565
117.199997, 78.985, 149.9015
118.000000, 78.941, 149.8433
120.599998, 78.803, 149.7773
122.000000, 78.728, 149.7841
124.099998, 78.616, 149.7289
125.000000, 78.571, 149.6975
126.500000, 78.497, 149.6744
128.000000, 78.425, 149.6909
131.500000, 78.247, 149.6844
132.000000, 78.222, 149.6985
134.000000, 78.124, 149.7948
136.000000, 78.028, 149.8873
138.000000, 77.934, 149.9609
140.000000, 77.840, 150.0664
143.000000, 77.694, 150.2238
145.000000, 77.594, 150.3245
147.500000, 77.478, 150.5229
150.000000, 77.369, 150.7227
152.500000, 77.260, 150.8947
155.000000, 77.148, 151.1424
157.500000, 77.042, 151.4507
160.000000, 76.942, 151.7859
162.500000, 76.847, 152.0390
165.000000, 76.752, 152.3156
167.500000, 76.652, 152.6285
170.000000, 76.556, 152.9357
172.500000, 76.465, 153.2892
175.000000, 76.376, 153.6310
177.500000, 76.294, 153.9961
180.000000, 76.210, 154.3663
182.500000, 76.127, 154.7346
185.000000, 76.050, 155.1333
187.500000, 75.976, 155.5217
190.000000, 75.900, 155.9321
192.500000, 75.831, 156.3644
195.000000, 75.769, 156.7863
197.500000, 75.704, 157.1990
200.000000, 75.637, 157.6349
203.000000, 75.560, 158.1449
206.000000, 75.488, 158.6653
209.000000, 75.421, 159.2097
212.000000, 75.360, 159.7603
214.000000, 75.318, 160.1221
218.000000, 75.234, 160.8720
220.000000, 75.193, 161.2484
224.000000, 75.117, 162.1098
227.000000, 75.068, 162.8723
230.000000, 75.033, 163.6667
233.000000, 75.017, 164.4132
236.000000, 75.014, 165.0721
240.000000, 75.023, 165.7877
243.000000, 75.032, 166.2318
247.000000, 75.034, 166.7393
250.000000, 75.030, 167.1135
254.000000, 75.017, 167.5798
258.000000, 75.002, 168.0645
262.000000, 74.985, 168.5594
265.000000, 74.974, 168.9284
269.000000, 74.963, 169.3939
272.000000, 74.958, 169.7366
276.000000, 74.953, 170.1934
280.000000, 74.944, 170.6310
285.000000, 74.933, 171.1755
290.000000, 74.925, 171.7322
295.000000, 74.925, 172.2935
300.000000, 74.926, 172.8061
304.000000, 74.927, 173.1825
307.000000, 74.927, 173.4550
311.000000, 74.928, 173.8123
315.000000, 74.931, 174.1717
320.000000, 74.940, 174.6014
325.000000, 74.947, 175.0167
330.000000, 74.948, 175.3876
335.000000, 74.954, 175.7374
340.000000, 74.959, 176.0921
345.000000, 74.959, 176.4443
350.000000, 74.962, 176.7778
355.000000, 74.974, 177.0954
360.000000, 74.989, 177.4152
365.000000, 75.000, 177.7127
370.000000, 75.005, 177.9947
375.000000, 75.006, 178.2652
382.000000, 75.012, 178.5887
387.000000, 75.016, 178.8079
395.000000, 75.022, 179.2050
400.000000, 75.022, 179.4331
406.000000, 75.020, 179.6810
412.000000, 75.017, 179.8843
418.000000, 75.012, -179.8999
425.000000, 75.000, -179.5999
431.000000, 74.992, -179.3282
437.000000, 74.989, -179.0702
444.000000, 74.979, -178.7842
450.000000, 74.968, -178.5388
455.000000, 74.960, -178.3395
462.000000, 74.950, -178.0501
468.000000, 74.934, -177.7654
475.000000, 74.919, -177.4178
482.000000, 74.911, -177.0801
487.000000, 74.903, -176.8257
494.000000, 74.896, -176.4745
500.000000, 74.896, -176.1963
508.000000, 74.893, -175.8766
515.000000, 74.889, -175.6309
522.000000, 74.885, -175.4000
530.000000, 74.876, -175.1150
538.000000, 74.860, -174.8145
545.000000, 74.847, -174.5800
552.000000, 74.837, -174.3397
560.000000, 74.824, -174.0436
570.000000, 74.799, -173.6704
580.000000, 74.772, -173.2843
590.000000, 74.744, -172.8678
600.000000, 74.715, -172.4701
608.000000, 74.695, -172.1468
615.000000, 74.676, -171.8417
622.000000, 74.657, -171.5262
630.000000, 74.635, -171.1583
640.000000, 74.606, -170.7142
650.000000, 74.577, -170.2485
660.000000, 74.548, -169.7887
670.000000, 74.521, -169.3007
680.000000, 74.497, -168.7803
690.000000, 74.474, -168.2688
700.000000, 74.450, -167.7678
710.000000, 74.423, -167.2477
720.000000, 74.398, -166.6873
730.000000, 74.375, -166.1336
740.000000, 74.351, -165.5844
750.000000, 74.329, -165.0068
762.000000, 74.304, -164.2531
775.000000, 74.284, -163.4372
788.000000, 74.263, -162.6104
800.000000, 74.247, -161.8050
812.000000, 74.236, -160.9977
825.000000, 74.233, -160.1700
838.000000, 74.235, -159.3079
850.000000, 74.235, -158.4563
862.000000, 74.242, -157.6168
