* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 9, 2024 6:21:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (Spiral Dots M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.598, -173.8638
20.600000, 83.592, -174.2324
20.900000, 83.583, -174.5979
21.200001, 83.576, -174.9300
21.400000, 83.571, -175.1331
21.799999, 83.562, -175.4976
22.000000, 83.558, -175.6604
22.400000, 83.553, -175.9608
22.700001, 83.552, -176.1874
23.000000, 83.555, -176.4423
23.299999, 83.558, -176.7450
23.600000, 83.561, -177.0997
24.000000, 83.558, -177.6249
24.299999, 83.550, -178.0201
24.700001, 83.535, -178.4971
25.000000, 83.525, -178.8044
25.400000, 83.517, -179.1686
25.799999, 83.515, -179.5289
26.200001, 83.512, -179.9212
26.500000, 83.507, 179.7679
26.900000, 83.494, 179.3627
27.200001, 83.484, 179.0871
27.600000, 83.474, 178.7650
28.000000, 83.471, 178.4709
28.500000, 83.470, 178.0873
29.000000, 83.459, 177.6695
29.500000, 83.431, 177.2617
30.000000, 83.398, 176.8956
30.400000, 83.380, 176.6100
30.700001, 83.372, 176.3805
31.100000, 83.364, 176.0525
31.500000, 83.354, 175.7303
32.000000, 83.338, 175.3983
32.500000, 83.327, 175.1298
33.000000, 83.327, 174.7899
33.500000, 83.323, 174.2745
34.000000, 83.298, 173.6690
34.500000, 83.262, 173.1720
35.000000, 83.247, 172.8670
35.500000, 83.265, 172.6416
36.000000, 83.291, 172.3773
36.500000, 83.292, 172.1280
37.000000, 83.262, 172.0166
37.500000, 83.225, 172.0121
38.200001, 83.172, 171.8339
38.700001, 83.109, 171.5022
39.500000, 82.993, 170.9677
40.000000, 82.972, 170.6479
40.599998, 83.013, 170.0433
41.200001, 83.068, 169.2402
41.799999, 83.092, 168.5706
