* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 14, 2024 12:02:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (Spring L) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.379, -170.8681
20.600000, 83.377, -171.1312
20.900000, 83.370, -171.4429
21.200001, 83.358, -171.7841
21.400000, 83.349, -172.0220
21.799999, 83.333, -172.5052
22.000000, 83.330, -172.7441
22.400000, 83.332, -173.2099
22.700001, 83.341, -173.5503
23.000000, 83.353, -173.8842
23.299999, 83.362, -174.2082
23.600000, 83.365, -174.5144
24.000000, 83.356, -174.8812
24.299999, 83.341, -175.1237
24.700001, 83.319, -175.4219
25.000000, 83.306, -175.6482
25.400000, 83.294, -175.9800
25.799999, 83.290, -176.3492
26.200001, 83.289, -176.7291
26.500000, 83.288, -176.9989
26.900000, 83.282, -177.3233
27.200001, 83.274, -177.5446
27.600000, 83.259, -177.8310
28.000000, 83.239, -178.1295
28.500000, 83.214, -178.5262
29.000000, 83.196, -178.9238
29.500000, 83.190, -179.2915
30.000000, 83.187, -179.6135
30.400000, 83.178, -179.8352
30.700001, 83.164, -179.9839
31.100000, 83.139, 179.8246
31.500000, 83.113, 179.6118
32.000000, 83.087, 179.2802
32.500000, 83.069, 178.9023
33.000000, 83.056, 178.5755
33.500000, 83.045, 178.3678
34.000000, 83.028, 178.2329
34.500000, 82.995, 178.0696
35.000000, 82.940, 177.8522
35.500000, 82.879, 177.6517
36.000000, 82.846, 177.5130
36.500000, 82.859, 177.3656
37.000000, 82.901, 177.1092
37.500000, 82.933, 176.7533
38.200001, 82.935, 176.2919
38.700001, 82.928, 176.0419
39.500000, 82.932, 175.5806
40.000000, 82.925, 175.2250
40.599998, 82.892, 174.8558
41.200001, 82.846, 174.5794
41.799999, 82.806, 174.2768
42.500000, 82.772, 173.8399
43.099998, 82.762, 173.5088
43.700001, 82.769, 173.2548
44.400002, 82.770, 172.9694
