* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 14, 2024 12:21:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (Spring M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.162, -175.5874
20.600000, 83.157, -175.9501
20.900000, 83.147, -176.3554
21.200001, 83.136, -176.7613
21.400000, 83.129, -177.0226
21.799999, 83.124, -177.5091
22.000000, 83.127, -177.7341
22.400000, 83.143, -178.1628
22.700001, 83.160, -178.4854
23.000000, 83.175, -178.8236
23.299999, 83.184, -179.1795
23.600000, 83.183, -179.5444
24.000000, 83.167, 179.9817
24.299999, 83.148, 179.6517
24.700001, 83.124, 179.2479
25.000000, 83.110, 178.9588
25.400000, 83.098, 178.5658
25.799999, 83.089, 178.1535
26.200001, 83.076, 177.7425
26.500000, 83.063, 177.4575
26.900000, 83.046, 177.1249
27.200001, 83.037, 176.9011
27.600000, 83.037, 176.5941
28.000000, 83.048, 176.2248
28.500000, 83.060, 175.6476
29.000000, 83.052, 175.0118
29.500000, 83.022, 174.4360
30.000000, 82.981, 173.9736
30.400000, 82.954, 173.6610
30.700001, 82.938, 173.4382
31.100000, 82.926, 173.1443
31.500000, 82.922, 172.8607
32.000000, 82.923, 172.5430
32.500000, 82.927, 172.2620
33.000000, 82.927, 171.9669
33.500000, 82.915, 171.6011
34.000000, 82.888, 171.1521
34.500000, 82.852, 170.6599
35.000000, 82.820, 170.1867
35.500000, 82.799, 169.7733
36.000000, 82.791, 169.4172
36.500000, 82.787, 169.0861
37.000000, 82.779, 168.7586
37.500000, 82.762, 168.4491
38.200001, 82.732, 168.0971
38.700001, 82.720, 167.8875
39.500000, 82.710, 167.4791
40.000000, 82.695, 167.1396
40.599998, 82.664, 166.6985
41.200001, 82.632, 166.2756
41.799999, 82.614, 165.8618
42.500000, 82.599, 165.3673
43.099998, 82.575, 164.9807
43.700001, 82.546, 164.6644
44.400002, 82.522, 164.3177
45.000000, 82.510, 163.9716
45.500000, 82.501, 163.6650
46.200001, 82.483, 163.2666
46.799999, 82.465, 162.9293
47.500000, 82.433, 162.4769
48.200001, 82.384, 162.0400
48.700001, 82.347, 161.8167
49.400002, 82.310, 161.6036
50.000000, 82.296, 161.3896
50.799999, 82.279, 160.9612
51.500000, 82.250, 160.5694
52.200001, 82.215, 160.2637
53.000000, 82.177, 159.9224
53.799999, 82.144, 159.4776
54.500000, 82.120, 159.0633
55.200001, 82.094, 158.7118
56.000000, 82.033, 158.4613
57.000000, 81.929, 158.3245
58.000000, 81.881, 157.8199
59.000000, 81.856, 156.9820
60.000000, 81.827, 156.5319
60.799999, 81.811, 156.2974
61.500000, 81.789, 156.0051
62.200001, 81.762, 155.6743
63.000000, 81.731, 155.3141
64.000000, 81.691, 154.9260
65.000000, 81.654, 154.5478
66.000000, 81.610, 154.1251
67.000000, 81.558, 153.7255
68.000000, 81.517, 153.2903
69.000000, 81.476, 152.8345
70.000000, 81.424, 152.4384
71.000000, 81.367, 152.1000
72.000000, 81.318, 151.7709
73.000000, 81.270, 151.4166
74.000000, 81.220, 151.0795
75.000000, 81.174, 150.7299
76.199997, 81.109, 150.2943
77.500000, 81.034, 149.8115
78.800003, 80.968, 149.3574
80.000000, 80.907, 149.0344
81.199997, 80.841, 148.7166
82.500000, 80.772, 148.2831
83.800003, 80.699, 147.8821
85.000000, 80.642, 147.6250
86.199997, 80.583, 147.3556
87.500000, 80.511, 147.0239
88.500000, 80.455, 146.7853
90.000000, 80.381, 146.5352
91.199997, 80.322, 146.2556
92.500000, 80.249, 145.8581
93.800003, 80.176, 145.5262
95.000000, 80.109, 145.2539
96.199997, 80.039, 144.9805
97.500000, 79.966, 144.7298
98.800003, 79.889, 144.4902
100.000000, 79.818, 144.2262
101.500000, 79.747, 143.9266
103.000000, 79.676, 143.6954
104.400002, 79.597, 143.6129
106.000000, 79.504, 143.6375
107.500000, 79.419, 143.2899
109.000000, 79.343, 142.7836
110.599998, 79.262, 142.4589
112.000000, 79.187, 142.2856
113.800003, 79.114, 142.1818
115.000000, 79.059, 142.1116
117.199997, 78.923, 141.7543
118.000000, 78.873, 141.6326
120.599998, 78.726, 141.3356
122.000000, 78.660, 141.2120
124.099998, 78.552, 141.1613
125.000000, 78.503, 141.1310
126.500000, 78.421, 141.0548
128.000000, 78.339, 141.0143
131.500000, 78.152, 140.8067
132.000000, 78.128, 140.7655
134.000000, 78.032, 140.5815
136.000000, 77.942, 140.4096
138.000000, 77.838, 140.2839
140.000000, 77.717, 140.1808
143.000000, 77.582, 140.2516
145.000000, 77.488, 140.3954
147.500000, 77.358, 140.5317
150.000000, 77.244, 140.5919
152.500000, 77.130, 140.6326
155.000000, 77.006, 140.6859
157.500000, 76.884, 140.8173
160.000000, 76.763, 140.9544
162.500000, 76.640, 141.1331
165.000000, 76.523, 141.2936
167.500000, 76.403, 141.4773
170.000000, 76.267, 141.8179
172.500000, 76.125, 142.1970
175.000000, 75.982, 142.6255
177.500000, 75.842, 143.2844
180.000000, 75.704, 144.1850
182.500000, 75.596, 145.4108
185.000000, 75.566, 146.8528
187.500000, 75.642, 148.0078
190.000000, 75.764, 148.4888
192.500000, 75.851, 148.3633
195.000000, 75.883, 148.1166
197.500000, 75.871, 147.8961
200.000000, 75.834, 147.7244
203.000000, 75.773, 147.6809
206.000000, 75.704, 147.7808
209.000000, 75.635, 147.8914
212.000000, 75.560, 148.0040
214.000000, 75.513, 148.1630
218.000000, 75.436, 148.5611
220.000000, 75.397, 148.7487
224.000000, 75.319, 149.1398
227.000000, 75.267, 149.4916
230.000000, 75.222, 149.8029
233.000000, 75.179, 150.1147
236.000000, 75.137, 150.4599
240.000000, 75.090, 151.0047
243.000000, 75.064, 151.3708
247.000000, 75.032, 151.8527
250.000000, 75.009, 152.1965
254.000000, 74.983, 152.6494
258.000000, 74.966, 153.0744
262.000000, 74.953, 153.4172
265.000000, 74.939, 153.6529
269.000000, 74.920, 153.9912
272.000000, 74.906, 154.2462
276.000000, 74.888, 154.5597
280.000000, 74.881, 154.8804
285.000000, 74.874, 155.3314
290.000000, 74.860, 155.6998
295.000000, 74.849, 156.0386
300.000000, 74.850, 156.3846
304.000000, 74.852, 156.6342
307.000000, 74.853, 156.7825
311.000000, 74.853, 157.0018
315.000000, 74.848, 157.2173
320.000000, 74.841, 157.4869
325.000000, 74.839, 157.7526
330.000000, 74.835, 157.9991
335.000000, 74.841, 158.2839
340.000000, 74.849, 158.6000
345.000000, 74.850, 158.9017
350.000000, 74.848, 159.1464
355.000000, 74.852, 159.3612
360.000000, 74.868, 159.6492
365.000000, 74.899, 159.9568
370.000000, 74.940, 160.1550
375.000000, 74.987, 160.2321
382.000000, 75.040, 160.1831
387.000000, 75.061, 160.0630
395.000000, 75.068, 159.8343
400.000000, 75.064, 159.7304
406.000000, 75.054, 159.6960
412.000000, 75.037, 159.6943
418.000000, 75.020, 159.7131
425.000000, 75.004, 159.7518
431.000000, 74.987, 159.7789
437.000000, 74.968, 159.8122
444.000000, 74.948, 159.8881
450.000000, 74.929, 159.9648
455.000000, 74.913, 160.0219
462.000000, 74.894, 160.0983
468.000000, 74.878, 160.1768
475.000000, 74.866, 160.3060
482.000000, 74.852, 160.4460
487.000000, 74.840, 160.5596
494.000000, 74.826, 160.7021
500.000000, 74.817, 160.7803
508.000000, 74.809, 160.8497
515.000000, 74.804, 160.9048
522.000000, 74.794, 160.9969
530.000000, 74.775, 161.0919
538.000000, 74.757, 161.2059
545.000000, 74.741, 161.3149
552.000000, 74.727, 161.3991
560.000000, 74.706, 161.4708
570.000000, 74.679, 161.6464
580.000000, 74.655, 161.7581
590.000000, 74.627, 161.9123
600.000000, 74.593, 162.0898
608.000000, 74.571, 162.2216
615.000000, 74.552, 162.3605
622.000000, 74.529, 162.5036
630.000000, 74.502, 162.6644
640.000000, 74.469, 162.8533
650.000000, 74.436, 163.0673
660.000000, 74.406, 163.3221
670.000000, 74.374, 163.6251
680.000000, 74.340, 163.9604
690.000000, 74.310, 164.2256
700.000000, 74.284, 164.5112
710.000000, 74.262, 164.8731
720.000000, 74.241, 165.2466
730.000000, 74.213, 165.6267
740.000000, 74.184, 166.0341
750.000000, 74.162, 166.4454
762.000000, 74.142, 166.9449
775.000000, 74.119, 167.4713
788.000000, 74.095, 168.0428
800.000000, 74.078, 168.6299
812.000000, 74.066, 169.2367
825.000000, 74.057, 169.8681
838.000000, 74.051, 170.5234
850.000000, 74.053, 171.1458
862.000000, 74.059, 171.7825
875.000000, 74.070, 172.4827
885.000000, 74.078, 173.0288
900.000000, 74.094, 173.8405
912.000000, 74.119, 174.5109
925.000000, 74.158, 175.2217
938.000000, 74.197, 175.9268
950.000000, 74.237, 176.5702
962.000000, 74.279, 177.2251
975.000000, 74.329, 177.9199
988.000000, 74.384, 178.5788
1000.000000, 74.439, 179.1827
1015.000000, 74.524, 179.9065
1030.000000, 74.615, -179.3673
1044.000000, 74.697, -178.7599
1060.000000, 74.794, -178.1516
1075.000000, 74.895, -177.5893
1090.000000, 75.001, -177.0019
1106.000000, 75.112, -176.4123
1120.000000, 75.214, -175.9457
1138.000000, 75.352, -175.4358
1150.000000, 75.447, -175.1479
1172.000000, 75.618, -174.7083
1180.000000, 75.678, -174.5821
1206.000000, 75.869, -174.2856
1220.000000, 75.965, -174.1955
1241.000000, 76.098, -174.0813
1250.000000, 76.152, -174.0511
1265.000000, 76.236, -174.0311
1280.000000, 76.311, -174.0115
1315.000000, 76.464, -173.9243
1320.000000, 76.485, -173.9057
1340.000000, 76.566, -173.8286
1360.000000, 76.644, -173.7205
1380.000000, 76.717, -173.5526
1400.000000, 76.786, -173.3624
1430.000000, 76.896, -173.0565
1450.000000, 76.973, -172.8343
1475.000000, 77.067, -172.5006
1500.000000, 77.158, -172.1440
1525.000000, 77.253, -171.7955
1550.000000, 77.356, -171.4052
1575.000000, 77.466, -171.0343
1600.000000, 77.583, -170.6838
1625.000000, 77.700, -170.3298
1650.000000, 77.819, -170.0276
1675.000000, 77.945, -169.6980
1700.000000, 78.076, -169.3593
1725.000000, 78.212, -169.0776
1750.000000, 78.350, -168.8540
1775.000000, 78.489, -168.6768
1800.000000, 78.633, -168.5327
1825.000000, 78.780, -168.4102
1850.000000, 78.930, -168.3438
1875.000000, 79.081, -168.3365
1900.000000, 79.230, -168.3704
1925.000000, 79.375, -168.4369
1950.000000, 79.519, -168.5600
1975.000000, 79.659, -168.7521
2000.000000, 79.796, -168.9852
2030.000000, 79.959, -169.2858
2060.000000, 80.114, -169.6539
2090.000000, 80.257, -170.0777
2120.000000, 80.389, -170.5460
2140.000000, 80.473, -170.8763
2180.000000, 80.629, -171.5405
2200.000000, 80.701, -171.8820
2240.000000, 80.836, -172.5542
2270.000000, 80.929, -173.0609
2300.000000, 81.015, -173.5673
2330.000000, 81.096, -174.0527
2360.000000, 81.174, -174.5160
2400.000000, 81.274, -175.1345
2430.000000, 81.348, -175.6086
2470.000000, 81.449, -176.2461
2500.000000, 81.524, -176.7225
2540.000000, 81.624, -177.4102
2580.000000, 81.723, -178.1809
2620.000000, 81.820, -179.0283
2650.000000, 81.890, -179.7359
2690.000000, 81.978, 179.2107
2720.000000, 82.036, 178.3309
2760.000000, 82.095, 177.0395
2800.000000, 82.128, 175.6096
2850.000000, 82.120, 173.6644
2900.000000, 82.045, 171.6544
2950.000000, 81.897, 169.6948
3000.000000, 81.670, 167.9625
3040.000000, 81.431, 166.8716
3070.000000, 81.229, 166.3082
3110.000000, 80.943, 165.9641
3150.000000, 80.665, 166.1071
3200.000000, 80.365, 166.8599
3250.000000, 80.148, 167.9943
3300.000000, 80.017, 169.1788
3350.000000, 79.944, 170.1802
3400.000000, 79.900, 170.9391
3450.000000, 79.863, 171.5162
3500.000000, 79.824, 171.9611
3550.000000, 79.778, 172.3378
3600.000000, 79.728, 172.7090
3650.000000, 79.677, 173.1013
3700.000000, 79.627, 173.5152
3750.000000, 79.577, 173.9431
3820.000000, 79.521, 174.5604
3870.000000, 79.492, 175.0033
3950.000000, 79.470, 175.6517
4000.000000, 79.467, 175.9950
4060.000000, 79.473, 176.2554
4120.000000, 79.486, 176.3496
4180.000000, 79.494, 176.2576
4250.000000, 79.485, 175.8979
4310.000000, 79.450, 175.3973
4370.000000, 79.385, 174.8010
4440.000000, 79.271, 174.0403
4500.000000, 79.137, 173.3918
4550.000000, 79.000, 172.9176
4620.000000, 78.782, 172.3901
4680.000000, 78.582, 172.0246
4750.000000, 78.333, 171.7112
4820.000000, 78.067, 171.5071
4870.000000, 77.869, 171.4185
4940.000000, 77.579, 171.3622
5000.000000, 77.316, 171.3777
5080.000000, 76.947, 171.5245
5150.000000, 76.606, 171.8166
5220.000000, 76.248, 172.2761
5300.000000, 75.819, 173.0662
5380.000000, 75.381, 174.1773
5450.000000, 74.999, 175.4039
5520.000000, 74.627, 176.8604
5600.000000, 74.227, 178.7980
5700.000000, 73.775, -178.4964
5800.000000, 73.375, -175.5740
5900.000000, 73.007, -172.4660
6000.000000, 72.690, -169.1729
6080.000000, 72.478, -166.4785
6150.000000, 72.321, -164.0898
6220.000000, 72.193, -161.6868
6300.000000, 72.079, -158.9551
6400.000000, 71.982, -155.5049
6500.000000, 71.942, -152.0630
6600.000000, 71.962, -148.7566
6700.000000, 72.033, -145.6281
6800.000000, 72.146, -142.6026
6900.000000, 72.306, -139.6631
7000.000000, 72.522, -136.8700
7100.000000, 72.795, -134.2159
7200.000000, 73.133, -131.7392
7300.000000, 73.537, -129.5510
7400.000000, 73.995, -127.7865
7500.000000, 74.500, -126.4838
7620.000000, 75.173, -125.5676
7750.000000, 75.953, -125.6010
7880.000000, 76.741, -126.7841
8000.000000, 77.455, -128.9752
8120.000000, 78.096, -132.4026
8250.000000, 78.624, -137.4127
8380.000000, 78.894, -143.3456
8500.000000, 78.872, -149.0782
8620.000000, 78.570, -154.5040
8750.000000, 77.924, -159.1088
8850.000000, 77.303, -160.9955
9000.000000, 76.406, -161.8156
9120.000000, 75.727, -161.4297
9250.000000, 75.023, -160.0892
9380.000000, 74.361, -157.8959
9500.000000, 73.795, -155.3014
9620.000000, 73.267, -152.2351
9750.000000, 72.737, -148.4438
9880.000000, 72.253, -144.2033
10000.000000, 71.839, -139.9603
10150.000000, 71.347, -134.2518
10300.000000, 70.902, -128.0167
10440.000000, 70.544, -121.8861
10600.000000, 70.189, -114.6084
10750.000000, 69.901, -107.4956
