* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 9, 2024 6:14:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (Stock M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.422, -172.7250
20.600000, 83.418, -173.0442
20.900000, 83.415, -173.4038
21.200001, 83.416, -173.7876
21.400000, 83.419, -174.0560
21.799999, 83.429, -174.6107
22.000000, 83.435, -174.8884
22.400000, 83.443, -175.4227
22.700001, 83.445, -175.7913
23.000000, 83.442, -176.1256
23.299999, 83.436, -176.4254
23.600000, 83.426, -176.6957
24.000000, 83.413, -177.0266
24.299999, 83.405, -177.2686
24.700001, 83.398, -177.6057
25.000000, 83.395, -177.8790
25.400000, 83.391, -178.2711
25.799999, 83.385, -178.6792
26.200001, 83.377, -179.0803
26.500000, 83.369, -179.3664
26.900000, 83.360, -179.7267
27.200001, 83.355, -179.9863
27.600000, 83.351, 179.6708
28.000000, 83.348, 179.3238
28.500000, 83.342, 178.8855
29.000000, 83.329, 178.4561
29.500000, 83.311, 178.0484
30.000000, 83.291, 177.6624
30.400000, 83.277, 177.3619
30.700001, 83.269, 177.1369
31.100000, 83.261, 176.8344
31.500000, 83.256, 176.5302
32.000000, 83.250, 176.1564
32.500000, 83.243, 175.7983
33.000000, 83.233, 175.4524
33.500000, 83.221, 175.1029
34.000000, 83.206, 174.7393
34.500000, 83.188, 174.3680
35.000000, 83.170, 174.0051
35.500000, 83.153, 173.6588
36.000000, 83.138, 173.3265
36.500000, 83.123, 173.0079
37.000000, 83.107, 172.7103
37.500000, 83.090, 172.4352
38.200001, 83.070, 172.0460
38.700001, 83.055, 171.7241
39.500000, 83.020, 171.1517
40.000000, 82.994, 170.8249
40.599998, 82.970, 170.5007
41.200001, 82.957, 170.2021
41.799999, 82.946, 169.8719
42.500000, 82.923, 169.4666
43.099998, 82.896, 169.1526
43.700001, 82.872, 168.8693
44.400002, 82.846, 168.5404
45.000000, 82.824, 168.2441
45.500000, 82.806, 167.9730
46.200001, 82.783, 167.5345
46.799999, 82.759, 167.1444
47.500000, 82.727, 166.7851
48.200001, 82.700, 166.5359
48.700001, 82.684, 166.3515
49.400002, 82.657, 166.0190
50.000000, 82.630, 165.6953
50.799999, 82.597, 165.2971
51.500000, 82.571, 165.0037
52.200001, 82.543, 164.7419
53.000000, 82.506, 164.4270
53.799999, 82.469, 164.0675
54.500000, 82.437, 163.7522
55.200001, 82.405, 163.4604
56.000000, 82.367, 163.1363
57.000000, 82.318, 162.7194
58.000000, 82.270, 162.3226
59.000000, 82.228, 161.9781
60.000000, 82.194, 161.6068
60.799999, 82.161, 161.2874
61.500000, 82.127, 161.0295
62.200001, 82.090, 160.7856
63.000000, 82.050, 160.5038
64.000000, 82.007, 160.1458
65.000000, 81.962, 159.7894
66.000000, 81.910, 159.4598
67.000000, 81.863, 159.1434
68.000000, 81.820, 158.8380
69.000000, 81.774, 158.5484
70.000000, 81.724, 158.2326
71.000000, 81.674, 157.9189
72.000000, 81.623, 157.6292
73.000000, 81.569, 157.3390
74.000000, 81.515, 157.0600
75.000000, 81.463, 156.7903
76.199997, 81.404, 156.4591
77.500000, 81.338, 156.1354
78.800003, 81.273, 155.8285
80.000000, 81.214, 155.5184
81.199997, 81.155, 155.2581
82.500000, 81.088, 155.0106
83.800003, 81.021, 154.7094
85.000000, 80.959, 154.4532
86.199997, 80.898, 154.2083
87.500000, 80.829, 153.9069
88.500000, 80.777, 153.6901
90.000000, 80.701, 153.4226
91.199997, 80.639, 153.2285
92.500000, 80.570, 152.9865
93.800003, 80.499, 152.7549
95.000000, 80.435, 152.5773
96.199997, 80.375, 152.3965
97.500000, 80.312, 152.1961
98.800003, 80.243, 152.0274
100.000000, 80.177, 151.8703
101.500000, 80.099, 151.6730
103.000000, 80.021, 151.4948
104.400002, 79.945, 151.3214
106.000000, 79.860, 151.1311
107.500000, 79.781, 151.0002
109.000000, 79.703, 150.8936
110.599998, 79.622, 150.7369
112.000000, 79.550, 150.6144
113.800003, 79.458, 150.4856
115.000000, 79.399, 150.3829
117.199997, 79.281, 150.2608
118.000000, 79.238, 150.2371
120.599998, 79.109, 150.1544
122.000000, 79.039, 150.1007
124.099998, 78.925, 150.0400
125.000000, 78.878, 150.0214
126.500000, 78.803, 149.9973
128.000000, 78.730, 149.9766
131.500000, 78.552, 149.9793
132.000000, 78.526, 149.9725
134.000000, 78.428, 149.9576
136.000000, 78.334, 150.0245
138.000000, 78.242, 150.1022
140.000000, 78.153, 150.1595
143.000000, 78.009, 150.2819
145.000000, 77.911, 150.3896
147.500000, 77.796, 150.5822
150.000000, 77.683, 150.7385
152.500000, 77.577, 150.9162
155.000000, 77.476, 151.1145
157.500000, 77.372, 151.3493
160.000000, 77.265, 151.5646
162.500000, 77.162, 151.7739
165.000000, 77.069, 152.0491
167.500000, 76.980, 152.3676
170.000000, 76.888, 152.6602
172.500000, 76.796, 152.9613
175.000000, 76.705, 153.3037
177.500000, 76.620, 153.6502
180.000000, 76.540, 153.9800
182.500000, 76.462, 154.3446
185.000000, 76.385, 154.6858
187.500000, 76.311, 155.0418
190.000000, 76.232, 155.4399
192.500000, 76.157, 155.8565
195.000000, 76.089, 156.2565
197.500000, 76.029, 156.6375
200.000000, 75.973, 157.0228
203.000000, 75.906, 157.5166
206.000000, 75.836, 158.0230
209.000000, 75.772, 158.5107
212.000000, 75.714, 159.0088
214.000000, 75.678, 159.3445
218.000000, 75.606, 160.0157
220.000000, 75.569, 160.3372
224.000000, 75.502, 160.9964
227.000000, 75.457, 161.4962
230.000000, 75.417, 161.9665
233.000000, 75.384, 162.4398
236.000000, 75.349, 162.9640
240.000000, 75.304, 163.6267
243.000000, 75.275, 164.0818
247.000000, 75.242, 164.6607
250.000000, 75.218, 165.1013
254.000000, 75.190, 165.7190
258.000000, 75.169, 166.2909
262.000000, 75.148, 166.8547
265.000000, 75.133, 167.2633
269.000000, 75.112, 167.8008
272.000000, 75.097, 168.1967
276.000000, 75.084, 168.6788
280.000000, 75.075, 169.1326
285.000000, 75.063, 169.6888
290.000000, 75.052, 170.2755
295.000000, 75.044, 170.8273
300.000000, 75.038, 171.3632
304.000000, 75.039, 171.7465
307.000000, 75.040, 172.0350
311.000000, 75.040, 172.4280
315.000000, 75.040, 172.8324
320.000000, 75.040, 173.2815
325.000000, 75.044, 173.6581
330.000000, 75.047, 174.0078
335.000000, 75.056, 174.3975
340.000000, 75.060, 174.8109
345.000000, 75.060, 175.1788
350.000000, 75.063, 175.4849
355.000000, 75.064, 175.7954
360.000000, 75.068, 176.0993
365.000000, 75.070, 176.3961
370.000000, 75.069, 176.6680
375.000000, 75.068, 176.9359
382.000000, 75.063, 177.3218
387.000000, 75.063, 177.5768
395.000000, 75.064, 177.9454
400.000000, 75.062, 178.1476
406.000000, 75.053, 178.4120
412.000000, 75.040, 178.6831
418.000000, 75.037, 178.9429
425.000000, 75.029, 179.2101
431.000000, 75.012, 179.4398
437.000000, 74.993, 179.7345
444.000000, 74.968, -179.9105
450.000000, 74.944, -179.5968
455.000000, 74.930, -179.3121
462.000000, 74.916, -178.9144
468.000000, 74.907, -178.5534
475.000000, 74.907, -178.1167
482.000000, 74.909, -177.7199
487.000000, 74.909, -177.4608
494.000000, 74.904, -177.1030
500.000000, 74.901, -176.8083
508.000000, 74.905, -176.4625
515.000000, 74.910, -176.1679
522.000000, 74.916, -175.8490
530.000000, 74.916, -175.5537
538.000000, 74.913, -175.3487
545.000000, 74.906, -175.1423
552.000000, 74.897, -174.9072
560.000000, 74.884, -174.6585
570.000000, 74.862, -174.3210
580.000000, 74.835, -173.9483
590.000000, 74.806, -173.5949
600.000000, 74.775, -173.2249
608.000000, 74.750, -172.9146
615.000000, 74.729, -172.6404
622.000000, 74.707, -172.3477
630.000000, 74.682, -172.0080
640.000000, 74.650, -171.5796
650.000000, 74.618, -171.1352
660.000000, 74.581, -170.6378
670.000000, 74.548, -170.1072
680.000000, 74.520, -169.6126
690.000000, 74.493, -169.1216
700.000000, 74.468, -168.5884
710.000000, 74.444, -168.0453
720.000000, 74.413, -167.4946
730.000000, 74.385, -166.9126
740.000000, 74.360, -166.3333
750.000000, 74.337, -165.7699
762.000000, 74.315, -165.0648
775.000000, 74.292, -164.2282
788.000000, 74.272, -163.3841
800.000000, 74.256, -162.6288
812.000000, 74.247, -161.8513
825.000000, 74.240, -160.9613
838.000000, 74.230, -160.0522
850.000000, 74.229, -159.2247
862.000000, 74.234, -158.3840
875.000000, 74.244, -157.4623
885.000000, 74.253, -156.7444
900.000000, 74.277, -155.6472
912.000000, 74.302, -154.7959
925.000000, 74.335, -153.8716
938.000000, 74.372, -152.9521
950.000000, 74.412, -152.1271
962.000000, 74.458, -151.3016
975.000000, 74.514, -150.4103
988.000000, 74.579, -149.5622
1000.000000, 74.644, -148.7939
1015.000000, 74.717, -147.8493
1030.000000, 74.797, -146.9513
1044.000000, 74.880, -146.1656
1060.000000, 74.981, -145.3094
1075.000000, 75.079, -144.5281
1090.000000, 75.184, -143.7864
1106.000000, 75.296, -143.0877
1120.000000, 75.391, -142.5240
1138.000000, 75.514, -141.8195
1150.000000, 75.600, -141.3727
1172.000000, 75.762, -140.6344
1180.000000, 75.820, -140.4069
1206.000000, 76.003, -139.7699
1220.000000, 76.100, -139.4954
1241.000000, 76.236, -139.1697
1250.000000, 76.289, -139.0436
1265.000000, 76.369, -138.8375
1280.000000, 76.442, -138.6274
1315.000000, 76.594, -138.1410
1320.000000, 76.614, -138.0705
1340.000000, 76.691, -137.7630
1360.000000, 76.765, -137.4329
1380.000000, 76.836, -137.1056
1400.000000, 76.907, -136.7749
1430.000000, 77.003, -136.1785
1450.000000, 77.071, -135.7377
1475.000000, 77.155, -135.1774
1500.000000, 77.243, -134.6213
1525.000000, 77.336, -134.0407
1550.000000, 77.436, -133.4449
1575.000000, 77.541, -132.8559
1600.000000, 77.647, -132.2690
1625.000000, 77.756, -131.6884
1650.000000, 77.874, -131.1363
1675.000000, 77.996, -130.6068
1700.000000, 78.121, -130.0861
1725.000000, 78.254, -129.5954
1750.000000, 78.391, -129.1300
1775.000000, 78.532, -128.7024
1800.000000, 78.676, -128.3256
1825.000000, 78.825, -127.9796
1850.000000, 78.976, -127.7008
1875.000000, 79.130, -127.4915
1900.000000, 79.284, -127.3075
1925.000000, 79.440, -127.1680
1950.000000, 79.594, -127.1112
1975.000000, 79.745, -127.1230
2000.000000, 79.895, -127.1819
2030.000000, 80.074, -127.2901
2060.000000, 80.249, -127.4796
2090.000000, 80.419, -127.7434
2120.000000, 80.581, -128.0633
2140.000000, 80.684, -128.3100
2180.000000, 80.878, -128.8709
2200.000000, 80.968, -129.1797
2240.000000, 81.139, -129.8313
2270.000000, 81.260, -130.3313
2300.000000, 81.373, -130.8554
2330.000000, 81.478, -131.3939
2360.000000, 81.576, -131.9294
2400.000000, 81.704, -132.6474
2430.000000, 81.795, -133.1939
2470.000000, 81.913, -133.9291
2500.000000, 82.002, -134.5125
2540.000000, 82.121, -135.3328
2580.000000, 82.239, -136.2144
2620.000000, 82.355, -137.1879
2650.000000, 82.441, -137.9908
