* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 9, 2024 10:11:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (Tape, Velvet M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 79.417, 177.8389
20.600000, 79.396, 177.7018
20.900000, 79.373, 177.5705
21.200001, 79.353, 177.4199
21.400000, 79.341, 177.2887
21.799999, 79.310, 176.9257
22.000000, 79.289, 176.6981
22.400000, 79.232, 176.2022
22.700001, 79.178, 175.8546
23.000000, 79.125, 175.5745
23.299999, 79.083, 175.3764
23.600000, 79.059, 175.2431
24.000000, 79.061, 175.0964
24.299999, 79.079, 174.9597
24.700001, 79.107, 174.7133
25.000000, 79.117, 174.4988
25.400000, 79.110, 174.2286
25.799999, 79.081, 174.0226
26.200001, 79.045, 173.8799
26.500000, 79.020, 173.7868
26.900000, 78.995, 173.6417
27.200001, 78.981, 173.5072
27.600000, 78.964, 173.3098
28.000000, 78.947, 173.1246
28.500000, 78.925, 172.9371
29.000000, 78.901, 172.7683
29.500000, 78.876, 172.5666
30.000000, 78.850, 172.3240
30.400000, 78.831, 172.1244
30.700001, 78.818, 171.9852
31.100000, 78.803, 171.8233
31.500000, 78.785, 171.6934
32.000000, 78.754, 171.5772
32.500000, 78.719, 171.4917
33.000000, 78.697, 171.3640
33.500000, 78.699, 171.0902
34.000000, 78.718, 170.6293
34.500000, 78.731, 170.0802
35.000000, 78.716, 169.6433
35.500000, 78.673, 169.4755
36.000000, 78.619, 169.5688
36.500000, 78.572, 169.7526
37.000000, 78.541, 169.8325
37.500000, 78.521, 169.7286
38.200001, 78.506, 169.3903
38.700001, 78.503, 169.1368
39.500000, 78.490, 168.8187
40.000000, 78.462, 168.6994
40.599998, 78.412, 168.6582
41.200001, 78.370, 168.6676
41.799999, 78.351, 168.6022
42.500000, 78.347, 168.3943
43.099998, 78.343, 168.2138
43.700001, 78.339, 168.0829
44.400002, 78.327, 167.9246
45.000000, 78.303, 167.7701
45.500000, 78.281, 167.6617
46.200001, 78.265, 167.5196
46.799999, 78.260, 167.3352
47.500000, 78.236, 167.0924
48.200001, 78.195, 166.9719
48.700001, 78.173, 166.9457
49.400002, 78.161, 166.8503
50.000000, 78.152, 166.6799
50.799999, 78.127, 166.4715
51.500000, 78.105, 166.3525
52.200001, 78.088, 166.2114
53.000000, 78.067, 166.0204
53.799999, 78.046, 165.8727
54.500000, 78.028, 165.7645
55.200001, 78.008, 165.6423
56.000000, 77.988, 165.4895
57.000000, 77.965, 165.2910
58.000000, 77.933, 165.0868
59.000000, 77.897, 164.8775
60.000000, 77.868, 164.7275
60.799999, 77.853, 164.6641
61.500000, 77.843, 164.5863
62.200001, 77.830, 164.4621
63.000000, 77.808, 164.3070
64.000000, 77.777, 164.1682
65.000000, 77.751, 164.0521
66.000000, 77.730, 163.8776
67.000000, 77.701, 163.6545
68.000000, 77.664, 163.4489
69.000000, 77.638, 163.3620
70.000000, 77.618, 163.3705
71.000000, 77.580, 163.2699
72.000000, 77.546, 162.9791
73.000000, 77.537, 162.6901
74.000000, 77.521, 162.6190
75.000000, 77.481, 162.6094
76.199997, 77.440, 162.3953
77.500000, 77.427, 162.1750
78.800003, 77.407, 162.0026
80.000000, 77.378, 161.7843
81.199997, 77.343, 161.6415
82.500000, 77.301, 161.5797
83.800003, 77.273, 161.5132
85.000000, 77.256, 161.3976
86.199997, 77.234, 161.2425
87.500000, 77.203, 161.1109
88.500000, 77.176, 161.0171
90.000000, 77.138, 160.8991
91.199997, 77.113, 160.8094
92.500000, 77.083, 160.6687
93.800003, 77.057, 160.5124
95.000000, 77.036, 160.3769
96.199997, 77.016, 160.2582
97.500000, 76.989, 160.1389
98.800003, 76.952, 160.0453
100.000000, 76.916, 159.9589
101.500000, 76.870, 159.8683
103.000000, 76.836, 159.7899
104.400002, 76.806, 159.6806
106.000000, 76.773, 159.5362
107.500000, 76.744, 159.4254
109.000000, 76.708, 159.3288
110.599998, 76.674, 159.2080
112.000000, 76.645, 159.1131
113.800003, 76.610, 159.0020
115.000000, 76.583, 158.9341
117.199997, 76.532, 158.8656
118.000000, 76.515, 158.8400
120.599998, 76.457, 158.7298
122.000000, 76.423, 158.6490
124.099998, 76.381, 158.5683
125.000000, 76.362, 158.5404
126.500000, 76.327, 158.4980
128.000000, 76.292, 158.4608
131.500000, 76.217, 158.3241
132.000000, 76.206, 158.2944
134.000000, 76.163, 158.1987
136.000000, 76.120, 158.2210
138.000000, 76.077, 158.2345
140.000000, 76.033, 158.1800
143.000000, 75.962, 158.1570
145.000000, 75.920, 158.1827
147.500000, 75.867, 158.2015
150.000000, 75.809, 158.1861
152.500000, 75.751, 158.2555
155.000000, 75.696, 158.3840
157.500000, 75.641, 158.5514
160.000000, 75.596, 158.7422
162.500000, 75.569, 158.9402
165.000000, 75.547, 159.1389
167.500000, 75.522, 159.3167
170.000000, 75.497, 159.4080
172.500000, 75.463, 159.4950
175.000000, 75.420, 159.6317
177.500000, 75.373, 159.8335
180.000000, 75.335, 160.1352
182.500000, 75.312, 160.5948
185.000000, 75.316, 161.1161
187.500000, 75.354, 161.6017
190.000000, 75.428, 161.9533
192.500000, 75.505, 161.9482
195.000000, 75.563, 161.6518
197.500000, 75.593, 161.2961
200.000000, 75.597, 161.0076
203.000000, 75.580, 160.7619
206.000000, 75.557, 160.5603
209.000000, 75.536, 160.3938
212.000000, 75.516, 160.2819
214.000000, 75.501, 160.1914
218.000000, 75.467, 160.0785
220.000000, 75.449, 160.0699
224.000000, 75.419, 160.0877
227.000000, 75.398, 160.0990
230.000000, 75.375, 160.0800
233.000000, 75.352, 160.0693
236.000000, 75.332, 160.0993
240.000000, 75.307, 160.1779
243.000000, 75.288, 160.2506
247.000000, 75.267, 160.3630
250.000000, 75.256, 160.4200
254.000000, 75.251, 160.5012
258.000000, 75.254, 160.6104
262.000000, 75.261, 160.7216
265.000000, 75.268, 160.7528
269.000000, 75.276, 160.7266
272.000000, 75.279, 160.6721
276.000000, 75.278, 160.5808
280.000000, 75.273, 160.5125
285.000000, 75.266, 160.4352
290.000000, 75.261, 160.3688
295.000000, 75.259, 160.3363
300.000000, 75.249, 160.2945
304.000000, 75.237, 160.2451
307.000000, 75.231, 160.2078
311.000000, 75.224, 160.1575
315.000000, 75.219, 160.1129
320.000000, 75.212, 160.0515
325.000000, 75.203, 160.0071
330.000000, 75.193, 159.9648
335.000000, 75.187, 159.9415
340.000000, 75.186, 159.9001
345.000000, 75.184, 159.8491
350.000000, 75.178, 159.8020
355.000000, 75.172, 159.8046
360.000000, 75.169, 159.8074
365.000000, 75.168, 159.7825
370.000000, 75.174, 159.7640
375.000000, 75.186, 159.7462
382.000000, 75.204, 159.6570
