* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 9, 2024 6:18:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (Velvet M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 83.356, -173.4536
20.600000, 83.353, -173.7803
20.900000, 83.347, -174.1449
21.200001, 83.342, -174.5247
21.400000, 83.341, -174.7833
21.799999, 83.345, -175.3016
22.000000, 83.350, -175.5556
22.400000, 83.365, -176.0442
22.700001, 83.378, -176.3919
23.000000, 83.388, -176.7251
23.299999, 83.392, -177.0449
23.600000, 83.390, -177.3511
24.000000, 83.378, -177.7355
24.299999, 83.364, -178.0064
24.700001, 83.347, -178.3528
25.000000, 83.337, -178.6120
25.400000, 83.331, -178.9722
25.799999, 83.329, -179.3548
26.200001, 83.328, -179.7499
26.500000, 83.324, 179.9574
26.900000, 83.315, 179.5847
27.200001, 83.305, 179.3201
27.600000, 83.291, 178.9797
28.000000, 83.278, 178.6389
28.500000, 83.262, 178.1965
29.000000, 83.249, 177.7414
29.500000, 83.239, 177.2957
30.000000, 83.230, 176.8748
30.400000, 83.225, 176.5538
30.700001, 83.221, 176.3173
31.100000, 83.214, 176.0031
31.500000, 83.204, 175.6888
32.000000, 83.187, 175.2996
32.500000, 83.169, 174.9172
33.000000, 83.151, 174.5398
33.500000, 83.136, 174.1692
34.000000, 83.123, 173.8193
34.500000, 83.111, 173.5035
35.000000, 83.101, 173.2139
35.500000, 83.091, 172.9221
36.000000, 83.077, 172.6073
36.500000, 83.059, 172.2751
37.000000, 83.040, 171.9441
37.500000, 83.024, 171.6240
38.200001, 83.005, 171.1985
38.700001, 82.992, 170.9218
39.500000, 82.970, 170.5026
40.000000, 82.958, 170.1911
40.599998, 82.940, 169.7329
41.200001, 82.913, 169.2631
41.799999, 82.888, 168.8808
42.500000, 82.872, 168.5280
43.099998, 82.861, 168.2221
