* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 9, 2024 6:19:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci (Velvet Wide M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 84.016, -173.7134
20.600000, 84.035, -173.9048
20.900000, 84.048, -174.1934
21.200001, 84.048, -174.5774
21.400000, 84.039, -174.8737
21.799999, 84.004, -175.5033
22.000000, 83.982, -175.8089
22.400000, 83.944, -176.3584
22.700001, 83.928, -176.7152
23.000000, 83.926, -177.0470
23.299999, 83.937, -177.3813
23.600000, 83.952, -177.7375
24.000000, 83.967, -178.2494
24.299999, 83.969, -178.6422
24.700001, 83.958, -179.1364
25.000000, 83.942, -179.4604
25.400000, 83.920, -179.8109
25.799999, 83.905, 179.9289
26.200001, 83.903, 179.7288
26.500000, 83.909, 179.5838
26.900000, 83.924, 179.3372
27.200001, 83.934, 179.0746
27.600000, 83.938, 178.5948
28.000000, 83.921, 177.9952
28.500000, 83.874, 177.2166
29.000000, 83.819, 176.5893
29.500000, 83.788, 176.1799
30.000000, 83.790, 175.8813
30.400000, 83.801, 175.6263
30.700001, 83.805, 175.4085
31.100000, 83.799, 175.1046
31.500000, 83.787, 174.8189
32.000000, 83.781, 174.4900
32.500000, 83.797, 174.1221
33.000000, 83.815, 173.6704
33.500000, 83.805, 173.2253
34.000000, 83.756, 172.9419
34.500000, 83.698, 172.8554
35.000000, 83.664, 172.7932
35.500000, 83.664, 172.5279
36.000000, 83.675, 172.0122
36.500000, 83.674, 171.4253
37.000000, 83.659, 170.9780
37.500000, 83.643, 170.7111
38.200001, 83.624, 170.3777
38.700001, 83.597, 170.0237
39.500000, 83.526, 169.3990
40.000000, 83.492, 169.0826
40.599998, 83.481, 168.7323
41.200001, 83.483, 168.3413
41.799999, 83.473, 167.9523
42.500000, 83.443, 167.5868
43.099998, 83.412, 167.3140
43.700001, 83.386, 167.0067
44.400002, 83.365, 166.5783
45.000000, 83.352, 166.1935
45.500000, 83.338, 165.9111
46.200001, 83.303, 165.6205
46.799999, 83.261, 165.4203
47.500000, 83.209, 165.1232
48.200001, 83.169, 164.7297
48.700001, 83.154, 164.4266
49.400002, 83.145, 164.0161
50.000000, 83.132, 163.7008
50.799999, 83.095, 163.3499
51.500000, 83.054, 163.0914
52.200001, 83.015, 162.8860
53.000000, 82.981, 162.7236
53.799999, 82.960, 162.4750
54.500000, 82.942, 162.0428
55.200001, 82.908, 161.4684
56.000000, 82.844, 160.8787
57.000000, 82.760, 160.5362
58.000000, 82.731, 160.3987
59.000000, 82.715, 160.1004
60.000000, 82.664, 159.7741
60.799999, 82.624, 159.3884
61.500000, 82.591, 158.9218
62.200001, 82.552, 158.5096
63.000000, 82.508, 158.2201
64.000000, 82.456, 157.9382
65.000000, 82.400, 157.6239
66.000000, 82.342, 157.3081
67.000000, 82.280, 156.9080
68.000000, 82.228, 156.5513
69.000000, 82.191, 156.3659
70.000000, 82.138, 156.1518
71.000000, 82.073, 155.7496
72.000000, 82.024, 155.3257
73.000000, 81.984, 155.0505
74.000000, 81.933, 154.8530
75.000000, 81.882, 154.6564
76.199997, 81.823, 154.3873
77.500000, 81.736, 153.9375
78.800003, 81.646, 153.4489
80.000000, 81.574, 153.1718
81.199997, 81.504, 152.9452
82.500000, 81.431, 152.7097
83.800003, 81.362, 152.4162
85.000000, 81.311, 152.1719
86.199997, 81.263, 151.9792
87.500000, 81.200, 151.5813
88.500000, 81.149, 151.2186
90.000000, 81.058, 150.8854
91.199997, 80.980, 150.7561
92.500000, 80.917, 150.5734
93.800003, 80.844, 150.4021
95.000000, 80.767, 150.2789
96.199997, 80.696, 150.1047
97.500000, 80.627, 149.8931
98.800003, 80.562, 149.7007
100.000000, 80.494, 149.5417
101.500000, 80.402, 149.3205
103.000000, 80.314, 149.1170
104.400002, 80.242, 148.9459
106.000000, 80.159, 148.7827
107.500000, 80.074, 148.6455
109.000000, 79.990, 148.4878
110.599998, 79.903, 148.3366
112.000000, 79.826, 148.2144
113.800003, 79.731, 148.1099
115.000000, 79.666, 148.0669
117.199997, 79.538, 147.9999
118.000000, 79.496, 147.9793
120.599998, 79.368, 147.8213
122.000000, 79.289, 147.7410
124.099998, 79.170, 147.6670
125.000000, 79.120, 147.6150
126.500000, 79.040, 147.5506
128.000000, 78.962, 147.5550
131.500000, 78.779, 147.6496
132.000000, 78.752, 147.6635
134.000000, 78.642, 147.7012
136.000000, 78.537, 147.7208
138.000000, 78.440, 147.7439
140.000000, 78.346, 147.8084
143.000000, 78.198, 147.9631
145.000000, 78.103, 148.0443
147.500000, 77.983, 148.2050
150.000000, 77.867, 148.4240
152.500000, 77.753, 148.6633
