* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 9, 2024 6:18:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Davinci (Velvet)
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.145 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.144928, 83.358, -173.2294
20.290907, 83.357, -173.4065
20.437943, 83.356, -173.5801
20.586044, 83.353, -173.7568
20.735220, 83.350, -173.9366
20.885475, 83.347, -174.1210
21.036821, 83.344, -174.3114
21.189262, 83.341, -174.5065
21.342808, 83.340, -174.7056
21.497467, 83.340, -174.9087
21.653246, 83.341, -175.1121
21.810154, 83.344, -175.3160
21.968201, 83.348, -175.5184
22.127390, 83.354, -175.7174
22.287735, 83.360, -175.9136
22.449242, 83.367, -176.1059
22.611917, 83.375, -176.2945
22.775772, 83.381, -176.4803
22.940815, 83.387, -176.6632
23.107054, 83.392, -176.8435
23.274498, 83.394, -177.0215
23.443153, 83.394, -177.1965
23.613033, 83.392, -177.3684
23.784142, 83.387, -177.5365
23.956491, 83.381, -177.6999
24.130091, 83.373, -177.8591
24.304947, 83.364, -178.0142
24.481071, 83.355, -178.1658
24.658470, 83.347, -178.3168
24.837156, 83.341, -178.4674
25.017136, 83.335, -178.6222
25.198421, 83.332, -178.7811
25.381020, 83.330, -178.9473
25.564941, 83.330, -179.1206
25.750195, 83.329, -179.3004
25.936790, 83.330, -179.4864
26.124741, 83.329, -179.6746
26.314051, 83.328, -179.8645
26.504732, 83.325, 179.9489
26.696796, 83.321, 179.7654
26.890253, 83.316, 179.5880
27.085112, 83.310, 179.4156
27.281382, 83.303, 179.2476
27.479073, 83.296, 179.0818
27.678198, 83.288, 178.9160
27.878765, 83.281, 178.7473
28.080786, 83.275, 178.5741
28.284271, 83.268, 178.3953
28.489231, 83.262, 178.2104
28.695675, 83.257, 178.0215
28.903616, 83.251, 177.8292
29.113064, 83.246, 177.6371
29.324028, 83.242, 177.4464
29.536524, 83.238, 177.2596
29.750557, 83.234, 177.0769
29.966141, 83.231, 176.8990
30.183289, 83.228, 176.7242
30.402010, 83.225, 176.5516
30.622314, 83.222, 176.3791
30.844217, 83.219, 176.2055
31.067726, 83.215, 176.0300
31.292856, 83.210, 175.8526
31.519617, 83.204, 175.6737
31.748020, 83.197, 175.4944
31.978081, 83.188, 175.3156
32.209808, 83.180, 175.1375
32.443211, 83.171, 174.9601
32.678310, 83.162, 174.7824
32.915108, 83.154, 174.6039
33.153625, 83.146, 174.4239
33.393871, 83.139, 174.2440
33.635857, 83.132, 174.0653
33.879597, 83.126, 173.8923
34.125103, 83.119, 173.7270
34.372387, 83.113, 173.5718
34.621464, 83.108, 173.4260
34.872345, 83.103, 173.2857
35.125042, 83.099, 173.1472
35.379574, 83.094, 173.0027
35.635948, 83.089, 172.8491
35.894180, 83.082, 172.6845
36.154285, 83.073, 172.5104
36.416275, 83.063, 172.3320
36.680161, 83.052, 172.1526
36.945961, 83.041, 171.9762
37.213688, 83.031, 171.8032
37.483353, 83.023, 171.6320
37.754974, 83.016, 171.4621
38.028561, 83.010, 171.2932
38.304131, 83.003, 171.1296
38.581699, 82.995, 170.9752
38.861279, 82.987, 170.8318
39.142883, 82.978, 170.6979
39.426529, 82.971, 170.5612
39.712231, 82.965, 170.4066
40.000000, 82.959, 170.2228
40.289856, 82.952, 170.0032
40.581814, 82.943, 169.7541
40.875885, 82.930, 169.4973
41.172089, 82.915, 169.2546
41.470440, 82.899, 169.0432
41.770950, 82.886, 168.8699
42.073643, 82.877, 168.7263
42.378525, 82.872, 168.5913
42.685616, 82.869, 168.4479
42.994934, 82.866, 168.2883
43.306492, 82.859, 168.1149
43.620308, 82.847, 167.9376
43.936401, 82.832, 167.7667
44.254780, 82.814, 167.6051
44.575470, 82.795, 167.4467
44.898483, 82.778, 167.2835
45.223835, 82.761, 167.1115
45.551544, 82.746, 166.9324
