* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 14, 2024 12:30:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Davinci to JM-1 -0.8 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.921, -176.2561
20.600000, 80.929, -176.3309
20.900000, 80.940, -176.4106
21.200001, 80.954, -176.4938
21.400000, 80.963, -176.5531
21.799999, 80.974, -176.6823
22.000000, 80.974, -176.7507
22.400000, 80.963, -176.8882
22.700001, 80.948, -176.9868
23.000000, 80.932, -177.0816
23.299999, 80.921, -177.1773
23.600000, 80.918, -177.2813
24.000000, 80.929, -177.4388
24.299999, 80.945, -177.5656
24.700001, 80.971, -177.7255
25.000000, 80.990, -177.8261
25.400000, 81.012, -177.9368
25.799999, 81.033, -178.0535
26.200001, 81.053, -178.2228
26.500000, 81.068, -178.3982
26.900000, 81.088, -178.6790
27.200001, 81.103, -178.8949
27.600000, 81.124, -179.1445
28.000000, 81.145, -179.3264
28.500000, 81.169, -179.4788
29.000000, 81.184, -179.6089
29.500000, 81.192, -179.7685
30.000000, 81.206, -179.9882
30.400000, 81.229, 179.7783
30.700001, 81.253, 179.5704
31.100000, 81.286, 179.2697
31.500000, 81.313, 178.9778
32.000000, 81.332, 178.6649
32.500000, 81.338, 178.3855
33.000000, 81.341, 178.0651
33.500000, 81.348, 177.6791
34.000000, 81.363, 177.2908
34.500000, 81.392, 176.9626
35.000000, 81.432, 176.6698
35.500000, 81.463, 176.3466
36.000000, 81.466, 175.9933
36.500000, 81.445, 175.6817
37.000000, 81.426, 175.4465
37.500000, 81.431, 175.2185
38.200001, 81.464, 174.7510
38.700001, 81.481, 174.3481
39.500000, 81.492, 173.8298
40.000000, 81.509, 173.5951
40.599998, 81.539, 173.3032
41.200001, 81.556, 172.9818
41.799999, 81.553, 172.6733
42.500000, 81.545, 172.2751
43.099998, 81.548, 171.8147
43.700001, 81.558, 171.2958
44.400002, 81.568, 170.7770
45.000000, 81.568, 170.4248
45.500000, 81.558, 170.1392
46.200001, 81.533, 169.7076
46.799999, 81.518, 169.3415
47.500000, 81.517, 168.9586
48.200001, 81.519, 168.6121
48.700001, 81.512, 168.3597
49.400002, 81.498, 167.9537
50.000000, 81.489, 167.5570
50.799999, 81.481, 167.0696
51.500000, 81.470, 166.7464
52.200001, 81.458, 166.4322
53.000000, 81.453, 165.9305
53.799999, 81.451, 165.3105
54.500000, 81.435, 164.8516
55.200001, 81.406, 164.5089
56.000000, 81.376, 164.0062
57.000000, 81.337, 163.2560
58.000000, 81.327, 163.0662
59.000000, 81.357, 162.8370
60.000000, 81.312, 162.0939
60.799999, 81.253, 161.5970
61.500000, 81.228, 161.3182
62.200001, 81.221, 161.0901
63.000000, 81.216, 160.7993
64.000000, 81.194, 160.2874
65.000000, 81.151, 159.7013
66.000000, 81.121, 159.1703
67.000000, 81.111, 158.7849
68.000000, 81.088, 158.6129
69.000000, 81.051, 158.5273
70.000000, 81.024, 158.1706
71.000000, 80.978, 157.5419
72.000000, 80.931, 156.9045
73.000000, 80.904, 156.2263
74.000000, 80.867, 155.7645
75.000000, 80.831, 155.5911
76.199997, 80.801, 155.2437
77.500000, 80.770, 154.7970
78.800003, 80.729, 154.4185
80.000000, 80.693, 153.8464
81.199997, 80.654, 153.1688
82.500000, 80.614, 152.5776
83.800003, 80.575, 152.1065
85.000000, 80.530, 151.8139
86.199997, 80.490, 151.4204
87.500000, 80.450, 150.8867
88.500000, 80.417, 150.4516
90.000000, 80.372, 149.7668
91.199997, 80.341, 149.2947
92.500000, 80.298, 148.7988
93.800003, 80.263, 148.2810
95.000000, 80.235, 147.8333
96.199997, 80.192, 147.3815
97.500000, 80.139, 146.8640
98.800003, 80.093, 146.2735
100.000000, 80.058, 145.6904
101.500000, 80.025, 145.0166
103.000000, 79.990, 144.1456
104.400002, 79.927, 143.2667
106.000000, 79.820, 142.2776
107.500000, 79.750, 140.9137
109.000000, 79.654, 139.4095
110.599998, 79.463, 138.0935
112.000000, 79.271, 137.1318
113.800003, 78.988, 136.3276
115.000000, 78.798, 135.9960
117.199997, 78.496, 135.4840
118.000000, 78.390, 135.3798
120.599998, 78.039, 135.3550
122.000000, 77.862, 135.2969
124.099998, 77.609, 135.3331
125.000000, 77.511, 135.3680
126.500000, 77.353, 135.4375
128.000000, 77.179, 135.6484
131.500000, 76.773, 136.4342
132.000000, 76.720, 136.5014
134.000000, 76.511, 136.7856
136.000000, 76.309, 137.2307
138.000000, 76.091, 137.9379
140.000000, 75.931, 138.7927
143.000000, 75.780, 139.7797
145.000000, 75.653, 140.3718
147.500000, 75.470, 141.4559
