* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 20, 2025 11:14:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Defiant (BGVP Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.146, 169.9121
20.600000, 81.129, 169.6104
20.900000, 81.107, 169.2707
21.200001, 81.085, 168.9294
21.400000, 81.070, 168.7040
21.799999, 81.045, 168.2652
22.000000, 81.032, 168.0559
22.400000, 81.008, 167.6649
22.700001, 80.989, 167.3952
23.000000, 80.970, 167.1375
23.299999, 80.950, 166.8789
23.600000, 80.930, 166.6061
24.000000, 80.905, 166.2077
24.299999, 80.885, 165.8847
24.700001, 80.860, 165.4400
25.000000, 80.841, 165.1122
25.400000, 80.818, 164.7014
25.799999, 80.795, 164.3280
26.200001, 80.772, 163.9867
26.500000, 80.752, 163.7445
26.900000, 80.724, 163.4290
27.200001, 80.701, 163.1914
27.600000, 80.670, 162.8665
28.000000, 80.640, 162.5296
28.500000, 80.604, 162.1002
29.000000, 80.570, 161.6833
29.500000, 80.537, 161.2914
30.000000, 80.504, 160.9097
30.400000, 80.478, 160.5933
30.700001, 80.457, 160.3461
31.100000, 80.426, 160.0105
31.500000, 80.394, 159.6857
32.000000, 80.355, 159.3175
32.500000, 80.319, 158.9921
33.000000, 80.286, 158.6864
33.500000, 80.251, 158.3800
34.000000, 80.212, 158.0688
34.500000, 80.170, 157.7538
35.000000, 80.129, 157.4311
35.500000, 80.092, 157.0992
36.000000, 80.056, 156.7688
36.500000, 80.022, 156.4538
37.000000, 79.990, 156.1526
37.500000, 79.958, 155.8486
38.200001, 79.912, 155.4067
38.700001, 79.875, 155.1014
39.500000, 79.816, 154.6740
40.000000, 79.780, 154.4250
40.599998, 79.736, 154.1082
41.200001, 79.685, 153.7725
41.799999, 79.632, 153.4422
42.500000, 79.578, 153.0679
43.099998, 79.539, 152.7417
43.700001, 79.499, 152.4193
44.400002, 79.449, 152.0775
45.000000, 79.404, 151.8059
45.500000, 79.368, 151.5725
46.200001, 79.315, 151.2263
46.799999, 79.267, 150.9304
47.500000, 79.212, 150.5995
48.200001, 79.160, 150.2722
48.700001, 79.123, 150.0397
49.400002, 79.072, 149.7338
50.000000, 79.027, 149.5015
50.799999, 78.964, 149.2207
51.500000, 78.911, 148.9650
52.200001, 78.859, 148.6844
53.000000, 78.801, 148.3780
53.799999, 78.744, 148.1221
54.500000, 78.699, 147.8863
55.200001, 78.657, 147.5936
56.000000, 78.608, 147.2500
57.000000, 78.545, 146.9341
58.000000, 78.470, 146.6208
59.000000, 78.379, 146.2066
60.000000, 78.298, 145.8573
60.799999, 78.248, 145.6484
61.500000, 78.204, 145.4666
62.200001, 78.153, 145.2746
63.000000, 78.096, 145.0524
64.000000, 78.030, 144.7668
65.000000, 77.962, 144.4725
66.000000, 77.893, 144.1700
67.000000, 77.827, 143.8809
68.000000, 77.769, 143.6181
69.000000, 77.713, 143.3542
70.000000, 77.644, 143.1283
71.000000, 77.560, 142.9336
72.000000, 77.478, 142.7230
73.000000, 77.419, 142.4860
74.000000, 77.365, 142.2623
75.000000, 77.305, 142.0754
76.199997, 77.232, 141.7726
77.500000, 77.148, 141.4571
