* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 20, 2025 11:11:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Defiant (Final E M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.750, 170.6710
20.600000, 81.736, 170.4615
20.900000, 81.722, 170.1831
21.200001, 81.712, 169.8414
21.400000, 81.706, 169.5826
21.799999, 81.689, 169.0330
22.000000, 81.677, 168.7696
22.400000, 81.643, 168.3248
22.700001, 81.614, 168.0784
23.000000, 81.586, 167.8851
23.299999, 81.562, 167.6984
23.600000, 81.540, 167.4690
24.000000, 81.513, 167.0523
24.299999, 81.491, 166.6677
24.700001, 81.459, 166.1283
25.000000, 81.439, 165.7551
25.400000, 81.423, 165.3360
25.799999, 81.421, 164.9881
26.200001, 81.425, 164.6631
26.500000, 81.422, 164.4172
26.900000, 81.403, 164.0961
27.200001, 81.376, 163.8761
27.600000, 81.333, 163.6200
28.000000, 81.293, 163.3851
28.500000, 81.253, 163.0573
29.000000, 81.223, 162.6570
29.500000, 81.191, 162.2265
30.000000, 81.156, 161.8213
30.400000, 81.129, 161.5166
30.700001, 81.108, 161.2886
31.100000, 81.080, 160.9799
31.500000, 81.049, 160.6806
32.000000, 81.012, 160.3558
32.500000, 80.982, 160.0913
33.000000, 80.963, 159.8284
33.500000, 80.946, 159.4968
34.000000, 80.920, 159.0853
34.500000, 80.881, 158.6476
35.000000, 80.834, 158.2462
35.500000, 80.788, 157.9080
36.000000, 80.747, 157.6210
36.500000, 80.710, 157.3602
37.000000, 80.676, 157.1068
37.500000, 80.641, 156.8509
38.200001, 80.592, 156.4795
38.700001, 80.558, 156.1995
39.500000, 80.509, 155.7122
40.000000, 80.480, 155.3849
40.599998, 80.439, 154.9932
41.200001, 80.392, 154.6329
41.799999, 80.339, 154.3154
42.500000, 80.274, 153.9880
43.099998, 80.222, 153.7329
43.700001, 80.178, 153.4855
44.400002, 80.135, 153.1773
45.000000, 80.097, 152.8907
45.500000, 80.060, 152.6486
46.200001, 80.005, 152.3136
46.799999, 79.960, 152.0211
47.500000, 79.912, 151.6788
48.200001, 79.866, 151.3573
48.700001, 79.835, 151.1368
49.400002, 79.789, 150.8253
50.000000, 79.746, 150.5655
50.799999, 79.687, 150.2478
51.500000, 79.635, 149.9795
52.200001, 79.584, 149.7232
53.000000, 79.534, 149.4756
53.799999, 79.496, 149.2388
54.500000, 79.455, 148.9892
55.200001, 79.394, 148.6938
56.000000, 79.312, 148.3227
57.000000, 79.227, 147.9173
58.000000, 79.189, 147.6349
59.000000, 79.153, 147.2837
60.000000, 79.071, 146.9375
60.799999, 78.995, 146.7611
61.500000, 78.937, 146.5775
62.200001, 78.883, 146.3160
63.000000, 78.821, 146.0100
64.000000, 78.747, 145.7541
65.000000, 78.675, 145.5686
66.000000, 78.612, 145.2625
67.000000, 78.550, 144.8974
68.000000, 78.482, 144.6654
