* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 20, 2025 11:16:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Defiant (Flo Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.297, 172.3901
20.600000, 80.281, 172.0216
20.900000, 80.256, 171.5912
21.200001, 80.225, 171.1668
21.400000, 80.205, 170.9039
21.799999, 80.171, 170.4492
22.000000, 80.160, 170.2576
22.400000, 80.149, 169.9194
22.700001, 80.148, 169.6729
23.000000, 80.148, 169.4054
23.299999, 80.144, 169.1061
23.600000, 80.132, 168.7803
24.000000, 80.102, 168.3338
24.299999, 80.074, 168.0135
24.700001, 80.036, 167.6238
25.000000, 80.012, 167.3549
25.400000, 79.990, 167.0046
25.799999, 79.974, 166.6394
26.200001, 79.958, 166.2532
26.500000, 79.942, 165.9585
26.900000, 79.915, 165.5760
27.200001, 79.892, 165.3032
27.600000, 79.862, 164.9550
28.000000, 79.836, 164.6105
28.500000, 79.807, 164.1646
29.000000, 79.780, 163.7032
29.500000, 79.751, 163.2518
30.000000, 79.719, 162.8329
30.400000, 79.694, 162.5201
30.700001, 79.677, 162.2914
31.100000, 79.655, 161.9849
31.500000, 79.632, 161.6724
32.000000, 79.601, 161.2818
32.500000, 79.565, 160.9116
33.000000, 79.528, 160.5717
33.500000, 79.493, 160.2480
34.000000, 79.460, 159.9176
34.500000, 79.427, 159.5760
35.000000, 79.390, 159.2408
35.500000, 79.350, 158.9295
36.000000, 79.310, 158.6364
36.500000, 79.273, 158.3371
37.000000, 79.238, 158.0138
37.500000, 79.205, 157.6720
38.200001, 79.157, 157.2017
38.700001, 79.119, 156.8913
39.500000, 79.055, 156.4271
40.000000, 79.017, 156.1343
40.599998, 78.974, 155.7695
41.200001, 78.936, 155.4072
41.799999, 78.899, 155.0699
42.500000, 78.854, 154.7108
43.099998, 78.811, 154.4198
43.700001, 78.766, 154.1346
44.400002, 78.714, 153.7904
45.000000, 78.668, 153.4758
45.500000, 78.627, 153.2137
46.200001, 78.571, 152.8744
46.799999, 78.531, 152.5953
47.500000, 78.490, 152.2523
48.200001, 78.444, 151.9231
48.700001, 78.407, 151.7241
49.400002, 78.357, 151.4712
50.000000, 78.316, 151.2346
50.799999, 78.262, 150.8979
51.500000, 78.216, 150.6173
52.200001, 78.170, 150.3332
53.000000, 78.117, 149.9953
53.799999, 78.063, 149.6913
54.500000, 78.017, 149.4535
55.200001, 77.969, 149.1884
56.000000, 77.908, 148.8182
57.000000, 77.836, 148.3688
58.000000, 77.778, 148.0665
59.000000, 77.711, 147.8057
60.000000, 77.639, 147.5033
60.799999, 77.593, 147.2455
61.500000, 77.555, 147.0257
62.200001, 77.508, 146.8181
63.000000, 77.450, 146.5743
64.000000, 77.387, 146.2514
65.000000, 77.331, 145.9681
66.000000, 77.267, 145.7024
67.000000, 77.197, 145.3945
68.000000, 77.128, 145.1707
69.000000, 77.072, 145.0073
70.000000, 77.027, 144.6818
71.000000, 76.992, 144.3234
72.000000, 76.942, 144.0823
73.000000, 76.851, 143.9448
74.000000, 76.759, 143.7825
75.000000, 76.685, 143.5264
76.199997, 76.606, 143.3036
77.500000, 76.541, 143.0396
78.800003, 76.475, 142.7363
80.000000, 76.397, 142.5152
81.199997, 76.325, 142.3248
82.500000, 76.257, 142.1323
83.800003, 76.184, 141.9590
85.000000, 76.115, 141.7755
86.199997, 76.041, 141.6063
87.500000, 75.965, 141.4161
88.500000, 75.910, 141.2894
90.000000, 75.831, 141.0923
91.199997, 75.769, 140.9008
92.500000, 75.703, 140.7049
93.800003, 75.628, 140.5032
95.000000, 75.557, 140.3559
96.199997, 75.488, 140.2315
97.500000, 75.421, 140.1086
98.800003, 75.362, 139.9836
100.000000, 75.302, 139.8666
101.500000, 75.220, 139.7160
103.000000, 75.137, 139.5765
104.400002, 75.063, 139.4165
106.000000, 74.981, 139.2697
107.500000, 74.903, 139.1980
109.000000, 74.829, 139.1286
110.599998, 74.755, 138.9819
112.000000, 74.691, 138.8662
113.800003, 74.610, 138.7993
115.000000, 74.556, 138.7444
117.199997, 74.457, 138.5195
118.000000, 74.419, 138.4175
120.599998, 74.299, 138.2730
122.000000, 74.239, 138.2319
124.099998, 74.153, 138.0779
125.000000, 74.116, 138.0270
126.500000, 74.055, 137.9870
128.000000, 73.995, 137.9620
131.500000, 73.842, 137.8423
132.000000, 73.820, 137.8237
134.000000, 73.740, 137.7509
136.000000, 73.669, 137.6962
138.000000, 73.601, 137.6316
140.000000, 73.528, 137.6009
143.000000, 73.412, 137.5880
145.000000, 73.344, 137.5854
147.500000, 73.266, 137.5474
150.000000, 73.189, 137.4704
152.500000, 73.108, 137.4355
155.000000, 73.029, 137.4008
157.500000, 72.959, 137.3634
160.000000, 72.891, 137.3544
162.500000, 72.824, 137.3336
165.000000, 72.752, 137.3270
167.500000, 72.678, 137.3527
170.000000, 72.611, 137.3769
172.500000, 72.549, 137.3452
175.000000, 72.486, 137.3336
177.500000, 72.423, 137.3785
180.000000, 72.360, 137.4152
182.500000, 72.302, 137.4285
185.000000, 72.245, 137.4430
187.500000, 72.187, 137.4824
190.000000, 72.135, 137.5291
192.500000, 72.083, 137.5648
195.000000, 72.025, 137.5647
197.500000, 71.972, 137.5938
200.000000, 71.924, 137.6649
203.000000, 71.865, 137.7507
206.000000, 71.801, 137.7789
209.000000, 71.741, 137.7647
212.000000, 71.689, 137.7937
214.000000, 71.657, 137.8614
218.000000, 71.594, 137.9302
220.000000, 71.564, 137.9440
224.000000, 71.500, 138.0425
227.000000, 71.451, 138.1433
230.000000, 71.402, 138.2287
233.000000, 71.357, 138.2672
236.000000, 71.316, 138.3164
240.000000, 71.267, 138.4294
243.000000, 71.235, 138.4942
247.000000, 71.190, 138.5746
250.000000, 71.148, 138.6200
254.000000, 71.096, 138.6973
258.000000, 71.055, 138.8116
262.000000, 71.015, 138.8974
265.000000, 70.985, 138.9435
269.000000, 70.949, 139.0061
272.000000, 70.928, 139.0715
276.000000, 70.902, 139.1639
280.000000, 70.869, 139.2730
285.000000, 70.828, 139.3717
290.000000, 70.797, 139.4459
295.000000, 70.768, 139.5260
300.000000, 70.735, 139.5659
304.000000, 70.713, 139.6081
307.000000, 70.700, 139.6496
311.000000, 70.678, 139.6822
315.000000, 70.649, 139.6542
320.000000, 70.613, 139.6723
325.000000, 70.589, 139.7439
330.000000, 70.573, 139.7525
335.000000, 70.551, 139.7392
340.000000, 70.524, 139.7739
345.000000, 70.500, 139.8413
350.000000, 70.482, 139.8960
355.000000, 70.470, 139.9448
360.000000, 70.458, 140.0222
365.000000, 70.438, 140.0627
370.000000, 70.413, 140.0442
375.000000, 70.390, 140.0989
382.000000, 70.365, 140.2793
387.000000, 70.358, 140.4019
395.000000, 70.345, 140.5676
400.000000, 70.337, 140.6482
406.000000, 70.332, 140.7450
412.000000, 70.325, 140.8494
418.000000, 70.320, 140.9753
425.000000, 70.317, 141.1145
431.000000, 70.316, 141.2167
437.000000, 70.313, 141.3659
444.000000, 70.311, 141.5454
450.000000, 70.320, 141.6618
455.000000, 70.325, 141.7735
462.000000, 70.330, 141.9173
468.000000, 70.340, 142.0428
475.000000, 70.358, 142.1667
482.000000, 70.374, 142.3059
487.000000, 70.383, 142.4043
494.000000, 70.395, 142.4482
500.000000, 70.401, 142.4667
508.000000, 70.408, 142.5453
515.000000, 70.418, 142.6417
522.000000, 70.430, 142.7723
530.000000, 70.443, 142.9359
538.000000, 70.457, 143.0987
545.000000, 70.468, 143.2459
552.000000, 70.481, 143.3902
560.000000, 70.499, 143.5819
570.000000, 70.520, 143.7762
580.000000, 70.537, 143.9552
590.000000, 70.562, 144.1753
600.000000, 70.591, 144.4032
608.000000, 70.614, 144.5692
615.000000, 70.632, 144.7153
622.000000, 70.648, 144.8955
630.000000, 70.665, 145.1425
640.000000, 70.693, 145.4636
650.000000, 70.721, 145.7294
660.000000, 70.750, 145.9698
670.000000, 70.780, 146.2424
680.000000, 70.811, 146.5946
690.000000, 70.837, 146.9348
700.000000, 70.866, 147.2482
710.000000, 70.895, 147.5921
720.000000, 70.924, 147.9781
730.000000, 70.958, 148.3498
740.000000, 70.992, 148.6913
750.000000, 71.025, 149.0722
762.000000, 71.067, 149.5546
775.000000, 71.116, 150.0654
788.000000, 71.170, 150.5952
800.000000, 71.226, 151.1103
812.000000, 71.280, 151.6829
825.000000, 71.339, 152.2419
838.000000, 71.401, 152.7739
850.000000, 71.459, 153.3290
862.000000, 71.524, 153.9183
875.000000, 71.604, 154.5340
885.000000, 71.661, 154.9759
900.000000, 71.745, 155.6687
912.000000, 71.819, 156.2255
925.000000, 71.906, 156.8308
938.000000, 71.999, 157.4250
950.000000, 72.091, 157.9541
962.000000, 72.183, 158.4664
975.000000, 72.277, 159.0436
988.000000, 72.373, 159.6256
1000.000000, 72.464, 160.1119
1015.000000, 72.591, 160.7145
1030.000000, 72.719, 161.3063
1044.000000, 72.838, 161.8111
1060.000000, 72.972, 162.3768
1075.000000, 73.097, 162.9094
1090.000000, 73.223, 163.4056
1106.000000, 73.363, 163.8744
1120.000000, 73.485, 164.2866
1138.000000, 73.636, 164.7949
1150.000000, 73.735, 165.1375
1172.000000, 73.921, 165.7037
1180.000000, 73.989, 165.8814
1206.000000, 74.206, 166.4127
1220.000000, 74.323, 166.6530
1241.000000, 74.491, 166.9818
1250.000000, 74.562, 167.1021
1265.000000, 74.677, 167.2780
1280.000000, 74.790, 167.4328
1315.000000, 75.027, 167.7525
1320.000000, 75.058, 167.7979
1340.000000, 75.183, 167.9646
1360.000000, 75.297, 168.1096
1380.000000, 75.405, 168.2625
1400.000000, 75.506, 168.4295
1430.000000, 75.645, 168.7108
1450.000000, 75.733, 168.9201
1475.000000, 75.841, 169.1916
1500.000000, 75.945, 169.5163
1525.000000, 76.045, 169.8627
1550.000000, 76.143, 170.2095
1575.000000, 76.239, 170.5920
1600.000000, 76.332, 171.0294
1625.000000, 76.428, 171.4644
1650.000000, 76.525, 171.8915
1675.000000, 76.619, 172.3153
1700.000000, 76.715, 172.7453
1725.000000, 76.811, 173.1936
1750.000000, 76.906, 173.6564
1775.000000, 77.001, 174.1073
1800.000000, 77.098, 174.5542
1825.000000, 77.196, 174.9841
1850.000000, 77.294, 175.3963
1875.000000, 77.393, 175.8309
1900.000000, 77.493, 176.2571
1925.000000, 77.594, 176.6457
1950.000000, 77.697, 177.0206
1975.000000, 77.800, 177.3831
2000.000000, 77.902, 177.7287
2030.000000, 78.022, 178.1202
2060.000000, 78.144, 178.4599
2090.000000, 78.267, 178.7538
2120.000000, 78.388, 179.0236
2140.000000, 78.467, 179.1936
2180.000000, 78.621, 179.4612
2200.000000, 78.698, 179.5598
2240.000000, 78.845, 179.7265
2270.000000, 78.951, 179.7939
2300.000000, 79.052, 179.8077
2330.000000, 79.145, 179.7972
2360.000000, 79.234, 179.7635
2400.000000, 79.344, 179.6559
2430.000000, 79.419, 179.5344
2470.000000, 79.507, 179.3537
2500.000000, 79.563, 179.1947
2540.000000, 79.626, 178.9516
2580.000000, 79.677, 178.6913
2620.000000, 79.712, 178.4100
2650.000000, 79.728, 178.2091
2690.000000, 79.739, 177.9606
2720.000000, 79.741, 177.7741
2760.000000, 79.732, 177.5809
2800.000000, 79.712, 177.4250
2850.000000, 79.676, 177.2615
2900.000000, 79.629, 177.1592
2950.000000, 79.571, 177.1339
3000.000000, 79.507, 177.1974
3040.000000, 79.454, 177.3144
3070.000000, 79.413, 177.4329
3110.000000, 79.359, 177.6227
3150.000000, 79.306, 177.8555
3200.000000, 79.243, 178.2027
3250.000000, 79.186, 178.5962
3300.000000, 79.137, 179.0300
3350.000000, 79.096, 179.4851
3400.000000, 79.066, 179.9552
3450.000000, 79.044, -179.5807
3500.000000, 79.031, -179.1368
3550.000000, 79.029, -178.7265
3600.000000, 79.037, -178.3816
3650.000000, 79.052, -178.1185
3700.000000, 79.075, -177.9413
3750.000000, 79.102, -177.8667
3820.000000, 79.140, -177.9768
3870.000000, 79.163, -178.1921
3950.000000, 79.176, -178.7511
4000.000000, 79.168, -179.1885
4060.000000, 79.141, -179.6927
4120.000000, 79.119, 179.8311
4180.000000, 79.131, 179.2728
4250.000000, 79.177, 178.0414
4310.000000, 79.164, 176.3427
4370.000000, 79.071, 174.3966
4440.000000, 78.862, 171.9141
4500.000000, 78.563, 169.8574
4550.000000, 78.227, 168.5157
4620.000000, 77.680, 167.5741
4680.000000, 77.214, 167.7382
4750.000000, 76.756, 168.8062
4820.000000, 76.426, 170.3192
4870.000000, 76.265, 171.3968
4940.000000, 76.117, 172.6586
5000.000000, 76.038, 173.4449
5080.000000, 75.972, 174.0881
