* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 20, 2025 11:07:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Defiant (Stock Foam) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 80.998, 171.4033
20.600000, 80.981, 171.1264
20.900000, 80.958, 170.8113
21.200001, 80.936, 170.4843
21.400000, 80.923, 170.2596
21.799999, 80.898, 169.7997
22.000000, 80.886, 169.5708
22.400000, 80.859, 169.1341
22.700001, 80.836, 168.8350
23.000000, 80.814, 168.5591
23.299999, 80.792, 168.2946
23.600000, 80.774, 168.0241
24.000000, 80.752, 167.6302
24.299999, 80.737, 167.3058
24.700001, 80.716, 166.8544
25.000000, 80.698, 166.5258
25.400000, 80.671, 166.1303
25.799999, 80.643, 165.7905
26.200001, 80.616, 165.4821
26.500000, 80.596, 165.2476
26.900000, 80.570, 164.9066
27.200001, 80.550, 164.6271
27.600000, 80.521, 164.2371
28.000000, 80.491, 163.8545
28.500000, 80.457, 163.4194
29.000000, 80.427, 163.0355
29.500000, 80.398, 162.6756
30.000000, 80.366, 162.3086
30.400000, 80.337, 161.9982
30.700001, 80.315, 161.7553
31.100000, 80.283, 161.4230
31.500000, 80.250, 161.0930
32.000000, 80.209, 160.7063
32.500000, 80.170, 160.3647
33.000000, 80.134, 160.0580
33.500000, 80.102, 159.7520
34.000000, 80.072, 159.4207
34.500000, 80.039, 159.0713
35.000000, 80.001, 158.7319
35.500000, 79.962, 158.4179
36.000000, 79.924, 158.1156
36.500000, 79.886, 157.8030
37.000000, 79.849, 157.4779
37.500000, 79.811, 157.1577
38.200001, 79.759, 156.7403
38.700001, 79.723, 156.4567
39.500000, 79.662, 156.0034
40.000000, 79.623, 155.7191
40.599998, 79.579, 155.3752
41.200001, 79.542, 155.0271
41.799999, 79.504, 154.6895
42.500000, 79.456, 154.3332
43.099998, 79.409, 154.0538
43.700001, 79.360, 153.7691
44.400002, 79.302, 153.4069
45.000000, 79.254, 153.0816
45.500000, 79.218, 152.8168
46.200001, 79.172, 152.4683
46.799999, 79.135, 152.1863
47.500000, 79.086, 151.8700
48.200001, 79.032, 151.5661
48.700001, 78.991, 151.3526
49.400002, 78.936, 151.0538
50.000000, 78.893, 150.8038
50.799999, 78.838, 150.4742
51.500000, 78.789, 150.1639
52.200001, 78.733, 149.8510
53.000000, 78.671, 149.5509
53.799999, 78.621, 149.2782
