* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 20, 2025 11:10:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Defiant (Stock Gray M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 82.058, 170.9667
20.600000, 82.040, 170.7288
20.900000, 82.019, 170.4758
21.200001, 81.999, 170.2192
21.400000, 81.987, 170.0376
21.799999, 81.966, 169.6375
22.000000, 81.954, 169.4219
22.400000, 81.925, 168.9841
22.700001, 81.900, 168.6715
23.000000, 81.874, 168.3843
23.299999, 81.850, 168.1193
23.600000, 81.831, 167.8625
24.000000, 81.812, 167.5039
24.299999, 81.801, 167.2108
24.700001, 81.786, 166.7954
25.000000, 81.771, 166.4838
25.400000, 81.747, 166.0966
25.799999, 81.721, 165.7549
26.200001, 81.694, 165.4450
26.500000, 81.676, 165.2160
26.900000, 81.651, 164.8946
27.200001, 81.631, 164.6374
27.600000, 81.604, 164.2814
28.000000, 81.575, 163.9303
28.500000, 81.539, 163.5272
29.000000, 81.506, 163.1705
29.500000, 81.477, 162.8329
30.000000, 81.447, 162.4740
30.400000, 81.420, 162.1606
30.700001, 81.398, 161.9176
31.100000, 81.368, 161.6003
31.500000, 81.340, 161.3079
32.000000, 81.311, 160.9782
32.500000, 81.287, 160.6596
33.000000, 81.257, 160.3265
33.500000, 81.216, 159.9864
34.000000, 81.171, 159.6532
34.500000, 81.133, 159.3067
35.000000, 81.107, 158.9106
35.500000, 81.085, 158.4762
36.000000, 81.055, 158.0811
36.500000, 81.017, 157.8009
37.000000, 80.975, 157.6246
37.500000, 80.937, 157.4612
38.200001, 80.885, 157.1228
38.700001, 80.848, 156.8195
39.500000, 80.796, 156.3389
40.000000, 80.767, 156.0461
40.599998, 80.722, 155.7012
41.200001, 80.667, 155.3993
41.799999, 80.614, 155.1334
42.500000, 80.567, 154.7755
43.099998, 80.528, 154.4141
43.700001, 80.484, 154.0830
44.400002, 80.435, 153.7667
45.000000, 80.401, 153.4832
45.500000, 80.369, 153.2232
46.200001, 80.319, 152.8968
46.799999, 80.280, 152.6588
47.500000, 80.241, 152.3159
48.200001, 80.188, 151.8932
