* Measurement data measured by REW V5.31.3
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: Jun 20, 2025 11:09:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Defiant (Stock White M) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
20.299999, 81.769, 171.0505
20.600000, 81.753, 170.7607
20.900000, 81.730, 170.3997
21.200001, 81.704, 170.0108
21.400000, 81.687, 169.7502
21.799999, 81.656, 169.2635
22.000000, 81.644, 169.0496
22.400000, 81.628, 168.6855
22.700001, 81.622, 168.4496
23.000000, 81.619, 168.2163
23.299999, 81.614, 167.9606
23.600000, 81.603, 167.6694
24.000000, 81.575, 167.2357
24.299999, 81.544, 166.9009
24.700001, 81.499, 166.4846
25.000000, 81.468, 166.2124
25.400000, 81.439, 165.9011
25.799999, 81.424, 165.6198
26.200001, 81.417, 165.3318
26.500000, 81.411, 165.0982
26.900000, 81.394, 164.7639
27.200001, 81.373, 164.5052
27.600000, 81.332, 164.1671
28.000000, 81.284, 163.8523
28.500000, 81.225, 163.4945
29.000000, 81.180, 163.1483
29.500000, 81.149, 162.7746
30.000000, 81.123, 162.3674
30.400000, 81.099, 162.0442
30.700001, 81.079, 161.8204
31.100000, 81.049, 161.5550
31.500000, 81.022, 161.3155
32.000000, 80.994, 161.0146
32.500000, 80.971, 160.6854
33.000000, 80.950, 160.3419
33.500000, 80.926, 160.0174
34.000000, 80.893, 159.7415
34.500000, 80.843, 159.5486
35.000000, 80.778, 159.4677
35.500000, 80.715, 159.4607
36.000000, 80.674, 159.3840
36.500000, 80.658, 159.0711
37.000000, 80.651, 158.4961
37.500000, 80.633, 157.8238
38.200001, 80.589, 157.1204
38.700001, 80.562, 156.8689
39.500000, 80.533, 156.5819
40.000000, 80.509, 156.3095
40.599998, 80.466, 155.9138
41.200001, 80.416, 155.5523
41.799999, 80.377, 155.2467
42.500000, 80.341, 154.8575
43.099998, 80.302, 154.4473
43.700001, 80.248, 154.0260
44.400002, 80.178, 153.6168
45.000000, 80.119, 153.3430
45.500000, 80.071, 153.1557
46.200001, 80.004, 152.9519
46.799999, 79.958, 152.7905
47.500000, 79.918, 152.5177
48.200001, 79.880, 152.1516
48.700001, 79.848, 151.8959
49.400002, 79.806, 151.5752
50.000000, 79.773, 151.2861
50.799999, 79.718, 150.8848
51.500000, 79.660, 150.6025
52.200001, 79.608, 150.3666
53.000000, 79.559, 150.0809
53.799999, 79.519, 149.8196
54.500000, 79.487, 149.6206
55.200001, 79.441, 149.4108
56.000000, 79.368, 149.1750
57.000000, 79.293, 148.8490
58.000000, 79.246, 148.3272
59.000000, 79.182, 147.7881
60.000000, 79.102, 147.4211
60.799999, 79.041, 147.2014
61.500000, 78.993, 147.0158
62.200001, 78.949, 146.8049
63.000000, 78.901, 146.5237
64.000000, 78.835, 146.1794
65.000000, 78.762, 145.9155
66.000000, 78.693, 145.7001
67.000000, 78.628, 145.4468
68.000000, 78.558, 145.1423
69.000000, 78.502, 144.7937
70.000000, 78.456, 144.4945
71.000000, 78.392, 144.4883
72.000000, 78.324, 144.5248
73.000000, 78.258, 144.1668
74.000000, 78.190, 143.6787
75.000000, 78.127, 143.3767
76.199997, 78.057, 143.1092
77.500000, 77.988, 142.8394
78.800003, 77.910, 142.6055
80.000000, 77.827, 142.3549
81.199997, 77.752, 142.0904
82.500000, 77.676, 141.8318
83.800003, 77.605, 141.6306
85.000000, 77.538, 141.4639
86.199997, 77.467, 141.2493
